Date,Open,High,Low,Close,Volume,AdjClose
11-Feb-2011,31.7,32.14,30.75,31.05,50613513,31.05
14-Feb-2011,31.05,31.3,30.7,30.7,6276284,30.7
15-Feb-2011,30.9,31.15,30.73,30.94,4337802,30.94
16-Feb-2011,31.05,31.44,30.66,30.72,4627489,30.72
17-Feb-2011,30.68,31.09,30.51,30.55,3290633,30.55
18-Feb-2011,30.65,31.39,30.4,31.37,6936545,31.37
22-Feb-2011,31.14,31.43,30.71,30.72,2454261,30.72
23-Feb-2011,30.76,30.9,30.25,30.42,2671118,30.42
24-Feb-2011,30.55,30.65,30.3,30.46,1697998,30.46
25-Feb-2011,30.53,30.75,30.3,30.5,2225823,30.5
28-Feb-2011,30.57,30.79,30.42,30.5,2380311,30.5
01-Mar-2011,30.65,30.78,30.23,30.45,1907921,30.45
02-Mar-2011,30.57,30.69,30.26,30.57,2196962,30.57
03-Mar-2011,30.68,30.77,30.53,30.77,1901777,30.77
04-Mar-2011,30.8,30.94,30.66,30.85,892281,30.85
07-Mar-2011,30.94,31.04,30.7,30.9,1049574,30.9
08-Mar-2011,30.8,31.04,30.8,30.97,827311,30.97
09-Mar-2011,30.9,30.98,30.74,30.75,294086,30.75
10-Mar-2011,30.71,30.71,29.75,30.1,2715286,30.1
11-Mar-2011,30.1,30.48,29.97,30.1,1896844,30.1
14-Mar-2011,30,30.22,29.8,29.99,1967678,29.99
15-Mar-2011,29.81,30.2,29.6,29.88,1968393,29.88
16-Mar-2011,29.89,30.16,29.76,30.05,2062105,30.05
17-Mar-2011,30.2,30.41,30.06,30.15,1511338,30.15
18-Mar-2011,30.21,30.5,30.08,30.5,1906733,30.5
21-Mar-2011,30.53,31,30.4,30.82,1252929,30.82
22-Mar-2011,30.9,30.98,30.57,30.7,1014614,30.7
23-Mar-2011,30.53,30.67,29.95,30.02,2570690,30.02
24-Mar-2011,30.1,30.25,29.9,30.05,1411599,30.05
25-Mar-2011,30.01,30.09,29.5,29.52,2687019,29.52
28-Mar-2011,29.74,29.93,29.56,29.62,1552829,29.62
29-Mar-2011,29.75,29.88,29.54,29.79,1313702,29.79
30-Mar-2011,29.87,29.89,29.58,29.69,770023,29.69
31-Mar-2011,29.8,29.87,29.51,29.64,884315,29.64
01-Apr-2011,29.79,29.85,29.49,29.5,1869198,29.5
04-Apr-2011,29.44,29.7,29.25,29.44,1177852,29.44
05-Apr-2011,29.49,29.64,29,29.44,1021281,29.44
06-Apr-2011,29.46,29.49,29.21,29.46,725080,29.46
07-Apr-2011,29.52,29.56,29.13,29.22,1226045,29.22
08-Apr-2011,29.22,29.42,29.12,29.33,934705,29.33
11-Apr-2011,29.3,29.41,29.07,29.25,1160858,29.25
12-Apr-2011,29.1,29.24,28.27,28.73,1278060,28.73
13-Apr-2011,28.74,29.02,28.66,28.83,2766808,28.83
14-Apr-2011,28.79,29.16,28.57,29.12,785748,29.12
15-Apr-2011,29.11,29.15,28.69,28.88,863864,28.88
18-Apr-2011,28.79,28.84,28.23,28.52,882325,28.52
19-Apr-2011,28.59,28.86,28.53,28.78,1122101,28.78
20-Apr-2011,28.98,29.6,28.79,29.45,2053961,29.45
21-Apr-2011,29.32,29.93,29.07,29.63,1516820,29.63
25-Apr-2011,29.81,29.81,29.07,29.36,604089,29.36
26-Apr-2011,29.54,29.59,29.05,29.12,1115700,29.12
27-Apr-2011,29.3,29.49,28.75,28.86,1479585,28.86
28-Apr-2011,28.84,28.95,28.69,28.83,1040923,28.83
29-Apr-2011,29.04,29.29,28.35,28.58,1843316,28.58
02-May-2011,28.73,28.99,28.38,28.82,1036693,28.82
03-May-2011,28.84,28.89,28.05,28.19,1158636,28.19
04-May-2011,28.2,28.36,27.31,27.96,2537787,27.96
05-May-2011,28.02,28.26,27.41,27.98,1618240,27.98
06-May-2011,28.08,28.41,27.85,28,653517,28
09-May-2011,28.11,28.45,28.01,28.29,752064,28.29
10-May-2011,28.27,28.69,28.08,28.52,778065,28.52
11-May-2011,28.53,28.63,28.01,28.31,1400358,28.31
12-May-2011,28.2,28.45,27.82,28.45,1792301,28.45
13-May-2011,28.37,28.37,27.75,27.93,1344050,27.93
16-May-2011,28.06,28.48,27.4,27.54,1737540,27.54
17-May-2011,27.6,27.71,26.87,27.5,2309905,27.5
18-May-2011,27.77,27.88,27.42,27.56,895108,27.56
19-May-2011,27.68,28.34,27.53,28.29,1096432,28.29
20-May-2011,28.25,28.9,27.97,28.5,1535380,28.5
23-May-2011,28.41,28.57,28.19,28.33,2927589,28.33
24-May-2011,28.53,29.06,28.47,29.06,2587624,29.06
25-May-2011,28.98,29.28,28.8,29.02,3304604,29.02
26-May-2011,29.1,29.22,28.61,28.69,1507097,28.69
27-May-2011,28.9,29.18,28.5,29.18,1896541,29.18
31-May-2011,29.53,29.76,29,29.29,5489827,29.29
01-Jun-2011,29.4,29.47,28.85,29,1042794,29
02-Jun-2011,29.15,29.38,28.44,29.38,978328,29.38
03-Jun-2011,29.06,29.76,28.73,29.75,1566348,29.75
06-Jun-2011,29.6,29.77,29.25,29.52,1402015,29.52
07-Jun-2011,29.58,29.97,29.42,29.79,1980996,29.79
08-Jun-2011,29.58,29.86,29.46,29.73,766729,29.73
09-Jun-2011,29.72,29.89,29.64,29.69,1215835,29.69
