Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,2.37,2.34,2.36,384000,2.36
04-Jan-1978,0,2.38,2.34,2.36,857600,2.36
05-Jan-1978,0,2.38,2.33,2.33,435200,2.33
06-Jan-1978,0,2.32,2.3,2.32,347200,2.32
09-Jan-1978,0,2.32,2.29,2.3,849600,2.3
10-Jan-1978,0,2.33,2.3,2.31,2099200,2.31
11-Jan-1978,0,2.35,2.3,2.32,358400,2.32
12-Jan-1978,0,2.37,2.31,2.35,676800,2.35
13-Jan-1978,0,2.38,2.34,2.37,297600,2.37
16-Jan-1978,0,2.36,2.34,2.34,526400,2.34
17-Jan-1978,0,2.41,2.34,2.41,681600,2.41
18-Jan-1978,0,2.5,2.41,2.5,528000,2.5
19-Jan-1978,0,2.5,2.46,2.48,851200,2.48
20-Jan-1978,0,2.47,2.44,2.45,638400,2.45
23-Jan-1978,0,2.49,2.45,2.48,1027200,2.48
24-Jan-1978,0,2.47,2.45,2.46,1265600,2.46
25-Jan-1978,0,2.47,2.45,2.46,1425600,2.46
26-Jan-1978,0,2.46,2.45,2.45,617600,2.45
27-Jan-1978,0,2.52,2.45,2.49,1164800,2.49
30-Jan-1978,0,2.52,2.48,2.49,1443200,2.49
31-Jan-1978,0,2.52,2.49,2.51,2923200,2.51
01-Feb-1978,0,2.57,2.5,2.57,872000,2.57
02-Feb-1978,0,2.58,2.52,2.52,1552000,2.52
03-Feb-1978,0,2.52,2.48,2.51,393600,2.51
06-Feb-1978,0,2.48,2.45,2.47,308800,2.47
07-Feb-1978,0,2.55,2.46,2.55,936000,2.55
08-Feb-1978,0,2.55,2.52,2.53,884800,2.53
09-Feb-1978,0,2.55,2.52,2.55,384000,2.55
10-Feb-1978,0,2.55,2.52,2.53,406400,2.53
13-Feb-1978,0,2.52,2.5,2.51,739200,2.51
14-Feb-1978,0,2.53,2.5,2.53,342400,2.53
15-Feb-1978,0,2.52,2.5,2.52,681600,2.52
16-Feb-1978,0,2.5,2.47,2.47,561600,2.47
17-Feb-1978,0,2.48,2.42,2.42,1048000,2.42
21-Feb-1978,0,2.43,2.4,2.41,944000,2.41
22-Feb-1978,0,2.47,2.42,2.45,403200,2.45
23-Feb-1978,0,2.48,2.41,2.47,374400,2.47
24-Feb-1978,0,2.51,2.48,2.51,960000,2.51
27-Feb-1978,0,2.5,2.48,2.49,934400,2.49
28-Feb-1978,0,2.48,2.45,2.45,611200,2.45
01-Mar-1978,0,2.48,2.44,2.48,1027200,2.48
02-Mar-1978,0,2.48,2.44,2.45,828800,2.45
03-Mar-1978,0,2.48,2.44,2.45,305600,2.45
06-Mar-1978,0,2.43,2.42,2.42,475200,2.42
07-Mar-1978,0,2.47,2.42,2.45,348800,2.45
08-Mar-1978,0,2.48,2.45,2.48,417600,2.48
09-Mar-1978,0,2.48,2.45,2.48,856000,2.48
10-Mar-1978,0,2.52,2.48,2.51,1496000,2.51
13-Mar-1978,0,2.55,2.52,2.52,897600,2.52
14-Mar-1978,0,2.55,2.51,2.55,768000,2.55
15-Mar-1978,0,2.56,2.52,2.54,635200,2.54
16-Mar-1978,0,2.54,2.52,2.53,705600,2.53
17-Mar-1978,0,2.55,2.52,2.55,500800,2.55
20-Mar-1978,0,2.59,2.55,2.57,1166400,2.57
21-Mar-1978,0,2.57,2.55,2.55,537600,2.55
22-Mar-1978,0,2.55,2.54,2.55,1014400,2.55
