Date,Open,High,Low,Close,Volume,AdjClose
14-Oct-2010,26.97,27.65,24.45,27.02,9197317,15.21
15-Oct-2010,27.1,27.1,26.5,26.5,3207585,14.92
18-Oct-2010,26.6,27.04,26.41,26.75,4077275,15.06
19-Oct-2010,26.99,26.99,26.44,26.52,7782946,14.93
20-Oct-2010,26.7,27.2,26.65,27.13,6082648,15.27
21-Oct-2010,27.19,28,27.1,27.56,6530807,15.52
22-Oct-2010,27.6,27.68,27.3,27.55,2442021,15.51
25-Oct-2010,27.84,28.27,27.72,27.96,3935291,15.74
26-Oct-2010,28.07,28.12,26.5,27.72,5532527,15.61
27-Oct-2010,27.83,27.83,26.85,27.21,3619198,15.32
28-Oct-2010,27.38,27.79,26.99,27.51,3821543,15.49
29-Oct-2010,27.85,28.25,26.6,26.86,7190607,15.12
01-Nov-2010,26.76,27.16,25.7,26,4164976,14.64
02-Nov-2010,26.3,26.79,26.18,26.63,3387806,14.99
03-Nov-2010,26.91,27.47,26.35,26.95,3338694,15.17
04-Nov-2010,27.25,27.56,26.99,27.41,5118309,15.43
05-Nov-2010,27.45,28.53,26.76,28.35,7668994,15.96
08-Nov-2010,28.5,28.85,28.24,28.85,4110677,16.24
09-Nov-2010,29.02,29.1,28.17,28.44,2267249,16.01
10-Nov-2010,28.4,28.5,27.74,28.34,2717001,15.96
11-Nov-2010,28.12,28.8,28.02,28.29,2478553,15.93
12-Nov-2010,28.32,28.37,27.33,27.4,4365195,15.43
15-Nov-2010,27.25,27.99,27.2,27.66,4142475,15.57
16-Nov-2010,27.57,27.65,26.25,26.7,2919305,15.03
17-Nov-2010,26.74,27.31,26.34,27.23,3193763,15.33
18-Nov-2010,28.06,28.23,27.54,27.69,3376520,15.59
19-Nov-2010,27.77,28.88,27.5,28.75,17483322,16.19
22-Nov-2010,28.63,29.82,28.55,29.68,6153764,16.71
23-Nov-2010,29.25,29.25,28.81,28.95,4385236,16.3
24-Nov-2010,29.1,29.54,28.86,29.5,3341008,16.61
26-Nov-2010,29.2,29.55,29.15,29.38,740549,16.54
29-Nov-2010,29.9,29.97,28.86,29.75,3414823,16.75
30-Nov-2010,29.23,29.5,29.06,29.21,2831262,16.45
01-Dec-2010,29.69,30.04,29.63,29.88,7132472,16.82
02-Dec-2010,30.21,30.5,29.41,30.49,7641030,17.17
03-Dec-2010,30.04,30.71,29.53,30.52,5584283,17.18
06-Dec-2010,30.62,31.12,30.5,31.08,4628399,17.5
07-Dec-2010,31.5,31.75,30.93,31.6,6297614,17.79
08-Dec-2010,31.6,31.85,30.73,30.86,3558094,17.37
09-Dec-2010,31.23,31.34,29.6,30.61,4306114,17.23
10-Dec-2010,30.56,31.17,30.46,31.1,3383700,17.51
13-Dec-2010,31.08,31.97,31.03,31.86,38066323,17.94
14-Dec-2010,31.61,32.46,31.07,31.99,3875059,18.01
15-Dec-2010,31.99,32.19,31.52,31.75,1458658,17.88
16-Dec-2010,32.01,32.07,30.91,31.2,2498444,17.57
17-Dec-2010,31.14,32,30.72,31.87,3979961,17.94
20-Dec-2010,31.91,32.12,31.62,32.1,2500861,18.07
21-Dec-2010,32,32.57,32,32.55,3301152,18.33
22-Dec-2010,32.34,32.98,32.34,32.95,3212737,18.55
23-Dec-2010,32.95,33,32.79,32.93,724418,18.54
27-Dec-2010,32.67,33.03,32.65,32.96,679526,18.56
28-Dec-2010,32.94,33.3,32.83,33.28,1111595,18.74
29-Dec-2010,33.21,33.45,33.18,33.4,1290324,18.8
30-Dec-2010,33.43,33.82,33.26,33.76,1605572,19.01
31-Dec-2010,33.85,34.54,33.83,34.4,1877808,19.37
03-Jan-2011,34.75,34.99,34.43,34.56,3403306,19.46
04-Jan-2011,34.8,34.95,34.54,34.87,5475610,19.63
05-Jan-2011,34.68,35,34.63,34.85,2780792,19.62
06-Jan-2011,34.93,35.11,34.72,34.97,3249311,19.69
07-Jan-2011,35.18,35.23,34.45,34.62,1889622,19.49
10-Jan-2011,34.92,35.3,34.6,35.24,4051508,19.84
11-Jan-2011,35.6,36.58,35.51,36.47,4729444,20.53
12-Jan-2011,36.66,37,36.51,36.74,2867860,20.69
13-Jan-2011,36.84,36.84,35.85,36.4,4404449,20.49
14-Jan-2011,36.28,37,36.04,36.61,3841007,20.61
18-Jan-2011,36.95,37,36.46,36.5,2166546,20.55
19-Jan-2011,36.67,36.7,35.53,35.66,3682438,20.08
20-Jan-2011,35.26,35.77,33.57,35.42,7837798,19.94
21-Jan-2011,35.88,36.22,34.4,35.05,3647559,19.73
24-Jan-2011,35.6,35.74,34.75,35.65,2489637,20.07
25-Jan-2011,35.7,36.15,35.52,35.7,6351441,20.1
26-Jan-2011,35.78,36.25,35.54,36,2325666,20.27
27-Jan-2011,36.06,36.51,35.82,36.2,2718782,20.38
28-Jan-2011,36.3,36.48,34.62,34.86,1961216,19.63
31-Jan-2011,34.77,36.04,34.77,35.94,2250306,20.23
