Date,Open,High,Low,Close,Volume,AdjClose
28-Jan-1994,0,22.5,20.75,21.62,719200,4.92
31-Jan-1994,0,21.62,21.12,21.38,86900,4.86
01-Feb-1994,0,21.38,21.12,21.25,56900,4.83
02-Feb-1994,0,21.5,21.25,21.25,43600,4.83
03-Feb-1994,0,21.5,21.25,21.5,42900,4.89
04-Feb-1994,0,21.5,21.12,21.12,56500,4.8
07-Feb-1994,0,21.5,21.12,21.38,40900,4.86
08-Feb-1994,0,22.25,21.5,22,205400,5
09-Feb-1994,0,22.75,22.12,22.25,76900,5.06
10-Feb-1994,0,23,22.25,23,42500,5.23
11-Feb-1994,0,23.88,22.88,23.5,49400,5.34
14-Feb-1994,0,24.5,23.25,23.88,97400,5.43
15-Feb-1994,0,24,23.12,23.12,62100,5.26
16-Feb-1994,0,23.62,23.12,23.38,26700,5.32
17-Feb-1994,0,24.12,23.62,24.12,8900,5.48
18-Feb-1994,0,24.38,24,24.25,27900,5.51
22-Feb-1994,0,24.12,23.75,23.75,25000,5.4
23-Feb-1994,0,24,23.25,23.38,48100,5.32
24-Feb-1994,0,23.88,23,23.25,48500,5.29
25-Feb-1994,0,23,22.75,22.88,36000,5.2
28-Feb-1994,0,23.12,22.5,22.62,14500,5.14
01-Mar-1994,0,23.25,22.5,23,74900,5.23
02-Mar-1994,0,23.75,23,23.5,21700,5.34
03-Mar-1994,0,23.5,23,23,8600,5.23
04-Mar-1994,0,23.25,22.75,23,5000,5.23
07-Mar-1994,0,23.12,22.75,22.88,13200,5.2
08-Mar-1994,0,22.75,22.25,22.62,9800,5.14
09-Mar-1994,0,22.62,22.5,22.5,38700,5.12
10-Mar-1994,0,22.5,22.25,22.5,28800,5.12
11-Mar-1994,0,22.12,22,22,5800,5
14-Mar-1994,0,23.75,22,23.25,59900,5.29
15-Mar-1994,0,23.5,22.88,22.88,4400,5.2
16-Mar-1994,0,23.5,23,23.38,10800,5.32
17-Mar-1994,0,23.5,23.25,23.5,18900,5.34
18-Mar-1994,0,23.62,23.25,23.25,7400,5.29
21-Mar-1994,0,23.25,23.12,23.25,4100,5.29
22-Mar-1994,0,23.62,23.12,23.25,33600,5.29
23-Mar-1994,0,23.5,23.25,23.38,1900,5.32
24-Mar-1994,0,24,23.5,24,18400,5.46
25-Mar-1994,0,24,23.75,23.75,5300,5.4
28-Mar-1994,0,23.62,23.25,23.5,11500,5.34
29-Mar-1994,0,23.88,23.25,23.25,4200,5.29
30-Mar-1994,0,23.12,23,23.12,20600,5.26
31-Mar-1994,0,23.12,23,23.12,14200,5.26
04-Apr-1994,0,23.12,22.75,22.75,29900,5.17
05-Apr-1994,0,23.12,22.75,23.12,1500,5.26
06-Apr-1994,0,23.12,23,23.12,5100,5.26
07-Apr-1994,0,23.5,23.25,23.38,3800,5.32
