Date,Open,High,Low,Close,Volume,AdjClose
28-Sep-2009,17.94,18.27,17.63,18.08,1626317,12.5
29-Sep-2009,18.18,18.46,18.04,18.38,2780397,12.71
30-Sep-2009,18.42,18.58,18.07,18.46,4445548,12.76
01-Oct-2009,18.44,18.68,17.94,18.06,3553645,12.49
02-Oct-2009,17.96,18.17,17.72,17.95,3912934,12.41
05-Oct-2009,17.93,18.13,17.77,18.07,3015299,12.49
06-Oct-2009,17.72,18.36,17.72,18.09,3106707,12.51
07-Oct-2009,17.78,18.26,17.78,17.99,1908010,12.44
08-Oct-2009,18.03,18.6,18,18.53,3948553,12.81
09-Oct-2009,18.56,18.67,18.43,18.64,1756673,12.89
12-Oct-2009,18.78,19.28,18.76,18.78,5303811,12.99
13-Oct-2009,18.76,19,18.73,18.87,3013072,13.05
14-Oct-2009,19,19.48,18.91,19.39,5525922,13.41
15-Oct-2009,19.3,19.58,19.21,19.58,4188240,13.54
16-Oct-2009,20.5,21.05,20.3,20.46,12580953,14.15
19-Oct-2009,19.94,20.32,19.68,20.05,6001625,13.86
20-Oct-2009,20.11,20.24,19.79,19.88,6398202,13.75
21-Oct-2009,19.85,20.15,19.7,19.77,3904689,13.67
22-Oct-2009,19.78,20.14,19.73,20.1,3936707,13.9
23-Oct-2009,20.19,20.19,19.43,19.52,3530765,13.5
26-Oct-2009,19.57,20.25,19.57,19.66,3515215,13.59
27-Oct-2009,19.6,19.68,19.12,19.18,4029723,13.26
28-Oct-2009,19.1,19.26,18.41,18.43,11262399,12.74
29-Oct-2009,18.49,19.17,18.49,19.13,3064525,13.23
30-Oct-2009,18.96,19.27,18.53,18.93,4474185,13.09
02-Nov-2009,19,19.43,18.71,19.21,4002284,13.28
03-Nov-2009,19.04,19.22,18.67,19.06,4355024,13.18
04-Nov-2009,19.12,19.38,18.97,19.05,3622722,13.17
05-Nov-2009,19.3,19.56,19.08,19.54,2357849,13.51
06-Nov-2009,19.54,19.75,19.3,19.74,1943732,13.65
09-Nov-2009,19.78,20.33,19.78,20.33,3089235,14.06
10-Nov-2009,20.09,20.49,20.09,20.47,5365821,14.15
11-Nov-2009,20.5,20.5,20.26,20.38,3339077,14.09
12-Nov-2009,20.49,20.54,20.28,20.42,3093110,14.12
13-Nov-2009,20.42,20.52,20.32,20.47,2955221,14.15
16-Nov-2009,20.54,20.73,20.42,20.59,3777273,14.24
17-Nov-2009,20.69,20.76,20.47,20.67,3866304,14.29
18-Nov-2009,20.57,20.78,20.42,20.55,2669438,14.21
19-Nov-2009,20.51,20.51,20.08,20.23,3138797,13.99
20-Nov-2009,20.32,20.32,19.84,20.01,4564999,13.84
23-Nov-2009,20.1,20.54,20.03,20.46,3292394,14.15
24-Nov-2009,20.45,20.52,20.2,20.43,2834470,14.13
25-Nov-2009,20.01,20.19,19.79,19.91,2642333,14.29
