Date,Open,High,Low,Close,Volume,AdjClose
11-Jun-2012,38.42,38.57,38.12,38.14,6874887,34.7
15-Jun-2012,38.95,39.14,38.64,38.64,12644909,35.15
26-Jun-2012,38.61,38.69,37.74,37.76,11673746,34.35
27-Jun-2012,37.71,37.71,37.32,37.41,9174932,34.04
28-Jun-2012,37.29,37.75,37.1,37.7,7302071,34.3
29-Jun-2012,38.1,38.62,37.92,38.62,10282695,35.14
02-Jul-2012,38.32,38.9,38.26,38.88,8676154,35.37
03-Jul-2012,38.85,39.3,38.77,39.21,8446196,35.67
05-Jul-2012,39.18,39.49,39.07,39.07,7290044,35.55
06-Jul-2012,39.05,39.2,38.88,38.98,6090948,35.46
09-Jul-2012,38.92,39.05,38.79,39.03,7043628,35.51
10-Jul-2012,39.3,39.74,39.21,39.41,13837611,35.86
11-Jul-2012,39.4,39.59,39.22,39.37,8365120,35.82
12-Jul-2012,39.03,39.19,38.96,39.11,8213372,35.58
13-Jul-2012,39.07,39.75,39.03,39.71,7095466,36.13
16-Jul-2012,39.92,39.94,39.42,39.58,7759470,36.01
17-Jul-2012,39.75,40,39.42,39.8,6843228,36.21
18-Jul-2012,39.75,40.01,39.69,39.97,9724960,36.36
19-Jul-2012,40.09,40.29,39.88,40.2,14520211,36.57
20-Jul-2012,40.04,40.26,39.58,40.16,48385052,36.54
23-Jul-2012,39.61,39.62,39.03,39.2,15559581,35.66
24-Jul-2012,39.31,39.35,38.88,39.02,10375711,35.5
25-Jul-2012,39.19,39.19,37.15,38.84,8508646,35.34
26-Jul-2012,39.44,39.8,39.28,39.38,11258461,35.83
27-Jul-2012,39.82,39.85,39.38,39.42,13683383,35.86
30-Jul-2012,39.58,39.69,39.44,39.5,12186993,35.94
31-Jul-2012,39.4,39.77,39.21,39.71,10699386,36.13
01-Aug-2012,39.8,39.94,39.25,39.39,7220577,35.84
02-Aug-2012,39.02,39.29,38.75,38.94,10500645,35.43
03-Aug-2012,39.95,40.89,39.94,40.51,19362038,36.86
06-Aug-2012,41.04,41.5,40.55,40.6,15182684,36.94
07-Aug-2012,40.78,40.98,40.6,40.87,14035981,37.18
08-Aug-2012,40.85,41.26,40.84,41.1,8174911,37.39
09-Aug-2012,41.07,41.24,40.65,41.07,7382135,37.37
10-Aug-2012,40.8,40.97,40.61,40.92,8036601,37.23
13-Aug-2012,40.96,41.1,40.87,41,7321354,37.3
14-Aug-2012,41.03,41.14,40.78,40.9,7012636,37.21
15-Aug-2012,40.89,40.94,40.55,40.7,8592505,37.03
16-Aug-2012,40.52,40.77,40.42,40.7,7857610,37.03
17-Aug-2012,40.74,40.74,40.32,40.5,10181177,36.85
20-Aug-2012,40.31,40.79,40.25,40.77,6388843,37.09
21-Aug-2012,40.71,41.4,40.68,41.11,10521325,37.4
22-Aug-2012,41.18,41.6,40.75,41.01,9655206,37.31
23-Aug-2012,40.93,41.39,40.81,41.28,14286455,37.56
24-Aug-2012,41.1,41.9,41.1,41.87,12104900,38.09
27-Aug-2012,41.84,41.9,41.66,41.73,8057848,37.97
28-Aug-2012,41.77,42,41.71,41.86,9452100,38.08
29-Aug-2012,41.87,41.95,41.64,41.67,7606295,37.91
30-Aug-2012,41.44,41.6,41.23,41.35,8132668,37.62
31-Aug-2012,41.74,41.93,41.42,41.51,9799932,37.77
04-Sep-2012,41.3,41.95,41.26,41.84,12288638,38.07
05-Sep-2012,41.85,42,41.39,41.67,8790559,37.91
06-Sep-2012,41.78,42.44,41.7,42.32,13804069,38.5
07-Sep-2012,40.84,40.91,39.7,39.99,46357881,36.38
10-Sep-2012,40.37,40.76,40.18,40.21,21248138,36.58
11-Sep-2012,40.17,40.29,39.62,39.77,16842108,36.18
12-Sep-2012,39.8,39.92,39.5,39.58,11657362,36.01
13-Sep-2012,39.53,40.25,39.53,40.13,13060638,36.51
14-Sep-2012,39.93,40.17,39.73,39.93,23144268,36.33
17-Sep-2012,39.48,39.71,39.32,39.7,17594343,36.12
18-Sep-2012,39.5,40.43,39.44,40.42,22576858,36.77
19-Sep-2012,40.5,40.92,40.47,40.84,22677929,37.16
20-Sep-2012,40.65,41.75,40.59,41.6,35456742,37.85
21-Sep-2012,41.76,42.19,41.65,41.78,57610138,38.01
24-Sep-2012,41.58,41.74,41.45,41.63,16956930,37.87
25-Sep-2012,41.5,41.95,41.31,41.36,20446018,37.63
26-Sep-2012,41.52,41.81,41.18,41.27,15227249,37.55
27-Sep-2012,41.16,41.34,41,41.2,14123845,37.48
28-Sep-2012,41.21,41.44,40.9,41.35,13989021,37.62
01-Oct-2012,41.08,42.54,41.08,42.52,24527563,38.68
02-Oct-2012,28.42,28.48,27.39,28.01,31590211,25.48
03-Oct-2012,28.18,28.29,27.73,27.83,37901593,25.32
04-Oct-2012,27.87,28.21,27.87,28.06,16877994,25.53
05-Oct-2012,28.25,28.37,27.74,27.81,17569280,25.3
08-Oct-2012,27.85,27.9,27.48,27.55,17364334,25.06
09-Oct-2012,27.55,27.62,27.28,27.36,16782505,24.89
10-Oct-2012,27.53,27.53,27.1,27.25,24674899,24.79
11-Oct-2012,27.3,27.41,27.15,27.24,13761060,24.78
12-Oct-2012,27.36,27.4,27.16,27.22,12058074,24.76
15-Oct-2012,27.48,27.5,27.19,27.22,12916285,24.76
16-Oct-2012,27.46,27.5,26.95,27.17,16349229,24.72
17-Oct-2012,27.04,27.5,27.04,27.45,11405163,24.97
18-Oct-2012,27.5,27.56,27.35,27.42,8753939,24.95
19-Oct-2012,27.4,27.44,26.92,27.01,16446920,24.57
22-Oct-2012,27.02,27.13,26.85,27,14178216,24.56
23-Oct-2012,26.77,26.94,26.54,26.68,11255353,24.27
24-Oct-2012,26.76,26.76,26.45,26.53,10768054,24.14
25-Oct-2012,26.68,26.79,26.38,26.47,11890010,24.08
26-Oct-2012,26.43,26.64,26.18,26.6,17172194,24.2
31-Oct-2012,26.75,26.79,26.3,26.55,11829847,24.16
01-Nov-2012,26.68,26.85,26.5,26.8,10718893,24.38
02-Nov-2012,26.8,26.8,26.24,26.28,27262812,23.91
05-Nov-2012,26.2,26.46,26.05,26.41,12723680,24.03
06-Nov-2012,26.02,26.63,26,26.49,14611779,24.1
07-Nov-2012,26.25,26.42,26.07,26.25,13179068,23.88
08-Nov-2012,25.8,26.59,25.76,26.11,33180319,23.75
09-Nov-2012,26,26.23,25.76,26.02,19361670,23.67
12-Nov-2012,26.08,26.17,25.9,25.96,9070006,23.62
13-Nov-2012,25.84,26.05,25.74,25.74,13056212,23.42
14-Nov-2012,25.76,25.81,25.1,25.14,18479964,22.87
15-Nov-2012,25.03,25.18,24.5,25.11,19003654,22.85
16-Nov-2012,25.11,25.6,25.03,25.56,18817769,23.25
19-Nov-2012,25.82,25.91,25.52,25.83,10613081,23.5
20-Nov-2012,26.01,26.04,25.5,25.54,11552879,23.24
21-Nov-2012,25.71,25.9,25.27,25.41,14172343,23.12
23-Nov-2012,25.42,25.65,25.28,25.62,6080755,23.31
26-Nov-2012,25.5,25.59,25.39,25.51,10869281,23.21
27-Nov-2012,25.55,25.61,25.25,25.27,9704567,22.99
28-Nov-2012,25.16,25.7,25.16,25.66,14792571,23.35
29-Nov-2012,25.77,25.8,25.53,25.78,13019656,23.45
30-Nov-2012,25.71,25.99,25.71,25.89,12208431,23.55
03-Dec-2012,26.02,26.02,25.58,25.67,8887157,23.35
