Date,Open,High,Low,Close,Volume,AdjClose
27-Jan-2015,75.02,75.61,74.62,75.26,9927213,75.26
28-Jan-2015,74.85,75.51,73.41,73.41,12731818,73.41
29-Jan-2015,73.12,73.38,72.11,73.01,11889863,73.01
30-Jan-2015,72.84,72.92,71.21,71.4,15810859,71.4
02-Feb-2015,70.98,72.78,70.91,72.76,9912258,72.76
03-Feb-2015,73.48,74.81,73.14,74.79,9746421,74.79
04-Feb-2015,74.65,75.09,73.98,74.13,7378251,74.13
05-Feb-2015,75.13,75.46,74.71,75.32,5737695,75.32
06-Feb-2015,75.32,75.66,74.3,74.47,5421045,74.47
09-Feb-2015,74.26,74.56,73.47,73.62,5470845,73.62
10-Feb-2015,73.96,75.06,73.74,74.87,5663339,74.87
11-Feb-2015,74.9,75.18,74.04,74.39,7457746,74.39
12-Feb-2015,74.81,75.04,74.3,74.93,5542758,74.93
13-Feb-2015,74.46,75.28,73.73,75.26,9009406,75.26
17-Feb-2015,76.54,78.3,76.33,78.07,13477485,78.07
18-Feb-2015,78,78.6,77.97,78.5,7801355,78.5
19-Feb-2015,78.59,78.59,77.85,78.13,6900528,78.13
20-Feb-2015,77.96,78.8,77.45,78.79,6665183,78.79
23-Feb-2015,78.67,79.45,78.67,79.25,6051519,79.25
24-Feb-2015,79.11,79.21,78.73,79.02,4855868,79.02
25-Feb-2015,79.02,79.4,78.44,78.63,4598767,78.63
26-Feb-2015,78.74,78.99,78.38,78.81,5413486,78.81
27-Feb-2015,78.53,78.76,77.56,77.59,8848172,77.59
02-Mar-2015,77.94,78.92,77.68,78.83,5240285,78.83
03-Mar-2015,78.8,78.98,77.37,78.03,4662494,78.03
04-Mar-2015,77.56,78.47,77.05,78.19,5382885,78.19
05-Mar-2015,78.38,78.96,78.04,78.5,5780484,78.5
06-Mar-2015,78,78.32,76.43,76.48,7052352,76.48
09-Mar-2015,76.57,77.12,76.19,76.9,6134437,76.9
10-Mar-2015,76.51,76.66,75.84,75.87,5252717,75.87
11-Mar-2015,76,77,75.84,76.05,6954560,76.05
12-Mar-2015,75.89,76.83,75.8,76.76,4014435,76.76
13-Mar-2015,76.65,76.68,75.88,76.47,5289004,76.47
16-Mar-2015,76.89,77.87,76.87,77.67,6497315,77.67
17-Mar-2015,77.42,77.5,76.41,76.72,4497408,76.72
18-Mar-2015,76.42,78.2,76.1,77.61,5859156,77.61
19-Mar-2015,78.27,78.27,77.27,77.66,4793989,77.66
20-Mar-2015,78.38,78.45,77.7,78.02,9159478,78.02
23-Mar-2015,78,78.87,77.93,78.67,6150784,78.67
24-Mar-2015,78.75,79.24,78.68,78.72,5854912,78.72
25-Mar-2015,78.84,79.5,77.55,77.6,8133633,77.6
26-Mar-2015,76.94,77.47,76.51,76.61,5591779,76.61
27-Mar-2015,76.54,77.6,76.5,77.38,4510282,77.38
30-Mar-2015,77.7,78.45,77.7,78.42,3765886,78.42
31-Mar-2015,78.49,78.84,77.87,77.99,5773412,77.99
01-Apr-2015,78.62,78.73,75.96,76.14,8383932,76.14
02-Apr-2015,76.01,77.12,75.83,76.87,5113560,76.87
06-Apr-2015,76.31,77.55,76.27,77.36,4371983,77.36
07-Apr-2015,77.57,77.77,77.15,77.18,3529602,77.18
08-Apr-2015,77.36,77.45,76.3,76.39,6279630,76.39
09-Apr-2015,76.34,77.2,76.08,77.13,4888867,77.13
10-Apr-2015,77.1,77.96,77.04,77.93,4521264,77.93
13-Apr-2015,77.6,78.66,77.37,78.08,5781953,78.08
14-Apr-2015,78,78.06,77.44,77.89,3989246,77.89
15-Apr-2015,78,78.28,77.72,77.91,3388771,77.91
16-Apr-2015,77.78,77.98,76.95,77.02,4201189,77.02
17-Apr-2015,76.44,77.3,76.24,76.49,5815537,76.49
20-Apr-2015,76.84,77.4,76.76,77.14,4248979,77.14
21-Apr-2015,77.49,77.53,76.92,77.08,4265091,77.08
22-Apr-2015,77.4,78.12,77.06,78.01,4861137,78.01
