Date,Open,High,Low,Close,Volume,AdjClose
02-May-1988,0,3,2.75,2.75,800,2.19
03-May-1988,0,3.12,2.75,2.75,400,2.19
04-May-1988,0,3.12,2.75,2.75,2800,2.19
05-May-1988,NaN,NaN,NaN,2.75,0,2.19
06-May-1988,0,3.12,2.75,2.75,800,2.19
09-May-1988,0,3.12,2.75,2.75,400,2.19
10-May-1988,NaN,NaN,NaN,2.75,0,2.19
11-May-1988,0,3.12,2.75,2.75,2000,2.19
12-May-1988,NaN,NaN,NaN,2.75,0,2.19
13-May-1988,NaN,NaN,NaN,2.75,0,2.19
16-May-1988,NaN,NaN,NaN,2.75,0,2.19
17-May-1988,NaN,NaN,NaN,2.75,0,2.19
18-May-1988,0,3,2.75,2.75,7200,2.19
19-May-1988,0,2.88,2.62,2.62,2400,2.09
20-May-1988,0,2.88,2.62,2.62,1600,2.09
23-May-1988,NaN,NaN,NaN,2.62,0,2.09
24-May-1988,NaN,NaN,NaN,2.69,0,2.14
25-May-1988,0,2.88,2.69,2.69,800,2.14
26-May-1988,NaN,NaN,NaN,2.69,0,2.14
27-May-1988,0,2.94,2.75,2.75,8000,2.19
31-May-1988,NaN,NaN,NaN,2.75,0,2.19
01-Jun-1988,0,2.94,2.75,2.75,400,2.19
02-Jun-1988,0,2.94,2.75,2.75,400,2.19
03-Jun-1988,0,3.25,2.88,2.88,1600,2.29
06-Jun-1988,0,3.25,2.88,2.88,4400,2.29
07-Jun-1988,NaN,NaN,NaN,2.88,0,2.29
08-Jun-1988,0,3.25,2.94,2.94,2800,2.34
09-Jun-1988,NaN,NaN,NaN,2.94,0,2.34
10-Jun-1988,0,3.25,2.94,2.94,2000,2.34
13-Jun-1988,NaN,NaN,NaN,2.94,0,2.34
14-Jun-1988,0,3.25,2.94,2.94,400,2.34
15-Jun-1988,NaN,NaN,NaN,2.94,0,2.34
16-Jun-1988,NaN,NaN,NaN,2.94,0,2.34
17-Jun-1988,0,3.25,2.94,2.94,400,2.34
20-Jun-1988,NaN,NaN,NaN,2.94,0,2.34
21-Jun-1988,NaN,NaN,NaN,2.94,0,2.34
22-Jun-1988,0,3.25,3,3,2000,2.39
23-Jun-1988,NaN,NaN,NaN,3,0,2.39
24-Jun-1988,NaN,NaN,NaN,3,0,2.39
27-Jun-1988,0,3.38,3.06,3.06,1600,2.44
28-Jun-1988,NaN,NaN,NaN,3.06,0,2.44
29-Jun-1988,NaN,NaN,NaN,3.06,0,2.44
30-Jun-1988,NaN,NaN,NaN,3.12,0,2.49
01-Jul-1988,0,3.44,3.12,3.12,400,2.49
05-Jul-1988,NaN,NaN,NaN,3.12,0,2.49
06-Jul-1988,0,3.44,3.12,3.12,400,2.49
07-Jul-1988,0,3.5,3.12,3.12,2000,2.49
08-Jul-1988,NaN,NaN,NaN,3.12,0,2.49
11-Jul-1988,NaN,NaN,NaN,3.12,0,2.49
12-Jul-1988,0,3.5,3.12,3.12,800,2.49
13-Jul-1988,0,3.5,3.25,3.25,3200,2.59
14-Jul-1988,NaN,NaN,NaN,3.25,0,2.59
15-Jul-1988,0,3.5,3.25,3.25,1600,2.59
18-Jul-1988,0,3.62,3.25,3.25,400,2.59
19-Jul-1988,NaN,NaN,NaN,3.25,0,2.59
20-Jul-1988,0,3.62,3.25,3.25,400,2.59
21-Jul-1988,NaN,NaN,NaN,3.25,0,2.59
22-Jul-1988,NaN,NaN,NaN,3.25,0,2.59
25-Jul-1988,NaN,NaN,NaN,3.25,0,2.59
26-Jul-1988,0,3.5,3.25,3.25,3200,2.59
27-Jul-1988,0,3.5,3.19,3.19,2000,2.54
28-Jul-1988,0,3.38,3.06,3.06,11200,2.44
29-Jul-1988,0,3.25,3,3,3200,2.39
01-Aug-1988,NaN,NaN,NaN,3,0,2.39
02-Aug-1988,NaN,NaN,NaN,3,0,2.39
03-Aug-1988,NaN,NaN,NaN,3,0,2.39
04-Aug-1988,NaN,NaN,NaN,3,0,2.39
05-Aug-1988,NaN,NaN,NaN,3,0,2.39
08-Aug-1988,NaN,NaN,NaN,3,0,2.39
09-Aug-1988,NaN,NaN,NaN,3,0,2.39
10-Aug-1988,0,3.25,3,3,2400,2.39
11-Aug-1988,NaN,NaN,NaN,3,0,2.39
12-Aug-1988,NaN,NaN,NaN,3,0,2.39
15-Aug-1988,0,3.25,2.88,2.88,2400,2.29
16-Aug-1988,0,3.06,2.75,2.75,1200,2.19
17-Aug-1988,NaN,NaN,NaN,2.75,0,2.19
18-Aug-1988,NaN,NaN,NaN,2.75,0,2.19
19-Aug-1988,0,3,2.75,2.75,800,2.19
22-Aug-1988,NaN,NaN,NaN,2.75,0,2.19
23-Aug-1988,NaN,NaN,NaN,2.75,0,2.19
24-Aug-1988,NaN,NaN,NaN,2.75,0,2.19
25-Aug-1988,NaN,NaN,NaN,2.75,0,2.19
26-Aug-1988,NaN,NaN,NaN,2.75,0,2.19
29-Aug-1988,0,3,2.75,2.75,2800,2.19
30-Aug-1988,NaN,NaN,NaN,2.75,0,2.19
31-Aug-1988,0,2.94,2.75,2.75,1200,2.19
01-Sep-1988,NaN,NaN,NaN,2.75,0,2.19
02-Sep-1988,0,3,2.75,2.75,800,2.19
06-Sep-1988,NaN,NaN,NaN,2.75,0,2.19
07-Sep-1988,NaN,NaN,NaN,2.75,0,2.19
08-Sep-1988,NaN,NaN,NaN,2.75,0,2.19
09-Sep-1988,NaN,NaN,NaN,2.75,0,2.19
12-Sep-1988,NaN,NaN,NaN,2.75,0,2.19
13-Sep-1988,NaN,NaN,NaN,2.75,0,2.19
14-Sep-1988,0,2.94,2.75,2.75,400,2.19
15-Sep-1988,0,2.81,2.62,2.62,5200,2.09
16-Sep-1988,0,2.81,2.62,2.62,800,2.09
19-Sep-1988,NaN,NaN,NaN,2.62,0,2.09
20-Sep-1988,NaN,NaN,NaN,2.62,0,2.09
21-Sep-1988,0,2.81,2.56,2.56,800,2.04
22-Sep-1988,NaN,NaN,NaN,2.56,0,2.04
23-Sep-1988,NaN,NaN,NaN,2.56,0,2.04
26-Sep-1988,0,2.81,2.56,2.56,400,2.04
27-Sep-1988,NaN,NaN,NaN,2.56,0,2.04
28-Sep-1988,NaN,NaN,NaN,2.56,0,2.04
29-Sep-1988,NaN,NaN,NaN,2.56,0,2.04
30-Sep-1988,NaN,NaN,NaN,2.56,0,2.04
03-Oct-1988,NaN,NaN,NaN,2.56,0,2.04
04-Oct-1988,0,2.81,2.56,2.56,1600,2.04
05-Oct-1988,NaN,NaN,NaN,2.56,0,2.04
06-Oct-1988,NaN,NaN,NaN,2.56,0,2.04
07-Oct-1988,NaN,NaN,NaN,2.56,0,2.04
10-Oct-1988,NaN,NaN,NaN,2.56,0,2.04
11-Oct-1988,0,2.81,2.56,2.56,400,2.04
12-Oct-1988,NaN,NaN,NaN,2.56,0,2.04
13-Oct-1988,0,2.75,2.5,2.5,1200,1.99
14-Oct-1988,NaN,NaN,NaN,2.5,0,1.99
17-Oct-1988,NaN,NaN,NaN,2.5,0,1.99
18-Oct-1988,NaN,NaN,NaN,2.5,0,1.99
19-Oct-1988,NaN,NaN,NaN,2.5,0,1.99
20-Oct-1988,0,2.75,2.44,2.44,1600,1.94
21-Oct-1988,NaN,NaN,NaN,2.44,0,1.94
24-Oct-1988,NaN,NaN,NaN,2.44,0,1.94
25-Oct-1988,0,2.62,2.38,2.38,6400,1.9
26-Oct-1988,NaN,NaN,NaN,2.38,0,1.9
27-Oct-1988,NaN,NaN,NaN,2.38,0,1.9
28-Oct-1988,0,2.62,2.25,2.25,4000,1.79
31-Oct-1988,NaN,NaN,NaN,2.25,0,1.79
01-Nov-1988,NaN,NaN,NaN,2.25,0,1.79
02-Nov-1988,NaN,NaN,NaN,2.25,0,1.79
03-Nov-1988,0,2.62,2.25,2.25,400,1.79
04-Nov-1988,0,2.62,2.25,2.25,400,1.79
07-Nov-1988,0,2.38,2.19,2.19,3600,1.74
08-Nov-1988,0,2.44,2.19,2.19,1200,1.74
09-Nov-1988,0,2.44,2.19,2.19,1200,1.74
10-Nov-1988,NaN,NaN,NaN,2.19,0,1.74
11-Nov-1988,NaN,NaN,NaN,2.19,0,1.74
14-Nov-1988,NaN,NaN,NaN,2.19,0,1.74
15-Nov-1988,NaN,NaN,NaN,2.19,0,1.74
16-Nov-1988,NaN,NaN,NaN,2.19,0,1.74
17-Nov-1988,NaN,NaN,NaN,2.19,0,1.74
18-Nov-1988,NaN,NaN,NaN,2.19,0,1.74
21-Nov-1988,NaN,NaN,NaN,2.19,0,1.74
22-Nov-1988,NaN,NaN,NaN,2.19,0,1.74
23-Nov-1988,0,2.5,2.25,2.25,800,1.79
25-Nov-1988,0,2.56,2.25,2.25,4000,1.79
28-Nov-1988,NaN,NaN,NaN,2.25,0,1.79
29-Nov-1988,NaN,NaN,NaN,2.38,0,1.9
30-Nov-1988,0,2.81,2.5,2.5,2400,1.99
01-Dec-1988,0,2.94,2.62,2.62,4000,2.09
02-Dec-1988,NaN,NaN,NaN,2.69,0,2.14
05-Dec-1988,NaN,NaN,NaN,2.69,0,2.14
06-Dec-1988,0,2.94,2.69,2.69,1200,2.14
07-Dec-1988,NaN,NaN,NaN,2.69,0,2.14
08-Dec-1988,NaN,NaN,NaN,2.62,0,2.09
09-Dec-1988,NaN,NaN,NaN,2.62,0,2.09
