Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,2.54,2.5,2.5,96000,1.07
04-Jan-1978,0,2.5,2.47,2.49,743598,1.07
05-Jan-1978,0,2.5,2.45,2.45,79200,1.05
06-Jan-1978,0,2.45,2.43,2.44,163200,1.05
09-Jan-1978,0,2.47,2.44,2.45,642798,1.05
10-Jan-1978,0,2.47,2.45,2.46,525402,1.06
11-Jan-1978,0,2.47,2.44,2.44,323802,1.05
12-Jan-1978,0,2.48,2.45,2.45,98400,1.05
13-Jan-1978,0,2.45,2.45,2.45,36000,1.05
16-Jan-1978,0,2.45,2.43,2.45,242202,1.05
17-Jan-1978,0,2.48,2.46,2.47,566202,1.06
18-Jan-1978,0,2.46,2.44,2.44,355002,1.05
19-Jan-1978,0,2.44,2.42,2.44,451002,1.05
20-Jan-1978,0,2.44,2.42,2.42,81600,1.04
23-Jan-1978,0,2.42,2.38,2.39,518202,1.03
24-Jan-1978,0,2.39,2.36,2.36,215802,1.01
25-Jan-1978,0,2.39,2.37,2.39,105600,1.03
26-Jan-1978,0,2.4,2.37,2.37,199200,1.02
27-Jan-1978,0,2.39,2.37,2.38,206202,1.02
30-Jan-1978,0,2.39,2.37,2.37,237402,1.02
31-Jan-1978,0,2.38,2.36,2.36,105600,1.01
01-Feb-1978,0,2.37,2.34,2.37,129600,1.02
02-Feb-1978,0,2.38,2.37,2.38,57600,1.02
03-Feb-1978,0,2.39,2.37,2.37,160800,1.02
06-Feb-1978,0,2.37,2.34,2.34,52800,1
07-Feb-1978,0,2.35,2.33,2.34,405402,1
08-Feb-1978,0,2.35,2.33,2.34,28800,1
09-Feb-1978,0,2.36,2.31,2.31,254202,0.99
10-Feb-1978,0,2.36,2.31,2.36,251802,1.01
13-Feb-1978,0,2.36,2.33,2.35,81600,1.01
14-Feb-1978,0,2.34,2.29,2.31,292602,0.99
15-Feb-1978,0,2.31,2.28,2.29,235002,0.98
16-Feb-1978,0,2.28,2.26,2.27,259002,0.97
17-Feb-1978,0,2.28,2.23,2.23,1434402,0.96
21-Feb-1978,0,2.23,2.2,2.23,163200,0.96
22-Feb-1978,0,2.27,2.22,2.26,170400,0.97
23-Feb-1978,0,2.28,2.25,2.28,64800,0.98
