Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.59,0.58,0.58,3879216,0.58
04-Jan-1978,0,0.59,0.57,0.58,13332816,0.58
05-Jan-1978,0,0.58,0.57,0.58,6333792,0.58
06-Jan-1978,0,0.58,0.56,0.56,11710416,0.56
09-Jan-1978,0,0.56,0.56,0.56,10368816,0.56
10-Jan-1978,0,0.56,0.55,0.55,6635088,0.55
11-Jan-1978,0,0.55,0.54,0.55,5928192,0.55
12-Jan-1978,0,0.55,0.54,0.54,9702912,0.54
13-Jan-1978,0,0.55,0.54,0.54,6385680,0.54
16-Jan-1978,0,0.54,0.54,0.54,3338592,0.54
17-Jan-1978,0,0.55,0.54,0.55,2610384,0.55
18-Jan-1978,0,0.56,0.55,0.56,5938608,0.56
19-Jan-1978,0,0.56,0.56,0.56,4118496,0.56
20-Jan-1978,0,0.56,0.55,0.55,2413008,0.55
23-Jan-1978,0,0.56,0.54,0.54,5980224,0.54
24-Jan-1978,0,0.55,0.55,0.55,7654512,0.55
25-Jan-1978,0,0.56,0.55,0.55,9765888,0.55
26-Jan-1978,0,0.56,0.55,0.55,6302592,0.55
27-Jan-1978,0,0.55,0.55,0.55,2735088,0.55
30-Jan-1978,0,0.56,0.55,0.55,1882080,0.55
31-Jan-1978,0,0.56,0.56,0.56,4274400,0.56
01-Feb-1978,0,0.57,0.56,0.57,5044224,0.57
02-Feb-1978,0,0.57,0.57,0.57,4284720,0.57
03-Feb-1978,0,0.57,0.56,0.56,3182112,0.56
06-Feb-1978,0,0.57,0.57,0.57,3983088,0.57
07-Feb-1978,0,0.57,0.56,0.57,3920784,0.57
08-Feb-1978,0,0.57,0.57,0.57,5283120,0.57
09-Feb-1978,0,0.57,0.56,0.56,6094512,0.56
10-Feb-1978,0,0.56,0.56,0.56,3608784,0.56
13-Feb-1978,0,0.56,0.55,0.55,4887984,0.55
14-Feb-1978,0,0.55,0.55,0.55,3796080,0.55
15-Feb-1978,0,0.55,0.54,0.54,11013312,0.54
16-Feb-1978,0,0.55,0.54,0.55,5199984,0.55
