Date,Open,High,Low,Close,Volume,AdjClose
12-Apr-1991,0,14.88,14.38,14.69,1484400,6.75
15-Apr-1991,0,14.81,14.62,14.75,1831600,6.78
16-Apr-1991,0,14.75,14.25,14.5,1147000,6.66
17-Apr-1991,0,14.44,14.19,14.25,536600,6.55
18-Apr-1991,0,14.19,14,14.06,501200,6.46
19-Apr-1991,0,14,13.88,13.94,412600,6.4
22-Apr-1991,0,13.88,13.5,13.56,304000,6.23
23-Apr-1991,0,13.81,13.5,13.62,732800,6.26
24-Apr-1991,0,13.69,13.62,13.62,137000,6.26
25-Apr-1991,0,13.88,13.62,13.81,407800,6.34
26-Apr-1991,0,13.81,13.69,13.69,513200,6.29
29-Apr-1991,0,13.75,13.56,13.56,519400,6.23
30-Apr-1991,0,13.69,13.5,13.5,689400,6.2
01-May-1991,0,13.5,13.25,13.5,298000,6.2
02-May-1991,0,13.81,13.44,13.75,573400,6.32
03-May-1991,0,14,13.62,14,621400,6.43
06-May-1991,0,14.06,13.88,14.06,236400,6.46
07-May-1991,0,14.12,13.62,13.62,1505800,6.26
08-May-1991,0,13.69,13.44,13.62,1653200,6.26
09-May-1991,0,13.81,13.69,13.75,943400,6.32
10-May-1991,0,13.81,13.38,13.44,872000,6.17
13-May-1991,0,13.44,13.06,13.12,588200,6.03
14-May-1991,0,14.06,12.5,12.56,71091600,5.77
15-May-1991,0,12.62,12.5,12.56,13585600,5.77
16-May-1991,0,12.69,12.12,12.69,1829200,5.83
17-May-1991,0,12.62,12.56,12.56,1316400,5.77
20-May-1991,0,12.62,12.56,12.62,701600,5.8
21-May-1991,0,12.62,12.5,12.56,24517200,5.77
22-May-1991,0,12.88,12.56,12.81,4202800,5.88
23-May-1991,0,12.81,12.56,12.56,2459800,5.77
24-May-1991,0,12.81,12.62,12.75,1240200,5.86
28-May-1991,0,12.75,12.62,12.62,874000,5.8
29-May-1991,0,12.75,12.62,12.69,2437800,5.83
30-May-1991,0,12.88,12.69,12.75,1569400,5.86
31-May-1991,0,12.88,12.75,12.81,1073200,5.88
03-Jun-1991,0,13.06,12.81,13.06,1753400,6
04-Jun-1991,0,13.06,12.88,12.94,735200,5.94
05-Jun-1991,0,13,12.75,12.75,1251000,5.86
06-Jun-1991,0,12.94,12.69,12.75,1724600,5.86
07-Jun-1991,0,12.75,12.62,12.69,991800,5.83
10-Jun-1991,0,12.81,12.56,12.56,965400,5.77
11-Jun-1991,0,12.69,12.56,12.62,686600,5.8
12-Jun-1991,0,12.62,12.19,12.19,1518000,5.6
13-Jun-1991,0,12.25,12,12.06,1295800,5.54
14-Jun-1991,0,12.12,11.88,11.94,1663400,5.49
17-Jun-1991,0,12.06,11.88,12,2593400,5.51
18-Jun-1991,0,12.19,11.94,11.94,1467800,5.49
19-Jun-1991,0,12,11.75,11.75,1507000,5.4
20-Jun-1991,0,11.81,11.62,11.62,1211400,5.34
21-Jun-1991,0,11.88,11.69,11.69,1555000,5.37
24-Jun-1991,0,11.69,11.38,11.44,2184200,5.26
25-Jun-1991,0,11.62,11.44,11.56,1250200,5.31
26-Jun-1991,0,11.69,11.44,11.44,1259200,5.26
27-Jun-1991,0,11.56,11.38,11.38,1264000,5.23
28-Jun-1991,0,11.38,11.12,11.25,1468400,5.17
01-Jul-1991,0,11.62,11.31,11.62,1183600,5.34
02-Jul-1991,0,11.62,11.5,11.56,893800,5.31
03-Jul-1991,0,11.56,11.31,11.44,801400,5.26
05-Jul-1991,0,11.5,11.31,11.38,305600,5.23
08-Jul-1991,0,11.81,11.31,11.81,1004600,5.43
09-Jul-1991,0,12.06,11.88,12,2735600,5.51
10-Jul-1991,0,12.25,12.06,12.12,1974400,5.57
11-Jul-1991,0,12.44,12.12,12.38,1804600,5.69
12-Jul-1991,0,12.38,12.19,12.38,560600,5.69
