Date,Open,High,Low,Close,Volume,AdjClose
23-Feb-1993,0,6.72,6.33,6.41,49086800,3.97
24-Feb-1993,0,6.67,6.44,6.59,11398300,4.08
25-Feb-1993,0,6.75,6.59,6.75,6323100,4.18
26-Feb-1993,0,6.85,6.64,6.85,3338800,4.24
01-Mar-1993,0,6.8,6.62,6.62,3645000,4.14
02-Mar-1993,0,6.82,6.64,6.8,3655100,4.26
03-Mar-1993,0,6.87,6.72,6.77,3396400,4.24
04-Mar-1993,0,6.82,6.75,6.75,2156700,4.22
05-Mar-1993,0,6.9,6.62,6.87,4678100,4.3
08-Mar-1993,0,6.87,6.77,6.85,3042300,4.29
09-Mar-1993,0,7.13,6.82,7.06,2961500,4.42
10-Mar-1993,0,7.37,6.98,7.34,3860700,4.59
11-Mar-1993,0,7.42,7.26,7.34,1543400,4.59
12-Mar-1993,0,7.49,7.03,7.47,3577800,4.67
15-Mar-1993,0,7.44,7.29,7.34,2247200,4.59
16-Mar-1993,0,7.37,7.16,7.18,2638500,4.49
17-Mar-1993,0,7.26,7.11,7.26,2918500,4.54
18-Mar-1993,0,7.47,7.24,7.44,2134500,4.66
19-Mar-1993,0,7.49,7.37,7.37,2899200,4.61
22-Mar-1993,0,7.39,7.26,7.34,881700,4.59
23-Mar-1993,0,7.34,7.18,7.18,1117300,4.49
24-Mar-1993,0,7.18,6.9,7.11,2161500,4.45
25-Mar-1993,0,7.11,6.95,7.11,1306400,4.45
26-Mar-1993,0,7.57,7.31,7.57,2874000,4.74
29-Mar-1993,0,7.65,7.39,7.65,1540000,4.79
30-Mar-1993,0,7.93,7.68,7.93,1769800,4.96
31-Mar-1993,0,8.11,7.91,7.93,2244300,4.96
01-Apr-1993,0,7.86,7.6,7.65,1705000,4.79
02-Apr-1993,0,7.68,7.37,7.37,1618900,4.61
05-Apr-1993,0,7.52,7.34,7.49,1055900,4.69
06-Apr-1993,0,7.55,7.39,7.39,922900,4.62
07-Apr-1993,0,7.52,7.37,7.49,290700,4.69
08-Apr-1993,0,7.49,7.44,7.47,367600,4.67
12-Apr-1993,0,7.65,7.47,7.65,263100,4.79
13-Apr-1993,0,7.93,7.75,7.88,1133700,4.93
14-Apr-1993,0,8.11,7.88,8.09,833900,5.06
15-Apr-1993,0,7.99,7.65,7.75,1595600,4.85
16-Apr-1993,0,7.86,7.7,7.73,1756200,4.84
19-Apr-1993,0,7.73,7.52,7.55,1041800,4.72
20-Apr-1993,0,7.68,7.16,7.31,3342200,4.57
21-Apr-1993,0,7.42,7.21,7.21,1660000,4.51
