Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,4.13,4.08,4.09,70394,1.14
04-Jan-1978,0,4.11,3.98,4.11,230814,1.14
05-Jan-1978,0,4.24,4.11,4.11,1203101,1.14
06-Jan-1978,0,4.12,4.05,4.08,89757,1.13
09-Jan-1978,0,4.09,4.04,4.05,351361,1.12
10-Jan-1978,0,4.09,4.04,4.05,251935,1.12
11-Jan-1978,0,4.08,4.04,4.04,831498,1.12
12-Jan-1978,0,4.08,3.98,3.98,80064,1.1
13-Jan-1978,0,4.08,4,4.01,391845,1.11
16-Jan-1978,0,4.03,4,4,115273,1.11
17-Jan-1978,0,4.03,4,4,514443,1.11
18-Jan-1978,0,4.11,4.04,4.11,271298,1.14
19-Jan-1978,0,4.16,4.08,4.08,288024,1.13
20-Jan-1978,0,4.07,4.01,4.01,80943,1.11
23-Jan-1978,0,4.05,4,4.01,191234,1.11
24-Jan-1978,0,4.11,4,4.09,426151,1.14
25-Jan-1978,0,4.16,4.04,4.11,708021,1.14
26-Jan-1978,0,4.17,4.07,4.08,225540,1.13
27-Jan-1978,0,4.11,4.05,4.05,214113,1.12
30-Jan-1978,0,4.12,4.04,4.12,231693,1.14
31-Jan-1978,0,4.12,4.08,4.09,207057,1.14
01-Feb-1978,0,4.16,4.08,4.16,59822,1.15
02-Feb-1978,0,4.18,4.12,4.16,251056,1.15
03-Feb-1978,0,4.11,4.05,4.05,336418,1.12
06-Feb-1978,0,4.08,4.05,4.08,32548,1.13
07-Feb-1978,0,4.08,4.04,4.07,124063,1.13
08-Feb-1978,0,4.09,4.05,4.07,109999,1.13
09-Feb-1978,0,4.11,4.07,4.07,196508,1.13
10-Feb-1978,0,4.13,4.08,4.11,284507,1.14
13-Feb-1978,0,4.16,4.11,4.12,102942,1.14
14-Feb-1978,0,4.11,4.08,4.11,159565,1.14
15-Feb-1978,0,4.12,4.09,4.11,161323,1.14
16-Feb-1978,0,4.09,4.08,4.09,317934,1.14
17-Feb-1978,0,4.12,4.09,4.09,129337,1.14
21-Feb-1978,0,4.09,4.05,4.08,111757,1.13
22-Feb-1978,0,4.11,4.08,4.09,162202,1.14
23-Feb-1978,0,4.09,4.08,4.09,214113,1.14
24-Feb-1978,0,4.13,4.08,4.13,516201,1.15
27-Feb-1978,0,4.17,4.07,4.07,119668,1.13
28-Feb-1978,0,4.05,3.96,3.96,442290,1.1
01-Mar-1978,0,4.04,3.96,4.04,116152,1.12
02-Mar-1978,0,4.05,4.03,4.03,102942,1.12
03-Mar-1978,0,4.07,4,4,110878,1.11
06-Mar-1978,0,4.03,3.98,3.98,78305,1.1
07-Mar-1978,0,4.03,4,4.03,211476,1.12
08-Mar-1978,0,4.08,4.04,4.08,287145,1.13
09-Mar-1978,0,4.08,4.05,4.08,289782,1.13
10-Mar-1978,0,4.08,4.07,4.08,287145,1.13
13-Mar-1978,0,4.18,4.12,4.16,200024,1.15
14-Mar-1978,0,4.26,4.12,4.26,203541,1.18
15-Mar-1978,0,4.26,4.22,4.22,195629,1.17
16-Mar-1978,0,4.34,4.22,4.34,261629,1.2
17-Mar-1978,0,4.37,4.3,4.34,148114,1.2
20-Mar-1978,0,4.41,4.35,4.37,296814,1.21
21-Mar-1978,0,4.39,4.35,4.35,370724,1.21
22-Mar-1978,0,4.41,4.34,4.41,451081,1.22
23-Mar-1978,0,4.42,4.37,4.42,404175,1.23
27-Mar-1978,0,4.42,4.38,4.38,316176,1.22
28-Mar-1978,0,4.38,4.34,4.35,185081,1.21
29-Mar-1978,0,4.45,4.38,4.43,305628,1.23
30-Mar-1978,0,4.46,4.39,4.46,125821,1.24
31-Mar-1978,0,4.46,4.41,4.42,320571,1.23
03-Apr-1978,0,4.39,4.35,4.38,140789,1.22
04-Apr-1978,0,4.41,4.37,4.41,324088,1.22
05-Apr-1978,0,4.45,4.39,4.42,772555,1.23
06-Apr-1978,0,4.46,4.38,4.41,342571,1.22
07-Apr-1978,0,4.41,4.34,4.39,210597,1.22
10-Apr-1978,0,4.42,4.39,4.42,157783,1.23
11-Apr-1978,0,4.42,4.28,4.28,1043853,1.19
12-Apr-1978,0,4.35,4.33,4.34,67757,1.2
13-Apr-1978,0,4.35,4.3,4.34,492443,1.2
14-Apr-1978,0,4.45,4.34,4.37,2444049,1.21
17-Apr-1978,0,4.54,4.41,4.46,1796753,1.24
18-Apr-1978,0,4.65,4.5,4.58,929166,1.27
19-Apr-1978,0,4.76,4.6,4.73,1947504,1.31
20-Apr-1978,0,4.9,4.75,4.82,1426884,1.34
21-Apr-1978,0,4.85,4.75,4.82,611232,1.34
24-Apr-1978,0,4.97,4.8,4.94,1052643,1.37
25-Apr-1978,0,5.18,5.06,5.1,1195190,1.42
26-Apr-1978,0,5.11,5.05,5.05,594506,1.4
27-Apr-1978,0,5.03,4.97,4.97,1016286,1.38
28-Apr-1978,0,5.07,4.94,5.07,491564,1.41
01-May-1978,0,5.15,5.05,5.1,722110,1.42
02-May-1978,0,5.16,5.03,5.15,705384,1.43
03-May-1978,0,5.14,5.05,5.06,624442,1.4
04-May-1978,0,5.03,4.93,5.02,1036797,1.39
05-May-1978,0,5.15,4.97,5.14,585716,1.43
08-May-1978,0,5.18,5.05,5.05,251056,1.4
09-May-1978,0,5.06,4.99,5.01,197387,1.39
10-May-1978,0,5.09,4.99,5.06,200024,1.4
11-May-1978,0,5.07,5.02,5.07,412087,1.41
12-May-1978,0,5.36,5.16,5.36,1816091,1.49
15-May-1978,0,5.49,5.28,5.49,585716,1.52
16-May-1978,0,5.58,5.52,5.58,1016286,1.55
17-May-1978,0,5.69,5.49,5.61,495080,1.56
18-May-1978,0,5.56,5.36,5.36,583958,1.49
19-May-1978,0,5.4,5.31,5.31,478379,1.47
