Date,Open,High,Low,Close,Volume,AdjClose
02-Jul-2002,15.5,16.5,15,15.12,7000,13.65
03-Jul-2002,14,16,14,15,10200,13.55
05-Jul-2002,15,15,15,15,500,13.55
08-Jul-2002,14,14,14,14,300,12.64
09-Jul-2002,14,15.5,14,15.5,2300,14
10-Jul-2002,13.75,15.5,13.75,15.5,500,14
11-Jul-2002,NaN,NaN,NaN,15.5,0,14
12-Jul-2002,15,15,15,15,100,13.55
15-Jul-2002,14.75,14.75,12.5,12.75,42700,11.51
16-Jul-2002,12.75,12.75,12.5,12.5,5900,11.29
17-Jul-2002,12.5,12.5,12.25,12.5,2400,11.29
18-Jul-2002,12.3,12.3,11.75,11.75,1400,10.61
19-Jul-2002,11.6,11.6,10.05,10.5,10700,9.48
22-Jul-2002,10.5,10.5,10,10.2,4600,9.21
23-Jul-2002,10.2,10.2,10.2,10.2,100,9.21
24-Jul-2002,10.2,10.5,10.2,10.5,2200,9.48
25-Jul-2002,10.5,10.5,10.15,10.15,1300,9.17
26-Jul-2002,NaN,NaN,NaN,10.15,0,9.17
29-Jul-2002,10.5,11.1,10.45,11.1,4100,10.02
30-Jul-2002,11.25,11.85,11.25,11.5,8900,10.39
31-Jul-2002,11.9,12,11.75,12,5000,10.84
01-Aug-2002,11.8,11.9,11.8,11.8,4300,10.66
02-Aug-2002,NaN,NaN,NaN,11.8,0,10.66
05-Aug-2002,11.9,12,11.85,11.85,28600,10.7
06-Aug-2002,12,12,12,12,10000,10.84
07-Aug-2002,11.98,12.05,11.95,12.05,4400,10.88
08-Aug-2002,12.1,12.1,12.05,12.1,12300,10.93
09-Aug-2002,12.15,12.15,12.15,12.15,3400,10.97
12-Aug-2002,12.15,12.15,12.1,12.15,24400,10.97
13-Aug-2002,12.2,12.2,12.1,12.2,3900,11.02
14-Aug-2002,12.15,12.2,12.15,12.2,3700,11.02
15-Aug-2002,12.15,12.15,12.1,12.1,700,10.93
16-Aug-2002,12,12.15,12,12.15,8600,10.97
19-Aug-2002,12.15,12.15,11.65,11.65,8700,10.52
20-Aug-2002,11.6,11.6,11.6,11.6,100,10.48
21-Aug-2002,11.9,12,11.75,11.75,16400,10.61
22-Aug-2002,11.75,11.75,11,11,35500,9.93
23-Aug-2002,11,11.1,11,11.1,3700,10.02
26-Aug-2002,11,11,10.85,10.87,11900,9.82
27-Aug-2002,10.85,11,10.51,10.51,23900,9.49
28-Aug-2002,10.5,10.5,10,10.1,24700,9.12
29-Aug-2002,10.2,10.2,10.1,10.2,8500,9.21
30-Aug-2002,10.3,10.3,10,10,4200,9.03
03-Sep-2002,9.95,10,9.3,9.9,8000,8.94
04-Sep-2002,9.35,9.5,8.9,9.3,89100,8.4
05-Sep-2002,9.3,9.3,9.3,9.3,3100,8.4
06-Sep-2002,9.3,9.7,9.3,9.7,30400,8.76
09-Sep-2002,9.75,9.9,9.7,9.8,26000,8.85
10-Sep-2002,9.9,9.95,9.82,9.9,36200,8.94
11-Sep-2002,10,10.05,9.9,10.05,2400,9.08
12-Sep-2002,10.1,10.1,9.9,9.9,4000,8.94
13-Sep-2002,9.9,9.94,9.9,9.94,2800,8.98
16-Sep-2002,9.94,10,9.85,10,10300,9.03
17-Sep-2002,9.75,9.9,9.75,9.9,4800,8.94
18-Sep-2002,9.87,9.87,9.87,9.87,1500,8.91
19-Sep-2002,9.8,9.8,9.8,9.8,6200,8.85
20-Sep-2002,9.65,9.65,9.4,9.4,2700,8.49
23-Sep-2002,NaN,NaN,NaN,9.4,0,8.49
24-Sep-2002,9.4,9.4,9.4,9.4,2000,8.49
25-Sep-2002,9.6,9.7,9.5,9.6,7000,8.67
26-Sep-2002,9.7,9.7,9.7,9.7,1000,8.76
27-Sep-2002,9.6,9.6,9.3,9.49,6200,8.57
30-Sep-2002,9.3,9.35,9.3,9.35,3100,8.44
01-Oct-2002,9.5,9.5,9.5,9.5,2000,8.58
02-Oct-2002,9.5,9.5,9.3,9.47,8700,8.55
03-Oct-2002,9.55,9.55,9.55,9.55,100,8.62
04-Oct-2002,9.55,9.55,9.55,9.55,500,8.62
07-Oct-2002,9.4,9.5,9.4,9.5,1000,8.58
08-Oct-2002,9.3,9.3,9.25,9.25,3200,8.35
09-Oct-2002,9.25,9.3,9,9,19100,8.13
