Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,6.96,6.76,6.86,37200,3.17
04-Jan-1978,0,6.91,6.76,6.91,51701,3.19
05-Jan-1978,0,7.11,6.91,7.06,48202,3.26
06-Jan-1978,0,7.01,6.81,7.01,119400,3.24
09-Jan-1978,0,7.31,6.96,7.16,226001,3.31
10-Jan-1978,0,7.31,7.01,7.06,191999,3.26
11-Jan-1978,0,7.21,7.06,7.21,145301,3.33
12-Jan-1978,0,7.41,7.21,7.41,250699,3.42
13-Jan-1978,0,7.71,7.31,7.51,89099,3.47
16-Jan-1978,0,7.61,7.31,7.41,78399,3.42
17-Jan-1978,0,7.66,7.31,7.46,77200,3.45
18-Jan-1978,0,7.46,7.36,7.41,113101,3.42
19-Jan-1978,0,7.41,7.26,7.31,137301,3.38
20-Jan-1978,0,7.26,7.21,7.21,32502,3.33
23-Jan-1978,0,7.26,7.11,7.16,115901,3.31
24-Jan-1978,0,7.36,7.21,7.36,85398,3.4
25-Jan-1978,0,7.31,7.21,7.26,16500,3.36
26-Jan-1978,0,7.31,7.21,7.21,112401,3.33
27-Jan-1978,0,7.26,7.11,7.11,107598,3.29
30-Jan-1978,0,7.26,7.06,7.26,63902,3.36
31-Jan-1978,0,7.21,7.11,7.21,56701,3.33
01-Feb-1978,0,7.26,7.11,7.26,18001,3.36
02-Feb-1978,0,7.36,7.26,7.26,18001,3.36
03-Feb-1978,0,7.36,7.21,7.26,17699,3.36
06-Feb-1978,0,7.26,7.06,7.06,16001,3.26
07-Feb-1978,0,7.16,7.06,7.16,25700,3.31
08-Feb-1978,0,7.41,7.11,7.41,41701,3.42
09-Feb-1978,0,7.41,7.21,7.26,18500,3.36
10-Feb-1978,0,7.36,7.26,7.26,12699,3.36
13-Feb-1978,0,7.31,7.26,7.31,31001,3.38
14-Feb-1978,0,7.36,7.16,7.16,23500,3.31
15-Feb-1978,0,7.21,7.16,7.16,6999,3.31
16-Feb-1978,0,7.06,6.71,6.81,143101,3.15
17-Feb-1978,0,6.86,6.81,6.86,32502,3.17
21-Feb-1978,0,6.91,6.76,6.76,13500,3.12
22-Feb-1978,0,6.86,6.76,6.81,19200,3.15
23-Feb-1978,0,6.86,6.81,6.81,32200,3.15
24-Feb-1978,0,6.96,6.66,6.66,69698,3.08
27-Feb-1978,0,6.66,6.56,6.56,40398,3.03
28-Feb-1978,0,6.51,6.41,6.51,38701,3.01
