Date,Open,High,Low,Close,Volume,AdjClose
31-Aug-2015,45.01,45.58,44.65,45.23,1454633,42.67
01-Sep-2015,44.2,45.06,43.3,43.57,3529570,41.11
02-Sep-2015,44.33,45.38,44.2,45.37,3424660,42.81
03-Sep-2015,45.47,46.37,45.24,45.51,1953480,42.94
04-Sep-2015,44.61,45.43,44.5,44.96,1870902,42.42
08-Sep-2015,45.79,46.4,45.54,46.25,1694626,43.64
09-Sep-2015,46.91,46.94,46.15,46.23,1704908,43.62
10-Sep-2015,46.28,46.6,45.93,46.13,1423429,43.52
11-Sep-2015,45.97,46.06,45.38,45.88,1450176,43.29
14-Sep-2015,45.8,46.05,45.33,45.69,994367,43.11
15-Sep-2015,45.92,46.74,45.87,46.55,1058759,43.92
16-Sep-2015,46.77,47.41,46.71,47.24,1969336,44.57
17-Sep-2015,47.18,47.86,46.9,47.18,1495921,44.51
18-Sep-2015,46.65,47.61,46.45,46.74,3300644,44.1
21-Sep-2015,46.84,47.67,46.46,47.55,1635168,44.86
22-Sep-2015,47,47.44,46.83,47.11,2038066,44.45
23-Sep-2015,47.08,47.41,46.92,47.25,1426482,44.58
24-Sep-2015,46.79,47.22,46.74,47.17,2654869,44.5
25-Sep-2015,47.37,47.46,46.3,46.75,3232360,44.11
28-Sep-2015,46.34,46.74,45.26,45.53,3000822,42.96
29-Sep-2015,45.46,45.72,44.72,45.24,2733939,42.68
30-Sep-2015,44.17,45.58,43.84,44.47,6010960,41.96
01-Oct-2015,44.41,45.39,44.27,44.9,3905013,42.36
02-Oct-2015,44.21,45.77,44.13,45.74,3253813,43.15
05-Oct-2015,45.98,46.48,45.93,46.33,2199018,43.71
06-Oct-2015,46.19,46.54,46.15,46.3,1487479,43.68
07-Oct-2015,46.82,47.21,46.43,46.67,2588297,44.03
08-Oct-2015,46.56,46.81,46.27,46.62,2870975,43.98
09-Oct-2015,46.6,46.8,46.42,46.5,2392845,43.87
12-Oct-2015,46.45,47.14,46.43,46.99,1228203,44.33
13-Oct-2015,46.69,47.14,46.53,46.94,1249057,44.29
14-Oct-2015,46.99,47.51,46.74,46.82,1670451,44.17
15-Oct-2015,46.93,47.77,46.92,47.72,1778762,45.02
16-Oct-2015,47.81,48.09,47.61,47.74,1679541,45.04
19-Oct-2015,47.72,48.18,47.68,48.18,2021401,45.46
20-Oct-2015,48.11,48.78,48.11,48.53,3751648,45.79
21-Oct-2015,47.38,47.38,44.97,45.85,4080304,43.26
22-Oct-2015,46.24,47.94,46.21,47.42,3523493,44.74
23-Oct-2015,47.75,48.45,47.53,48.27,1679275,45.54
26-Oct-2015,48.16,48.61,47.86,48.38,1665205,45.64
27-Oct-2015,48.01,48.11,47.41,47.77,969772,45.07
28-Oct-2015,47.95,48.6,47.65,48.35,1529822,45.62
29-Oct-2015,48.03,48.45,47.72,47.95,1519972,45.24
30-Oct-2015,47.78,48.23,47.31,47.51,2009608,44.82
02-Nov-2015,47.29,47.92,46.79,47.72,2535537,45.02
03-Nov-2015,47.67,47.85,47.41,47.8,1508642,45.1
04-Nov-2015,47.75,47.93,47.4,47.59,1571573,44.9
05-Nov-2015,47.49,47.85,47.11,47.84,1445826,45.14
06-Nov-2015,47.74,48.39,47.52,48.05,1860675,45.33
09-Nov-2015,47.73,48.05,47.64,47.87,1135608,45.16
