Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.91,0.89,0.89,57600,0.5
04-Jan-1978,0,0.91,0.89,0.89,14400,0.5
05-Jan-1978,0,0.91,0.89,0.89,28800,0.5
06-Jan-1978,0,0.9,0.88,0.88,97200,0.5
09-Jan-1978,0,0.9,0.88,0.88,151200,0.5
10-Jan-1978,0,0.9,0.88,0.88,75600,0.5
11-Jan-1978,0,0.9,0.88,0.88,39600,0.5
12-Jan-1978,0,0.9,0.88,0.88,75600,0.5
13-Jan-1978,0,0.9,0.88,0.88,126000,0.5
16-Jan-1978,0,0.91,0.89,0.89,25200,0.5
17-Jan-1978,0,0.91,0.89,0.89,25200,0.5
18-Jan-1978,0,0.91,0.89,0.89,21600,0.5
19-Jan-1978,0,0.91,0.89,0.89,241200,0.5
20-Jan-1978,0,0.91,0.89,0.89,39600,0.5
23-Jan-1978,0,0.91,0.89,0.89,21600,0.5
24-Jan-1978,0,0.91,0.89,0.89,122400,0.5
25-Jan-1978,0,0.91,0.89,0.89,165600,0.5
26-Jan-1978,0,0.91,0.89,0.89,14400,0.5
27-Jan-1978,0,0.91,0.89,0.89,10800,0.5
30-Jan-1978,0,0.91,0.89,0.89,50400,0.5
31-Jan-1978,0,0.91,0.89,0.89,446004,0.5
01-Feb-1978,0,0.9,0.88,0.88,140400,0.5
02-Feb-1978,0,0.9,0.88,0.88,64800,0.5
03-Feb-1978,0,0.9,0.88,0.88,118800,0.5
06-Feb-1978,0,0.9,0.88,0.88,151200,0.5
07-Feb-1978,0,0.89,0.87,0.87,420804,0.49
08-Feb-1978,0,0.9,0.88,0.88,86400,0.5
09-Feb-1978,0,0.9,0.88,0.88,82800,0.5
10-Feb-1978,0,0.9,0.88,0.88,61200,0.5
13-Feb-1978,0,0.9,0.88,0.88,108000,0.5
14-Feb-1978,0,0.9,0.88,0.88,230400,0.5
15-Feb-1978,0,0.9,0.88,0.88,198000,0.5
16-Feb-1978,0,0.9,0.88,0.88,57600,0.5
17-Feb-1978,0,0.9,0.88,0.88,158400,0.5
21-Feb-1978,0,0.92,0.9,0.9,288000,0.51
22-Feb-1978,0,0.92,0.9,0.9,97200,0.51
23-Feb-1978,0,0.92,0.9,0.9,32400,0.51
24-Feb-1978,0,0.93,0.91,0.91,54000,0.51
27-Feb-1978,0,0.92,0.9,0.9,118800,0.51
28-Feb-1978,0,0.93,0.91,0.91,43200,0.51
01-Mar-1978,0,0.94,0.92,0.92,39600,0.52
02-Mar-1978,0,0.94,0.92,0.92,50400,0.52
03-Mar-1978,0,0.96,0.94,0.94,28800,0.53
06-Mar-1978,0,0.95,0.93,0.93,1213596,0.52
07-Mar-1978,0,0.95,0.93,0.93,32400,0.52
08-Mar-1978,0,0.95,0.93,0.93,14400,0.52
09-Mar-1978,0,0.96,0.94,0.94,36000,0.53
10-Mar-1978,0,0.96,0.94,0.94,50400,0.53
13-Mar-1978,0,0.96,0.94,0.94,25200,0.53
14-Mar-1978,0,0.96,0.94,0.94,3600,0.53
15-Mar-1978,0,0.96,0.94,0.94,18000,0.53
16-Mar-1978,0,0.96,0.94,0.94,28800,0.53
17-Mar-1978,NaN,NaN,NaN,0.94,0,0.53
20-Mar-1978,0,0.96,0.94,0.94,147600,0.53
21-Mar-1978,0,0.97,0.95,0.95,108000,0.54
22-Mar-1978,NaN,NaN,NaN,0.95,0,0.54
23-Mar-1978,0,0.97,0.95,0.95,86400,0.54
27-Mar-1978,0,0.97,0.95,0.95,10800,0.54
28-Mar-1978,0,0.97,0.95,0.95,115200,0.54
29-Mar-1978,0,0.98,0.96,0.96,21600,0.54
30-Mar-1978,0,0.98,0.96,0.96,50400,0.54
31-Mar-1978,0,0.98,0.96,0.96,3600,0.54
03-Apr-1978,0,0.98,0.96,0.96,86400,0.54
04-Apr-1978,0,0.97,0.95,0.95,108000,0.54
05-Apr-1978,0,0.97,0.95,0.95,14400,0.54
06-Apr-1978,0,0.98,0.96,0.96,713604,0.54
07-Apr-1978,0,1,0.97,0.97,75600,0.55
10-Apr-1978,0,1,0.97,0.97,64800,0.55
11-Apr-1978,0,1,0.97,0.97,154800,0.55
12-Apr-1978,0,1,0.97,0.97,64800,0.55
13-Apr-1978,0,1,0.97,0.97,3600,0.55
14-Apr-1978,0,1,0.97,0.97,54000,0.55
17-Apr-1978,0,1.01,0.98,0.98,118800,0.55
