Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.84,0.82,0.82,20800,0.47
04-Jan-1978,0,0.84,0.82,0.82,52800,0.47
05-Jan-1978,0,0.84,0.82,0.82,465600,0.47
06-Jan-1978,NaN,NaN,NaN,0.82,0,0.47
09-Jan-1978,0,0.84,0.82,0.82,33600,0.47
10-Jan-1978,0,0.83,0.81,0.81,246400,0.47
11-Jan-1978,0,0.82,0.8,0.8,107200,0.46
12-Jan-1978,0,0.82,0.8,0.8,16000,0.46
13-Jan-1978,0,0.82,0.8,0.8,33600,0.46
16-Jan-1978,0,0.82,0.8,0.8,59200,0.46
17-Jan-1978,0,0.82,0.8,0.8,64000,0.46
18-Jan-1978,0,0.82,0.8,0.8,40000,0.46
19-Jan-1978,0,0.81,0.79,0.79,43200,0.46
20-Jan-1978,0,0.81,0.79,0.79,14400,0.46
23-Jan-1978,0,0.81,0.79,0.79,9600,0.46
24-Jan-1978,0,0.81,0.79,0.79,49600,0.46
25-Jan-1978,0,0.81,0.79,0.79,4800,0.46
26-Jan-1978,0,0.81,0.79,0.79,19200,0.46
27-Jan-1978,0,0.8,0.78,0.78,54400,0.45
30-Jan-1978,0,0.79,0.77,0.77,52800,0.44
31-Jan-1978,0,0.77,0.75,0.75,52800,0.43
01-Feb-1978,0,0.77,0.75,0.75,43200,0.43
02-Feb-1978,0,0.77,0.75,0.75,43200,0.43
03-Feb-1978,0,0.77,0.75,0.75,33600,0.43
06-Feb-1978,0,0.76,0.74,0.74,49600,0.43
07-Feb-1978,0,0.76,0.74,0.74,40000,0.43
08-Feb-1978,0,0.76,0.74,0.74,14400,0.43
09-Feb-1978,0,0.76,0.74,0.74,11200,0.43
10-Feb-1978,0,0.79,0.77,0.77,96000,0.44
13-Feb-1978,0,0.79,0.77,0.77,11200,0.44
14-Feb-1978,0,0.77,0.75,0.75,129600,0.43
15-Feb-1978,0,0.77,0.75,0.75,11200,0.43
16-Feb-1978,0,0.77,0.74,0.74,1600,0.43
17-Feb-1978,0,0.77,0.74,0.74,24000,0.43
21-Feb-1978,0,0.76,0.74,0.74,52800,0.43
22-Feb-1978,0,0.76,0.74,0.74,52800,0.43
23-Feb-1978,0,0.76,0.74,0.74,11200,0.43
24-Feb-1978,0,0.76,0.74,0.74,35200,0.43
27-Feb-1978,0,0.76,0.74,0.74,38400,0.43
28-Feb-1978,0,0.76,0.74,0.74,30400,0.43
01-Mar-1978,0,0.77,0.75,0.75,30400,0.43
02-Mar-1978,0,0.8,0.77,0.77,148800,0.44
03-Mar-1978,0,0.8,0.79,0.79,96000,0.46
06-Mar-1978,0,0.8,0.79,0.79,33600,0.46
07-Mar-1978,0,0.8,0.79,0.79,96000,0.46
