Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,12.06,11.94,12,87600,3.09
04-Jan-1978,0,12.06,11.94,11.94,136800,3.08
05-Jan-1978,0,12,11.94,12,96000,3.09
06-Jan-1978,0,12.06,11.94,11.94,83600,3.08
09-Jan-1978,0,11.94,11.81,11.81,114800,3.04
10-Jan-1978,0,11.94,11.81,11.94,82000,3.08
11-Jan-1978,0,11.94,11.69,11.75,767800,3.03
12-Jan-1978,0,11.81,11.69,11.75,100200,3.03
13-Jan-1978,0,11.81,11.69,11.75,123800,3.03
16-Jan-1978,0,11.88,11.5,11.75,205000,3.03
17-Jan-1978,0,11.88,11.75,11.88,126400,3.06
18-Jan-1978,0,12,11.81,12,226400,3.09
19-Jan-1978,0,12.06,11.88,11.94,172800,3.08
20-Jan-1978,0,12,11.88,12,42600,3.09
23-Jan-1978,0,12,11.94,12,108800,3.09
24-Jan-1978,0,12,11.81,11.81,205400,3.04
25-Jan-1978,0,11.88,11.75,11.81,48800,3.04
26-Jan-1978,0,11.88,11.75,11.81,101200,3.04
27-Jan-1978,0,11.81,11.69,11.75,129800,3.03
30-Jan-1978,0,11.75,11.69,11.69,83000,3.01
31-Jan-1978,0,11.81,11.69,11.75,196400,3.03
01-Feb-1978,0,11.81,11.69,11.69,89400,3.01
02-Feb-1978,0,11.88,11.69,11.81,88200,3.04
03-Feb-1978,0,11.81,11.75,11.81,58800,3.04
06-Feb-1978,0,11.88,11.81,11.81,30000,3.04
07-Feb-1978,0,11.88,11.75,11.88,290600,3.06
08-Feb-1978,0,11.88,11.75,11.88,66200,3.06
09-Feb-1978,0,11.94,11.81,11.94,207000,3.08
10-Feb-1978,0,11.94,11.75,11.88,172800,3.06
13-Feb-1978,0,11.94,11.81,11.88,157800,3.06
14-Feb-1978,0,11.88,11.75,11.81,131000,3.04
15-Feb-1978,0,11.88,11.75,11.88,45800,3.06
16-Feb-1978,0,12,11.81,12,273600,3.09
17-Feb-1978,0,12,11.88,12,122200,3.09
21-Feb-1978,0,12.12,11.94,12.06,163200,3.11
22-Feb-1978,0,12.12,12,12.06,71400,3.11
23-Feb-1978,0,12.12,11.62,12.06,58800,3.11
24-Feb-1978,0,12.12,12.06,12.12,105000,3.12
27-Feb-1978,0,12.12,12,12.06,107600,3.11
28-Feb-1978,0,12.12,12,12,58200,3.09
01-Mar-1978,0,12.12,12,12.12,80000,3.12
02-Mar-1978,0,12.12,12,12,100000,3.09
03-Mar-1978,0,12.12,12,12.06,81400,3.11
06-Mar-1978,0,12.19,12.06,12.19,125000,3.14
07-Mar-1978,0,12.25,12.12,12.19,53000,3.14
08-Mar-1978,0,12.25,12.12,12.19,92200,3.14
09-Mar-1978,0,12.19,12.12,12.19,148800,3.14
10-Mar-1978,0,12.25,12,12.25,162600,3.16
13-Mar-1978,0,12.06,11.94,12,141200,3.09
14-Mar-1978,0,12.06,11.94,12,126800,3.09
15-Mar-1978,0,12.06,12,12.06,59200,3.11
16-Mar-1978,0,12.12,12,12.06,55800,3.11
17-Mar-1978,0,12.12,12,12,77200,3.09
20-Mar-1978,0,12.12,12.06,12.12,62400,3.12
21-Mar-1978,0,12.12,12,12.12,91000,3.12
22-Mar-1978,0,12.12,12.06,12.12,41000,3.12
23-Mar-1978,0,12.12,12,12.12,65600,3.12
27-Mar-1978,0,12.19,12,12.12,50400,3.12
28-Mar-1978,0,12.12,12,12,49400,3.09
29-Mar-1978,0,12.12,12,12,83600,3.09
30-Mar-1978,0,12.12,11.94,12.06,70400,3.11
31-Mar-1978,0,12.12,12,12.12,67200,3.12
03-Apr-1978,0,12.12,12,12.06,52200,3.11
04-Apr-1978,0,12.06,12,12,85600,3.09
05-Apr-1978,0,12.12,12,12,71200,3.09
06-Apr-1978,0,12.06,12,12.06,108200,3.11
07-Apr-1978,0,12.06,12,12.06,51000,3.11
10-Apr-1978,0,12.12,12,12.06,155200,3.11
11-Apr-1978,0,12.06,11.94,12.06,91800,3.11
12-Apr-1978,0,12.06,11.94,12.06,230600,3.11
13-Apr-1978,0,12.12,12,12.06,71600,3.11
14-Apr-1978,0,12.12,12,12,76600,3.09
17-Apr-1978,0,12.25,12,12.06,101800,3.11
18-Apr-1978,0,12.12,12,12.06,89200,3.11
19-Apr-1978,0,12.12,12,12,84000,3.09
20-Apr-1978,0,12.06,11.88,11.94,245200,3.08
21-Apr-1978,0,12,11.88,12,102800,3.09
24-Apr-1978,0,12.06,11.88,12,108400,3.09
25-Apr-1978,0,12.06,11.94,12.06,173000,3.11
26-Apr-1978,0,12,11.88,11.88,160200,3.06
27-Apr-1978,0,11.94,11.81,11.88,363000,3.06
28-Apr-1978,0,11.94,11.81,11.94,85400,3.08
01-May-1978,0,12,11.88,11.94,78200,3.08
02-May-1978,0,11.94,11.75,11.81,80600,3.04
03-May-1978,0,11.88,11.81,11.88,82600,3.06
04-May-1978,0,11.88,11.75,11.88,164400,3.06
05-May-1978,0,11.88,11.75,11.81,266400,3.04
08-May-1978,0,11.81,11.69,11.81,61600,3.04
09-May-1978,0,11.81,11.69,11.75,105400,3.03
10-May-1978,0,11.81,11.69,11.75,51200,3.03
11-May-1978,0,11.75,11.69,11.75,76400,3.03
12-May-1978,0,11.75,11.69,11.69,133400,3.01
15-May-1978,0,11.69,11.56,11.69,117000,3.01
16-May-1978,0,11.69,11.56,11.62,94800,2.99
17-May-1978,0,11.69,11.56,11.62,74000,2.99
18-May-1978,0,11.69,11.56,11.56,65600,2.98
19-May-1978,0,11.69,11.56,11.62,77600,2.99
22-May-1978,0,11.75,11.62,11.75,115400,3.03
23-May-1978,0,11.81,11.62,11.69,167400,3.01
24-May-1978,0,11.88,11.62,11.75,135800,3.03
25-May-1978,0,12.12,11.69,11.81,68200,3.04
26-May-1978,0,11.94,11.81,11.94,221200,3.08
30-May-1978,0,12.06,11.94,12,52600,3.09
31-May-1978,0,12.12,12,12.12,97400,3.12
01-Jun-1978,0,12.19,12.06,12.12,84000,3.12
02-Jun-1978,0,12.25,12.19,12.19,198800,3.14
05-Jun-1978,0,12.38,12.25,12.31,61400,3.17
06-Jun-1978,0,12.38,12.25,12.38,172000,3.19
07-Jun-1978,0,12.38,12.25,12.31,72400,3.17
08-Jun-1978,0,12.38,12.25,12.31,48400,3.17
09-Jun-1978,0,12.38,12.19,12.31,60800,3.17
12-Jun-1978,0,12.12,12,12.06,181400,3.11
13-Jun-1978,0,12.12,12.06,12.06,72800,3.11
14-Jun-1978,0,12.12,12,12.12,375200,3.12
15-Jun-1978,0,12.12,11.94,11.94,45000,3.08
16-Jun-1978,0,12,11.88,11.94,96600,3.08
19-Jun-1978,0,12.06,12,12.06,59600,3.11
20-Jun-1978,0,12.06,11.88,11.94,132000,3.08
21-Jun-1978,0,11.94,11.81,11.94,68600,3.08
22-Jun-1978,0,11.94,11.81,11.81,31400,3.04
23-Jun-1978,0,11.88,11.81,11.81,50000,3.04
26-Jun-1978,0,11.94,11.81,11.88,42000,3.06
27-Jun-1978,0,12,11.88,11.88,49600,3.06
