Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,7.67,7.62,7.67,96600,1.39
04-Jan-1978,0,7.67,7.59,7.62,34800,1.38
05-Jan-1978,0,7.67,7.59,7.62,89001,1.38
06-Jan-1978,0,7.62,7.5,7.5,49200,1.36
09-Jan-1978,0,7.5,7.42,7.47,66000,1.35
10-Jan-1978,0,7.5,7.34,7.42,114600,1.34
11-Jan-1978,0,7.47,7.34,7.34,54000,1.33
12-Jan-1978,0,7.5,7.3,7.34,134001,1.33
13-Jan-1978,0,7.47,7.38,7.42,40401,1.34
16-Jan-1978,0,7.55,7.34,7.55,33600,1.37
17-Jan-1978,0,7.55,7.47,7.47,31200,1.35
18-Jan-1978,0,7.55,7.38,7.47,44601,1.35
19-Jan-1978,0,7.5,7.47,7.5,46200,1.36
20-Jan-1978,0,7.5,7.47,7.5,12801,1.36
23-Jan-1978,0,7.5,7.47,7.5,36801,1.36
24-Jan-1978,0,7.5,7.47,7.47,45600,1.35
25-Jan-1978,0,7.5,7.42,7.47,50601,1.35
26-Jan-1978,0,7.5,7.42,7.47,24201,1.35
27-Jan-1978,0,7.47,7.38,7.42,32601,1.34
30-Jan-1978,0,7.5,7.42,7.47,27000,1.35
31-Jan-1978,0,7.5,7.42,7.47,33000,1.35
01-Feb-1978,0,7.5,7.42,7.5,86601,1.36
02-Feb-1978,0,7.59,7.5,7.59,43401,1.37
03-Feb-1978,0,7.67,7.55,7.62,25200,1.38
06-Feb-1978,0,7.62,7.55,7.59,23601,1.37
07-Feb-1978,0,7.59,7.55,7.59,13800,1.37
08-Feb-1978,0,7.67,7.59,7.62,24600,1.38
09-Feb-1978,0,7.62,7.55,7.59,165000,1.37
10-Feb-1978,0,7.67,7.55,7.59,25401,1.37
13-Feb-1978,0,7.62,7.59,7.59,56601,1.37
14-Feb-1978,0,7.59,7.47,7.5,105801,1.36
15-Feb-1978,0,7.5,7.42,7.5,24201,1.36
16-Feb-1978,0,7.59,7.42,7.55,69801,1.37
17-Feb-1978,0,7.55,7.47,7.55,77001,1.37
21-Feb-1978,0,7.5,7.38,7.38,265599,1.34
22-Feb-1978,0,7.47,7.38,7.42,96600,1.34
23-Feb-1978,0,7.47,7.38,7.42,40401,1.34
24-Feb-1978,0,7.59,7.42,7.55,35400,1.37
27-Feb-1978,0,7.47,7.3,7.34,44601,1.33
28-Feb-1978,0,7.34,7.22,7.22,159801,1.31
01-Mar-1978,0,7.25,7.17,7.22,61200,1.31
02-Mar-1978,0,7.34,7.25,7.3,49200,1.32
03-Mar-1978,0,7.3,7.22,7.25,34200,1.31
06-Mar-1978,0,7.34,7.22,7.25,36600,1.31
07-Mar-1978,0,7.25,7.17,7.25,45600,1.31
08-Mar-1978,0,7.3,7.22,7.3,33201,1.32
09-Mar-1978,0,7.38,7.17,7.38,195201,1.34
10-Mar-1978,0,7.38,7.34,7.34,86001,1.33
13-Mar-1978,0,7.47,7.34,7.47,347199,1.35
14-Mar-1978,0,7.5,7.42,7.47,113601,1.35
15-Mar-1978,0,7.5,7.42,7.47,72000,1.35
16-Mar-1978,0,7.55,7.47,7.5,27201,1.36
17-Mar-1978,0,7.59,7.5,7.59,36201,1.37
20-Mar-1978,0,7.67,7.55,7.59,74400,1.37
21-Mar-1978,0,7.62,7.55,7.59,102000,1.37
22-Mar-1978,0,7.59,7.55,7.55,47400,1.37
23-Mar-1978,0,7.62,7.55,7.55,23400,1.37
27-Mar-1978,0,7.59,7.55,7.59,92400,1.37
28-Mar-1978,0,7.59,7.55,7.59,20400,1.37
29-Mar-1978,0,7.59,7.55,7.55,32400,1.37
30-Mar-1978,0,7.59,7.5,7.55,27000,1.37
31-Mar-1978,0,7.59,7.5,7.5,97401,1.36
03-Apr-1978,0,7.5,7.38,7.38,77601,1.34
04-Apr-1978,0,7.42,7.38,7.38,38601,1.34
05-Apr-1978,0,7.47,7.38,7.42,20400,1.34
06-Apr-1978,0,7.47,7.42,7.42,30600,1.34
07-Apr-1978,0,7.47,7.38,7.47,35601,1.35
10-Apr-1978,0,7.5,7.42,7.5,43401,1.36
11-Apr-1978,0,7.55,7.47,7.47,44601,1.35
12-Apr-1978,0,7.55,7.47,7.47,48201,1.35
13-Apr-1978,0,7.55,7.47,7.55,42600,1.37
14-Apr-1978,0,7.59,7.47,7.55,75201,1.37
17-Apr-1978,0,7.62,7.5,7.55,65400,1.37
18-Apr-1978,0,7.67,7.42,7.67,233601,1.39
19-Apr-1978,0,7.88,7.67,7.75,163200,1.4
20-Apr-1978,0,7.88,7.8,7.84,61200,1.42
21-Apr-1978,0,7.88,7.72,7.88,81801,1.43
24-Apr-1978,0,8,7.84,7.97,86400,1.44
25-Apr-1978,0,8.05,7.88,7.92,351399,1.43
26-Apr-1978,0,7.92,7.8,7.8,372999,1.41
27-Apr-1978,0,7.84,7.72,7.72,101400,1.4
28-Apr-1978,0,7.8,7.62,7.8,179400,1.41
01-May-1978,0,7.84,7.72,7.8,53001,1.41
02-May-1978,0,7.8,7.67,7.8,195600,1.41
03-May-1978,0,7.8,7.67,7.8,260001,1.41
04-May-1978,0,7.8,7.72,7.8,59001,1.41
05-May-1978,0,7.75,7.72,7.72,55800,1.4
08-May-1978,0,7.8,7.67,7.72,93801,1.4
09-May-1978,0,7.72,7.59,7.62,52200,1.38
10-May-1978,0,7.72,7.59,7.67,63600,1.39
11-May-1978,0,7.72,7.59,7.67,27201,1.39
12-May-1978,0,7.72,7.62,7.62,45801,1.38
15-May-1978,0,7.75,7.62,7.67,65001,1.39
16-May-1978,0,7.72,7.62,7.67,84000,1.39
17-May-1978,0,7.75,7.67,7.67,30201,1.39
18-May-1978,0,7.75,7.59,7.62,250401,1.38
19-May-1978,0,7.62,7.59,7.59,40200,1.37
22-May-1978,0,7.72,7.59,7.72,80001,1.4
23-May-1978,0,7.59,7.42,7.55,52800,1.37
24-May-1978,0,7.59,7.38,7.42,45600,1.34
25-May-1978,0,7.47,7.34,7.34,70401,1.33
26-May-1978,0,7.42,7.34,7.42,49800,1.34
30-May-1978,0,7.47,7.38,7.47,32400,1.35
31-May-1978,0,7.55,7.38,7.47,24000,1.35
01-Jun-1978,0,7.55,7.42,7.47,32400,1.35
02-Jun-1978,0,7.62,7.47,7.59,152001,1.37
05-Jun-1978,0,7.62,7.55,7.59,37200,1.37
06-Jun-1978,0,7.62,7.5,7.55,44601,1.37
07-Jun-1978,0,7.59,7.5,7.59,114000,1.37
08-Jun-1978,0,7.59,7.55,7.59,41400,1.37
09-Jun-1978,0,7.62,7.55,7.55,86400,1.37
12-Jun-1978,0,7.59,7.42,7.42,48801,1.34
13-Jun-1978,0,7.5,7.42,7.47,35400,1.35
14-Jun-1978,0,7.5,7.42,7.5,37800,1.36
15-Jun-1978,0,7.5,7.38,7.38,260001,1.34
16-Jun-1978,0,7.42,7.38,7.38,123201,1.34
19-Jun-1978,0,7.47,7.38,7.47,53601,1.35
20-Jun-1978,0,7.5,7.47,7.5,35400,1.36
21-Jun-1978,0,7.55,7.47,7.55,364401,1.37
22-Jun-1978,0,7.55,7.47,7.55,194601,1.37
23-Jun-1978,0,7.55,7.5,7.55,147801,1.37
26-Jun-1978,0,7.5,7.34,7.42,175200,1.34
27-Jun-1978,0,7.5,7.38,7.38,212001,1.34
28-Jun-1978,0,7.5,7.42,7.42,177000,1.34
29-Jun-1978,0,7.47,7.42,7.47,111801,1.35
30-Jun-1978,0,7.5,7.42,7.47,75600,1.35
03-Jul-1978,0,7.5,7.42,7.5,63201,1.36
05-Jul-1978,0,7.55,7.47,7.5,131001,1.36
06-Jul-1978,0,7.55,7.47,7.5,74001,1.36
07-Jul-1978,0,7.55,7.42,7.5,154401,1.36
10-Jul-1978,0,7.5,7.47,7.47,67401,1.35
11-Jul-1978,0,7.55,7.47,7.47,63801,1.35
12-Jul-1978,0,7.59,7.47,7.59,80001,1.37
13-Jul-1978,0,7.97,7.55,7.62,71400,1.38
14-Jul-1978,0,7.62,7.59,7.59,33000,1.37
17-Jul-1978,0,7.62,7.55,7.55,57600,1.37
18-Jul-1978,0,7.62,7.59,7.59,61200,1.37
19-Jul-1978,0,7.67,7.59,7.62,40800,1.38
20-Jul-1978,0,7.62,7.55,7.59,70800,1.37
21-Jul-1978,0,7.62,7.55,7.59,36600,1.37
24-Jul-1978,0,7.62,7.55,7.62,43800,1.38
25-Jul-1978,0,7.67,7.59,7.62,71601,1.38
26-Jul-1978,0,7.72,7.62,7.72,76401,1.4
27-Jul-1978,0,7.75,7.62,7.72,126600,1.4
28-Jul-1978,0,7.75,7.62,7.62,146400,1.38
31-Jul-1978,0,7.8,7.62,7.75,101601,1.4
01-Aug-1978,0,7.84,7.67,7.8,165600,1.41
02-Aug-1978,0,7.92,7.72,7.92,174201,1.43
03-Aug-1978,0,8.09,7.88,8.09,481800,1.46
04-Aug-1978,0,8.22,8.05,8.17,100200,1.48
07-Aug-1978,0,8.22,8.05,8.05,171000,1.46
08-Aug-1978,0,8.12,8.05,8.05,33801,1.46
09-Aug-1978,0,8.12,8,8,139401,1.45
10-Aug-1978,0,8.05,7.92,7.97,180000,1.44
11-Aug-1978,0,8.05,7.8,7.84,374001,1.42
14-Aug-1978,0,7.92,7.8,7.92,159000,1.43
15-Aug-1978,0,7.88,7.8,7.88,127200,1.43
16-Aug-1978,0,7.92,7.84,7.84,27801,1.42
17-Aug-1978,0,7.88,7.8,7.84,161601,1.42
18-Aug-1978,0,7.88,7.8,7.88,111201,1.43
21-Aug-1978,0,7.88,7.8,7.8,63000,1.41
22-Aug-1978,0,7.88,7.8,7.84,154401,1.42
23-Aug-1978,0,7.97,7.8,7.97,194601,1.44
24-Aug-1978,0,8.09,7.97,8.09,103200,1.46
25-Aug-1978,0,7.92,7.75,7.8,41001,1.41
28-Aug-1978,0,7.88,7.75,7.84,45000,1.42
29-Aug-1978,0,7.88,7.84,7.88,109200,1.43
30-Aug-1978,0,7.84,7.8,7.8,27600,1.41
31-Aug-1978,0,7.84,7.75,7.8,143001,1.41
01-Sep-1978,0,7.8,7.72,7.8,62001,1.41
05-Sep-1978,0,7.8,7.75,7.8,265401,1.41
06-Sep-1978,0,7.84,7.75,7.75,58401,1.4
07-Sep-1978,0,7.8,7.72,7.75,49200,1.4
08-Sep-1978,0,7.8,7.72,7.8,40200,1.41
11-Sep-1978,0,7.92,7.72,7.92,85401,1.43
12-Sep-1978,0,7.92,7.8,7.88,45000,1.43
13-Sep-1978,0,7.92,7.8,7.8,111801,1.41
14-Sep-1978,0,7.84,7.75,7.75,43200,1.4
