Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.03,0.03,0.03,439596,0.02
04-Jan-1978,0,0.03,0.03,0.03,5222808,0.02
05-Jan-1978,0,0.03,0.03,0.03,779616,0.02
06-Jan-1978,NaN,NaN,NaN,0.03,0,0.02
09-Jan-1978,0,0.03,0.03,0.03,2957184,0.02
10-Jan-1978,0,0.03,0.03,0.03,1493208,0.02
11-Jan-1978,0,0.03,0.03,0.03,511596,0.02
12-Jan-1978,0,0.03,0.03,0.03,1323612,0.02
13-Jan-1978,0,0.03,0.03,0.03,324396,0.02
16-Jan-1978,0,0.03,0.03,0.03,2128392,0.02
17-Jan-1978,0,0.03,0.03,0.03,180000,0.02
18-Jan-1978,0,0.03,0.03,0.03,1421208,0.02
19-Jan-1978,NaN,NaN,NaN,0.03,0,0.02
20-Jan-1978,0,0.03,0.03,0.03,2755584,0.02
23-Jan-1978,0,0.03,0.03,0.03,1439208,0.02
24-Jan-1978,0,0.03,0.03,0.03,984816,0.02
25-Jan-1978,0,0.03,0.03,0.03,446796,0.02
26-Jan-1978,NaN,NaN,NaN,0.03,0,0.02
27-Jan-1978,0,0.03,0.03,0.03,122400,0.02
30-Jan-1978,0,0.03,0.03,0.03,486396,0.02
31-Jan-1978,0,0.03,0.03,0.03,1608408,0.02
01-Feb-1978,0,0.03,0.03,0.03,590796,0.02
02-Feb-1978,NaN,NaN,NaN,0.03,0,0.02
03-Feb-1978,NaN,NaN,NaN,0.03,0,0.02
06-Feb-1978,0,0.03,0.03,0.03,154800,0.02
07-Feb-1978,0,0.03,0.03,0.03,104400,0.02
08-Feb-1978,0,0.03,0.03,0.03,10706400,0.02
09-Feb-1978,0,0.03,0.03,0.03,2153592,0.02
10-Feb-1978,0,0.03,0.03,0.03,617616,0.02
13-Feb-1978,0,0.03,0.03,0.03,11250396,0.02
14-Feb-1978,0,0.03,0.03,0.03,779616,0.02
15-Feb-1978,0,0.03,0.03,0.03,13389588,0.02
16-Feb-1978,0,0.03,0.03,0.03,20560788,0.02
17-Feb-1978,0,0.03,0.03,0.03,10756800,0.02
21-Feb-1978,0,0.03,0.03,0.03,11081196,0.02
22-Feb-1978,0,0.03,0.03,0.03,837216,0.02
23-Feb-1978,0,0.03,0.03,0.03,180000,0.02
24-Feb-1978,0,0.03,0.03,0.03,291996,0.02
27-Feb-1978,0,0.03,0.03,0.03,291996,0.02
28-Feb-1978,0,0.03,0.03,0.03,999216,0.02
01-Mar-1978,0,0.03,0.03,0.03,1251612,0.02
02-Mar-1978,NaN,NaN,NaN,0.03,0,0.02
03-Mar-1978,0,0.03,0.03,0.03,999216,0.02
06-Mar-1978,0,0.03,0.03,0.03,2787984,0.02
07-Mar-1978,0,0.03,0.03,0.03,5053608,0.02
08-Mar-1978,0,0.03,0.03,0.03,439596,0.02
09-Mar-1978,0,0.03,0.03,0.03,1984392,0.02
10-Mar-1978,0,0.03,0.03,0.03,1493208,0.02
13-Mar-1978,0,0.03,0.03,0.03,5118408,0.02
14-Mar-1978,0,0.03,0.03,0.03,1763208,0.02
15-Mar-1978,0,0.03,0.03,0.03,617616,0.02
16-Mar-1978,0,0.03,0.03,0.03,511596,0.02
17-Mar-1978,NaN,NaN,NaN,0.03,0,0.02
20-Mar-1978,0,0.03,0.03,0.03,486396,0.02
21-Mar-1978,0,0.03,0.03,0.03,765216,0.02
22-Mar-1978,0,0.03,0.03,0.03,324396,0.02
23-Mar-1978,0,0.03,0.03,0.03,122400,0.02
27-Mar-1978,0,0.03,0.03,0.03,617616,0.02
28-Mar-1978,0,0.03,0.03,0.03,486396,0.02
29-Mar-1978,0,0.03,0.03,0.03,291996,0.02
30-Mar-1978,0,0.03,0.03,0.03,122400,0.02
31-Mar-1978,0,0.03,0.03,0.03,7200,0.02
03-Apr-1978,0,0.03,0.03,0.03,439596,0.02
04-Apr-1978,0,0.03,0.03,0.03,122400,0.02
05-Apr-1978,0,0.03,0.03,0.03,1147212,0.02
06-Apr-1978,0,0.03,0.03,0.03,2265588,0.02
07-Apr-1978,0,0.03,0.03,0.03,779616,0.02
10-Apr-1978,0,0.03,0.03,0.03,154800,0.02
11-Apr-1978,0,0.03,0.03,0.03,7200,0.02
12-Apr-1978,0,0.03,0.03,0.03,180000,0.02
13-Apr-1978,0,0.03,0.03,0.03,2153592,0.02
14-Apr-1978,0,0.03,0.03,0.03,3225204,0.02
17-Apr-1978,0,0.03,0.03,0.03,7578396,0.02
18-Apr-1978,0,0.03,0.03,0.03,1655208,0.02
19-Apr-1978,0,0.03,0.03,0.03,10464804,0.02
20-Apr-1978,0,0.03,0.03,0.03,6409584,0.02
21-Apr-1978,0,0.04,0.04,0.04,5883588,0.02
24-Apr-1978,0,0.04,0.04,0.04,6261984,0.02
25-Apr-1978,0,0.04,0.04,0.04,2787984,0.02
26-Apr-1978,0,0.04,0.04,0.04,2297988,0.02
27-Apr-1978,0,0.04,0.04,0.04,1104012,0.02
28-Apr-1978,0,0.04,0.04,0.04,154800,0.02
01-May-1978,0,0.04,0.04,0.04,1104012,0.02
02-May-1978,0,0.04,0.04,0.04,1804392,0.02
03-May-1978,0,0.04,0.04,0.04,439596,0.02
04-May-1978,0,0.04,0.04,0.04,1251612,0.02
05-May-1978,0,0.04,0.04,0.04,812016,0.02
08-May-1978,0,0.04,0.04,0.04,486396,0.02
09-May-1978,0,0.04,0.04,0.04,104400,0.02
10-May-1978,0,0.04,0.04,0.04,486396,0.02
11-May-1978,0,0.04,0.04,0.04,3614400,0.02
12-May-1978,0,0.04,0.04,0.04,2265588,0.02
15-May-1978,0,0.04,0.04,0.04,2755584,0.02
16-May-1978,0,0.04,0.04,0.04,4833612,0.02
17-May-1978,0,0.04,0.04,0.04,6247584,0.02
18-May-1978,0,0.04,0.04,0.04,1608408,0.02
19-May-1978,0,0.04,0.04,0.04,1471608,0.02
22-May-1978,0,0.04,0.04,0.04,1804392,0.02
23-May-1978,0,0.04,0.04,0.04,511596,0.02
24-May-1978,0,0.04,0.04,0.04,1316412,0.02
25-May-1978,0,0.04,0.04,0.04,590796,0.02
26-May-1978,0,0.04,0.04,0.04,154800,0.02
