Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.08,0.08,0.08,25600,0.06
04-Jan-1978,0,0.08,0.08,0.08,115200,0.06
05-Jan-1978,0,0.08,0.08,0.08,44800,0.06
06-Jan-1978,0,0.08,0.08,0.08,38400,0.06
09-Jan-1978,0,0.08,0.07,0.07,332800,0.06
10-Jan-1978,0,0.07,0.07,0.07,217600,0.06
11-Jan-1978,0,0.07,0.07,0.07,121600,0.06
12-Jan-1978,0,0.07,0.07,0.07,96000,0.06
13-Jan-1978,0,0.07,0.07,0.07,25600,0.06
16-Jan-1978,0,0.07,0.07,0.07,160000,0.06
17-Jan-1978,0,0.07,0.07,0.07,499200,0.06
18-Jan-1978,0,0.07,0.07,0.07,102400,0.06
19-Jan-1978,0,0.08,0.07,0.08,102400,0.06
20-Jan-1978,0,0.09,0.08,0.09,409600,0.07
23-Jan-1978,0,0.09,0.09,0.09,1139200,0.07
24-Jan-1978,0,0.09,0.09,0.09,115200,0.07
25-Jan-1978,0,0.08,0.08,0.08,6400,0.06
26-Jan-1978,0,0.08,0.08,0.08,115200,0.06
27-Jan-1978,0,0.08,0.08,0.08,38400,0.06
30-Jan-1978,0,0.08,0.08,0.08,115200,0.06
31-Jan-1978,0,0.08,0.08,0.08,211200,0.06
01-Feb-1978,0,0.08,0.08,0.08,76800,0.06
02-Feb-1978,0,0.08,0.08,0.08,19200,0.06
03-Feb-1978,0,0.08,0.08,0.08,64000,0.06
06-Feb-1978,NaN,NaN,NaN,0.08,0,0.06
07-Feb-1978,0,0.08,0.08,0.08,6400,0.06
08-Feb-1978,NaN,NaN,NaN,0.08,0,0.06
09-Feb-1978,0,0.09,0.08,0.09,121600,0.07
10-Feb-1978,0,0.09,0.09,0.09,83200,0.07
13-Feb-1978,0,0.09,0.09,0.09,96000,0.07
14-Feb-1978,0,0.09,0.09,0.09,198400,0.07
15-Feb-1978,0,0.09,0.09,0.09,217600,0.07
16-Feb-1978,0,0.08,0.08,0.08,19200,0.06
17-Feb-1978,0,0.08,0.08,0.08,115200,0.06
21-Feb-1978,0,0.08,0.08,0.08,44800,0.06
22-Feb-1978,0,0.08,0.08,0.08,121600,0.06
23-Feb-1978,0,0.08,0.08,0.08,236800,0.06
24-Feb-1978,0,0.08,0.08,0.08,140800,0.06
27-Feb-1978,0,0.08,0.08,0.08,38400,0.06
28-Feb-1978,0,0.08,0.08,0.08,294400,0.06
01-Mar-1978,0,0.08,0.08,0.08,115200,0.06
02-Mar-1978,0,0.09,0.08,0.09,268800,0.07
03-Mar-1978,0,0.09,0.08,0.08,268800,0.06
06-Mar-1978,0,0.08,0.08,0.08,102400,0.06
07-Mar-1978,0,0.08,0.08,0.08,96000,0.06
08-Mar-1978,0,0.08,0.08,0.08,19200,0.06
09-Mar-1978,0,0.09,0.08,0.09,172800,0.07
