Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.11,1.07,1.07,75200,0.63
04-Jan-1978,0,1.09,1.06,1.08,193600,0.64
05-Jan-1978,0,1.11,1.05,1.05,163200,0.62
06-Jan-1978,0,1.08,1.05,1.08,260800,0.64
09-Jan-1978,0,1.08,1.03,1.05,307200,0.62
10-Jan-1978,0,1.06,1.04,1.06,142400,0.63
11-Jan-1978,0,1.09,1.05,1.05,142400,0.62
12-Jan-1978,0,1.06,1.05,1.06,40000,0.63
13-Jan-1978,0,1.08,1.05,1.05,83200,0.62
16-Jan-1978,0,1.05,1.03,1.03,65600,0.61
17-Jan-1978,0,1.06,1.03,1.06,164800,0.63
18-Jan-1978,0,1.06,1.04,1.06,35200,0.63
19-Jan-1978,0,1.07,1.05,1.05,56000,0.62
20-Jan-1978,0,1.06,1.05,1.05,56000,0.62
23-Jan-1978,0,1.07,1.03,1.03,88000,0.61
24-Jan-1978,0,1.04,1.03,1.03,64000,0.61
25-Jan-1978,0,1.05,1.03,1.04,180800,0.61
26-Jan-1978,0,1.05,1.03,1.05,112000,0.62
27-Jan-1978,0,1.05,1.05,1.05,38400,0.62
30-Jan-1978,0,1.05,1.05,1.05,33600,0.62
31-Jan-1978,0,1.06,1.05,1.05,25600,0.62
01-Feb-1978,0,1.06,1.04,1.06,62400,0.63
02-Feb-1978,0,1.1,1.05,1.09,425600,0.64
03-Feb-1978,0,1.11,1.08,1.09,129600,0.64
06-Feb-1978,0,1.09,1.06,1.09,44800,0.64
07-Feb-1978,0,1.11,1.07,1.11,92800,0.66
08-Feb-1978,0,1.12,1.11,1.11,140800,0.66
09-Feb-1978,0,1.12,1.08,1.08,108800,0.64
10-Feb-1978,0,1.07,1.05,1.07,144000,0.63
13-Feb-1978,0,1.09,1.07,1.07,89600,0.63
14-Feb-1978,0,1.08,1.05,1.05,57600,0.62
15-Feb-1978,0,1.13,1.07,1.12,388800,0.66
16-Feb-1978,0,1.2,1.18,1.2,1656000,0.71
17-Feb-1978,0,1.2,1.2,1.2,486400,0.71
21-Feb-1978,0,1.2,1.18,1.2,744000,0.71
22-Feb-1978,0,1.2,1.19,1.2,432000,0.71
23-Feb-1978,0,1.21,1.19,1.2,689600,0.71
24-Feb-1978,0,1.22,1.2,1.21,376000,0.71
27-Feb-1978,0,1.22,1.21,1.22,265600,0.72
28-Feb-1978,0,1.21,1.21,1.21,235200,0.71
01-Mar-1978,0,1.22,1.21,1.21,195200,0.71
02-Mar-1978,0,1.22,1.21,1.21,177600,0.71
03-Mar-1978,0,1.22,1.21,1.21,438400,0.71
06-Mar-1978,0,1.22,1.21,1.21,108800,0.71
07-Mar-1978,0,1.22,1.22,1.22,544000,0.72
08-Mar-1978,0,1.23,1.22,1.23,89600,0.73
09-Mar-1978,0,1.23,1.22,1.22,86400,0.72
10-Mar-1978,0,1.23,1.22,1.23,185600,0.73
13-Mar-1978,0,1.2,1.16,1.2,726400,0.71
14-Mar-1978,0,1.2,1.18,1.2,169600,0.71
15-Mar-1978,0,1.21,1.2,1.21,80000,0.71
16-Mar-1978,0,1.24,1.21,1.24,180800,0.73
17-Mar-1978,0,1.34,1.27,1.34,635200,0.79
20-Mar-1978,0,1.36,1.31,1.34,251200,0.79
21-Mar-1978,0,1.34,1.31,1.34,211200,0.79
22-Mar-1978,0,1.34,1.3,1.31,148800,0.77
23-Mar-1978,0,1.33,1.3,1.33,163200,0.79
27-Mar-1978,0,1.32,1.3,1.3,99200,0.77
28-Mar-1978,0,1.33,1.3,1.33,152000,0.79
29-Mar-1978,0,1.34,1.3,1.3,300800,0.77
30-Mar-1978,0,1.3,1.29,1.3,161600,0.77
31-Mar-1978,0,1.29,1.27,1.29,256000,0.76
03-Apr-1978,0,1.29,1.26,1.28,136000,0.76
04-Apr-1978,0,1.29,1.27,1.27,134400,0.75
05-Apr-1978,0,1.31,1.27,1.31,267200,0.77
06-Apr-1978,0,1.35,1.31,1.35,680000,0.8
07-Apr-1978,0,1.38,1.34,1.38,307200,0.82
10-Apr-1978,0,1.38,1.36,1.38,576000,0.82
11-Apr-1978,0,1.39,1.36,1.38,720000,0.82
12-Apr-1978,0,1.4,1.37,1.4,732800,0.83
13-Apr-1978,0,1.48,1.41,1.48,691200,0.87
14-Apr-1978,0,1.51,1.48,1.49,734400,0.88
17-Apr-1978,0,1.51,1.44,1.45,656000,0.86
18-Apr-1978,0,1.45,1.42,1.43,241600,0.84
19-Apr-1978,0,1.48,1.44,1.46,374400,0.86
20-Apr-1978,0,1.5,1.47,1.48,388800,0.87
21-Apr-1978,0,1.48,1.45,1.46,124800,0.86
24-Apr-1978,0,1.48,1.45,1.48,260800,0.87
25-Apr-1978,0,1.49,1.48,1.49,360000,0.88
26-Apr-1978,0,1.5,1.48,1.48,206400,0.87
27-Apr-1978,0,1.48,1.45,1.45,257600,0.86
28-Apr-1978,0,1.46,1.43,1.43,251200,0.84
01-May-1978,0,1.52,1.43,1.51,596800,0.89
02-May-1978,0,1.58,1.49,1.56,881600,0.92
03-May-1978,0,1.64,1.59,1.59,502400,0.94
04-May-1978,0,1.59,1.55,1.59,224000,0.94
05-May-1978,0,1.61,1.58,1.61,222400,0.95
08-May-1978,0,1.62,1.6,1.6,297600,0.95
09-May-1978,0,1.6,1.55,1.56,251200,0.92
10-May-1978,0,1.55,1.52,1.52,292800,0.9
11-May-1978,0,1.54,1.52,1.53,148800,0.9
12-May-1978,0,1.58,1.55,1.56,192000,0.92
15-May-1978,0,1.59,1.56,1.59,134400,0.94
16-May-1978,0,1.62,1.58,1.62,372800,0.96
17-May-1978,0,1.66,1.61,1.64,336000,0.97
18-May-1978,0,1.69,1.63,1.66,465600,0.98
19-May-1978,0,1.65,1.62,1.62,201600,0.96
22-May-1978,0,1.64,1.61,1.64,256000,0.97
23-May-1978,0,1.67,1.64,1.67,201600,0.99
24-May-1978,0,1.66,1.59,1.61,296000,0.95
25-May-1978,0,1.6,1.54,1.55,136000,0.92
26-May-1978,0,1.57,1.53,1.57,244800,0.93
30-May-1978,0,1.66,1.56,1.66,180800,0.98
31-May-1978,0,1.71,1.67,1.68,286400,0.99
01-Jun-1978,0,1.69,1.66,1.67,291200,0.99
02-Jun-1978,0,1.69,1.68,1.69,75200,1
05-Jun-1978,0,1.71,1.69,1.69,432000,1
06-Jun-1978,0,1.73,1.69,1.69,424000,1
07-Jun-1978,0,1.73,1.69,1.73,361600,1.02
08-Jun-1978,0,1.73,1.69,1.72,248000,1.02
09-Jun-1978,0,1.73,1.71,1.71,115200,1.01
12-Jun-1978,0,1.74,1.72,1.72,147200,1.02
13-Jun-1978,0,1.71,1.66,1.71,380800,1.01
14-Jun-1978,0,1.74,1.72,1.72,188800,1.02
15-Jun-1978,0,1.7,1.68,1.68,449600,0.99
16-Jun-1978,0,1.67,1.62,1.63,129600,0.96
19-Jun-1978,0,1.59,1.54,1.59,201600,0.94
20-Jun-1978,0,1.59,1.56,1.59,88000,0.94
21-Jun-1978,0,1.58,1.56,1.56,40000,0.92
22-Jun-1978,0,1.59,1.55,1.59,62400,0.94
23-Jun-1978,0,1.59,1.55,1.56,152000,0.92
26-Jun-1978,0,1.57,1.5,1.52,176000,0.9
27-Jun-1978,0,1.52,1.49,1.52,155200,0.9
28-Jun-1978,0,1.54,1.52,1.54,88000,0.91
29-Jun-1978,0,1.59,1.55,1.59,321600,0.94
30-Jun-1978,0,1.58,1.55,1.55,40000,0.92
03-Jul-1978,0,1.55,1.52,1.53,83200,0.9
05-Jul-1978,0,1.53,1.47,1.48,558400,0.87
06-Jul-1978,0,1.51,1.49,1.51,152000,0.89
07-Jul-1978,0,1.53,1.5,1.52,140800,0.9
10-Jul-1978,0,1.55,1.52,1.55,54400,0.92
11-Jul-1978,0,1.59,1.55,1.56,92800,0.92
12-Jul-1978,0,1.59,1.55,1.59,140800,0.94
13-Jul-1978,0,1.59,1.57,1.57,212800,0.93
14-Jul-1978,0,1.62,1.57,1.62,145600,0.96
17-Jul-1978,0,1.69,1.62,1.66,363200,0.98
18-Jul-1978,0,1.67,1.62,1.63,51200,0.96
19-Jul-1978,0,1.64,1.6,1.62,240000,0.96
20-Jul-1978,0,1.68,1.64,1.66,184000,0.98
21-Jul-1978,0,1.67,1.66,1.67,136000,0.99
24-Jul-1978,0,1.73,1.66,1.73,195200,1.02
25-Jul-1978,0,1.77,1.73,1.74,214400,1.03
26-Jul-1978,0,1.76,1.72,1.72,153600,1.02
27-Jul-1978,0,1.75,1.73,1.74,100800,1.03
28-Jul-1978,0,1.76,1.73,1.76,139200,1.04
31-Jul-1978,0,1.77,1.76,1.77,219200,1.05
01-Aug-1978,0,1.81,1.77,1.8,643200,1.06
02-Aug-1978,0,1.84,1.78,1.83,206400,1.08
03-Aug-1978,0,1.88,1.84,1.84,428800,1.09
04-Aug-1978,0,1.88,1.86,1.88,324800,1.11
07-Aug-1978,0,1.86,1.84,1.86,163200,1.1
08-Aug-1978,0,1.87,1.82,1.84,209600,1.09
09-Aug-1978,0,1.89,1.86,1.88,230400,1.11
10-Aug-1978,0,1.89,1.84,1.84,163200,1.09
11-Aug-1978,0,1.85,1.8,1.81,195200,1.07
14-Aug-1978,0,1.9,1.83,1.89,320000,1.12
15-Aug-1978,0,1.91,1.88,1.9,120000,1.12
16-Aug-1978,0,1.94,1.91,1.92,136000,1.13
17-Aug-1978,0,2,1.93,1.98,364800,1.17
18-Aug-1978,0,2,1.96,1.98,160000,1.17
21-Aug-1978,0,1.98,1.95,1.95,164800,1.15
22-Aug-1978,0,1.98,1.91,1.97,281600,1.16
23-Aug-1978,0,2.02,1.98,2.01,270400,1.19
24-Aug-1978,0,2.02,2,2,113600,1.18
25-Aug-1978,0,2.02,1.99,2.02,113600,1.19
28-Aug-1978,0,2.01,1.94,1.94,97600,1.15
29-Aug-1978,0,1.96,1.88,1.89,120000,1.12
30-Aug-1978,0,1.95,1.88,1.9,124800,1.12
31-Aug-1978,0,1.87,1.84,1.87,347200,1.1
01-Sep-1978,0,1.91,1.85,1.91,70400,1.13
05-Sep-1978,0,1.94,1.92,1.92,65600,1.13
06-Sep-1978,0,1.95,1.91,1.93,224000,1.14
07-Sep-1978,0,1.94,1.9,1.91,193600,1.13
08-Sep-1978,0,1.92,1.88,1.92,140800,1.13
11-Sep-1978,0,1.95,1.9,1.9,172800,1.12
12-Sep-1978,0,1.89,1.86,1.88,112000,1.11
13-Sep-1978,0,1.88,1.85,1.86,68800,1.1
14-Sep-1978,0,1.84,1.75,1.77,158400,1.05
15-Sep-1978,0,1.78,1.73,1.75,188800,1.03
18-Sep-1978,0,1.79,1.74,1.77,232000,1.05
19-Sep-1978,0,1.8,1.77,1.79,81600,1.06
20-Sep-1978,0,1.78,1.75,1.75,403200,1.03
21-Sep-1978,0,1.77,1.73,1.75,616000,1.03
22-Sep-1978,0,1.82,1.77,1.81,48000,1.07
25-Sep-1978,0,1.87,1.82,1.87,80000,1.1
26-Sep-1978,0,1.98,1.88,1.92,377600,1.13
27-Sep-1978,0,1.94,1.88,1.88,206400,1.11
28-Sep-1978,0,1.91,1.88,1.9,52800,1.12
29-Sep-1978,0,1.94,1.89,1.91,84800,1.13
02-Oct-1978,0,1.91,1.88,1.88,108800,1.11
03-Oct-1978,0,1.92,1.9,1.91,163200,1.13
04-Oct-1978,0,1.93,1.91,1.93,17600,1.14
05-Oct-1978,0,1.97,1.94,1.95,228800,1.15
06-Oct-1978,0,2,1.95,1.98,211200,1.17
09-Oct-1978,0,2.01,1.98,1.99,129600,1.18
10-Oct-1978,0,2,1.98,1.98,44800,1.17
11-Oct-1978,0,2,1.97,2,172800,1.18
12-Oct-1978,0,2.03,1.99,2.02,188800,1.19
13-Oct-1978,0,2.05,2.01,2.05,72000,1.21
16-Oct-1978,0,2.06,2.03,2.03,758400,1.2
17-Oct-1978,0,2,1.86,1.86,616000,1.1
18-Oct-1978,0,1.9,1.86,1.86,211200,1.1
19-Oct-1978,0,1.86,1.83,1.83,75200,1.08
20-Oct-1978,0,1.82,1.76,1.77,300800,1.05
23-Oct-1978,0,1.77,1.66,1.68,633600,0.99
24-Oct-1978,0,1.72,1.65,1.65,163200,0.97
25-Oct-1978,0,1.63,1.58,1.61,592000,0.95
26-Oct-1978,0,1.64,1.58,1.62,596800,0.96
27-Oct-1978,0,1.68,1.62,1.64,292800,0.97
30-Oct-1978,0,1.69,1.55,1.69,443200,1
31-Oct-1978,0,1.72,1.66,1.67,224000,0.99
01-Nov-1978,0,1.82,1.67,1.73,500800,1.02
02-Nov-1978,0,1.77,1.73,1.74,156800,1.03
03-Nov-1978,0,1.73,1.7,1.71,56000,1.01
06-Nov-1978,0,1.73,1.7,1.7,83200,1
07-Nov-1978,0,1.69,1.62,1.62,190400,0.96
08-Nov-1978,0,1.65,1.59,1.65,92800,0.97
09-Nov-1978,0,1.72,1.67,1.72,80000,1.02
10-Nov-1978,0,1.75,1.7,1.75,59200,1.03
13-Nov-1978,0,1.73,1.69,1.69,59200,1
14-Nov-1978,0,1.67,1.58,1.58,225600,0.93
15-Nov-1978,0,1.61,1.57,1.57,163200,0.93
16-Nov-1978,0,1.58,1.56,1.56,83200,0.92
17-Nov-1978,0,1.63,1.58,1.63,161600,0.96
20-Nov-1978,0,1.65,1.61,1.61,148800,0.95
21-Nov-1978,0,1.68,1.63,1.67,81600,0.99
22-Nov-1978,0,1.72,1.67,1.71,88000,1.01
24-Nov-1978,0,1.8,1.71,1.78,155200,1.05
27-Nov-1978,0,1.77,1.71,1.73,115200,1.02
28-Nov-1978,0,1.74,1.69,1.69,204800,1
29-Nov-1978,0,1.66,1.63,1.63,94400,0.96
30-Nov-1978,0,1.67,1.62,1.67,75200,0.99
01-Dec-1978,0,1.77,1.7,1.77,156800,1.05
04-Dec-1978,0,1.78,1.73,1.78,84800,1.05
05-Dec-1978,0,1.84,1.78,1.84,84800,1.09
06-Dec-1978,0,1.86,1.81,1.81,99200,1.07
07-Dec-1978,0,1.8,1.76,1.79,51200,1.06
08-Dec-1978,0,1.82,1.78,1.82,73600,1.08
11-Dec-1978,0,1.86,1.8,1.84,217600,1.09
12-Dec-1978,0,1.86,1.82,1.82,97600,1.08
13-Dec-1978,0,1.81,1.79,1.79,140800,1.06
14-Dec-1978,0,1.78,1.77,1.78,121600,1.05
15-Dec-1978,0,1.78,1.76,1.76,51200,1.04
18-Dec-1978,0,1.71,1.68,1.7,126400,1
19-Dec-1978,0,1.73,1.69,1.7,88000,1
20-Dec-1978,0,1.71,1.69,1.69,81600,1
21-Dec-1978,0,1.73,1.68,1.68,126400,0.99
22-Dec-1978,0,1.77,1.67,1.77,91200,1.05
26-Dec-1978,0,1.78,1.76,1.76,104000,1.04
27-Dec-1978,0,1.77,1.74,1.76,48000,1.04
28-Dec-1978,0,1.77,1.72,1.74,96000,1.03
29-Dec-1978,0,1.81,1.73,1.81,113600,1.07
02-Jan-1979,0,1.8,1.77,1.78,35200,1.05
03-Jan-1979,0,1.8,1.77,1.8,126400,1.06
04-Jan-1979,0,1.83,1.79,1.83,84800,1.08
05-Jan-1979,0,1.84,1.81,1.82,99200,1.08
08-Jan-1979,0,1.82,1.79,1.81,99200,1.07
09-Jan-1979,0,1.84,1.8,1.8,67200,1.06
10-Jan-1979,0,1.81,1.77,1.77,62400,1.05
11-Jan-1979,0,1.81,1.78,1.8,43200,1.06
12-Jan-1979,0,1.85,1.82,1.82,67200,1.08
15-Jan-1979,0,1.84,1.8,1.84,134400,1.09
16-Jan-1979,0,1.84,1.78,1.78,110400,1.05
17-Jan-1979,0,1.8,1.74,1.8,78400,1.06
18-Jan-1979,0,1.84,1.79,1.84,72000,1.09
19-Jan-1979,0,1.83,1.82,1.83,48000,1.08
22-Jan-1979,0,1.84,1.78,1.81,89600,1.07
23-Jan-1979,0,1.81,1.8,1.8,257600,1.06
24-Jan-1979,0,1.8,1.77,1.79,91200,1.06
25-Jan-1979,0,1.79,1.77,1.78,128000,1.05
26-Jan-1979,0,1.83,1.78,1.81,246400,1.07
29-Jan-1979,0,1.83,1.8,1.8,100800,1.06
30-Jan-1979,0,1.82,1.8,1.8,84800,1.06
31-Jan-1979,0,1.83,1.8,1.81,92800,1.07
01-Feb-1979,0,1.84,1.8,1.84,184000,1.09
02-Feb-1979,0,1.88,1.85,1.88,145600,1.11
05-Feb-1979,0,1.88,1.85,1.85,73600,1.09
06-Feb-1979,0,1.84,1.81,1.84,44800,1.09
07-Feb-1979,0,1.82,1.8,1.8,187200,1.06
08-Feb-1979,0,1.81,1.8,1.8,81600,1.06
09-Feb-1979,0,1.8,1.76,1.77,108800,1.05
12-Feb-1979,0,1.78,1.75,1.78,115200,1.05
