Date,Open,High,Low,Close,Volume,AdjClose
31-Mar-1994,0,14.88,13.5,14.38,77400,5.5
04-Apr-1994,0,14,13.62,13.75,98000,5.26
05-Apr-1994,0,14.5,13.75,14.5,48300,5.54
06-Apr-1994,0,14.75,14.5,14.5,14500,5.54
07-Apr-1994,0,14.75,14.38,14.38,35500,5.5
08-Apr-1994,0,14.75,14.38,14.75,14400,5.64
11-Apr-1994,0,15,14.75,14.75,12200,5.64
12-Apr-1994,0,15.25,14.88,14.88,10500,5.69
13-Apr-1994,0,15.25,14.88,15,13700,5.73
14-Apr-1994,0,15,14.88,15,3000,5.73
15-Apr-1994,0,15.12,14.88,15.12,8300,5.78
18-Apr-1994,0,15.25,15.25,15.25,2000,5.83
19-Apr-1994,0,15.75,15.5,15.5,4900,5.93
20-Apr-1994,0,15.88,15.38,15.88,4600,6.07
21-Apr-1994,0,16.25,15.62,16.25,3700,6.21
22-Apr-1994,0,16.25,16,16.12,4800,6.16
25-Apr-1994,0,16.5,16,16.5,12300,6.31
26-Apr-1994,0,16.38,16,16.38,31100,6.26
28-Apr-1994,0,16.38,16.12,16.38,7300,6.26
29-Apr-1994,0,16.38,16.12,16.12,1600,6.16
02-May-1994,0,16.12,16,16,4200,6.12
03-May-1994,0,15.88,15.38,15.62,12800,5.97
04-May-1994,0,15.62,15.25,15.38,7500,5.88
05-May-1994,0,15.62,15.25,15.5,5900,5.93
06-May-1994,0,15.62,15.62,15.62,2000,5.97
09-May-1994,0,15.62,15.38,15.5,7100,5.93
10-May-1994,0,15.62,15.38,15.5,5300,5.93
11-May-1994,0,15.38,15.25,15.25,4400,5.83
12-May-1994,0,15.75,15.38,15.75,1400,6.02
13-May-1994,0,15.88,15.75,15.88,8000,6.07
16-May-1994,0,15.88,15.75,15.88,6500,6.07
17-May-1994,0,16,15.88,15.88,1500,6.07
18-May-1994,0,16,15.75,16,8200,6.12
19-May-1994,0,16.12,15.75,16.12,18500,6.16
20-May-1994,0,16.62,16.12,16.5,6000,6.31
23-May-1994,0,16.62,16.25,16.38,12300,6.26
24-May-1994,0,16.5,16.25,16.5,4000,6.31
25-May-1994,0,16.5,16.25,16.38,1800,6.26
26-May-1994,0,16.25,16.12,16.25,3300,6.21
27-May-1994,0,16.25,16.12,16.12,800,6.16
31-May-1994,0,16,16,16,1100,6.12
01-Jun-1994,0,15.88,15.88,15.88,700,6.07
02-Jun-1994,0,15.88,15.62,15.62,2500,5.97
03-Jun-1994,0,15.62,15.38,15.5,1800,5.93
06-Jun-1994,0,15.62,15.38,15.38,2800,5.88
07-Jun-1994,0,15.5,15.38,15.5,24200,5.93
08-Jun-1994,0,15.75,15.62,15.62,1700,5.97
09-Jun-1994,0,15.88,15.62,15.62,14700,5.97
10-Jun-1994,0,15.75,15.38,15.38,39700,5.88
13-Jun-1994,0,15.5,15.5,15.5,6600,5.93
14-Jun-1994,0,15.75,15.5,15.5,14900,5.93
15-Jun-1994,0,15.75,15.62,15.75,4500,6.02
16-Jun-1994,0,15.88,15.62,15.88,5800,6.07
17-Jun-1994,0,15.88,15.62,15.75,6400,6.02
20-Jun-1994,0,15.88,15.75,15.75,1800,6.02
21-Jun-1994,0,16.5,15.88,16.5,29500,6.31
22-Jun-1994,0,16.38,15.75,16.12,40600,6.16
23-Jun-1994,0,16.12,16.12,16.12,700,6.16
24-Jun-1994,0,16.12,16,16,40900,6.12
27-Jun-1994,0,16.38,16.25,16.38,7000,6.26
28-Jun-1994,0,16.5,16.38,16.38,24500,6.26
29-Jun-1994,0,16.88,16.38,16.75,18900,6.4
30-Jun-1994,0,17.12,16.5,17.12,25400,6.54
01-Jul-1994,0,17.12,16.75,16.75,3100,6.4
05-Jul-1994,0,16.75,16.5,16.62,29400,6.35
06-Jul-1994,0,17,16.75,17,67200,6.5
07-Jul-1994,0,17,16.75,17,8000,6.5
08-Jul-1994,0,17.12,16.88,17,34200,6.5
11-Jul-1994,0,17,16.88,17,9000,6.5
12-Jul-1994,0,17,16.88,16.88,8900,6.45
