Date,Open,High,Low,Close,Volume,AdjClose
12-Feb-1998,0,7.84,7.34,7.5,3901800,7.5
13-Feb-1998,0,7.67,7.42,7.5,503700,7.5
17-Feb-1998,0,7.92,7.75,7.84,132500,7.84
18-Feb-1998,0,8.34,7.88,8.34,140600,8.34
19-Feb-1998,0,8.67,8.17,8.17,234900,8.17
20-Feb-1998,0,8.17,7.59,7.8,204600,7.8
23-Feb-1998,0,7.92,7.63,7.92,60600,7.92
24-Feb-1998,0,7.92,7.55,7.67,261200,7.67
25-Feb-1998,0,7.75,7.5,7.67,128900,7.67
26-Feb-1998,0,8.09,7.59,7.96,87000,7.96
27-Feb-1998,0,8,7.84,7.96,29100,7.96
02-Mar-1998,0,8,7.92,7.96,151000,7.96
03-Mar-1998,0,8.34,7.92,8.34,71800,8.34
04-Mar-1998,0,8.34,7.92,8.17,31000,8.17
05-Mar-1998,0,8.09,7.84,8.05,51600,8.05
06-Mar-1998,0,8.09,7.92,8.09,15000,8.09
09-Mar-1998,0,8.25,7.92,7.92,39600,7.92
10-Mar-1998,0,8.09,7.67,7.92,207900,7.92
11-Mar-1998,0,8.25,7.92,7.96,77400,7.96
12-Mar-1998,0,8.34,7.92,8.3,100900,8.3
13-Mar-1998,0,8.84,8.42,8.67,163900,8.67
16-Mar-1998,0,8.67,8.42,8.5,191600,8.5
17-Mar-1998,0,8.42,8.17,8.17,31900,8.17
18-Mar-1998,0,8.42,8.17,8.25,26200,8.25
19-Mar-1998,0,8.42,8.25,8.42,112100,8.42
20-Mar-1998,0,8.67,8.34,8.63,29100,8.63
23-Mar-1998,0,10.17,9,10,497600,10
24-Mar-1998,0,10.34,9.59,9.67,100000,9.67
25-Mar-1998,0,10.59,9.67,10.59,198700,10.59
26-Mar-1998,0,10.67,10.17,10.67,104800,10.67
27-Mar-1998,0,10.8,10.34,10.67,72600,10.67
30-Mar-1998,0,10.63,10.42,10.55,62700,10.55
31-Mar-1998,0,11.17,10.63,11.17,124100,11.17
01-Apr-1998,0,11.34,11.09,11.34,226200,11.34
02-Apr-1998,0,11.76,11.34,11.59,54900,11.59
03-Apr-1998,0,11.76,11.34,11.55,58900,11.55
06-Apr-1998,0,11.84,11.26,11.3,30300,11.3
07-Apr-1998,0,11.17,10.76,10.76,35200,10.76
