Date,Open,High,Low,Close,Volume,AdjClose
29-Oct-1993,0,19.38,19.25,19.25,1381000,4.92
01-Nov-1993,0,19.38,19.25,19.38,136800,4.95
02-Nov-1993,0,19.38,18.62,18.75,182600,4.79
03-Nov-1993,0,19,18.38,18.88,146300,4.82
04-Nov-1993,0,18.88,18.75,18.75,48300,4.79
05-Nov-1993,0,18.88,18.75,18.75,13900,4.79
08-Nov-1993,0,18.88,18.75,18.88,22800,4.82
09-Nov-1993,0,19,18.75,18.75,10600,4.79
10-Nov-1993,0,19,18.88,18.88,143900,4.82
11-Nov-1993,0,18.88,18.88,18.88,29800,4.82
12-Nov-1993,0,19,18.88,19,10500,4.85
15-Nov-1993,0,18.75,18.38,18.5,181600,4.73
16-Nov-1993,0,18.5,18.38,18.38,33400,4.69
17-Nov-1993,0,18.5,18.25,18.25,73900,4.66
18-Nov-1993,0,18.25,17.62,17.62,75900,4.5
19-Nov-1993,0,17.12,16.38,16.88,126700,4.31
22-Nov-1993,0,16.88,16.5,16.88,32100,4.31
23-Nov-1993,0,17.12,16.75,17.12,20300,4.37
24-Nov-1993,0,17.12,16.88,16.88,9800,4.31
26-Nov-1993,0,17,17,17,2500,4.34
29-Nov-1993,0,17.12,16.88,17.12,48100,4.37
30-Nov-1993,0,17.25,16.88,17.12,38500,4.37
01-Dec-1993,0,17.12,17,17,12700,4.34
02-Dec-1993,0,17.12,16.88,17.12,14700,4.37
03-Dec-1993,0,17.62,17.12,17.5,19600,4.47
06-Dec-1993,0,17.5,17.25,17.5,6000,4.47
07-Dec-1993,0,17.5,17,17.25,25100,4.41
08-Dec-1993,0,17.25,16.88,17.12,8500,4.37
09-Dec-1993,0,17.25,16.62,16.88,10600,4.31
10-Dec-1993,0,16.88,16.75,16.88,9500,4.31
13-Dec-1993,0,16.62,16.38,16.5,69000,4.21
14-Dec-1993,0,17,16.5,16.75,18000,4.28
15-Dec-1993,0,16.88,16.5,16.62,36100,4.25
16-Dec-1993,0,16.62,16.5,16.5,7900,4.21
17-Dec-1993,0,16.62,16.38,16.5,9600,4.21
20-Dec-1993,0,16.5,15.75,16,58500,4.09
21-Dec-1993,0,16.25,15.75,16.12,54400,4.12
22-Dec-1993,0,16.5,16.25,16.5,21800,4.21
23-Dec-1993,0,16.75,16.5,16.62,12200,4.25
27-Dec-1993,0,16.88,16.75,16.75,35500,4.28
28-Dec-1993,0,16.88,16.75,16.75,49500,4.28
29-Dec-1993,0,16.88,16.62,16.62,23600,4.25
30-Dec-1993,0,16.88,16.5,16.75,66700,4.28
31-Dec-1993,0,16.88,16.5,16.62,41100,4.25
03-Jan-1994,0,16.88,16.75,16.88,1900,4.31
04-Jan-1994,0,17,16.88,16.88,10100,4.31
05-Jan-1994,0,17,16.75,16.88,18500,4.31
06-Jan-1994,0,16.75,16.62,16.75,15100,4.28
07-Jan-1994,0,17,16.62,16.88,18000,4.31
10-Jan-1994,0,17.62,17,17.62,18600,4.5
11-Jan-1994,0,17.75,17.5,17.75,6300,4.53
12-Jan-1994,0,18,17.75,17.88,17700,4.57
