Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.1,0.1,0.1,4977600,0.08
04-Jan-1978,0,0.1,0.1,0.1,5178996,0.08
05-Jan-1978,0,0.1,0.09,0.09,4099596,0.07
06-Jan-1978,0,0.1,0.09,0.09,4329804,0.07
09-Jan-1978,0,0.1,0.09,0.09,5553204,0.07
10-Jan-1978,0,0.1,0.09,0.09,2575200,0.07
11-Jan-1978,0,0.1,0.09,0.09,1841004,0.07
12-Jan-1978,0,0.1,0.09,0.09,4862400,0.07
13-Jan-1978,0,0.1,0.1,0.1,3165204,0.08
16-Jan-1978,0,0.1,0.09,0.09,1165800,0.07
17-Jan-1978,0,0.1,0.09,0.09,878004,0.07
18-Jan-1978,0,0.1,0.09,0.09,2920596,0.07
19-Jan-1978,0,0.1,0.09,0.09,993204,0.07
20-Jan-1978,0,0.1,0.09,0.09,460596,0.07
23-Jan-1978,0,0.1,0.09,0.09,1711596,0.07
24-Jan-1978,0,0.1,0.09,0.09,2906196,0.07
25-Jan-1978,0,0.1,0.09,0.09,791604,0.07
26-Jan-1978,0,0.1,0.09,0.09,2085804,0.07
27-Jan-1978,0,0.1,0.09,0.09,1538796,0.07
30-Jan-1978,0,0.1,0.1,0.1,3739800,0.08
31-Jan-1978,0,0.11,0.1,0.1,6084600,0.08
01-Feb-1978,0,0.11,0.11,0.11,5452404,0.09
02-Feb-1978,0,0.11,0.11,0.11,316596,0.09
03-Feb-1978,0,0.11,0.11,0.11,9609600,0.09
06-Feb-1978,0,0.11,0.11,0.11,7926804,0.09
07-Feb-1978,0,0.11,0.11,0.11,4185996,0.09
08-Feb-1978,0,0.11,0.11,0.11,6530796,0.09
09-Feb-1978,0,0.11,0.11,0.11,10228404,0.09
10-Feb-1978,0,0.11,0.11,0.11,3568200,0.09
13-Feb-1978,0,0.11,0.11,0.11,1509996,0.09
14-Feb-1978,0,0.11,0.11,0.11,1207800,0.09
15-Feb-1978,0,0.11,0.11,0.11,1869804,0.09
16-Feb-1978,0,0.11,0.11,0.11,5106996,0.09
17-Feb-1978,0,0.11,0.11,0.11,1956204,0.09
21-Feb-1978,0,0.11,0.11,0.11,4128396,0.09
22-Feb-1978,0,0.11,0.11,0.11,2992596,0.09
23-Feb-1978,0,0.11,0.11,0.11,2301600,0.09
24-Feb-1978,0,0.11,0.11,0.11,2718996,0.09
27-Feb-1978,0,0.11,0.11,0.11,2445600,0.09
28-Feb-1978,0,0.11,0.11,0.11,1927404,0.09
01-Mar-1978,0,0.11,0.11,0.11,2431200,0.09
02-Mar-1978,0,0.11,0.11,0.11,719604,0.09
03-Mar-1978,0,0.11,0.11,0.11,2661396,0.09
06-Mar-1978,0,0.11,0.11,0.11,2258400,0.09
07-Mar-1978,0,0.11,0.11,0.11,1207800,0.09
08-Mar-1978,0,0.11,0.11,0.11,1970604,0.09
09-Mar-1978,0,0.11,0.11,0.11,662004,0.09
10-Mar-1978,0,0.11,0.11,0.11,5135796,0.09
13-Mar-1978,0,0.11,0.11,0.11,690804,0.09
14-Mar-1978,0,0.11,0.11,0.11,676404,0.09
15-Mar-1978,0,0.11,0.11,0.11,1093800,0.09
16-Mar-1978,0,0.12,0.11,0.11,431796,0.09
17-Mar-1978,0,0.11,0.11,0.11,1337400,0.09
20-Mar-1978,0,0.11,0.11,0.11,590196,0.09
21-Mar-1978,0,0.11,0.11,0.11,345396,0.09
22-Mar-1978,0,0.11,0.11,0.11,1581996,0.09
23-Mar-1978,0,0.11,0.11,0.11,302196,0.09
27-Mar-1978,0,0.11,0.11,0.11,2057004,0.09
28-Mar-1978,0,0.11,0.11,0.11,1021800,0.09
29-Mar-1978,0,0.11,0.11,0.11,546996,0.09
30-Mar-1978,0,0.11,0.11,0.11,1783596,0.09
31-Mar-1978,0,0.12,0.11,0.11,1337400,0.09
03-Apr-1978,0,0.12,0.11,0.11,4603200,0.09
04-Apr-1978,0,0.12,0.11,0.11,6271596,0.09
05-Apr-1978,0,0.12,0.11,0.11,1423596,0.09
06-Apr-1978,0,0.12,0.11,0.11,330996,0.09
07-Apr-1978,0,0.12,0.11,0.11,187200,0.09
10-Apr-1978,0,0.12,0.11,0.11,2229600,0.09
11-Apr-1978,0,0.12,0.11,0.11,1754796,0.09
12-Apr-1978,0,0.12,0.12,0.12,4876800,0.1
13-Apr-1978,0,0.12,0.12,0.12,489396,0.1
14-Apr-1978,0,0.12,0.12,0.12,244596,0.1
17-Apr-1978,0,0.12,0.12,0.12,5481204,0.1
18-Apr-1978,0,0.12,0.12,0.12,2013804,0.1
19-Apr-1978,0,0.12,0.12,0.12,1122600,0.1
20-Apr-1978,0,0.12,0.12,0.12,144000,0.1
21-Apr-1978,0,0.12,0.12,0.12,662004,0.1
24-Apr-1978,0,0.12,0.12,0.12,244596,0.1
25-Apr-1978,0,0.12,0.12,0.12,921204,0.1
26-Apr-1978,0,0.12,0.12,0.12,158400,0.1
27-Apr-1978,0,0.12,0.12,0.12,431796,0.1
28-Apr-1978,0,0.12,0.12,0.12,43200,0.1
01-May-1978,0,0.12,0.12,0.12,330996,0.1
02-May-1978,0,0.12,0.12,0.12,316596,0.1
03-May-1978,0,0.12,0.12,0.12,172800,0.1
04-May-1978,0,0.12,0.12,0.12,3869196,0.1
05-May-1978,0,0.12,0.12,0.12,2071404,0.1
08-May-1978,0,0.12,0.12,0.12,3035604,0.1
09-May-1978,0,0.12,0.12,0.12,662004,0.1
10-May-1978,0,0.12,0.12,0.12,43200,0.1
11-May-1978,0,0.12,0.12,0.12,820404,0.1
12-May-1978,0,0.13,0.12,0.12,287796,0.1
15-May-1978,0,0.13,0.12,0.12,561396,0.1
16-May-1978,0,0.13,0.13,0.13,1625196,0.1
17-May-1978,0,0.13,0.13,0.13,86400,0.1
18-May-1978,0,0.13,0.13,0.13,402996,0.1
19-May-1978,0,0.13,0.13,0.13,374196,0.1
22-May-1978,0,0.13,0.13,0.13,43200,0.1
23-May-1978,0,0.13,0.12,0.12,647604,0.1
24-May-1978,0,0.12,0.12,0.12,258996,0.1
25-May-1978,0,0.12,0.11,0.11,618804,0.09
26-May-1978,0,0.12,0.11,0.11,806004,0.09
30-May-1978,0,0.12,0.11,0.11,14400,0.09
31-May-1978,0,0.12,0.11,0.11,287796,0.09
01-Jun-1978,0,0.12,0.11,0.11,1180200,0.09
02-Jun-1978,0,0.12,0.11,0.11,115200,0.09
05-Jun-1978,0,0.12,0.12,0.12,345396,0.1
06-Jun-1978,0,0.12,0.12,0.12,100800,0.1
07-Jun-1978,0,0.12,0.12,0.12,86400,0.1
08-Jun-1978,0,0.12,0.12,0.12,302196,0.1
09-Jun-1978,NaN,NaN,NaN,0.12,0,0.1
12-Jun-1978,0,0.12,0.12,0.12,374196,0.1
13-Jun-1978,NaN,NaN,NaN,0.11,0,0.09
14-Jun-1978,0,0.12,0.11,0.11,115200,0.09
15-Jun-1978,0,0.12,0.11,0.11,2258400,0.09
16-Jun-1978,0,0.11,0.11,0.11,820404,0.09
19-Jun-1978,0,0.11,0.11,0.11,187200,0.09
20-Jun-1978,0,0.11,0.11,0.11,316596,0.09
21-Jun-1978,0,0.11,0.11,0.11,604404,0.09
22-Jun-1978,0,0.11,0.11,0.11,388596,0.09
23-Jun-1978,0,0.11,0.11,0.11,14400,0.09
26-Jun-1978,0,0.11,0.11,0.11,172800,0.09
27-Jun-1978,0,0.11,0.11,0.11,100800,0.09
28-Jun-1978,0,0.11,0.11,0.11,57600,0.09
29-Jun-1978,0,0.11,0.11,0.11,446196,0.09
30-Jun-1978,0,0.11,0.11,0.11,201396,0.09
03-Jul-1978,0,0.11,0.11,0.11,144000,0.09
05-Jul-1978,0,0.11,0.11,0.11,316596,0.09
06-Jul-1978,0,0.11,0.11,0.11,431796,0.09
07-Jul-1978,0,0.11,0.11,0.11,14400,0.09
10-Jul-1978,0,0.11,0.11,0.11,129600,0.09
11-Jul-1978,0,0.11,0.11,0.11,244596,0.09
12-Jul-1978,0,0.11,0.11,0.11,14400,0.09
13-Jul-1978,0,0.11,0.11,0.11,100800,0.09
14-Jul-1978,0,0.11,0.11,0.11,402996,0.09
17-Jul-1978,0,0.11,0.11,0.11,215796,0.09
18-Jul-1978,0,0.11,0.11,0.11,14400,0.09
19-Jul-1978,0,0.11,0.11,0.11,503796,0.09
20-Jul-1978,0,0.11,0.11,0.11,72000,0.09
21-Jul-1978,0,0.11,0.11,0.11,590196,0.09
24-Jul-1978,0,0.11,0.11,0.11,273396,0.09
25-Jul-1978,0,0.11,0.11,0.11,705204,0.09
26-Jul-1978,0,0.11,0.11,0.11,978804,0.09
27-Jul-1978,0,0.12,0.11,0.11,878004,0.09
28-Jul-1978,0,0.12,0.11,0.11,244596,0.09
31-Jul-1978,0,0.12,0.11,0.11,417396,0.09
01-Aug-1978,0,0.12,0.12,0.12,345396,0.1
02-Aug-1978,0,0.12,0.12,0.12,489396,0.1
03-Aug-1978,0,0.12,0.12,0.12,834804,0.1
04-Aug-1978,0,0.12,0.12,0.12,374196,0.1
07-Aug-1978,0,0.12,0.11,0.11,446196,0.09
08-Aug-1978,0,0.12,0.11,0.11,129600,0.09
09-Aug-1978,NaN,NaN,NaN,0.11,0,0.09
10-Aug-1978,0,0.12,0.11,0.11,43200,0.09
11-Aug-1978,0,0.12,0.11,0.11,230196,0.09
14-Aug-1978,0,0.12,0.11,0.11,215796,0.09
15-Aug-1978,0,0.12,0.11,0.11,115200,0.09
16-Aug-1978,0,0.12,0.11,0.11,115200,0.09
17-Aug-1978,0,0.12,0.11,0.11,14400,0.09
18-Aug-1978,0,0.12,0.11,0.11,1769196,0.09
21-Aug-1978,0,0.12,0.11,0.11,489396,0.09
22-Aug-1978,0,0.12,0.11,0.11,72000,0.09
23-Aug-1978,0,0.12,0.11,0.11,863604,0.09
24-Aug-1978,0,0.12,0.11,0.11,129600,0.09
25-Aug-1978,0,0.12,0.11,0.11,431796,0.09
28-Aug-1978,0,0.12,0.11,0.11,662004,0.09
29-Aug-1978,0,0.12,0.11,0.11,129600,0.09
30-Aug-1978,0,0.12,0.11,0.11,345396,0.09
31-Aug-1978,0,0.12,0.11,0.11,345396,0.09
01-Sep-1978,0,0.12,0.11,0.11,2388000,0.09
05-Sep-1978,0,0.12,0.12,0.12,460596,0.1
06-Sep-1978,0,0.13,0.12,0.12,950004,0.1
07-Sep-1978,0,0.13,0.12,0.12,302196,0.1
08-Sep-1978,0,0.14,0.13,0.13,590196,0.1
11-Sep-1978,0,0.14,0.14,0.14,690804,0.11
12-Sep-1978,0,0.15,0.14,0.14,1050600,0.11
13-Sep-1978,0,0.14,0.14,0.14,1036200,0.11
14-Sep-1978,0,0.15,0.14,0.14,359796,0.11
15-Sep-1978,0,0.15,0.14,0.14,460596,0.11
