Date,Open,High,Low,Close,Volume,AdjClose
01-Jul-1983,0,0.75,0.74,0.74,2896306,0.49
05-Jul-1983,0,0.72,0.7,0.7,1640199,0.46
06-Jul-1983,0,0.75,0.73,0.73,620407,0.48
07-Jul-1983,0,0.72,0.7,0.7,675305,0.46
08-Jul-1983,0,0.72,0.69,0.69,207594,0.45
11-Jul-1983,0,0.72,0.69,0.69,150493,0.45
12-Jul-1983,0,0.7,0.69,0.69,242996,0.45
13-Jul-1983,0,0.7,0.68,0.68,202195,0.45
14-Jul-1983,0,0.68,0.67,0.67,86404,0.44
15-Jul-1983,0,0.65,0.63,0.63,313800,0.41
18-Jul-1983,0,0.64,0.62,0.62,127393,0.41
19-Jul-1983,0,0.64,0.62,0.62,266899,0.41
20-Jul-1983,0,0.65,0.63,0.63,331894,0.41
21-Jul-1983,0,0.65,0.63,0.63,239596,0.41
22-Jul-1983,0,0.69,0.65,0.65,178001,0.43
25-Jul-1983,0,0.7,0.68,0.68,142992,0.45
26-Jul-1983,0,0.73,0.7,0.7,313800,0.46
27-Jul-1983,0,0.72,0.69,0.69,300405,0.45
28-Jul-1983,0,0.72,0.69,0.69,95408,0.45
29-Jul-1983,0,0.7,0.68,0.68,116594,0.45
01-Aug-1983,0,0.7,0.69,0.69,170193,0.45
02-Aug-1983,0,0.72,0.69,0.69,40596,0.45
03-Aug-1983,0,0.7,0.69,0.69,93101,0.45
04-Aug-1983,0,0.7,0.68,0.68,79193,0.45
05-Aug-1983,0,0.7,0.68,0.68,18094,0.45
08-Aug-1983,0,0.7,0.67,0.67,40596,0.44
09-Aug-1983,0,0.69,0.67,0.67,16300,0.44
10-Aug-1983,0,0.69,0.67,0.67,20196,0.44
11-Aug-1983,0,0.69,0.67,0.67,54897,0.44
12-Aug-1983,0,0.68,0.65,0.65,221400,0.43
15-Aug-1983,0,0.67,0.64,0.64,34599,0.42
16-Aug-1983,0,0.65,0.63,0.63,24399,0.41
17-Aug-1983,0,0.65,0.63,0.63,23100,0.41
18-Aug-1983,0,0.64,0.62,0.62,34599,0.41
19-Aug-1983,0,0.64,0.62,0.62,14096,0.41
22-Aug-1983,0,0.63,0.61,0.61,68105,0.4
23-Aug-1983,0,0.62,0.61,0.61,109299,0.4
24-Aug-1983,0,0.62,0.61,0.61,33693,0.4
25-Aug-1983,0,0.62,0.61,0.61,93101,0.4
26-Aug-1983,0,0.62,0.61,0.61,47396,0.4
29-Aug-1983,0,0.62,0.59,0.59,54607,0.39
30-Aug-1983,0,0.61,0.58,0.58,34599,0.38
31-Aug-1983,0,0.61,0.58,0.58,18094,0.38
01-Sep-1983,0,0.61,0.58,0.58,24399,0.38
02-Sep-1983,0,0.61,0.58,0.58,27594,0.38
06-Sep-1983,0,0.61,0.58,0.58,18094,0.38
07-Sep-1983,0,0.59,0.58,0.58,74802,0.38
08-Sep-1983,0,0.59,0.58,0.58,40596,0.38
09-Sep-1983,0,0.59,0.58,0.58,10901,0.38
