Date,Open,High,Low,Close,Volume,AdjClose
08-Aug-1985,0,0.56,0.55,0.55,38630400,0.44
09-Aug-1985,0,0.55,0.55,0.55,10294400,0.44
12-Aug-1985,0,0.55,0.54,0.54,3756800,0.43
13-Aug-1985,0,0.53,0.52,0.52,15484800,0.42
14-Aug-1985,0,0.54,0.52,0.52,5305600,0.42
15-Aug-1985,0,0.53,0.52,0.52,4633600,0.42
16-Aug-1985,0,0.53,0.52,0.52,2230400,0.42
19-Aug-1985,0,0.53,0.52,0.52,665600,0.42
20-Aug-1985,0,0.53,0.53,0.53,1875200,0.42
21-Aug-1985,0,0.54,0.53,0.53,7030400,0.42
22-Aug-1985,0,0.54,0.54,0.54,6822400,0.43
23-Aug-1985,0,0.54,0.53,0.53,2720000,0.42
26-Aug-1985,0,0.54,0.53,0.53,2262400,0.42
27-Aug-1985,0,0.53,0.52,0.52,2342400,0.42
28-Aug-1985,0,0.53,0.52,0.52,342400,0.42
29-Aug-1985,0,0.53,0.52,0.52,368000,0.42
30-Aug-1985,0,0.53,0.52,0.52,963200,0.42
03-Sep-1985,0,0.52,0.52,0.52,1718400,0.42
04-Sep-1985,0,0.52,0.52,0.52,1708800,0.42
05-Sep-1985,0,0.52,0.52,0.52,1651200,0.42
06-Sep-1985,0,0.53,0.52,0.52,2441600,0.42
09-Sep-1985,0,0.53,0.52,0.52,2803200,0.42
10-Sep-1985,0,0.53,0.52,0.52,1958400,0.42
11-Sep-1985,0,0.52,0.52,0.52,2272000,0.42
12-Sep-1985,0,0.52,0.51,0.51,4339200,0.41
13-Sep-1985,0,0.47,0.46,0.46,2185600,0.37
16-Sep-1985,0,0.46,0.45,0.45,2265600,0.36
17-Sep-1985,0,0.41,0.41,0.41,2179200,0.33
18-Sep-1985,0,0.46,0.45,0.45,2150400,0.36
19-Sep-1985,0,0.48,0.48,0.48,1712000,0.38
20-Sep-1985,0,0.48,0.48,0.48,444800,0.38
23-Sep-1985,0,0.49,0.48,0.48,441600,0.38
24-Sep-1985,0,0.48,0.48,0.48,224000,0.38
25-Sep-1985,0,0.48,0.48,0.48,3385600,0.38
26-Sep-1985,0,0.48,0.48,0.48,646400,0.38
27-Sep-1985,NaN,NaN,NaN,0.47,0,0.38
30-Sep-1985,0,0.48,0.47,0.47,707200,0.38
01-Oct-1985,0,0.48,0.47,0.47,137600,0.38
