Date,Open,High,Low,Close,Volume,AdjClose
26-Jun-1992,0,0.35,0.32,0.34,24358400,0.3
29-Jun-1992,0,0.37,0.33,0.36,58732800,0.32
30-Jun-1992,0,0.37,0.34,0.35,34777600,0.31
01-Jul-1992,0,0.36,0.34,0.36,18316800,0.32
02-Jul-1992,0,0.36,0.35,0.36,13996800,0.32
06-Jul-1992,0,0.36,0.35,0.36,5753600,0.32
07-Jul-1992,0,0.36,0.35,0.36,10662400,0.32
08-Jul-1992,0,0.36,0.34,0.35,15500800,0.31
09-Jul-1992,0,0.36,0.35,0.36,3923200,0.32
10-Jul-1992,0,0.37,0.35,0.36,11232000,0.32
13-Jul-1992,0,0.37,0.36,0.37,5996800,0.33
14-Jul-1992,0,0.38,0.37,0.37,17062400,0.33
15-Jul-1992,0,0.38,0.37,0.38,4992000,0.34
16-Jul-1992,0,0.41,0.38,0.41,17062400,0.37
17-Jul-1992,0,0.44,0.4,0.43,15667200,0.38
20-Jul-1992,0,0.44,0.42,0.43,19744000,0.38
21-Jul-1992,0,0.45,0.43,0.44,7782400,0.39
22-Jul-1992,0,0.44,0.42,0.43,10892800,0.38
23-Jul-1992,0,0.44,0.43,0.44,10400000,0.39
24-Jul-1992,0,0.45,0.43,0.45,7052800,0.4
27-Jul-1992,0,0.46,0.45,0.46,11430400,0.41
28-Jul-1992,0,0.46,0.43,0.44,18009600,0.39
29-Jul-1992,0,0.44,0.41,0.42,30848000,0.38
30-Jul-1992,0,0.42,0.4,0.41,11737600,0.37
31-Jul-1992,0,0.42,0.41,0.42,6886400,0.38
03-Aug-1992,0,0.43,0.41,0.42,4832000,0.38
04-Aug-1992,0,0.43,0.41,0.43,6822400,0.38
05-Aug-1992,0,0.43,0.4,0.41,9516800,0.37
06-Aug-1992,0,0.41,0.4,0.41,3673600,0.37
07-Aug-1992,0,0.43,0.4,0.43,8825600,0.38
10-Aug-1992,0,0.43,0.41,0.43,5888000,0.38
11-Aug-1992,0,0.43,0.42,0.43,4147200,0.38
12-Aug-1992,0,0.43,0.4,0.41,12723200,0.37
13-Aug-1992,0,0.42,0.4,0.41,48320000,0.37
14-Aug-1992,0,0.41,0.38,0.39,17849600,0.35
17-Aug-1992,0,0.39,0.38,0.39,2681600,0.35
18-Aug-1992,0,0.39,0.38,0.39,2860800,0.35
19-Aug-1992,0,0.39,0.38,0.39,2380800,0.35
20-Aug-1992,0,0.4,0.38,0.39,2489600,0.35
21-Aug-1992,0,0.39,0.38,0.38,2048000,0.34
24-Aug-1992,0,0.39,0.38,0.38,6905600,0.34
25-Aug-1992,0,0.38,0.38,0.38,4128000,0.34
26-Aug-1992,0,0.38,0.36,0.38,19385600,0.34
27-Aug-1992,0,0.39,0.38,0.38,6169600,0.34
28-Aug-1992,0,0.39,0.38,0.39,3417600,0.35
31-Aug-1992,0,0.39,0.38,0.39,4441600,0.35
