Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,5.42,5.38,5.38,621900,0.48
04-Jan-1978,0,5.38,5.35,5.38,219300,0.48
05-Jan-1978,0,5.42,5.35,5.38,213400,0.48
06-Jan-1978,0,5.38,5.31,5.38,210800,0.48
09-Jan-1978,0,5.35,5.27,5.27,290000,0.47
10-Jan-1978,0,5.31,5.23,5.23,248800,0.46
11-Jan-1978,0,5.31,5.19,5.27,200700,0.47
12-Jan-1978,0,5.27,5.23,5.23,172800,0.46
13-Jan-1978,0,5.31,5.23,5.27,249100,0.47
16-Jan-1978,0,5.27,5.23,5.27,246800,0.47
17-Jan-1978,0,5.31,5.23,5.27,213100,0.47
18-Jan-1978,0,5.31,5.23,5.31,296600,0.47
19-Jan-1978,0,5.31,5.27,5.31,169600,0.47
20-Jan-1978,0,5.31,5.27,5.27,160400,0.47
23-Jan-1978,0,5.35,5.27,5.27,249100,0.47
24-Jan-1978,0,5.35,5.27,5.35,198700,0.47
25-Jan-1978,0,5.35,5.27,5.35,167300,0.47
26-Jan-1978,0,5.46,5.27,5.35,124100,0.47
27-Jan-1978,0,5.35,5.31,5.31,97500,0.47
30-Jan-1978,0,5.35,5.27,5.35,361700,0.47
31-Jan-1978,0,5.19,5.16,5.19,234400,0.46
01-Feb-1978,0,5.19,5.16,5.16,260600,0.46
02-Feb-1978,0,5.23,5.16,5.19,190200,0.46
03-Feb-1978,0,5.23,5.12,5.16,523400,0.46
06-Feb-1978,0,5.16,5.12,5.16,178400,0.46
07-Feb-1978,0,5.19,5.12,5.19,146000,0.46
08-Feb-1978,0,5.23,5.16,5.19,236000,0.46
09-Feb-1978,0,5.23,5.16,5.16,137200,0.46
10-Feb-1978,0,5.19,5.16,5.16,239600,0.46
13-Feb-1978,0,5.19,5.16,5.19,137800,0.46
14-Feb-1978,0,5.19,5.12,5.16,123400,0.46
15-Feb-1978,0,5.16,5.08,5.08,330600,0.45
16-Feb-1978,0,5.12,5.04,5.08,311300,0.45
17-Feb-1978,0,5.12,5.08,5.12,142700,0.45
21-Feb-1978,0,5.16,5.04,5.08,201000,0.45
22-Feb-1978,0,5.08,5,5.04,250100,0.45
23-Feb-1978,0,5.08,5.04,5.04,165600,0.45
24-Feb-1978,0,5.08,5.04,5.08,184900,0.45
