Date,Open,High,Low,Close,Volume,AdjClose
11-Dec-2002,11.5,12,11.25,11.5,36551200,7.26
12-Dec-2002,11.5,11.59,11.02,11.18,8923600,7.05
13-Dec-2002,11.1,11.65,10.95,11.42,7739400,7.21
16-Dec-2002,11.32,11.62,11.13,11.61,3829400,7.33
17-Dec-2002,11.6,11.78,11.45,11.5,2727800,7.26
18-Dec-2002,11.8,11.8,11.13,11.2,2151300,7.07
19-Dec-2002,11.2,11.2,10.71,10.76,6192500,6.79
20-Dec-2002,10.85,10.94,10.56,10.81,2929700,6.82
23-Dec-2002,10.71,10.71,10.2,10.4,3455600,6.56
24-Dec-2002,10.4,10.45,10,10.24,3302400,6.46
26-Dec-2002,10.05,10.2,10,10.03,2019200,6.33
27-Dec-2002,10,10.13,9.86,10.13,1639400,6.39
30-Dec-2002,10.37,10.55,10,10.47,2616800,6.61
31-Dec-2002,10.3,10.96,10.3,10.73,3680800,6.77
02-Jan-2003,10.75,10.76,10.25,10.5,3306000,6.63
03-Jan-2003,10.5,10.75,10.33,10.75,1716600,6.78
06-Jan-2003,10.9,11.57,10.85,11.43,4034400,7.21
07-Jan-2003,11.5,12.25,11.4,12.25,6823400,7.73
08-Jan-2003,12.05,12.24,11.95,12.2,4618100,7.7
09-Jan-2003,12.3,12.95,12.25,12.6,9005600,7.95
10-Jan-2003,11.5,12.6,10.7,11.1,7542900,7
13-Jan-2003,11.21,11.28,10.15,10.23,2369800,6.46
14-Jan-2003,10.23,10.35,10,10.25,1629100,6.47
15-Jan-2003,10.51,10.88,10.19,10.77,2588000,6.8
16-Jan-2003,10.98,11.1,10.78,11.01,1443100,6.95
17-Jan-2003,10.7,11,10.4,10.8,1998500,6.82
21-Jan-2003,10.9,10.98,10.21,10.24,1165700,6.46
22-Jan-2003,10.34,10.34,9.3,9.52,3488500,6.01
23-Jan-2003,9.75,10.15,9.61,10,2487400,6.31
24-Jan-2003,10.17,10.43,9.8,9.95,2771100,6.28
27-Jan-2003,9.8,9.9,9.32,9.35,1145000,5.9
28-Jan-2003,9.43,9.71,9.4,9.4,1267000,5.93
29-Jan-2003,9.42,9.92,9.4,9.73,1009600,6.14
30-Jan-2003,9.79,9.89,9.4,9.4,720500,5.93
31-Jan-2003,9.3,9.34,8.99,9.18,1402500,5.79
03-Feb-2003,9.23,9.45,9.16,9.17,1002400,5.79
04-Feb-2003,9.18,9.18,8.95,9.05,1067700,5.71
05-Feb-2003,9.12,9.21,8.98,9.05,1233500,5.71
06-Feb-2003,9.1,9.34,9.03,9.05,923500,5.71
07-Feb-2003,9.15,9.17,8.96,9,1069500,5.68
10-Feb-2003,8.95,8.95,7.78,8.7,10044100,5.49
11-Feb-2003,8.7,8.93,8.23,8.93,2238900,5.64
12-Feb-2003,8.95,8.95,8.18,8.34,1726000,5.28
13-Feb-2003,8.35,8.45,8,8.06,2111000,5.1
14-Feb-2003,8.06,8.4,8.06,8.4,880100,5.32
18-Feb-2003,8.4,8.74,8.39,8.74,2048300,5.53
19-Feb-2003,8.81,9,8.74,8.99,1493800,5.69
20-Feb-2003,8.89,9.15,8.87,9.01,760000,5.7
21-Feb-2003,9.03,9.36,9.03,9.2,1518900,5.83
24-Feb-2003,9.25,9.4,8.88,9,1055600,5.7
25-Feb-2003,9,9.75,8.97,9.68,3047700,6.13
26-Feb-2003,9.65,9.74,9.42,9.52,782300,6.03
27-Feb-2003,9.42,9.69,9.32,9.45,387000,5.98
28-Feb-2003,9.5,9.5,9.18,9.27,820200,5.87
03-Mar-2003,9.25,9.52,9.22,9.3,575800,5.89
04-Mar-2003,9.33,9.39,9.2,9.27,517600,5.87
05-Mar-2003,9.23,9.42,9.14,9.29,1017700,5.88
06-Mar-2003,9.19,9.75,9.19,9.58,1481100,6.07
07-Mar-2003,9.48,9.84,9.39,9.7,898800,6.14
10-Mar-2003,9.45,9.76,9.45,9.76,1837100,6.18
11-Mar-2003,9.7,9.75,9.45,9.55,1957300,6.05
12-Mar-2003,9.35,9.4,8.95,9.03,4556400,5.72
13-Mar-2003,9.03,9.15,8.88,9.05,4223600,5.73
14-Mar-2003,9.02,9.1,8.75,8.96,2370000,5.67
17-Mar-2003,8.96,9.43,8.85,9.35,993500,5.92
18-Mar-2003,9.35,9.56,9.35,9.54,781500,6.04
19-Mar-2003,9.45,9.51,9.18,9.34,874000,5.91
20-Mar-2003,9.25,9.45,9.2,9.44,1604600,5.98
21-Mar-2003,9.5,9.99,9.4,9.8,2559300,6.21
24-Mar-2003,9.45,9.76,9.43,9.55,1945600,6.05
25-Mar-2003,9.5,10.22,9.45,10,4659000,6.33
26-Mar-2003,9.85,10.19,9.75,10.1,2901000,6.39
27-Mar-2003,9.95,10.89,9.94,10.88,4405500,6.89
28-Mar-2003,10.69,10.8,10.35,10.35,2627500,6.55
31-Mar-2003,10,10.44,9.98,10.32,1127600,6.53
01-Apr-2003,10.42,10.68,10.33,10.57,1558200,6.69
02-Apr-2003,10.75,10.95,10.56,10.74,4103400,6.8
03-Apr-2003,10.84,10.85,10.41,10.72,1517100,6.79
04-Apr-2003,10.62,10.63,10.15,10.27,4553400,6.5
07-Apr-2003,10.3,10.48,10.2,10.31,3539600,6.53
08-Apr-2003,10.35,10.66,10.25,10.52,2169200,6.66
09-Apr-2003,10.62,10.8,10.5,10.72,1889300,6.79
10-Apr-2003,10.72,10.9,10.56,10.83,1988500,6.86
11-Apr-2003,10.85,10.95,10.82,10.95,1500200,6.93
14-Apr-2003,10.9,11.05,10.66,11.05,991300,7
15-Apr-2003,11,11.75,10.9,11.45,2345000,7.25
16-Apr-2003,11.6,12.35,11.6,11.9,8202200,7.53
17-Apr-2003,11.87,12.25,11.8,12.25,2415600,7.76
21-Apr-2003,12.1,12.3,12,12.26,1866600,7.76
22-Apr-2003,12.19,12.45,12,12.35,1270200,7.82
23-Apr-2003,12.35,12.35,11.45,11.75,2736400,7.44
24-Apr-2003,11.65,11.73,11.46,11.5,1240800,7.28
25-Apr-2003,11.5,11.5,11.1,11.36,1543400,7.19
28-Apr-2003,11.33,11.7,11.3,11.48,1575400,7.27
29-Apr-2003,11.6,12.12,11.6,12.04,1518300,7.62
30-Apr-2003,11.91,12.09,11.58,12.09,2083700,7.65
01-May-2003,12.03,12.3,11.95,12.25,1312200,7.76
02-May-2003,12.18,12.32,11.85,12.29,1900900,7.78
05-May-2003,12.23,12.58,12.2,12.54,2175700,7.94
06-May-2003,12.25,12.54,12.25,12.5,757300,7.91
07-May-2003,12.42,12.8,12.4,12.7,988900,8.06
08-May-2003,12.6,12.75,12.5,12.72,815300,8.07
09-May-2003,12.75,12.77,12.45,12.59,1147400,7.99
12-May-2003,12.5,13.45,12.25,13.36,3119100,8.48
13-May-2003,13.3,14.22,13.25,13.93,4716100,8.84
14-May-2003,13.97,14,13.36,13.65,1348700,8.66
15-May-2003,13.65,13.75,13.16,13.4,797300,8.5
16-May-2003,13.33,13.55,12.83,13.55,1491900,8.6
19-May-2003,13.45,13.58,13.3,13.35,1052300,8.47
20-May-2003,13.3,13.35,12.88,13.1,2152800,8.31
21-May-2003,13,13.57,13,13.28,930600,8.43
22-May-2003,13.18,13.49,13.15,13.43,1114800,8.52
23-May-2003,13.43,13.64,13.3,13.32,1239000,8.45
27-May-2003,13.42,14.04,13.33,13.95,2212100,8.85
28-May-2003,13.85,15.01,13.78,14.84,3515900,9.42
29-May-2003,15.3,15.9,15.11,15.15,5121900,9.62
30-May-2003,15.04,15.46,14.6,15.15,2395300,9.62
02-Jun-2003,15.5,15.75,15.48,15.54,1695100,9.86
03-Jun-2003,15,15.2,14.6,14.86,2191600,9.43
04-Jun-2003,14.96,15.14,14.59,14.97,2222300,9.5
05-Jun-2003,14.97,16.04,14.76,15.97,2240400,10.14
06-Jun-2003,15.97,16.53,15.3,15.4,3287000,9.77
09-Jun-2003,14.5,15.38,14.5,15.35,4232800,9.74
10-Jun-2003,15.38,15.6,14.85,15.02,4151600,9.53
11-Jun-2003,14.92,15.4,14.86,15.25,2929900,9.68
12-Jun-2003,15.18,15.6,15,15.6,2540000,9.9
13-Jun-2003,15.64,16,15.4,15.96,2168100,10.13
16-Jun-2003,16,17.1,15.78,17,3808300,10.79
17-Jun-2003,17.35,18,17.25,17.25,5949200,10.95
18-Jun-2003,17.25,17.62,17.1,17.62,2886600,11.18
19-Jun-2003,17.55,17.9,17.23,17.34,3817700,11.01
20-Jun-2003,17.39,17.62,17.16,17.31,1861400,10.99
23-Jun-2003,17.15,17.3,16.62,16.97,1957500,10.77
24-Jun-2003,16.93,17.04,16.59,16.85,1435300,10.69
25-Jun-2003,16.75,17.45,16.75,17.24,1378000,10.94
26-Jun-2003,17.15,18.39,17.14,18.38,3665000,11.67
27-Jun-2003,18.39,18.49,18.02,18.18,2555500,11.54
30-Jun-2003,17.74,18.15,17.6,17.65,2938700,11.2
01-Jul-2003,17.65,18.19,17.45,18.19,2752100,11.54
02-Jul-2003,18.19,19.99,18.19,19.62,4668700,12.45
03-Jul-2003,19.4,19.63,19,19.5,2009300,12.38
07-Jul-2003,19.9,20.47,19.76,20.35,2287100,12.92
08-Jul-2003,20.34,20.5,20.02,20.44,2131400,12.97
09-Jul-2003,20.38,20.39,19.95,20.23,3481700,12.84
10-Jul-2003,20.05,20.15,19.62,19.8,2333600,12.57
11-Jul-2003,19.82,20.35,19.82,20.35,747300,12.92
14-Jul-2003,20.5,21.2,20.5,21,2201700,13.33
15-Jul-2003,21.15,21.5,20.4,20.65,3236900,13.11
16-Jul-2003,21,22.26,20.79,21.56,6579600,13.68
17-Jul-2003,21.3,21.45,20.93,21.02,3200200,13.34
18-Jul-2003,20.6,20.7,20,20.03,5181800,12.71
21-Jul-2003,19.7,19.8,19.35,19.75,3294000,12.54
22-Jul-2003,19.85,20,19.77,19.92,3099300,12.64
23-Jul-2003,20,20,19.35,19.5,5491800,12.38
24-Jul-2003,19.5,19.55,18.85,18.93,8139300,12.01
25-Jul-2003,18.8,19.07,18.67,18.89,20317300,11.99
28-Jul-2003,19.02,20.48,19.02,20.48,6764800,13
29-Jul-2003,20.25,20.68,19.87,20.5,3675800,13.01
30-Jul-2003,20.5,20.86,20.21,20.86,2887800,13.24
31-Jul-2003,20.9,21.93,20.72,21.8,4227500,13.84
01-Aug-2003,21.78,21.79,21.05,21.18,2013700,13.44
04-Aug-2003,20.75,21.21,20.13,21.05,3100200,13.36
05-Aug-2003,21.02,21.5,20.9,21,2491200,13.33
06-Aug-2003,21.01,21.83,21.01,21.64,3584700,13.76
07-Aug-2003,21.45,21.63,20.92,21.47,2563300,13.65
08-Aug-2003,21.47,21.86,21.25,21.8,2030700,13.86
11-Aug-2003,22.35,22.7,22,22.17,3725100,14.1
12-Aug-2003,22.25,22.4,21.72,22.3,1907800,14.18
13-Aug-2003,22.3,22.55,21.68,21.7,2183700,13.8
14-Aug-2003,21.5,21.5,20.24,20.7,9268500,13.16
15-Aug-2003,20.7,20.74,20.35,20.7,1894500,13.16
18-Aug-2003,20.82,21.5,20.3,21.45,3658900,13.64
19-Aug-2003,21.85,22.1,21.61,21.99,2278400,13.98
20-Aug-2003,21.99,22.15,21.74,21.78,1322800,13.85
21-Aug-2003,21.85,22.35,21.76,22.07,1893100,14.03
22-Aug-2003,23.4,23.52,21.94,21.94,3969500,13.95
25-Aug-2003,22.04,22.2,21.7,21.8,1633700,13.86
26-Aug-2003,21.8,22.08,21.2,22.01,1520200,14
27-Aug-2003,21.94,23.85,21.91,23.72,3272600,15.08
28-Aug-2003,23.9,24.71,23.56,23.76,2757900,15.11
29-Aug-2003,23.6,23.6,22.85,23.01,2123300,14.63
02-Sep-2003,23.65,24.79,23.42,24.55,2992100,15.61
03-Sep-2003,24.71,25,24.27,24.4,2943000,15.52
04-Sep-2003,24.35,24.95,24.05,24.6,1593600,15.64
05-Sep-2003,24.48,24.8,23.9,23.96,2343300,15.24
08-Sep-2003,24.05,25.25,24,25.25,3074300,16.06
09-Sep-2003,25.25,25.25,24.58,25.16,2622500,16
10-Sep-2003,25.08,25.08,24.35,24.78,3210800,15.76
11-Sep-2003,24.8,24.99,23.65,23.73,2790900,15.09
12-Sep-2003,23.5,23.64,23.03,23.45,1964700,14.91
15-Sep-2003,23.25,23.6,23.04,23.29,1201500,14.81
16-Sep-2003,23.7,25,23.7,24.95,1841500,15.87
17-Sep-2003,24.8,25.74,24.77,25.51,2868600,16.22
18-Sep-2003,25.52,26.4,25.05,26.28,2744100,16.71
19-Sep-2003,26.35,27.25,26.25,26.81,3578400,17.05
22-Sep-2003,25,26.57,25,26.49,2713200,16.84
23-Sep-2003,27.44,27.6,26.99,27.34,3337800,17.39
24-Sep-2003,27.67,27.91,26.48,26.48,3288000,16.84
25-Sep-2003,26.65,27.25,25.7,25.9,2520500,16.47
26-Sep-2003,26,26.8,25.56,25.95,2627300,16.5
29-Sep-2003,26.05,27.6,26.05,27.16,2948700,17.27
30-Sep-2003,27.16,27.8,26.59,27.2,2624600,17.3
01-Oct-2003,27.75,28.19,27.6,28.1,2785000,17.87
02-Oct-2003,28.25,28.3,27.48,27.92,2770900,17.75
03-Oct-2003,28.39,28.6,27.65,27.72,2625800,17.63
06-Oct-2003,28.48,28.48,27.8,28,918200,17.81
07-Oct-2003,28.01,29,27.2,29,1606500,18.44
08-Oct-2003,28.8,29,28.4,28.64,2981400,18.21
09-Oct-2003,28.95,30,28.72,29.27,5020700,18.61
10-Oct-2003,29.45,29.89,29.39,29.78,2127400,18.94
13-Oct-2003,29.8,30.1,29.6,29.95,2009700,19.05
14-Oct-2003,29.7,30.86,29.65,30.6,2554700,19.46
15-Oct-2003,30.6,31.35,30.45,30.5,4172000,19.39
16-Oct-2003,30.5,30.7,30.08,30.35,2142900,19.3
17-Oct-2003,30.35,30.35,29.4,29.62,2074800,18.84
20-Oct-2003,29.85,29.88,29.04,29.3,1415800,18.63
21-Oct-2003,29.75,29.97,29.2,29.5,1719300,18.76
22-Oct-2003,26.5,26.5,20.61,22.28,39971700,14.17
23-Oct-2003,22,22.2,21.1,22.2,14079400,14.12
24-Oct-2003,22.9,22.9,21.86,22.25,5728600,14.15
27-Oct-2003,22,22.11,20.33,21,10236100,13.35
