Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,3.58,3.52,3.58,22200,1.49
04-Jan-1978,0,3.55,3.42,3.42,33000,1.42
05-Jan-1978,0,3.47,3.44,3.44,7800,1.43
06-Jan-1978,0,3.42,3.36,3.39,48600,1.41
09-Jan-1978,0,3.39,3.36,3.36,13200,1.39
10-Jan-1978,0,3.34,3.31,3.31,13200,1.37
11-Jan-1978,0,3.33,3.31,3.31,36600,1.37
12-Jan-1978,0,3.34,3.3,3.3,10800,1.37
13-Jan-1978,0,3.38,3.31,3.31,14400,1.37
16-Jan-1978,0,3.3,3.3,3.3,2400,1.37
17-Jan-1978,0,3.36,3.3,3.36,16800,1.39
18-Jan-1978,0,3.39,3.34,3.34,217599,1.39
19-Jan-1978,0,3.33,3.3,3.33,144600,1.38
20-Jan-1978,NaN,NaN,NaN,3.33,0,1.38
23-Jan-1978,0,3.3,3.3,3.3,52800,1.37
24-Jan-1978,0,3.3,3.3,3.3,9600,1.37
25-Jan-1978,0,3.3,3.3,3.3,22200,1.37
26-Jan-1978,0,3.31,3.3,3.3,144600,1.37
27-Jan-1978,0,3.31,3.3,3.3,96000,1.37
30-Jan-1978,0,3.19,3.17,3.19,61200,1.32
31-Jan-1978,0,3.22,3.22,3.22,16800,1.34
01-Feb-1978,0,3.22,3.17,3.17,23400,1.32
02-Feb-1978,0,3.25,3.19,3.25,61800,1.35
03-Feb-1978,0,3.25,3.22,3.22,9600,1.34
06-Feb-1978,0,3.22,3.22,3.22,1800,1.34
07-Feb-1978,0,3.25,3.22,3.22,3600,1.34
08-Feb-1978,0,3.22,3.19,3.19,10800,1.32
09-Feb-1978,0,3.17,3.17,3.17,2400,1.32
10-Feb-1978,0,3.17,3.14,3.17,27600,1.32
13-Feb-1978,0,3.2,3.17,3.2,55800,1.33
14-Feb-1978,0,3.19,3.19,3.19,11400,1.32
15-Feb-1978,0,3.2,3.19,3.19,7200,1.32
16-Feb-1978,0,3.2,3.17,3.17,12600,1.32
17-Feb-1978,0,3.17,3.17,3.17,19800,1.32
21-Feb-1978,0,3.14,3.12,3.14,18600,1.3
22-Feb-1978,0,3.11,3.06,3.06,10800,1.27
23-Feb-1978,0,3.14,3.06,3.14,22200,1.3
24-Feb-1978,0,3.25,3.17,3.22,18000,1.34
27-Feb-1978,0,3.25,3.23,3.25,22200,1.35
28-Feb-1978,0,3.25,3.23,3.23,1800,1.34
01-Mar-1978,0,3.27,3.22,3.25,61800,1.35
02-Mar-1978,0,3.27,3.25,3.27,6000,1.36
03-Mar-1978,0,3.25,3.23,3.25,46800,1.35
06-Mar-1978,0,3.27,3.23,3.27,27600,1.36
07-Mar-1978,0,3.27,3.25,3.27,11400,1.36
08-Mar-1978,0,3.27,3.25,3.25,13200,1.35
09-Mar-1978,0,3.27,3.25,3.27,10800,1.36
10-Mar-1978,0,3.3,3.27,3.3,6000,1.37
13-Mar-1978,0,3.44,3.33,3.44,260799,1.43
14-Mar-1978,0,3.52,3.42,3.52,9600,1.46
15-Mar-1978,0,3.56,3.55,3.56,18000,1.48
16-Mar-1978,0,3.52,3.44,3.44,58200,1.43
17-Mar-1978,0,3.47,3.39,3.39,28800,1.41
20-Mar-1978,0,3.45,3.42,3.44,41400,1.43
21-Mar-1978,0,3.45,3.45,3.45,4200,1.43
22-Mar-1978,0,3.52,3.48,3.52,10800,1.46
23-Mar-1978,0,3.67,3.55,3.64,169200,1.51
27-Mar-1978,0,3.64,3.55,3.55,29400,1.47
28-Mar-1978,0,3.58,3.55,3.55,32400,1.47
29-Mar-1978,0,3.52,3.5,3.5,9600,1.45
30-Mar-1978,0,3.52,3.52,3.52,36600,1.46
31-Mar-1978,0,3.58,3.55,3.56,21600,1.48
03-Apr-1978,0,3.61,3.56,3.58,31200,1.49
04-Apr-1978,0,3.61,3.58,3.58,5400,1.49
05-Apr-1978,0,3.61,3.58,3.58,73800,1.49
06-Apr-1978,0,3.61,3.59,3.59,28800,1.49
07-Apr-1978,0,3.69,3.61,3.64,130200,1.51
10-Apr-1978,0,3.67,3.64,3.64,36600,1.51
11-Apr-1978,0,3.69,3.67,3.69,47400,1.53
12-Apr-1978,0,3.67,3.62,3.64,29400,1.51
13-Apr-1978,0,3.61,3.56,3.56,7200,1.48
14-Apr-1978,0,3.64,3.55,3.59,36000,1.49
17-Apr-1978,0,3.77,3.67,3.73,84600,1.55
18-Apr-1978,0,3.72,3.67,3.7,108000,1.54
19-Apr-1978,0,3.7,3.67,3.69,63600,1.53
20-Apr-1978,0,3.77,3.69,3.75,144000,1.56
21-Apr-1978,0,3.77,3.72,3.72,163800,1.54
24-Apr-1978,0,3.77,3.72,3.77,39600,1.56
25-Apr-1978,0,3.8,3.77,3.77,112200,1.56
26-Apr-1978,0,3.8,3.73,3.8,72600,1.58
27-Apr-1978,0,3.8,3.77,3.8,45600,1.58
28-Apr-1978,0,3.8,3.77,3.77,15000,1.56
01-May-1978,0,3.88,3.8,3.86,34200,1.6
02-May-1978,0,3.89,3.86,3.86,91800,1.6
03-May-1978,0,3.89,3.8,3.89,106200,1.61
04-May-1978,0,3.94,3.84,3.94,144600,1.63
05-May-1978,0,4,3.92,3.98,249999,1.65
08-May-1978,0,4.02,3.98,4.02,72600,1.67
09-May-1978,0,4.05,3.97,3.97,88800,1.65
10-May-1978,0,4.02,3.97,4.02,7800,1.67
11-May-1978,0,4.17,4.05,4.17,369399,1.73
12-May-1978,0,4.42,4.39,4.39,228399,1.82
15-May-1978,0,4.36,4.3,4.3,65400,1.78
16-May-1978,0,4.44,4.39,4.39,159000,1.82
17-May-1978,0,4.42,4.39,4.42,142200,1.83
18-May-1978,0,4.39,4.3,4.3,119400,1.78
19-May-1978,0,4.27,4.22,4.25,570399,1.76
22-May-1978,0,4.27,4.14,4.14,99000,1.72
23-May-1978,0,4.23,4.19,4.22,85200,1.75
24-May-1978,0,4.19,4.11,4.14,110400,1.72
25-May-1978,0,4.19,4.17,4.17,63600,1.73
26-May-1978,0,4.3,4.19,4.27,401199,1.77
30-May-1978,0,4.3,4.19,4.19,54000,1.74
31-May-1978,0,4.22,4.19,4.22,372999,1.75
01-Jun-1978,0,4.3,4.19,4.27,140400,1.77
02-Jun-1978,0,4.3,4.27,4.3,15000,1.78
05-Jun-1978,0,4.36,4.27,4.36,121200,1.81
06-Jun-1978,0,4.55,4.52,4.52,90000,1.88
07-Jun-1978,0,4.67,4.55,4.55,201399,1.89
08-Jun-1978,0,4.61,4.52,4.58,88200,1.9
09-Jun-1978,0,4.67,4.58,4.64,32400,1.93
