Date,Open,High,Low,Close,Volume,AdjClose
31-Jul-2014,23,24,22.6,23,56483860,22.39
01-Aug-2014,22.9,23,22.67,23,6458897,22.39
04-Aug-2014,23.1,23.13,22.9,23,3455893,22.39
05-Aug-2014,22.99,23.01,22.67,23,4450212,22.39
06-Aug-2014,22.8,22.98,22.67,22.98,6993351,22.37
07-Aug-2014,22.89,23,22.8,22.93,3190375,22.32
08-Aug-2014,22.93,23.03,22.8,22.95,2855023,22.34
11-Aug-2014,22.9,22.93,22.8,22.93,1767541,22.32
12-Aug-2014,22.89,23,22.83,23,1549684,22.39
13-Aug-2014,23,23.23,22.88,23.18,1659478,22.56
14-Aug-2014,23.2,23.22,22.95,23.01,1391857,22.4
15-Aug-2014,23.02,23.08,23,23,1948218,22.39
18-Aug-2014,23.06,23.17,23.02,23.17,1073659,22.55
19-Aug-2014,23.2,24.44,23.2,24.41,2852039,23.76
20-Aug-2014,24.3,25.59,24.26,25.19,3549452,24.52
21-Aug-2014,25.47,25.52,24.92,25.39,2358073,24.72
22-Aug-2014,25.25,25.43,25.1,25.36,892137,24.69
25-Aug-2014,25.37,25.4,24.88,25.12,1185585,24.45
26-Aug-2014,25,25.1,24.94,25.05,951035,24.38
27-Aug-2014,25,25.54,24.95,25.47,1230580,24.79
28-Aug-2014,25.4,25.84,25.31,25.69,982632,25.01
29-Aug-2014,25.81,25.94,25.45,25.79,982178,25.1
02-Sep-2014,25.7,25.9,25.52,25.79,1873183,25.1
03-Sep-2014,25.99,26,25.63,25.79,996517,25.1
04-Sep-2014,25.53,25.75,25.51,25.7,1117454,25.02
05-Sep-2014,25.7,26.02,25.62,25.77,1090378,25.09
08-Sep-2014,25.82,25.98,24.62,24.84,2535161,24.18
09-Sep-2014,25.3,25.6,24.7,25.04,3608750,24.37
10-Sep-2014,25.19,25.3,24.69,24.7,1974609,24.04
11-Sep-2014,24.75,25.02,24.63,24.65,2029069,23.99
12-Sep-2014,24.53,24.75,24.44,24.5,1106815,23.85
15-Sep-2014,24.35,24.38,23.92,24.15,1125620,23.51
16-Sep-2014,24.24,24.36,23.88,24.31,1512128,23.66
17-Sep-2014,24.45,24.69,24.36,24.55,940500,23.9
18-Sep-2014,24.57,24.84,24.56,24.67,879112,24.01
19-Sep-2014,24.85,25.49,24.71,25.41,5257854,24.73
22-Sep-2014,25.28,25.36,24.75,24.84,736969,24.18
23-Sep-2014,24.66,24.7,24.18,24.58,939952,23.93
24-Sep-2014,24.73,25,24.68,24.92,964624,24.26
25-Sep-2014,24.98,24.98,24.61,24.63,1350755,23.98
26-Sep-2014,24.61,24.8,24.34,24.77,1252820,24.11
29-Sep-2014,24.57,24.78,24.34,24.7,1482038,24.04
30-Sep-2014,24.87,25.12,24.21,24.55,8795069,23.9
01-Oct-2014,24.44,24.59,24.18,24.22,1196693,23.58
02-Oct-2014,24.35,24.69,23.76,24.58,1252964,23.93
03-Oct-2014,24.78,25.09,24.41,24.83,1737477,24.17
06-Oct-2014,24.86,25.1,24.75,25,1057137,24.34
07-Oct-2014,24.94,24.97,24.55,24.85,803747,24.19
08-Oct-2014,24.81,25.02,24.7,25.02,1074471,24.36
