Date,Open,High,Low,Close,Volume,AdjClose
15-Mar-2006,23.95,24.69,23.45,24.1,7251200,9
16-Mar-2006,24.1,24.35,23.89,24.27,649100,9.06
17-Mar-2006,24.25,25.12,24.15,25.01,287000,9.34
20-Mar-2006,25.17,25.61,24.75,24.9,282800,9.3
21-Mar-2006,24.89,24.89,24,24.2,274700,9.03
22-Mar-2006,24.05,24.3,24,24.16,103000,9.02
23-Mar-2006,24.09,24.2,23.99,24.1,106200,9
24-Mar-2006,24.3,24.99,24.24,24.5,101300,9.15
27-Mar-2006,24.65,25.75,24.45,24.75,111700,9.24
28-Mar-2006,24.73,24.86,24.55,24.7,115400,9.22
29-Mar-2006,24.95,25.05,24.75,24.9,81900,9.3
30-Mar-2006,24.95,25.45,24.95,25.45,132400,9.5
31-Mar-2006,25.5,25.96,25.5,25.75,100100,9.61
03-Apr-2006,25.8,25.8,24.8,24.9,291800,9.3
04-Apr-2006,24.89,24.9,24.7,24.8,220200,9.26
05-Apr-2006,24.75,24.76,24.63,24.68,122200,9.21
06-Apr-2006,24.5,24.68,24.05,24.25,130100,9.05
07-Apr-2006,24.25,24.25,23.9,24.11,33700,9
10-Apr-2006,24.05,24.35,24.01,24.31,43800,9.08
11-Apr-2006,24.28,24.28,23.95,24.1,163800,9
12-Apr-2006,25.35,25.35,24.07,24.1,664800,9
13-Apr-2006,24.15,24.45,24.01,24.38,214700,9.1
17-Apr-2006,24.39,24.7,24.39,24.6,203100,9.18
18-Apr-2006,24.52,24.58,23.98,24.25,186400,9.05
19-Apr-2006,24.25,25,24.25,24.75,241600,9.24
20-Apr-2006,24.8,25.94,24.73,25.6,166400,9.56
21-Apr-2006,25.7,26.1,25.21,25.45,401800,9.5
24-Apr-2006,25.45,25.9,25.3,25.51,92400,9.52
25-Apr-2006,25.48,26.2,25.48,25.8,232500,9.63
26-Apr-2006,25.65,26,25.5,25.75,145000,9.61
27-Apr-2006,25.76,25.85,25.26,25.39,52300,9.48
28-Apr-2006,25.39,25.4,24.13,24.73,232200,9.23
01-May-2006,24.73,25.17,24.73,25.14,151000,9.38
02-May-2006,25.15,25.2,24.74,24.75,124000,9.24
03-May-2006,24.75,24.76,24.56,24.62,110100,9.19
04-May-2006,24.52,24.61,24.11,24.58,95500,9.18
05-May-2006,24.5,24.64,24.22,24.55,104900,9.16
08-May-2006,24.5,25,24.46,24.86,106200,9.28
09-May-2006,24.88,25,24.65,24.92,85400,9.3
10-May-2006,25.05,25.1,24.78,24.99,74200,9.33
11-May-2006,25.09,25.8,25,25.8,57100,9.63
12-May-2006,25.4,25.5,24.94,25.47,49300,9.51
15-May-2006,25.39,25.4,25.14,25.28,72200,9.44
16-May-2006,25.25,25.74,25.24,25.54,84600,9.53
17-May-2006,25.45,25.45,25.25,25.4,98200,9.48
18-May-2006,25.33,25.68,25.33,25.41,68800,9.49
19-May-2006,25.31,25.4,25.05,25.4,165700,9.48
22-May-2006,25.36,25.53,25.06,25.51,66100,9.52
23-May-2006,25.35,25.45,25.22,25.25,47300,9.43
24-May-2006,25.2,25.4,24.89,25.3,37600,9.44
25-May-2006,25.25,25.31,24.91,25.08,50200,9.36
26-May-2006,25,25.05,24.94,25,44200,9.33
30-May-2006,24.98,25.08,24.78,24.98,68500,9.33
31-May-2006,25,25.29,24.95,25.19,69000,9.4
01-Jun-2006,25.09,26,25.02,26,40100,9.71
02-Jun-2006,25.9,26.5,25.8,26.5,69500,9.89
05-Jun-2006,26.4,26.53,26.19,26.48,67400,9.89
06-Jun-2006,26.48,26.48,25.97,26.05,62300,9.72
07-Jun-2006,26.05,26.15,25.65,25.87,52700,9.66
08-Jun-2006,25.77,25.82,25.35,25.82,40600,9.64
09-Jun-2006,25.85,25.91,24.8,24.8,145000,9.26
12-Jun-2006,24.85,24.85,23.75,24.01,55300,8.96
13-Jun-2006,23.89,24.01,23.02,23.04,301500,8.6
14-Jun-2006,23,23,21.42,22.23,230800,8.3
15-Jun-2006,22.33,22.59,22.18,22.45,185600,8.38
16-Jun-2006,22.51,23.6,22.5,23.45,90600,8.75
19-Jun-2006,23.65,23.9,21.85,22.9,105100,8.55
20-Jun-2006,23.13,23.78,22.82,23.67,62300,8.84
21-Jun-2006,23.65,24.6,23.45,24.44,49000,9.12
22-Jun-2006,24.53,24.85,24.51,24.63,35900,9.19
23-Jun-2006,24.7,25.89,24.62,25.38,86700,9.47
26-Jun-2006,25.4,26.13,25.34,26.06,36400,9.73
27-Jun-2006,25.83,26.73,25.83,26.11,118100,9.75
28-Jun-2006,26.16,26.16,25.43,25.47,106100,9.51
29-Jun-2006,25.47,26,25.47,25.88,91600,9.66
30-Jun-2006,25.9,25.9,23.95,23.95,765000,8.94
03-Jul-2006,24.2,24.4,23.3,23.53,173500,8.78
05-Jul-2006,23.43,23.53,23.1,23.48,54900,8.77
06-Jul-2006,23.48,23.5,22.93,23.04,83100,8.6
07-Jul-2006,22.96,23.3,22.88,23,72900,8.59
