Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.91,0.86,0.86,98499,0.83
04-Jan-1978,0,0.92,0.88,0.88,54601,0.85
05-Jan-1978,0,0.92,0.88,0.88,50500,0.85
06-Jan-1978,0,0.91,0.86,0.86,142999,0.83
09-Jan-1978,0,0.89,0.84,0.84,98499,0.81
10-Jan-1978,0,0.84,0.81,0.81,186999,0.78
11-Jan-1978,0,0.86,0.82,0.82,9399,0.79
12-Jan-1978,0,0.86,0.82,0.82,27601,0.79
13-Jan-1978,0,0.89,0.84,0.84,50500,0.81
16-Jan-1978,0,0.88,0.83,0.83,36598,0.8
17-Jan-1978,0,0.94,0.89,0.89,105199,0.86
18-Jan-1978,0,0.99,0.95,0.95,122799,0.92
19-Jan-1978,0,0.98,0.94,0.94,95998,0.91
20-Jan-1978,0,0.98,0.94,0.94,27101,0.91
23-Jan-1978,0,0.98,0.94,0.94,47398,0.91
24-Jan-1978,0,0.98,0.94,0.94,27601,0.91
25-Jan-1978,0,0.99,0.95,0.95,77800,0.92
26-Jan-1978,0,0.99,0.95,0.95,163900,0.92
27-Jan-1978,0,1.06,1.01,1.01,215700,0.98
30-Jan-1978,0,1.04,0.99,0.99,136401,0.96
31-Jan-1978,0,1.02,0.98,0.98,93099,0.95
01-Feb-1978,0,1.04,0.99,0.99,77800,0.96
02-Feb-1978,0,1.04,0.99,0.99,75701,0.96
03-Feb-1978,0,1.04,0.99,0.99,33699,0.96
06-Feb-1978,0,1.06,1.01,1.01,48600,0.98
07-Feb-1978,0,1.08,1.04,1.04,282298,1.01
08-Feb-1978,0,1.06,1.01,1.01,127400,0.98
09-Feb-1978,0,1.08,1.04,1.04,153100,1.01
10-Feb-1978,0,1.08,1.04,1.04,118699,1.01
13-Feb-1978,0,1.08,1.04,1.04,143900,1.01
14-Feb-1978,0,1.09,1.06,1.06,355198,1.03
15-Feb-1978,0,1.09,1.06,1.06,188301,1.03
16-Feb-1978,0,1.09,1.06,1.06,102100,1.03
17-Feb-1978,0,1.09,1.06,1.06,123400,1.03
21-Feb-1978,0,1.09,1.06,1.06,300399,1.03
22-Feb-1978,0,1.09,1.06,1.06,81901,1.03
23-Feb-1978,0,1.09,1.06,1.06,136900,1.03
24-Feb-1978,0,1.11,1.07,1.07,294300,1.03
27-Feb-1978,0,1.14,1.09,1.09,3704900,1.05
28-Feb-1978,0,1.17,1.12,1.12,347500,1.08
01-Mar-1978,0,1.2,1.16,1.16,248599,1.12
02-Mar-1978,0,1.21,1.17,1.17,327399,1.13
03-Mar-1978,0,1.24,1.2,1.2,340899,1.16
06-Mar-1978,0,1.2,1.16,1.16,321401,1.12
07-Mar-1978,0,1.2,1.16,1.16,100001,1.12
08-Mar-1978,0,1.2,1.16,1.16,100001,1.12
09-Mar-1978,0,1.2,1.16,1.16,130400,1.12
10-Mar-1978,0,1.21,1.17,1.17,182000,1.13
13-Mar-1978,0,1.25,1.21,1.21,536098,1.17
14-Mar-1978,0,1.31,1.25,1.25,266001,1.21
15-Mar-1978,0,1.27,1.23,1.23,284101,1.19
16-Mar-1978,0,1.29,1.24,1.24,143900,1.2
17-Mar-1978,0,1.29,1.24,1.24,123400,1.2
20-Mar-1978,0,1.25,1.21,1.21,147700,1.17
21-Mar-1978,0,1.23,1.19,1.19,95401,1.15
22-Mar-1978,0,1.21,1.17,1.17,150501,1.13
23-Mar-1978,0,1.21,1.17,1.17,133701,1.13
27-Mar-1978,0,1.21,1.17,1.17,51901,1.13
28-Mar-1978,0,1.21,1.17,1.17,109401,1.13
29-Mar-1978,0,1.23,1.19,1.19,178001,1.15
30-Mar-1978,0,1.23,1.19,1.19,50500,1.15
31-Mar-1978,0,1.23,1.19,1.19,116600,1.15
03-Apr-1978,0,1.19,1.14,1.14,191501,1.1
04-Apr-1978,0,1.2,1.16,1.16,50500,1.12
05-Apr-1978,0,1.2,1.16,1.16,60898,1.12
06-Apr-1978,0,1.2,1.16,1.16,132401,1.12
07-Apr-1978,0,1.2,1.16,1.16,236398,1.12
10-Apr-1978,0,1.23,1.19,1.19,145901,1.15
11-Apr-1978,0,1.2,1.16,1.16,100001,1.12
12-Apr-1978,0,1.2,1.16,1.16,150501,1.12
13-Apr-1978,0,1.21,1.17,1.17,967501,1.13
14-Apr-1978,0,1.27,1.23,1.23,309700,1.19
17-Apr-1978,0,1.24,1.2,1.2,212399,1.16
18-Apr-1978,0,1.23,1.19,1.19,127400,1.15
19-Apr-1978,0,1.27,1.23,1.23,236398,1.19
20-Apr-1978,0,1.27,1.23,1.23,229500,1.19
21-Apr-1978,0,1.29,1.24,1.24,103100,1.2
24-Apr-1978,0,1.33,1.29,1.29,232399,1.25
25-Apr-1978,0,1.34,1.31,1.31,245899,1.27
26-Apr-1978,0,1.34,1.31,1.31,191501,1.27
27-Apr-1978,0,1.34,1.31,1.31,170201,1.27
28-Apr-1978,0,1.4,1.36,1.36,359201,1.32
01-May-1978,0,1.46,1.4,1.4,767300,1.35
02-May-1978,0,1.42,1.38,1.38,259200,1.33
03-May-1978,0,1.4,1.36,1.36,150501,1.32
04-May-1978,0,1.38,1.33,1.33,195500,1.29
05-May-1978,0,1.42,1.38,1.38,204501,1.33
08-May-1978,0,1.4,1.36,1.36,120201,1.32
09-May-1978,0,1.42,1.38,1.38,222801,1.33
10-May-1978,0,1.42,1.38,1.38,116600,1.33
11-May-1978,0,1.39,1.34,1.34,209301,1.3
12-May-1978,0,1.39,1.34,1.34,529399,1.3
15-May-1978,0,1.39,1.34,1.34,118699,1.3
16-May-1978,0,1.4,1.36,1.36,627099,1.32
17-May-1978,0,1.42,1.38,1.38,320500,1.33
18-May-1978,0,1.42,1.38,1.38,221400,1.33
19-May-1978,0,1.42,1.38,1.38,41401,1.33
22-May-1978,0,1.42,1.38,1.38,54601,1.33
23-May-1978,0,1.36,1.32,1.32,109299,1.28
24-May-1978,0,1.31,1.25,1.25,122799,1.21
25-May-1978,0,1.29,1.24,1.24,71101,1.2
26-May-1978,0,1.29,1.24,1.24,75701,1.2
30-May-1978,0,1.33,1.29,1.29,209301,1.25
31-May-1978,0,1.42,1.38,1.38,327902,1.33
01-Jun-1978,0,1.4,1.36,1.36,253101,1.32
02-Jun-1978,0,1.4,1.36,1.36,45400,1.32
05-Jun-1978,0,1.4,1.36,1.36,86400,1.32
06-Jun-1978,0,1.42,1.38,1.38,127400,1.33
07-Jun-1978,0,1.4,1.36,1.36,95401,1.32
08-Jun-1978,0,1.4,1.36,1.36,95401,1.32
09-Jun-1978,0,1.4,1.36,1.36,51901,1.32
12-Jun-1978,0,1.42,1.38,1.38,136401,1.33
13-Jun-1978,0,1.42,1.38,1.38,140900,1.33
14-Jun-1978,0,1.4,1.36,1.36,109299,1.32
15-Jun-1978,0,1.39,1.34,1.34,194201,1.3
16-Jun-1978,0,1.47,1.42,1.42,324699,1.37
19-Jun-1978,0,1.44,1.39,1.39,116600,1.34
20-Jun-1978,0,1.4,1.36,1.36,212399,1.32
21-Jun-1978,0,1.4,1.36,1.36,174801,1.32
22-Jun-1978,0,1.42,1.38,1.38,129499,1.33
