Date,Open,High,Low,Close,Volume,AdjClose
05-Oct-2000,0,21.5,19.5,20.31,5571000,17.76
06-Oct-2000,0,20.75,18.81,19.63,972100,17.17
09-Oct-2000,0,19.44,18.13,18.13,344900,15.85
10-Oct-2000,0,19,18,18.38,282200,16.07
11-Oct-2000,0,18.31,17.63,17.75,463700,15.52
12-Oct-2000,0,17.5,16,16.88,569000,14.76
13-Oct-2000,0,17.25,16.5,17.25,199400,15.08
16-Oct-2000,0,17.5,17.13,17.31,154600,15.14
17-Oct-2000,0,18.63,17.25,18.38,77500,16.07
18-Oct-2000,0,18.38,17.38,17.44,174000,15.25
19-Oct-2000,0,17.63,17,17.06,152400,14.92
20-Oct-2000,0,17.19,16.88,17,133100,14.87
23-Oct-2000,0,17,16.75,16.75,186100,14.65
24-Oct-2000,0,17.5,16.94,17.5,66700,15.3
25-Oct-2000,0,18.75,17.38,18.25,208000,15.96
26-Oct-2000,0,18.13,17.63,18.13,42300,15.85
27-Oct-2000,0,19.63,18.19,19.5,50000,17.05
30-Oct-2000,0,21.5,19.25,21.5,92700,18.8
31-Oct-2000,0,24.25,22.5,23.38,445200,20.44
01-Nov-2000,23.13,23.44,22.38,23.19,366900,20.28
02-Nov-2000,23.31,24.13,23.13,23.88,114300,20.88
03-Nov-2000,23.63,25.25,23,25.25,330100,22.08
06-Nov-2000,25.25,25.25,24,24.06,84700,21.04
07-Nov-2000,24,24,23.13,23.75,108300,20.77
08-Nov-2000,22.25,24,21.63,24,362000,20.99
09-Nov-2000,24,24.25,23.38,23.94,181200,20.93
10-Nov-2000,23.88,25,23.88,24.75,46000,21.64
13-Nov-2000,24.5,24.75,22,22.13,90800,19.35
14-Nov-2000,22,22.75,21.25,22.75,125100,19.89
15-Nov-2000,22.88,23.25,22.44,23,92100,20.11
16-Nov-2000,22.88,23,22.88,22.94,9100,20.06
17-Nov-2000,23.13,23.38,22.81,23.38,34100,20.44
20-Nov-2000,23.25,23.25,22,22.75,33100,19.89
21-Nov-2000,22.69,22.75,22.56,22.63,89100,19.79
22-Nov-2000,22.75,23,22.5,23,50500,20.11
24-Nov-2000,23,23,22.94,23,30300,20.11
27-Nov-2000,23.25,23.81,23,23.75,104200,20.77
28-Nov-2000,23.56,24.19,23.5,23.5,157600,20.55
29-Nov-2000,23.25,23.25,22,22.25,16000,19.46
30-Nov-2000,22,22.13,21.75,22.13,86000,19.35
01-Dec-2000,21.88,22,21.5,22,52100,19.24
04-Dec-2000,21.88,23.13,21.88,23.13,128200,20.23
05-Dec-2000,23.13,23.13,22.25,22.25,136900,19.46
06-Dec-2000,22.13,23.19,22.13,23.06,51100,20.16
