Date,Open,High,Low,Close,Volume,AdjClose
17-Feb-1994,0,0.41,0.41,0.41,48000,0.38
18-Feb-1994,0,1.44,1.31,1.42,39870400,1.32
22-Feb-1994,0,1.44,1.36,1.42,9164800,1.32
23-Feb-1994,0,1.42,1.36,1.38,5124800,1.28
24-Feb-1994,0,1.38,1.31,1.31,2246400,1.21
25-Feb-1994,0,1.38,1.31,1.36,2414400,1.26
28-Feb-1994,0,1.38,1.34,1.34,1006400,1.24
01-Mar-1994,0,1.38,1.34,1.36,952000,1.26
02-Mar-1994,0,1.36,1.31,1.34,2105600,1.24
03-Mar-1994,0,1.36,1.33,1.36,680000,1.26
04-Mar-1994,0,1.48,1.33,1.48,1984000,1.37
07-Mar-1994,0,1.53,1.47,1.52,1929600,1.41
08-Mar-1994,0,1.52,1.47,1.5,1313600,1.39
09-Mar-1994,0,1.52,1.47,1.52,2572800,1.41
10-Mar-1994,0,1.52,1.45,1.45,2112000,1.34
11-Mar-1994,0,1.48,1.44,1.48,260800,1.37
14-Mar-1994,0,1.48,1.44,1.48,81600,1.37
15-Mar-1994,0,1.48,1.39,1.39,1931200,1.29
16-Mar-1994,0,1.44,1.39,1.42,211200,1.32
17-Mar-1994,0,1.47,1.41,1.47,528000,1.36
18-Mar-1994,0,1.52,1.45,1.48,1096000,1.37
21-Mar-1994,0,1.55,1.48,1.55,920000,1.44
22-Mar-1994,0,1.58,1.53,1.56,1142400,1.45
23-Mar-1994,0,1.58,1.53,1.58,635200,1.46
24-Mar-1994,0,1.58,1.5,1.55,2140800,1.44
25-Mar-1994,0,1.48,1.48,1.48,11200,1.37
28-Mar-1994,0,1.53,1.45,1.45,1056000,1.34
29-Mar-1994,0,1.47,1.44,1.44,182400,1.33
30-Mar-1994,0,1.47,1.42,1.47,387200,1.36
31-Mar-1994,0,1.44,1.36,1.44,1528000,1.33
04-Apr-1994,0,1.44,1.38,1.38,2270400,1.28
05-Apr-1994,0,1.47,1.41,1.45,872000,1.34
06-Apr-1994,0,1.47,1.47,1.47,8000,1.36
07-Apr-1994,0,1.47,1.42,1.47,166400,1.36
08-Apr-1994,0,1.42,1.42,1.42,3200,1.32
11-Apr-1994,0,1.47,1.42,1.47,230400,1.36
12-Apr-1994,0,1.45,1.44,1.44,76800,1.33
13-Apr-1994,0,1.45,1.42,1.42,219200,1.32
14-Apr-1994,0,1.45,1.41,1.45,145600,1.34
15-Apr-1994,0,1.45,1.42,1.45,16000,1.34
18-Apr-1994,0,1.5,1.42,1.42,784000,1.32
19-Apr-1994,0,1.45,1.41,1.41,89600,1.31
20-Apr-1994,0,1.44,1.44,1.44,80000,1.33
21-Apr-1994,0,1.45,1.41,1.45,17600,1.34
22-Apr-1994,0,1.45,1.38,1.42,182400,1.32
25-Apr-1994,0,1.42,1.38,1.38,200000,1.28
26-Apr-1994,0,1.38,1.36,1.37,1544000,1.27
28-Apr-1994,0,1.44,1.36,1.41,388800,1.31
29-Apr-1994,0,1.52,1.44,1.52,2176000,1.41
02-May-1994,0,1.52,1.45,1.52,4124800,1.41
03-May-1994,0,1.48,1.47,1.48,137600,1.37
04-May-1994,0,1.48,1.47,1.48,428800,1.37
05-May-1994,0,1.5,1.45,1.48,734400,1.37
06-May-1994,0,1.5,1.45,1.48,595200,1.37
09-May-1994,0,1.46,1.45,1.45,187200,1.34
10-May-1994,0,1.48,1.39,1.44,782400,1.33
11-May-1994,0,1.44,1.42,1.42,1304000,1.32
12-May-1994,0,1.47,1.45,1.47,324800,1.36
13-May-1994,0,1.44,1.44,1.44,1600,1.33
16-May-1994,0,1.47,1.44,1.44,467200,1.33
17-May-1994,0,1.48,1.44,1.48,472000,1.37
18-May-1994,0,1.45,1.42,1.43,755200,1.32
19-May-1994,0,1.45,1.42,1.42,9600,1.32
20-May-1994,0,1.45,1.45,1.45,19200,1.34
23-May-1994,0,1.45,1.42,1.44,294400,1.33
24-May-1994,0,1.45,1.42,1.45,12800,1.34
25-May-1994,0,1.42,1.42,1.42,20800,1.32
26-May-1994,0,1.48,1.45,1.46,174400,1.35
27-May-1994,0,1.48,1.44,1.45,41600,1.34
31-May-1994,0,1.5,1.44,1.5,836800,1.39
01-Jun-1994,0,1.56,1.47,1.5,579200,1.39
02-Jun-1994,0,1.56,1.5,1.56,108800,1.45
03-Jun-1994,0,1.58,1.5,1.56,211200,1.45
06-Jun-1994,0,1.63,1.58,1.63,328000,1.51
07-Jun-1994,0,1.62,1.58,1.59,168000,1.47
08-Jun-1994,0,1.58,1.53,1.53,313600,1.42
09-Jun-1994,0,1.56,1.52,1.52,1526400,1.41
10-Jun-1994,0,1.56,1.52,1.52,448000,1.41
13-Jun-1994,0,1.58,1.56,1.56,164800,1.45
14-Jun-1994,0,1.58,1.53,1.58,100800,1.46
15-Jun-1994,0,1.58,1.53,1.56,113600,1.45
16-Jun-1994,0,1.58,1.53,1.53,120000,1.42
17-Jun-1994,0,1.56,1.56,1.56,3200,1.45
20-Jun-1994,0,1.55,1.5,1.55,302400,1.44
21-Jun-1994,0,1.52,1.52,1.52,32000,1.41
22-Jun-1994,0,1.52,1.52,1.52,1600,1.41
23-Jun-1994,0,1.54,1.5,1.5,323200,1.39
24-Jun-1994,0,1.55,1.52,1.52,219200,1.41
27-Jun-1994,0,1.55,1.52,1.52,198400,1.41
28-Jun-1994,0,1.56,1.56,1.56,19200,1.45
29-Jun-1994,0,1.56,1.56,1.56,3200,1.45
30-Jun-1994,0,1.58,1.53,1.58,267200,1.46
01-Jul-1994,0,1.61,1.56,1.58,44800,1.46
05-Jul-1994,0,1.56,1.56,1.56,8000,1.45
06-Jul-1994,0,1.57,1.53,1.53,171200,1.42
07-Jul-1994,0,1.56,1.55,1.55,1633600,1.44
08-Jul-1994,0,1.62,1.56,1.58,748800,1.46
11-Jul-1994,0,1.58,1.58,1.58,1600,1.46
12-Jul-1994,0,1.58,1.58,1.58,3200,1.46
13-Jul-1994,0,1.67,1.62,1.63,457600,1.51
14-Jul-1994,0,1.69,1.64,1.64,617600,1.52
15-Jul-1994,0,1.7,1.66,1.66,353600,1.54
18-Jul-1994,0,1.77,1.7,1.72,739200,1.59
19-Jul-1994,0,1.78,1.72,1.77,1092800,1.64
20-Jul-1994,0,1.78,1.66,1.69,931200,1.57
