Date,Open,High,Low,Close,Volume,AdjClose
23-Mar-2016,41.7,41.7,41.5,41.5,200,41.5
24-Mar-2016,40.87,40.87,40.87,40.87,100,40.87
30-Mar-2016,41.48,42,41.47,42,3725,42
31-Mar-2016,42,42,41.72,41.72,600,41.72
01-Apr-2016,41.09,41.09,41.09,41.09,100,41.09
04-Apr-2016,40.77,42.16,40.75,40.75,950,40.75
05-Apr-2016,40.5,42.03,40.5,41.09,1700,41.09
06-Apr-2016,41.35,42,41.06,41.8,716,41.8
07-Apr-2016,42.09,42.13,41.56,41.56,5917,41.56
08-Apr-2016,41.61,44.35,41.32,44.02,3602269,44.02
11-Apr-2016,43.64,43.68,40.97,41.46,4094862,41.46
12-Apr-2016,41.25,41.66,40.23,41.65,3613194,41.65
13-Apr-2016,41.33,42.68,41.33,41.8,4425387,41.8
14-Apr-2016,41.99,42.86,41.91,42.23,2525995,42.23
15-Apr-2016,41.82,42.05,41.19,42,2344083,42
18-Apr-2016,41.39,42.54,41.39,42.42,2541724,42.42
19-Apr-2016,42.55,43.36,42.25,43,1636797,43
20-Apr-2016,42.86,43.57,42.75,42.76,2266479,42.76
21-Apr-2016,46.35,46.53,43.99,45.73,3270858,45.73
22-Apr-2016,45.48,46.18,44.09,45.06,2390459,45.06
25-Apr-2016,44.89,44.9,44.11,44.26,2101347,44.26
26-Apr-2016,44.21,44.89,43.85,43.95,2176517,43.95
27-Apr-2016,44.19,44.21,41.75,42.16,1280683,42.16
28-Apr-2016,42.11,43.09,41.84,41.89,1445833,41.89
29-Apr-2016,41.71,41.89,40.47,40.8,1964214,40.8
02-May-2016,40.57,40.82,39.88,40.27,1452251,40.27
03-May-2016,39.42,40.47,39.42,40.12,1536976,40.12
04-May-2016,38.85,38.9,37.04,37.39,4516060,37.39
05-May-2016,37.4,38.17,37.08,37.49,1121629,37.49
06-May-2016,37,37.35,36.27,36.38,1346936,36.38
09-May-2016,36.31,36.72,35.96,36.31,1705424,36.31
10-May-2016,36.59,37.28,36.4,36.55,1282790,36.55
11-May-2016,36,36.12,34.8,35.23,1930280,35.23
12-May-2016,35.57,35.66,34.81,35.19,1634456,35.19
13-May-2016,34.97,35.23,34.48,34.71,1908120,34.71
16-May-2016,34.58,34.9,34.45,34.54,1695191,34.54
17-May-2016,34.45,34.74,34.1,34.47,1895456,34.47
18-May-2016,34.33,34.4,33.7,34.22,976344,34.22
19-May-2016,33.78,35,33.78,34.85,1047830,34.85
20-May-2016,34.89,35.65,34.73,35.58,1052853,35.58
23-May-2016,35.53,36,34.75,34.83,683835,34.83
24-May-2016,35.01,36.09,34.99,35.58,1143097,35.58
25-May-2016,35.91,36,35.35,35.48,1322135,35.48
26-May-2016,35.51,35.51,34.91,34.92,874967,34.92
27-May-2016,34.97,35.21,34.84,35.06,1105514,35.06
31-May-2016,35.24,35.4,34.65,34.97,6311414,34.97
01-Jun-2016,33.39,33.76,32.63,33.72,3080985,33.72
02-Jun-2016,33.67,34.32,33.66,34.22,2785411,34.22
03-Jun-2016,33.78,34.32,33.78,34.16,967862,34.16
06-Jun-2016,34.17,34.57,34.12,34.4,1956465,34.4
07-Jun-2016,34.8,35.28,34.21,35.2,1441146,35.2
08-Jun-2016,35.67,36.55,35.28,36.44,1287361,36.44
09-Jun-2016,36.23,36.32,35.84,36.14,1224965,36.14
10-Jun-2016,35.75,36.41,35.7,35.79,616887,35.79
13-Jun-2016,35.62,35.74,34.62,34.68,1254294,34.68
14-Jun-2016,34.69,34.75,34,34.4,1086008,34.4
15-Jun-2016,34.45,35.47,34.45,34.77,1062818,34.77
16-Jun-2016,34.22,34.27,33.16,33.48,1215871,33.48
17-Jun-2016,33.72,34.25,33.6,34.14,1302234,34.14
20-Jun-2016,34.71,35.17,34.65,34.77,845879,34.77
21-Jun-2016,34.91,35.48,34.75,34.92,585535,34.92
22-Jun-2016,34.95,35.01,34.26,34.32,635385,34.32
23-Jun-2016,34.55,34.78,34.4,34.67,1260783,34.67
24-Jun-2016,32.85,33.91,32.85,33.5,1992597,33.5
27-Jun-2016,32.96,33.08,31.31,31.9,1417621,31.9
28-Jun-2016,32.25,33.97,32.12,33.9,1570613,33.9
29-Jun-2016,34.6,36.11,34.58,35.91,1750614,35.91
30-Jun-2016,35.91,36.42,35.22,36.4,853283,36.4
01-Jul-2016,36.26,36.98,36.26,36.84,922536,36.84
05-Jul-2016,36.5,36.62,35.12,35.51,613245,35.51
06-Jul-2016,35.34,36.27,35.26,36.26,558456,36.26
07-Jul-2016,36.2,36.88,36.14,36.88,592469,36.88
08-Jul-2016,36.82,37.1,36.37,36.78,700295,36.78
11-Jul-2016,36.87,36.96,36.39,36.57,547215,36.57
12-Jul-2016,36.62,38.07,36.62,37.87,1145476,37.87
13-Jul-2016,37.61,38,36.93,37.22,956793,37.22
14-Jul-2016,37.38,37.66,36.86,37.02,862302,37.02
15-Jul-2016,37.13,37.4,36.98,37.23,872239,37.23
18-Jul-2016,37.22,37.5,37.14,37.2,472422,37.2
19-Jul-2016,36.91,37.32,36.81,36.95,752065,36.95
20-Jul-2016,37.17,37.27,36.7,36.79,1092535,36.79
21-Jul-2016,36.54,37.44,36.54,37.27,621696,37.27
22-Jul-2016,37.02,37.67,36.8,37.48,564229,37.48
25-Jul-2016,37.4,38.78,36.92,38.78,1865516,38.78
26-Jul-2016,38.43,39.42,36.51,37.5,3664292,37.5
27-Jul-2016,37.5,37.52,35.43,35.93,1135565,35.93
28-Jul-2016,35.73,36.05,35.18,35.75,577543,35.75
29-Jul-2016,35.39,35.89,35.14,35.7,1040839,35.7
01-Aug-2016,35.66,36.13,35.36,35.5,614412,35.5
02-Aug-2016,35.36,35.41,34.14,34.39,882696,34.39
03-Aug-2016,33.7,35.45,33.66,35.27,795669,35.27
04-Aug-2016,35.1,35.64,34.98,35.14,629520,35.14
05-Aug-2016,35.3,36.4,35.3,36.17,646783,36.17
08-Aug-2016,36.22,36.87,35.69,35.93,514122,35.93
09-Aug-2016,35.75,36.26,35.47,35.57,568616,35.57
10-Aug-2016,35.89,36.39,35.38,35.43,491077,35.43
11-Aug-2016,35.71,37.38,35.71,37.02,925013,37.02
12-Aug-2016,36.95,37.5,36.73,37.1,900174,37.1
15-Aug-2016,37.2,38.47,37.14,38.04,681308,38.04
16-Aug-2016,38.33,38.78,38.15,38.65,1134121,38.65
17-Aug-2016,38.5,38.61,37.72,37.92,688512,37.92
18-Aug-2016,37.75,38.25,37.73,37.95,468424,37.95
19-Aug-2016,38.12,39.08,37.97,38.76,736540,38.76
22-Aug-2016,38.69,42.94,38.37,38.8,745420,38.8
23-Aug-2016,38.8,39.45,38.76,39.28,793594,39.28
24-Aug-2016,39.15,39.5,38.66,38.88,790866,38.88
25-Aug-2016,38.9,39.14,38.03,38.26,652959,38.26
26-Aug-2016,38.41,38.53,37.76,38,585499,38
29-Aug-2016,38.02,38.46,37.7,37.9,520620,37.9
30-Aug-2016,37.74,37.82,37.14,37.36,633191,37.36
31-Aug-2016,36.85,36.95,35.56,35.65,1211708,35.65
01-Sep-2016,35.54,35.81,35.23,35.7,640605,35.7
02-Sep-2016,35.75,35.75,34.51,34.58,904905,34.58
06-Sep-2016,34.69,35.09,34.43,34.76,751348,34.76
07-Sep-2016,34.86,35.71,34.65,35.58,1030010,35.58
08-Sep-2016,35.23,35.78,34.89,35.05,480753,35.05
09-Sep-2016,34.69,34.99,34,34.01,731780,34.01
12-Sep-2016,33.86,34.86,33.76,34.8,1058864,34.8
13-Sep-2016,34.34,34.63,33.54,33.89,663327,33.89
14-Sep-2016,33.79,34.37,33.56,33.79,557953,33.79
15-Sep-2016,33.56,33.97,33.36,33.86,817903,33.86
16-Sep-2016,33.84,34.38,33.53,34.21,1048059,34.21
19-Sep-2016,34.3,34.42,33.75,33.83,834715,33.83
20-Sep-2016,33.9,34.03,33.4,33.46,755835,33.46
21-Sep-2016,33.61,34.44,33.4,34.3,560546,34.3
22-Sep-2016,34.49,34.76,34.33,34.7,500236,34.7
23-Sep-2016,34.76,34.94,34.26,34.28,454105,34.28
26-Sep-2016,34,34.05,33.45,33.58,462474,33.58
27-Sep-2016,33.45,34.01,33.16,33.97,832673,33.97
28-Sep-2016,34.05,34.63,33.86,34.37,977311,34.37
29-Sep-2016,34.23,34.68,33.67,33.68,457026,33.68
30-Sep-2016,33.99,34.16,33.64,33.86,814210,33.86
03-Oct-2016,33.63,34.14,33.48,34.05,814176,34.05
04-Oct-2016,33.91,34.29,33.49,33.7,957928,33.7
05-Oct-2016,33.71,33.99,33.34,33.38,1140184,33.38
06-Oct-2016,33.24,33.26,32.63,32.9,587518,32.9
07-Oct-2016,33.01,33.09,32.67,32.85,485301,32.85
10-Oct-2016,33.4,33.49,33.17,33.27,626684,33.27
11-Oct-2016,33.31,33.85,33.04,33.21,615770,33.21
12-Oct-2016,33.17,33.99,33.1,33.76,720596,33.76
13-Oct-2016,33.23,33.46,32.78,33.39,588463,33.39
14-Oct-2016,33.99,34.2,33.51,33.62,543863,33.62
17-Oct-2016,33.5,33.62,32.69,32.76,387916,32.76
18-Oct-2016,33.17,33.45,32.99,33.31,516782,33.31
19-Oct-2016,33.34,34.16,33.34,34.02,598530,34.02
20-Oct-2016,33.83,33.88,33.29,33.42,925543,33.42
21-Oct-2016,33.15,33.23,32.78,32.96,871124,32.96
24-Oct-2016,33.12,33.4,32.75,32.9,726299,32.9
25-Oct-2016,28.09,28.74,27.58,28.37,6816097,28.37
26-Oct-2016,28.28,28.37,27.42,27.46,6656866,27.46
27-Oct-2016,27.64,27.69,25.96,26.49,3365416,26.49
28-Oct-2016,26.64,26.72,25.91,25.91,2192129,25.91
31-Oct-2016,25.89,26.14,25.53,25.86,1483757,25.86
01-Nov-2016,26.01,26.1,25.02,25.51,1917801,25.51
02-Nov-2016,25.36,26.09,25.18,25.35,1637801,25.35
03-Nov-2016,25.31,25.7,24.93,25.3,1557521,25.3
04-Nov-2016,25.22,25.65,25.22,25.61,1293341,25.61
07-Nov-2016,25.98,26.15,25.82,25.94,1151279,25.94
