Date,Open,High,Low,Close,Volume,AdjClose
09-Jul-1981,0,2.56,2.53,2.53,2108000,2.34
10-Jul-1981,0,2.5,2.45,2.45,1776000,2.27
13-Jul-1981,0,2.47,2.44,2.44,211200,2.26
14-Jul-1981,0,2.45,2.42,2.42,308000,2.24
15-Jul-1981,0,2.39,2.34,2.34,183200,2.16
16-Jul-1981,0,2.39,2.34,2.34,168000,2.16
17-Jul-1981,0,2.39,2.34,2.34,40000,2.16
20-Jul-1981,0,2.28,2.25,2.25,141600,2.08
21-Jul-1981,0,2.23,2.22,2.22,223200,2.05
22-Jul-1981,0,2.25,2.22,2.22,66400,2.05
23-Jul-1981,0,2.25,2.22,2.22,31200,2.05
24-Jul-1981,0,2.28,2.25,2.25,42400,2.08
27-Jul-1981,0,2.36,2.31,2.31,88800,2.14
28-Jul-1981,0,2.39,2.34,2.34,42400,2.16
29-Jul-1981,0,2.39,2.36,2.36,92000,2.18
30-Jul-1981,0,2.41,2.36,2.36,232000,2.18
31-Jul-1981,0,2.39,2.36,2.36,67200,2.18
03-Aug-1981,0,2.41,2.36,2.36,144800,2.18
04-Aug-1981,0,2.41,2.34,2.34,108000,2.16
05-Aug-1981,0,2.41,2.36,2.36,37600,2.18
06-Aug-1981,0,2.39,2.36,2.36,63200,2.18
07-Aug-1981,0,2.33,2.28,2.28,108000,2.11
10-Aug-1981,NaN,NaN,NaN,2.28,0,2.11
11-Aug-1981,0,2.31,2.28,2.28,40800,2.11
12-Aug-1981,0,2.31,2.28,2.28,31200,2.11
13-Aug-1981,0,2.31,2.28,2.28,121600,2.11
14-Aug-1981,0,2.31,2.27,2.27,42400,2.1
17-Aug-1981,0,2.3,2.27,2.27,41600,2.1
18-Aug-1981,0,2.14,2.11,2.11,160000,1.95
19-Aug-1981,0,2.16,2.12,2.12,108000,1.96
20-Aug-1981,0,2.16,2.12,2.12,203200,1.96
21-Aug-1981,0,2.09,2.06,2.06,64000,1.9
24-Aug-1981,0,2,1.95,1.95,95200,1.8
25-Aug-1981,0,1.97,1.94,1.94,45600,1.79
26-Aug-1981,0,1.91,1.88,1.88,49600,1.74
27-Aug-1981,0,1.86,1.81,1.81,68800,1.67
28-Aug-1981,0,1.88,1.84,1.84,48000,1.7
31-Aug-1981,0,1.91,1.88,1.88,113600,1.74
01-Sep-1981,0,1.91,1.88,1.88,112800,1.74
02-Sep-1981,0,1.91,1.84,1.84,40800,1.7
03-Sep-1981,0,1.88,1.84,1.84,10400,1.7
04-Sep-1981,0,1.84,1.8,1.8,53600,1.66
08-Sep-1981,0,1.78,1.75,1.75,47200,1.62
09-Sep-1981,0,1.78,1.75,1.75,38400,1.62
10-Sep-1981,0,1.81,1.78,1.78,48000,1.65
11-Sep-1981,0,1.91,1.86,1.86,103200,1.72
14-Sep-1981,0,1.91,1.86,1.86,48000,1.72
15-Sep-1981,0,1.94,1.91,1.91,64800,1.77
16-Sep-1981,0,1.94,1.91,1.91,25600,1.77
17-Sep-1981,0,1.97,1.94,1.94,44000,1.79
18-Sep-1981,0,1.97,1.94,1.94,13600,1.79
21-Sep-1981,0,1.97,1.94,1.94,8000,1.79
22-Sep-1981,0,1.86,1.81,1.81,152800,1.67
23-Sep-1981,0,1.78,1.75,1.75,45600,1.62
24-Sep-1981,0,1.77,1.73,1.73,80800,1.6
25-Sep-1981,0,1.72,1.67,1.67,115200,1.54
28-Sep-1981,0,1.67,1.62,1.62,32800,1.5
29-Sep-1981,0,1.73,1.67,1.67,82400,1.54
30-Sep-1981,0,1.73,1.69,1.69,11200,1.56
01-Oct-1981,0,1.73,1.69,1.69,12000,1.56
02-Oct-1981,0,1.78,1.75,1.75,48000,1.62
05-Oct-1981,0,1.94,1.89,1.89,61600,1.75
06-Oct-1981,0,2.02,1.98,1.98,44000,1.83
07-Oct-1981,0,2.02,1.98,1.98,85600,1.83
08-Oct-1981,0,2.12,2.09,2.09,170400,1.93
09-Oct-1981,0,2.16,2.12,2.12,68800,1.96
12-Oct-1981,0,2.16,2.12,2.12,17600,1.96
13-Oct-1981,0,2.19,2.12,2.12,9600,1.96
14-Oct-1981,0,2.14,2.09,2.09,37600,1.93
15-Oct-1981,0,2.12,2.09,2.09,32000,1.93
16-Oct-1981,0,2.12,2.11,2.11,8000,1.95
19-Oct-1981,0,2.12,2.09,2.09,33600,1.93
20-Oct-1981,0,2.12,2.11,2.11,69600,1.95
21-Oct-1981,0,2.31,2.27,2.27,155200,2.1
22-Oct-1981,0,2.33,2.3,2.3,126400,2.13
23-Oct-1981,0,2.31,2.28,2.28,100000,2.11
26-Oct-1981,0,2.31,2.28,2.28,92000,2.11
27-Oct-1981,0,2.44,2.41,2.41,123200,2.23
28-Oct-1981,0,2.58,2.53,2.53,127200,2.34
29-Oct-1981,0,2.56,2.53,2.53,157600,2.34
30-Oct-1981,0,2.69,2.66,2.66,266400,2.46
02-Nov-1981,0,2.73,2.72,2.72,119200,2.51
03-Nov-1981,0,2.75,2.72,2.72,243200,2.51
04-Nov-1981,0,2.73,2.7,2.7,90400,2.5
05-Nov-1981,0,2.66,2.62,2.62,486400,2.42
06-Nov-1981,0,2.64,2.61,2.61,59200,2.41
09-Nov-1981,0,2.62,2.59,2.59,12800,2.39
10-Nov-1981,0,2.56,2.53,2.53,69600,2.34
11-Nov-1981,0,2.53,2.5,2.5,21600,2.31
12-Nov-1981,0,2.55,2.5,2.5,22400,2.31
13-Nov-1981,0,2.53,2.48,2.48,28800,2.29
16-Nov-1981,0,2.5,2.47,2.47,36000,2.28
17-Nov-1981,0,2.5,2.47,2.47,28800,2.28
18-Nov-1981,0,2.5,2.48,2.48,45600,2.29
19-Nov-1981,0,2.48,2.45,2.45,70400,2.27
20-Nov-1981,0,2.48,2.45,2.45,56000,2.27
23-Nov-1981,0,2.55,2.52,2.52,91200,2.33
24-Nov-1981,0,2.56,2.53,2.53,34400,2.34
25-Nov-1981,0,2.55,2.53,2.53,37600,2.34
27-Nov-1981,0,2.55,2.52,2.52,22400,2.33
30-Nov-1981,0,2.58,2.56,2.56,107200,2.37
01-Dec-1981,0,2.78,2.75,2.75,184800,2.54
02-Dec-1981,0,3.06,3.03,3.03,561600,2.8
03-Dec-1981,0,3.09,3.06,3.06,148000,2.83
04-Dec-1981,0,3.09,3.05,3.05,122400,2.82
07-Dec-1981,0,3,2.95,2.95,89600,2.73
08-Dec-1981,0,2.69,2.67,2.67,187200,2.47
09-Dec-1981,0,2.72,2.69,2.69,164800,2.49
10-Dec-1981,0,2.75,2.7,2.7,56800,2.5
11-Dec-1981,0,2.75,2.7,2.7,56000,2.5
14-Dec-1981,0,2.62,2.59,2.59,89600,2.39
15-Dec-1981,0,2.52,2.47,2.47,113600,2.28
16-Dec-1981,0,2.53,2.48,2.48,48800,2.29
17-Dec-1981,0,2.66,2.62,2.62,252800,2.42
18-Dec-1981,0,2.67,2.62,2.62,53600,2.42
21-Dec-1981,0,2.67,2.62,2.62,12800,2.42
22-Dec-1981,0,2.66,2.62,2.62,36800,2.42
23-Dec-1981,0,2.59,2.56,2.56,72000,2.37
24-Dec-1981,0,2.59,2.56,2.56,11200,2.37
28-Dec-1981,0,2.58,2.55,2.55,14400,2.36
29-Dec-1981,0,2.55,2.5,2.5,529600,2.31
30-Dec-1981,0,2.53,2.48,2.48,304800,2.29
31-Dec-1981,0,2.53,2.48,2.48,191200,2.29
04-Jan-1982,0,2.55,2.5,2.5,31200,2.31
05-Jan-1982,0,2.55,2.5,2.5,4000,2.31
06-Jan-1982,0,2.55,2.5,2.5,23200,2.31
07-Jan-1982,0,2.53,2.5,2.5,5600,2.31
08-Jan-1982,0,2.53,2.48,2.48,25600,2.29
11-Jan-1982,0,2.38,2.34,2.34,56000,2.16
