Date,Open,High,Low,Close,Volume,AdjClose
18-Dec-1997,0,16.12,14.38,15,1905200,15
19-Dec-1997,0,15.62,14.69,15.5,275200,15.5
22-Dec-1997,0,15.88,15,15,88300,15
23-Dec-1997,0,15.81,15,15.5,74500,15.5
24-Dec-1997,0,16.25,16,16.25,45400,16.25
26-Dec-1997,0,17,16.25,17,45400,17
29-Dec-1997,0,17.88,16.75,17.81,107100,17.81
30-Dec-1997,0,18.06,17.56,17.94,49600,17.94
31-Dec-1997,0,19.31,17.81,19.31,50800,19.31
02-Jan-1998,0,20.25,19.06,20.06,209500,20.06
05-Jan-1998,0,20.75,18.25,18.81,384300,18.81
06-Jan-1998,0,19.88,18.62,19.38,195600,19.38
07-Jan-1998,0,19.44,18.38,18.88,97700,18.88
08-Jan-1998,0,19.19,18.44,18.44,61300,18.44
09-Jan-1998,0,18.69,17.5,18.25,101700,18.25
12-Jan-1998,0,18.25,17.25,17.81,138500,17.81
13-Jan-1998,0,20,19,19.88,297400,19.88
14-Jan-1998,0,20.75,20,20.62,135600,20.62
15-Jan-1998,0,22.5,20.75,21.12,219900,21.12
16-Jan-1998,0,21.56,21.12,21.38,47300,21.38
20-Jan-1998,0,22.5,21.81,21.94,60600,21.94
21-Jan-1998,0,23.38,21.94,22.25,89700,22.25
22-Jan-1998,0,22.75,22,22.06,29500,22.06
23-Jan-1998,0,22.25,21.12,21.75,48100,21.75
26-Jan-1998,0,22.44,21.5,21.88,40000,21.88
27-Jan-1998,0,22.38,21.81,22.19,106600,22.19
28-Jan-1998,0,23.25,22.38,23,44300,23
29-Jan-1998,0,23.88,23,23.62,22200,23.62
30-Jan-1998,0,24,23.25,23.88,24000,23.88
02-Feb-1998,0,25,23.69,24.5,63000,24.5
03-Feb-1998,0,24.62,24.19,24.31,34900,24.31
04-Feb-1998,0,25.62,24.38,25.5,71900,25.5
05-Feb-1998,0,25.25,24.38,24.94,130700,24.94
06-Feb-1998,0,25.75,25.25,25.62,32000,25.62
09-Feb-1998,0,26.56,25.94,26,62100,26
10-Feb-1998,0,26.62,25.75,26.5,80100,26.5
11-Feb-1998,0,27.38,26.5,27.12,41700,27.12
12-Feb-1998,0,27.12,26.5,26.5,28400,26.5
13-Feb-1998,0,26.88,26,26.06,58500,26.06
17-Feb-1998,0,26.88,26.19,26.88,18000,26.88
18-Feb-1998,0,26.88,25.81,25.81,26100,25.81
19-Feb-1998,0,25.75,23.75,24.56,76300,24.56
20-Feb-1998,0,25.44,24.5,24.62,30600,24.62
23-Feb-1998,0,25.5,24.88,25.31,29200,25.31
24-Feb-1998,0,25.5,25.19,25.19,6400,25.19
25-Feb-1998,0,25.44,25.06,25.44,9800,25.44
26-Feb-1998,0,25.25,25.12,25.12,2900,25.12
27-Feb-1998,0,25.44,24.69,24.69,31400,24.69
02-Mar-1998,0,25.25,24.5,24.94,45100,24.94
03-Mar-1998,0,25.62,25.06,25.5,23700,25.5
04-Mar-1998,0,26.38,25.56,26.38,62700,26.38
05-Mar-1998,0,26.38,25.56,25.56,74700,25.56
06-Mar-1998,0,26.69,25.56,25.56,2289400,25.56
09-Mar-1998,0,26.12,25.38,25.56,579200,25.56
10-Mar-1998,0,25.75,25.12,25.12,284100,25.12
11-Mar-1998,0,25.31,24,25.12,253100,25.12
12-Mar-1998,0,25.62,25.25,25.38,242400,25.38
13-Mar-1998,0,25.62,25,25.5,107500,25.5
16-Mar-1998,0,25.38,25,25.06,64800,25.06
17-Mar-1998,0,25.62,25.06,25.62,266100,25.62
18-Mar-1998,0,25.38,24.25,24.25,402500,24.25
19-Mar-1998,0,25,24.38,24.5,318000,24.5
20-Mar-1998,0,24.25,23.5,23.5,273500,23.5
23-Mar-1998,0,23.75,21.5,21.94,486500,21.94
24-Mar-1998,0,24.38,22.62,24.38,391600,24.38
25-Mar-1998,0,25.25,24.06,24.88,256600,24.88
26-Mar-1998,0,24.62,24.19,24.25,57200,24.25
27-Mar-1998,0,25.38,24.25,25.25,80500,25.25
30-Mar-1998,0,25,24.25,24.56,201700,24.56
31-Mar-1998,0,26,24.5,26,146300,26
01-Apr-1998,0,26,25,25.31,60500,25.31
02-Apr-1998,0,25.38,25,25.31,79900,25.31
03-Apr-1998,0,26.38,25.31,25.75,173400,25.75
06-Apr-1998,0,25.94,25.25,25.31,51600,25.31
07-Apr-1998,0,25.44,24.12,24.38,86400,24.38
08-Apr-1998,0,24.81,24.25,24.75,81900,24.75
09-Apr-1998,0,25.25,24.88,25.12,63300,25.12
13-Apr-1998,0,26.06,25,25.88,84300,25.88
14-Apr-1998,0,29.88,27.88,29.88,561700,29.88
15-Apr-1998,0,30.25,28.75,30.12,212200,30.12
16-Apr-1998,0,31.62,30.12,31.38,154300,31.38
17-Apr-1998,0,31.88,31.06,31.5,94200,31.5
20-Apr-1998,0,31.62,30,30.25,79700,30.25
21-Apr-1998,0,31.38,30.25,31,46900,31
22-Apr-1998,0,31.75,31,31.62,42000,31.62
23-Apr-1998,0,31.75,30.12,30.5,62100,30.5
24-Apr-1998,0,30.5,29.38,30.5,112600,30.5
27-Apr-1998,0,30.5,29.19,30.5,65700,30.5
28-Apr-1998,0,34.12,33.25,34.06,321000,34.06
29-Apr-1998,0,35.31,34.25,34.5,215300,34.5
30-Apr-1998,0,35.94,34.44,34.44,108700,34.44
01-May-1998,0,34.81,34.44,34.5,36400,34.5
04-May-1998,0,35.19,34.5,34.62,314200,34.62
05-May-1998,0,35.38,34.5,35.12,57000,35.12
06-May-1998,0,35.5,35,35.5,464800,35.5
07-May-1998,0,35.75,34.88,34.88,30900,34.88
08-May-1998,0,35.5,34.94,35.5,38200,35.5
11-May-1998,0,37.25,35.75,36.56,103000,36.56
12-May-1998,0,36.94,36.5,36.56,39000,36.56
13-May-1998,0,37.25,36.5,37,281400,37
14-May-1998,0,37,36,36.25,88100,36.25
15-May-1998,0,36.31,36.12,36.12,87200,36.12
18-May-1998,0,35.88,33.75,33.75,220400,33.75
19-May-1998,0,34.5,33,33.75,135400,33.75
20-May-1998,0,34,33.5,33.94,120600,33.94
21-May-1998,0,34,33.69,33.94,31400,33.94
22-May-1998,0,34,33.88,33.94,23100,33.94
26-May-1998,0,35.62,34,35.25,140300,35.25
27-May-1998,0,35.38,34.47,34.5,51700,34.5
28-May-1998,0,34.62,34.12,34.12,54900,34.12
29-May-1998,0,34.62,34.12,34.5,29200,34.5
01-Jun-1998,0,34.94,34.44,34.94,17400,34.94
02-Jun-1998,0,35.25,34.69,35,18400,35
03-Jun-1998,0,36,35,36,95300,36
04-Jun-1998,0,36,35.88,36,149600,36
05-Jun-1998,0,36.44,35.38,35.44,56000,35.44
08-Jun-1998,0,35.75,35.19,35.38,51200,35.38
09-Jun-1998,0,35.75,35.5,35.75,99800,35.75
10-Jun-1998,0,35.75,35.31,35.44,14600,35.44
11-Jun-1998,0,35.44,34.88,35,23000,35
12-Jun-1998,0,35.06,34,34.31,37700,34.31
15-Jun-1998,0,34,32.88,33.38,37300,33.38
16-Jun-1998,0,38,35.75,35.75,2313200,35.75
17-Jun-1998,0,36.5,35.75,36.38,808600,36.38
18-Jun-1998,0,36.38,35.5,35.88,470900,35.88
19-Jun-1998,0,36.06,35.75,36,155000,36
22-Jun-1998,0,36.38,35.94,36.38,109000,36.38
23-Jun-1998,0,37.38,36.31,37.06,375500,37.06
24-Jun-1998,0,37.44,36.94,37.22,162000,37.22
25-Jun-1998,0,38.88,37.5,38.88,92900,38.88
26-Jun-1998,0,39.69,38.88,39.62,105400,39.62
29-Jun-1998,0,41.25,39.75,41.12,210600,41.12
30-Jun-1998,0,42,40.81,42,267800,42
01-Jul-1998,0,42,41.12,41.75,56800,41.75
02-Jul-1998,0,41.75,41.62,41.69,9900,41.69
06-Jul-1998,0,42.62,41.94,42.44,88400,42.44
07-Jul-1998,0,44.31,42.38,43.88,155000,43.88
08-Jul-1998,0,45.38,44,45.38,134700,45.38
09-Jul-1998,0,45.75,45.12,45.25,145000,45.25
10-Jul-1998,0,45.25,44,44.44,131800,44.44
13-Jul-1998,0,46.75,44.69,46.06,159100,46.06
14-Jul-1998,0,45.94,44.94,45,144500,45
15-Jul-1998,0,45.25,45,45.19,86500,45.19
16-Jul-1998,0,46.19,45,45.94,123100,45.94
17-Jul-1998,0,46.56,45.81,46.44,154600,46.44
20-Jul-1998,0,48.06,46.38,48,188400,48
21-Jul-1998,0,48,46.31,46.31,139700,46.31
22-Jul-1998,0,45.69,44.06,44.38,120300,44.38
23-Jul-1998,0,44.88,43,43,90100,43
