Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,2.26,2.23,2.23,379200,0.85
04-Jan-1978,0,2.24,2.19,2.21,993600,0.84
05-Jan-1978,0,2.23,2.2,2.21,528000,0.84
06-Jan-1978,0,2.22,2.15,2.16,643200,0.82
09-Jan-1978,0,2.12,2.09,2.09,1819200,0.8
10-Jan-1978,0,2.12,2.08,2.09,868800,0.8
11-Jan-1978,0,2.12,2.06,2.06,603200,0.79
12-Jan-1978,0,2.09,2.06,2.08,1011200,0.79
13-Jan-1978,0,2.11,2.06,2.06,451200,0.79
16-Jan-1978,0,2.09,2.08,2.08,441600,0.79
17-Jan-1978,0,2.09,2.09,2.09,459200,0.8
18-Jan-1978,0,2.09,2.06,2.08,820800,0.79
19-Jan-1978,0,2.1,2.07,2.07,1048000,0.79
20-Jan-1978,0,2.06,2.03,2.04,321600,0.78
23-Jan-1978,0,2.05,2.02,2.03,856000,0.78
24-Jan-1978,0,2.04,2.02,2.04,784000,0.78
25-Jan-1978,0,2.05,2.02,2.03,380800,0.78
26-Jan-1978,0,2.05,2.02,2.04,371200,0.78
27-Jan-1978,0,2.06,2.02,2.05,696000,0.78
30-Jan-1978,0,2.14,2.05,2.14,779200,0.82
31-Jan-1978,0,2.17,2.11,2.12,1780800,0.81
01-Feb-1978,0,2.16,2.11,2.16,892800,0.82
02-Feb-1978,0,2.2,2.17,2.19,689600,0.84
03-Feb-1978,0,2.18,2.15,2.17,484800,0.83
06-Feb-1978,0,2.16,2.15,2.16,513600,0.82
07-Feb-1978,0,2.2,2.16,2.2,1696000,0.84
08-Feb-1978,0,2.21,2.18,2.21,872000,0.84
09-Feb-1978,0,2.21,2.18,2.19,856000,0.84
10-Feb-1978,0,2.22,2.18,2.21,713600,0.84
13-Feb-1978,0,2.21,2.2,2.2,361600,0.84
14-Feb-1978,0,2.2,2.17,2.18,347200,0.83
15-Feb-1978,0,2.18,2.16,2.16,955200,0.82
16-Feb-1978,0,2.16,2.12,2.16,918400,0.82
17-Feb-1978,0,2.15,2.09,2.12,854400,0.81
21-Feb-1978,0,2.12,2.09,2.1,740800,0.8
22-Feb-1978,0,2.12,2.11,2.12,209600,0.81
23-Feb-1978,0,2.12,2.11,2.12,790400,0.81
24-Feb-1978,0,2.15,2.12,2.15,472000,0.82
27-Feb-1978,0,2.17,2.12,2.12,932800,0.81
28-Feb-1978,0,2.15,2.11,2.12,262400,0.81
01-Mar-1978,0,2.15,2.1,2.12,601600,0.81
02-Mar-1978,0,2.19,2.12,2.18,947200,0.83
03-Mar-1978,0,2.2,2.18,2.19,651200,0.84
06-Mar-1978,0,2.18,2.16,2.17,425600,0.83
07-Mar-1978,0,2.19,2.16,2.18,337600,0.83
08-Mar-1978,0,2.23,2.18,2.23,790400,0.85
09-Mar-1978,0,2.27,2.26,2.26,1608000,0.86
10-Mar-1978,0,2.28,2.26,2.27,1681600,0.87
13-Mar-1978,0,2.3,2.27,2.27,1112000,0.87
14-Mar-1978,0,2.28,2.27,2.28,792000,0.87
15-Mar-1978,0,2.28,2.27,2.27,996800,0.87
16-Mar-1978,0,2.29,2.27,2.27,496000,0.87
17-Mar-1978,0,2.27,2.23,2.25,1142400,0.86
20-Mar-1978,0,2.28,2.27,2.28,1867200,0.87
21-Mar-1978,0,2.28,2.23,2.25,660800,0.86
22-Mar-1978,0,2.26,2.23,2.24,272000,0.86
23-Mar-1978,0,2.25,2.22,2.25,667200,0.86
27-Mar-1978,0,2.27,2.24,2.26,296000,0.86
28-Mar-1978,0,2.26,2.24,2.25,456000,0.86
29-Mar-1978,0,2.28,2.25,2.26,1452800,0.86
30-Mar-1978,0,2.25,2.23,2.24,427200,0.86
31-Mar-1978,0,2.25,2.22,2.23,587200,0.85
03-Apr-1978,0,2.23,2.21,2.22,548800,0.85
04-Apr-1978,0,2.23,2.22,2.23,598400,0.85
05-Apr-1978,0,2.25,2.24,2.25,1072000,0.86
06-Apr-1978,0,2.27,2.24,2.26,963200,0.86
07-Apr-1978,0,2.28,2.25,2.28,705600,0.87
