Date,Open,High,Low,Close,Volume,AdjClose
19-Mar-2008,16.2,17.2,13.8,14.1,708485888,13.11
20-Mar-2008,14.6,16.25,14.38,16.09,198984944,14.95
24-Mar-2008,16.81,16.92,14.75,14.93,149694984,13.88
25-Mar-2008,15.14,16.06,14.96,15.81,87165192,14.69
26-Mar-2008,15.68,16.12,15.39,15.99,43139416,14.86
27-Mar-2008,16.01,16.18,15.66,15.73,39835044,14.62
28-Mar-2008,15.84,15.86,15.54,15.69,24698316,14.58
31-Mar-2008,15.65,15.87,15.51,15.59,22170648,14.49
01-Apr-2008,15.76,15.92,15.08,15.4,60431880,14.31
02-Apr-2008,15.43,15.58,15.12,15.58,43846560,14.48
03-Apr-2008,15.49,16.57,15.46,16.38,100867628,15.22
04-Apr-2008,16.22,16.33,15.94,16.12,36396044,14.98
07-Apr-2008,16.28,16.45,16,16.26,28313468,15.11
08-Apr-2008,16.22,17.06,16.2,17.02,53963828,15.82
09-Apr-2008,17.11,17.18,16.4,16.45,48339776,15.29
10-Apr-2008,16.54,16.68,16.28,16.53,22385132,15.36
11-Apr-2008,16.31,16.69,16.31,16.53,26434408,15.36
14-Apr-2008,16.68,16.81,16.38,16.42,28446192,15.26
15-Apr-2008,16.57,16.64,16,16.09,23903372,14.95
16-Apr-2008,16.14,16.74,16.14,16.54,25148748,15.37
17-Apr-2008,16.56,16.94,16.5,16.76,22462216,15.58
18-Apr-2008,17,17.61,16.8,17.25,104122972,16.03
21-Apr-2008,17.37,18.12,17.21,17.74,58885204,16.49
22-Apr-2008,17.98,18.1,17.5,17.57,47378240,16.33
23-Apr-2008,17.74,17.92,17.42,17.52,37336612,16.28
24-Apr-2008,17.8,18.25,17.51,18.08,39082416,16.8
25-Apr-2008,19,19.02,18.48,18.78,101459948,17.45
28-Apr-2008,19.12,19.32,18.72,18.91,132517288,17.58
29-Apr-2008,18.54,20.22,17.75,20.22,197308132,18.79
30-Apr-2008,20.35,21.2,20.27,20.86,147543256,19.39
01-May-2008,21.1,21.91,20.98,21.35,116395340,19.84
02-May-2008,21.82,21.88,20.25,20.69,136648496,19.23
05-May-2008,20.71,21.38,20.2,21.26,70376936,19.76
06-May-2008,21.37,22.04,21.19,21.88,75912944,20.34
07-May-2008,22.21,22.46,21.92,22.12,100464496,20.56
08-May-2008,22.38,22.44,21.48,21.82,92866696,20.28
09-May-2008,21.45,21.67,20.63,20.72,94311788,19.26
12-May-2008,20.91,21.12,19.52,20.48,147550908,19.03
13-May-2008,20.46,20.88,20.2,20.6,53271328,19.15
14-May-2008,20.82,21.09,20.36,20.56,51400308,19.11
15-May-2008,20.63,20.73,20.28,20.56,36728236,19.11
16-May-2008,20.68,20.71,20.32,20.59,34066532,19.14
19-May-2008,20.57,21.18,20.54,20.83,45651280,19.36
20-May-2008,20.72,20.96,20.48,20.68,40706340,19.22
21-May-2008,20.67,20.86,20.13,20.21,41831272,18.78
22-May-2008,20.14,20.15,19.04,19.33,85317360,17.97
23-May-2008,18.96,19.33,18.78,19.09,42223732,17.74
27-May-2008,19.23,19.74,18.59,19.68,62814696,18.29
28-May-2008,20.07,20.49,19.89,20.48,53034688,19.03
29-May-2008,20.86,21.74,20.75,21.31,100613028,19.81
30-May-2008,21.5,21.89,21.45,21.59,72048184,20.07
02-Jun-2008,21.55,21.74,21.15,21.52,36855820,20
03-Jun-2008,21.75,21.99,21.51,21.89,48484252,20.35
04-Jun-2008,21.77,22.02,21.32,21.37,40704512,19.86
05-Jun-2008,21.62,21.81,21.4,21.81,27059472,20.27
06-Jun-2008,21.48,21.5,20.89,20.91,41771776,19.43
09-Jun-2008,21,21.24,20.14,20.54,45239644,19.09
10-Jun-2008,20.08,20.72,19.9,20.08,36086056,18.66
11-Jun-2008,20.25,20.25,19.4,19.44,57036280,18.07
12-Jun-2008,19.74,20.19,19.64,19.89,44605276,18.49
