Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,6.57,6.25,6.25,2800,1.42
04-Jan-1978,0,6.57,6.25,6.57,4600,1.49
05-Jan-1978,0,6.72,6.57,6.72,12293,1.52
06-Jan-1978,0,7.19,6.57,7.19,16093,1.63
09-Jan-1978,0,7.04,6.57,6.88,16587,1.56
10-Jan-1978,0,7.19,6.88,7.04,5293,1.6
11-Jan-1978,0,7.04,6.88,6.88,3800,1.56
12-Jan-1978,0,7.04,6.88,6.88,17987,1.56
13-Jan-1978,0,7.04,6.88,7.04,5093,1.6
16-Jan-1978,0,7.04,6.88,7.04,15587,1.6
17-Jan-1978,0,7.19,7.04,7.19,12200,1.63
18-Jan-1978,0,7.82,7.19,7.82,35987,1.77
19-Jan-1978,0,7.66,7.5,7.66,14987,1.74
20-Jan-1978,0,7.82,7.5,7.82,9600,1.77
23-Jan-1978,0,7.82,7.5,7.66,7293,1.74
24-Jan-1978,0,7.66,7.5,7.66,11893,1.74
25-Jan-1978,0,7.82,7.66,7.82,12893,1.77
26-Jan-1978,0,8.29,7.82,8.13,65973,1.84
27-Jan-1978,0,8.76,8.13,8.76,84760,1.99
30-Jan-1978,0,9.07,8.13,8.44,64267,1.91
31-Jan-1978,0,8.6,8.44,8.44,29387,1.91
01-Feb-1978,0,9.22,8.44,9.07,95947,2.06
02-Feb-1978,0,9.22,8.76,8.76,121040,1.99
03-Feb-1978,0,8.76,8.44,8.76,30680,1.99
06-Feb-1978,0,8.76,8.6,8.76,13093,1.99
07-Feb-1978,0,8.91,8.6,8.76,4600,1.99
08-Feb-1978,0,8.91,8.6,8.6,9000,1.95
09-Feb-1978,0,8.91,8.6,8.91,13493,2.02
10-Feb-1978,0,9.07,8.91,9.07,9093,2.06
13-Feb-1978,0,9.07,8.6,8.6,14693,1.95
14-Feb-1978,0,8.91,8.6,8.91,29387,2.02
15-Feb-1978,0,9.54,9.07,9.38,52080,2.13
16-Feb-1978,0,9.38,9.07,9.07,25493,2.06
17-Feb-1978,0,9.22,9.07,9.07,10400,2.06
21-Feb-1978,0,9.07,8.91,8.91,8600,2.02
22-Feb-1978,0,8.91,8.6,8.76,17387,1.99
23-Feb-1978,0,9.07,8.6,9.07,23293,2.06
24-Feb-1978,0,9.22,9.07,9.22,17493,2.09
27-Feb-1978,0,9.22,9.07,9.07,12800,2.06
28-Feb-1978,0,9.07,8.76,8.76,4600,1.99
01-Mar-1978,0,8.91,8.76,8.76,7893,1.99
02-Mar-1978,0,8.91,8.6,8.76,11093,1.99
03-Mar-1978,0,8.91,8.76,8.76,19387,1.99
06-Mar-1978,0,8.91,8.76,8.91,5093,2.02
07-Mar-1978,0,9.07,8.91,8.91,7093,2.02
08-Mar-1978,0,9.07,8.91,9.07,20493,2.06
09-Mar-1978,0,9.07,8.91,9.07,33080,2.06
10-Mar-1978,0,9.07,9.07,9.07,27187,2.06
13-Mar-1978,0,9.07,8.76,8.76,7493,1.99
14-Mar-1978,0,8.91,8.6,8.91,7400,2.02
15-Mar-1978,0,9.07,8.6,8.6,9800,1.95
16-Mar-1978,0,8.44,8.29,8.44,24693,1.91
17-Mar-1978,0,9.07,8.44,9.07,28480,2.06
20-Mar-1978,0,9.07,8.44,8.44,15893,1.91
21-Mar-1978,0,9.07,8.44,8.91,24387,2.02
22-Mar-1978,0,9.07,8.76,9.07,12400,2.06
23-Mar-1978,0,9.07,8.91,8.91,16893,2.02
27-Mar-1978,0,8.91,8.6,8.6,7800,1.95
28-Mar-1978,0,8.91,8.76,8.76,11000,1.99
29-Mar-1978,0,8.91,8.76,8.76,11693,1.99
30-Mar-1978,0,8.91,8.76,8.76,6400,1.99
31-Mar-1978,0,8.91,8.6,8.6,3800,1.95
03-Apr-1978,0,8.76,8.44,8.76,7400,1.99
04-Apr-1978,0,8.91,8.6,8.6,7400,1.95
05-Apr-1978,0,8.91,8.44,8.91,3200,2.02
06-Apr-1978,0,9.07,8.76,8.91,29880,2.02
07-Apr-1978,0,10.32,8.91,10.32,274867,2.34
10-Apr-1978,0,10.32,10,10.32,102253,2.34
11-Apr-1978,0,11.88,10.16,11.57,130640,2.62
12-Apr-1978,0,11.88,11.1,11.73,171013,2.66
13-Apr-1978,0,11.73,11.26,11.57,78267,2.62
14-Apr-1978,0,11.57,10.16,10.94,85453,2.48
17-Apr-1978,0,11.1,10.47,10.94,38587,2.48
18-Apr-1978,0,10.94,10.47,10.79,25387,2.45
19-Apr-1978,0,11.1,10.79,11.1,25387,2.52
20-Apr-1978,0,11.26,10.79,10.79,18387,2.45
21-Apr-1978,0,10.94,10.63,10.63,33587,2.41
24-Apr-1978,0,10.94,10.79,10.94,19893,2.48
25-Apr-1978,0,10.94,10.79,10.94,36387,2.48
26-Apr-1978,0,10.94,10.63,10.63,16493,2.41
27-Apr-1978,0,10.63,10.32,10.32,25893,2.34
28-Apr-1978,0,10.32,10.16,10.32,39280,2.34
01-May-1978,0,11.57,10.47,11.26,67067,2.55
02-May-1978,0,12.04,11.26,12.04,89653,2.73
03-May-1978,0,12.51,12.19,12.51,65173,2.84
04-May-1978,0,12.51,11.73,12.35,45680,2.8
05-May-1978,0,12.51,12.19,12.35,56067,2.8
08-May-1978,0,13.44,12.51,13.44,116747,3.05
09-May-1978,0,13.44,13.29,13.44,60373,3.05
10-May-1978,0,13.44,12.82,12.98,45173,2.94
11-May-1978,0,13.29,12.82,12.82,59467,2.91
12-May-1978,0,12.98,12.51,12.66,32880,2.87
15-May-1978,0,12.82,12.04,12.19,22893,2.76
16-May-1978,0,12.51,11.73,12.51,45373,2.84
17-May-1978,0,12.51,11.88,12.04,17187,2.73
18-May-1978,0,12.19,11.88,12.04,37480,2.73
19-May-1978,0,12.66,12.04,12.19,19493,2.76
22-May-1978,0,12.51,12.19,12.35,9093,2.8
23-May-1978,0,12.98,12.35,12.51,36187,2.84
24-May-1978,0,12.35,11.41,11.73,48973,2.66
25-May-1978,0,11.88,11.57,11.73,17693,2.66
26-May-1978,0,11.73,11.57,11.57,13893,2.62
30-May-1978,0,11.57,11.1,11.41,26880,2.59
31-May-1978,0,11.41,11.1,11.1,10600,2.52
01-Jun-1978,0,12.19,10.94,12.19,38787,2.76
02-Jun-1978,0,12.51,12.04,12.19,46173,2.76
05-Jun-1978,0,12.19,11.88,11.88,19293,2.69
06-Jun-1978,0,12.04,11.57,11.57,14893,2.62
07-Jun-1978,0,12.04,11.57,11.88,22493,2.69
08-Jun-1978,0,12.51,11.88,12.51,41680,2.84
09-Jun-1978,0,13.44,12.51,12.98,69867,2.94
12-Jun-1978,0,13.13,12.82,12.98,38587,2.94
13-Jun-1978,0,13.29,12.66,12.82,45373,2.91
14-Jun-1978,0,13.91,13.13,13.91,56973,3.15
15-Jun-1978,0,14.38,13.44,14.07,67467,3.19
16-Jun-1978,0,14.07,13.6,13.76,34080,3.12
19-Jun-1978,0,13.91,13.13,13.29,26387,3.01
20-Jun-1978,0,13.29,12.82,12.98,14093,2.94
21-Jun-1978,0,12.82,12.35,12.82,27787,2.91
22-Jun-1978,0,12.82,12.35,12.66,16493,2.87
23-Jun-1978,0,12.98,12.51,12.98,24093,2.94
26-Jun-1978,0,13.13,12.66,12.66,12093,2.87
27-Jun-1978,0,12.82,12.51,12.66,26587,2.87
28-Jun-1978,0,12.82,12.66,12.66,7600,2.87
29-Jun-1978,0,12.82,12.66,12.82,8000,2.91
30-Jun-1978,0,12.82,12.51,12.51,7293,2.84
03-Jul-1978,0,12.51,12.51,12.51,3200,2.84
05-Jul-1978,0,12.66,12.35,12.51,11693,2.84
06-Jul-1978,0,12.51,12.35,12.35,13693,2.8
07-Jul-1978,0,13.29,12.35,12.82,145933,2.91
10-Jul-1978,0,13.6,12.82,12.98,24093,2.94
11-Jul-1978,0,13.13,12.82,12.98,13000,2.94
12-Jul-1978,0,12.98,12.66,12.66,7400,2.87
