Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.99,0.97,0.98,96000,0.1
04-Jan-1978,0,0.98,0.95,0.95,352008,0.1
05-Jan-1978,0,0.96,0.95,0.95,134400,0.1
06-Jan-1978,0,0.95,0.92,0.92,548808,0.09
09-Jan-1978,0,0.92,0.9,0.91,520008,0.09
10-Jan-1978,0,0.92,0.9,0.9,971208,0.09
11-Jan-1978,0,0.91,0.9,0.91,2060808,0.09
12-Jan-1978,0,0.92,0.91,0.91,600000,0.09
13-Jan-1978,0,0.92,0.91,0.92,81600,0.09
16-Jan-1978,0,0.92,0.91,0.91,441600,0.09
17-Jan-1978,0,0.93,0.9,0.93,140808,0.09
18-Jan-1978,0,0.93,0.92,0.92,596808,0.09
19-Jan-1978,0,0.94,0.92,0.92,91200,0.09
20-Jan-1978,0,0.92,0.92,0.92,49608,0.09
23-Jan-1978,0,0.92,0.91,0.92,179208,0.09
24-Jan-1978,0,0.92,0.91,0.92,28800,0.09
25-Jan-1978,0,0.92,0.9,0.91,179208,0.09
26-Jan-1978,0,0.92,0.92,0.92,404808,0.09
27-Jan-1978,0,0.91,0.9,0.9,644808,0.09
30-Jan-1978,0,0.9,0.88,0.89,88008,0.09
31-Jan-1978,0,0.9,0.89,0.9,734400,0.09
01-Feb-1978,0,0.94,0.92,0.93,336000,0.09
02-Feb-1978,0,0.94,0.92,0.92,264000,0.09
03-Feb-1978,0,0.94,0.92,0.93,86400,0.09
06-Feb-1978,0,0.93,0.92,0.93,254400,0.09
07-Feb-1978,0,0.95,0.93,0.93,158400,0.09
08-Feb-1978,0,0.95,0.93,0.95,312000,0.1
09-Feb-1978,0,0.96,0.95,0.95,196800,0.1
10-Feb-1978,0,0.95,0.95,0.95,91200,0.1
13-Feb-1978,0,0.95,0.95,0.95,174408,0.1
14-Feb-1978,0,0.95,0.95,0.95,28800,0.1
15-Feb-1978,0,0.95,0.94,0.95,182400,0.1
16-Feb-1978,0,0.95,0.94,0.94,313608,0.1
17-Feb-1978,0,0.95,0.93,0.94,422400,0.1
21-Feb-1978,0,0.94,0.92,0.92,513600,0.09
22-Feb-1978,0,0.93,0.92,0.93,97608,0.09
23-Feb-1978,0,0.93,0.92,0.93,547200,0.09
24-Feb-1978,0,0.93,0.92,0.93,942408,0.09
27-Feb-1978,0,0.93,0.93,0.93,150408,0.09
28-Feb-1978,0,0.92,0.91,0.91,446400,0.09
01-Mar-1978,0,0.92,0.9,0.91,433608,0.09
02-Mar-1978,0,0.91,0.9,0.91,332808,0.09
03-Mar-1978,0,0.93,0.91,0.91,220800,0.09
06-Mar-1978,0,0.93,0.91,0.92,124800,0.09
07-Mar-1978,0,0.92,0.91,0.91,182400,0.09
08-Mar-1978,0,0.91,0.91,0.91,30408,0.09
09-Mar-1978,0,0.91,0.91,0.91,52800,0.09
10-Mar-1978,0,0.93,0.91,0.91,433608,0.09
13-Mar-1978,0,0.93,0.92,0.93,787200,0.09
14-Mar-1978,0,0.93,0.92,0.93,100800,0.09
15-Mar-1978,0,0.93,0.92,0.92,1590408,0.09
16-Mar-1978,0,0.93,0.92,0.92,259200,0.09
17-Mar-1978,0,0.93,0.92,0.93,148800,0.09
20-Mar-1978,0,0.94,0.92,0.93,40008,0.09
21-Mar-1978,0,0.93,0.92,0.93,460800,0.09
22-Mar-1978,0,0.92,0.91,0.92,374400,0.09
23-Mar-1978,0,0.92,0.91,0.92,448008,0.09
27-Mar-1978,0,0.92,0.91,0.92,86400,0.09
28-Mar-1978,0,0.92,0.9,0.91,384000,0.09
29-Mar-1978,0,0.92,0.92,0.92,105600,0.09
30-Mar-1978,0,0.92,0.91,0.92,254400,0.09
31-Mar-1978,0,0.93,0.92,0.93,400008,0.09
03-Apr-1978,0,0.92,0.91,0.91,304008,0.09
04-Apr-1978,0,0.91,0.89,0.89,710400,0.09
05-Apr-1978,0,0.91,0.9,0.91,628800,0.09
06-Apr-1978,0,0.93,0.91,0.92,1132800,0.09
07-Apr-1978,0,0.94,0.93,0.94,904008,0.1
10-Apr-1978,0,0.95,0.94,0.95,2955192,0.1
11-Apr-1978,0,0.95,0.93,0.93,1228800,0.09
12-Apr-1978,0,0.95,0.93,0.95,611208,0.1
13-Apr-1978,0,1,0.95,1,956808,0.1
14-Apr-1978,0,1.05,1.02,1.03,1875192,0.11
17-Apr-1978,0,1.03,1,1.01,825600,0.1
18-Apr-1978,0,1.01,0.99,0.99,417600,0.1
19-Apr-1978,0,1,0.97,0.98,112008,0.1
20-Apr-1978,0,1.01,1,1.01,523200,0.1
21-Apr-1978,0,1.03,1.02,1.03,371208,0.11
24-Apr-1978,0,1.06,1.03,1.04,697608,0.11
25-Apr-1978,0,1.07,1.06,1.06,523200,0.11
26-Apr-1978,0,1.06,1.05,1.06,374400,0.11
27-Apr-1978,0,1.06,1.04,1.05,720000,0.11
28-Apr-1978,0,1.06,1.05,1.06,62400,0.11
01-May-1978,0,1.07,1.06,1.06,275208,0.11
02-May-1978,0,1.07,1.05,1.06,673608,0.11
03-May-1978,0,1.06,1.05,1.05,131208,0.11
04-May-1978,0,1.05,1.03,1.04,398400,0.11
05-May-1978,0,1.07,1.05,1.07,494400,0.11
08-May-1978,0,1.09,1.07,1.08,30408,0.11
09-May-1978,0,1.09,1.07,1.09,110400,0.11
10-May-1978,0,1.08,1.07,1.07,206400,0.11
11-May-1978,0,1.09,1.07,1.09,78408,0.11
12-May-1978,0,1.12,1.11,1.12,870408,0.11
15-May-1978,0,1.14,1.12,1.13,1086408,0.12
16-May-1978,0,1.15,1.12,1.15,1595208,0.12
17-May-1978,0,1.17,1.14,1.16,1014408,0.12
18-May-1978,0,1.17,1.14,1.14,236808,0.12
19-May-1978,0,1.15,1.11,1.12,158400,0.11
22-May-1978,0,1.14,1.09,1.09,456000,0.11
23-May-1978,0,1.11,1.09,1.09,67200,0.11
24-May-1978,0,1.09,1.06,1.06,102408,0.11
25-May-1978,0,1.07,1.04,1.06,323208,0.11
26-May-1978,0,1.07,1.04,1.07,337608,0.11
30-May-1978,0,1.07,1.06,1.07,275208,0.11
31-May-1978,0,1.07,1.06,1.06,278400,0.11
01-Jun-1978,0,1.1,1.07,1.09,539208,0.11
02-Jun-1978,0,1.12,1.11,1.12,216000,0.11
05-Jun-1978,0,1.13,1.11,1.13,297600,0.12
06-Jun-1978,0,1.16,1.14,1.16,769608,0.12
07-Jun-1978,0,1.16,1.15,1.15,326400,0.12
08-Jun-1978,0,1.15,1.15,1.15,160008,0.12
09-Jun-1978,0,1.14,1.11,1.11,222408,0.11
12-Jun-1978,0,1.11,1.09,1.09,148800,0.11
13-Jun-1978,0,1.09,1.09,1.09,14400,0.11
14-Jun-1978,0,1.09,1.05,1.06,1907208,0.11
15-Jun-1978,0,1.05,1.05,1.05,126408,0.11
16-Jun-1978,0,1.06,1.04,1.05,105600,0.11
19-Jun-1978,0,1.05,1.03,1.03,323208,0.11
20-Jun-1978,0,1.04,1.01,1.01,332808,0.1
21-Jun-1978,0,1.01,0.99,0.99,115200,0.1
22-Jun-1978,0,1.01,0.98,1,659208,0.1
23-Jun-1978,0,1.03,1.01,1.03,379200,0.11
26-Jun-1978,0,1.03,1.01,1.02,380808,0.1
27-Jun-1978,0,1.03,1.02,1.03,57600,0.11
28-Jun-1978,0,1.04,1.02,1.04,102408,0.11
29-Jun-1978,0,1.05,1.04,1.04,518400,0.11
30-Jun-1978,0,1.05,1.04,1.04,201600,0.11
03-Jul-1978,0,1.04,1.04,1.04,355200,0.11
05-Jul-1978,0,1.03,1.02,1.03,6408,0.11
06-Jul-1978,0,1.02,0.99,0.99,241608,0.1
07-Jul-1978,0,1,0.98,1,217608,0.1
10-Jul-1978,0,1.01,1,1.01,508800,0.1
11-Jul-1978,0,1.01,1,1,44808,0.1
12-Jul-1978,0,1.01,1,1,86400,0.1
13-Jul-1978,0,1.01,0.98,1,323208,0.1
14-Jul-1978,0,1.02,0.99,1.02,600000,0.1
17-Jul-1978,0,1.03,1.01,1.03,537600,0.11
18-Jul-1978,0,1.03,1.02,1.03,220800,0.11
19-Jul-1978,0,1.05,1.02,1.04,451200,0.11
20-Jul-1978,0,1.05,1.03,1.05,777600,0.11
21-Jul-1978,0,1.05,1.03,1.03,1056000,0.11
24-Jul-1978,0,1.03,1.01,1.01,196800,0.1
25-Jul-1978,0,1.02,0.99,1,587208,0.1
26-Jul-1978,0,1.02,1,1.02,921600,0.1
27-Jul-1978,0,1.04,1.02,1.03,284808,0.11
28-Jul-1978,0,1.04,1.01,1.01,192000,0.1
31-Jul-1978,0,1.03,1.01,1.03,436800,0.11
01-Aug-1978,0,1.04,1.03,1.03,600000,0.11
02-Aug-1978,0,1.03,1.03,1.03,624000,0.11
03-Aug-1978,0,1.05,1.03,1.03,697608,0.11
04-Aug-1978,0,1.06,1.04,1.06,1326408,0.11
07-Aug-1978,0,1.11,1.05,1.09,736008,0.11
08-Aug-1978,0,1.09,1.08,1.09,451200,0.11
09-Aug-1978,0,1.12,1.09,1.11,926400,0.11
10-Aug-1978,0,1.14,1.11,1.12,126408,0.11
11-Aug-1978,0,1.12,1.11,1.12,278400,0.11
14-Aug-1978,0,1.12,1.12,1.12,366408,0.11
15-Aug-1978,0,1.13,1.11,1.11,350400,0.11
16-Aug-1978,0,1.12,1.12,1.12,177600,0.11
17-Aug-1978,0,1.14,1.11,1.11,336000,0.11
18-Aug-1978,0,1.12,1.12,1.12,232008,0.11
21-Aug-1978,0,1.14,1.12,1.12,160008,0.11
22-Aug-1978,0,1.12,1.09,1.1,1854408,0.11
23-Aug-1978,0,1.09,1.07,1.09,686400,0.11
24-Aug-1978,0,1.11,1.08,1.09,139200,0.11
25-Aug-1978,0,1.09,1.08,1.08,188808,0.11
28-Aug-1978,0,1.09,1.07,1.09,1369608,0.11
29-Aug-1978,0,1.09,1.06,1.08,428808,0.11
30-Aug-1978,0,1.12,1.07,1.12,408000,0.11
31-Aug-1978,0,1.11,1.11,1.11,107208,0.11
01-Sep-1978,0,1.12,1.11,1.12,86400,0.11
05-Sep-1978,0,1.12,1.12,1.12,1249608,0.11
06-Sep-1978,0,1.15,1.13,1.15,342408,0.12
07-Sep-1978,0,1.17,1.15,1.15,235200,0.12
08-Sep-1978,0,1.17,1.15,1.15,220800,0.12
11-Sep-1978,0,1.17,1.16,1.17,140808,0.12
12-Sep-1978,0,1.19,1.18,1.18,59208,0.12
13-Sep-1978,0,1.2,1.18,1.18,548808,0.12
14-Sep-1978,0,1.19,1.17,1.17,97608,0.12
15-Sep-1978,0,1.16,1.15,1.15,136008,0.12
18-Sep-1978,0,1.16,1.16,1.16,83208,0.12
19-Sep-1978,0,1.16,1.15,1.15,158400,0.12
20-Sep-1978,0,1.16,1.14,1.16,206400,0.12
21-Sep-1978,0,1.15,1.13,1.14,332808,0.12
22-Sep-1978,0,1.14,1.12,1.12,513600,0.11
25-Sep-1978,0,1.12,1.12,1.12,500808,0.11
26-Sep-1978,0,1.17,1.14,1.17,356808,0.12
27-Sep-1978,0,1.16,1.15,1.15,1200000,0.12
28-Sep-1978,0,1.12,1.12,1.12,1980792,0.11
29-Sep-1978,0,1.12,1.12,1.12,129600,0.11
02-Oct-1978,0,1.12,1.09,1.11,198408,0.11
03-Oct-1978,0,1.12,1.11,1.12,57600,0.11
04-Oct-1978,0,1.12,1.1,1.1,201600,0.11
05-Oct-1978,0,1.12,1.11,1.11,115200,0.11
06-Oct-1978,0,1.12,1.09,1.11,294408,0.11
09-Oct-1978,0,1.12,1.09,1.09,312000,0.11
10-Oct-1978,0,1.11,1.09,1.09,59208,0.11
11-Oct-1978,0,1.1,1.09,1.1,273600,0.11
12-Oct-1978,0,1.12,1.11,1.11,3662400,0.11
13-Oct-1978,0,1.12,1.11,1.12,347208,0.11
16-Oct-1978,0,1.11,1.09,1.09,513600,0.11
17-Oct-1978,0,1.09,1.06,1.07,556800,0.11
18-Oct-1978,0,1.07,1.04,1.05,283200,0.11
19-Oct-1978,0,1.06,1.05,1.05,472008,0.11
20-Oct-1978,0,1.06,1.04,1.04,288000,0.11
23-Oct-1978,0,1.05,1.04,1.04,76800,0.11
24-Oct-1978,0,1.06,1.05,1.06,57600,0.11
25-Oct-1978,0,1.07,1.05,1.05,841608,0.11
26-Oct-1978,0,1.06,1.06,1.06,638400,0.11
27-Oct-1978,0,1.06,1.05,1.06,211200,0.11
30-Oct-1978,0,1.05,1.04,1.05,393600,0.11
31-Oct-1978,0,1.07,1.06,1.06,160008,0.11
01-Nov-1978,0,1.11,1.06,1.06,616008,0.11
02-Nov-1978,0,1.07,1.05,1.07,388800,0.11
03-Nov-1978,0,1.07,1.05,1.05,553608,0.11
06-Nov-1978,0,1.07,1.05,1.05,110400,0.11
07-Nov-1978,0,1.06,1.05,1.05,366408,0.11
08-Nov-1978,0,1.05,1.05,1.05,126408,0.11
09-Nov-1978,0,1.05,1.05,1.05,294408,0.11
10-Nov-1978,0,1.07,1.04,1.07,432000,0.11
13-Nov-1978,0,1.08,1.06,1.06,81600,0.11
14-Nov-1978,0,1.05,1.05,1.05,2435208,0.11
15-Nov-1978,0,1.05,1.04,1.04,475200,0.11
16-Nov-1978,0,1.05,1.04,1.04,244800,0.11
17-Nov-1978,0,1.05,1.03,1.04,408000,0.11
20-Nov-1978,0,1.04,1.02,1.03,222408,0.11
21-Nov-1978,0,1.03,1.02,1.02,796800,0.1
