Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,5.62,5.5,5.5,42800,2.44
04-Jan-1978,0,5.59,5.5,5.53,55600,2.45
05-Jan-1978,0,5.59,5.44,5.44,159200,2.41
06-Jan-1978,0,5.44,5.28,5.28,90000,2.34
09-Jan-1978,0,5.25,5,5.06,102000,2.25
10-Jan-1978,0,5.19,5,5.12,124800,2.27
11-Jan-1978,0,5.19,5.12,5.16,65200,2.29
12-Jan-1978,0,5.16,5.12,5.12,88000,2.27
13-Jan-1978,0,5.31,5.12,5.28,43600,2.34
16-Jan-1978,0,5.22,5.16,5.16,68400,2.29
17-Jan-1978,0,5.25,5.12,5.19,328400,2.3
18-Jan-1978,0,5.31,5.16,5.16,42400,2.29
19-Jan-1978,0,5.22,5.09,5.12,84000,2.27
20-Jan-1978,0,5.22,5.19,5.22,25200,2.32
23-Jan-1978,0,5.22,5.12,5.19,61600,2.3
24-Jan-1978,0,5.16,5.12,5.16,50800,2.29
25-Jan-1978,0,5.16,5.12,5.12,24000,2.27
26-Jan-1978,0,5.12,5.06,5.06,206000,2.25
27-Jan-1978,0,5.09,5.03,5.09,100400,2.26
30-Jan-1978,0,5.09,5.03,5.09,119200,2.26
31-Jan-1978,0,5.09,5.03,5.03,36000,2.23
01-Feb-1978,0,5.12,5.06,5.12,77600,2.27
02-Feb-1978,0,5.25,5.16,5.25,126000,2.33
03-Feb-1978,0,5.25,5.19,5.25,39600,2.33
06-Feb-1978,0,5.22,5.22,5.22,4800,2.32
07-Feb-1978,0,5.25,5.19,5.22,121600,2.32
08-Feb-1978,0,5.38,5.22,5.38,66800,2.39
09-Feb-1978,0,5.53,5.44,5.53,49200,2.45
10-Feb-1978,0,5.66,5.53,5.62,32000,2.49
13-Feb-1978,0,5.62,5.59,5.62,22800,2.49
14-Feb-1978,0,5.62,5.5,5.5,109600,2.44
15-Feb-1978,0,5.5,5.31,5.31,172800,2.36
16-Feb-1978,0,5.31,5.16,5.16,54800,2.29
17-Feb-1978,0,5.25,5.16,5.25,1600,2.33
21-Feb-1978,0,5.38,5.19,5.19,49200,2.3
22-Feb-1978,0,5.19,5.06,5.12,96800,2.27
23-Feb-1978,0,5.19,5.12,5.16,26400,2.29
24-Feb-1978,0,5.41,5.22,5.34,33200,2.37
27-Feb-1978,0,5.28,5.25,5.25,373600,2.33
28-Feb-1978,0,5.25,5.16,5.25,223600,2.33
01-Mar-1978,0,5.25,5.19,5.22,44800,2.32
02-Mar-1978,0,5.28,5.16,5.28,50400,2.34
03-Mar-1978,0,5.34,5.19,5.28,27200,2.34
06-Mar-1978,0,5.28,5.19,5.28,175200,2.34
07-Mar-1978,0,5.31,5.16,5.28,91600,2.34
08-Mar-1978,0,5.47,5.31,5.44,62800,2.41
09-Mar-1978,0,5.44,5.44,5.44,73200,2.41
10-Mar-1978,0,5.5,5.41,5.5,183200,2.44
13-Mar-1978,0,5.62,5.5,5.59,152800,2.48
14-Mar-1978,0,5.69,5.59,5.69,125600,2.53
15-Mar-1978,0,5.78,5.72,5.75,74400,2.55
16-Mar-1978,0,5.75,5.75,5.75,282800,2.55
17-Mar-1978,0,5.75,5.66,5.66,175600,2.51
20-Mar-1978,0,5.72,5.66,5.72,19600,2.54
