Date,Open,High,Low,Close,Volume,AdjClose
24-Jun-2015,63.45,63.45,63.38,63.38,3300,58.47
25-Jun-2015,62.9,62.9,61.9,61.9,3700,57.1
26-Jun-2015,NaN,NaN,NaN,61.9,0,57.1
29-Jun-2015,60.92,60.92,60.8,60.8,300,56.09
30-Jun-2015,61.33,61.4,60.33,60.9,1815537,56.18
01-Jul-2015,60.74,62.4,60.63,62.4,192377,57.56
02-Jul-2015,63,65,62.4,64.99,1744987,59.95
06-Jul-2015,65.12,66.4,62.99,63.75,2092257,58.81
07-Jul-2015,63.91,63.99,61.54,62.47,3053125,57.63
08-Jul-2015,62.5,63.9,59.5,59.71,3784289,55.08
09-Jul-2015,59.5,60.93,58.51,59.51,2284226,54.9
10-Jul-2015,59.97,61.6,59.4,61.4,2237703,56.64
13-Jul-2015,62.04,62.25,61.61,62.12,1248987,57.3
14-Jul-2015,62.1,63.05,61.44,62.19,994808,57.37
15-Jul-2015,62.25,62.93,61.13,61.62,1209854,56.84
16-Jul-2015,61.7,63.68,61.54,62.32,1365863,57.49
17-Jul-2015,62.62,63.25,61.64,61.75,1213162,56.96
20-Jul-2015,62,62.93,61.5,61.55,1977775,56.78
21-Jul-2015,61.84,62.86,59.62,59.85,1808280,55.21
22-Jul-2015,60.35,61.14,59.57,60.14,900133,55.48
23-Jul-2015,59.77,60.78,59.35,59.85,1124672,55.21
24-Jul-2015,59.55,59.95,57.66,58.91,1154608,54.34
27-Jul-2015,58.45,59.42,57.86,58.19,1255150,53.68
28-Jul-2015,58.52,59.75,57.49,59.34,1636666,54.74
29-Jul-2015,58.88,59.73,58.08,59.39,1790204,54.79
30-Jul-2015,61.36,63.19,61.04,62.83,3530135,57.96
31-Jul-2015,61.5,63.75,61.16,63.06,1624924,58.17
03-Aug-2015,63.37,64.74,62.39,63.17,2128045,58.27
04-Aug-2015,62.25,63.45,62.24,62.57,702962,57.72
05-Aug-2015,63.29,63.96,62.22,62.75,1499416,57.89
06-Aug-2015,62,62.5,60.48,61.74,2536887,56.95
07-Aug-2015,61.68,62.61,60.98,62.56,2060919,57.71
10-Aug-2015,62.99,63.5,61.9,62.98,1424070,58.45
11-Aug-2015,64,64,61.71,63.4,1727206,58.84
12-Aug-2015,63.4,63.87,61.71,63.31,1396295,58.75
13-Aug-2015,63.26,63.8,62.35,63.13,844266,58.59
14-Aug-2015,63.13,63.81,61.96,63.23,938717,58.68
17-Aug-2015,62.63,63.41,62.63,63.34,714354,58.78
18-Aug-2015,63.02,63.58,62.91,63.16,806543,58.62
19-Aug-2015,62.98,63.29,62.07,62.07,1078040,57.6
20-Aug-2015,61.75,61.75,60.38,60.68,1297454,56.31
21-Aug-2015,60.22,60.26,58.63,59.01,1958807,54.76
24-Aug-2015,56.66,60.29,53.48,56.46,2136950,52.4
25-Aug-2015,58.3,58.37,55.01,55.5,2347293,51.51
26-Aug-2015,57.13,57.94,55.15,56.45,1860463,52.39
27-Aug-2015,58.24,59.25,57.74,59.22,1871472,54.96
28-Aug-2015,59.32,60.42,59.22,60.26,1508682,55.92
31-Aug-2015,60.09,60.23,58.64,59.35,1681310,55.08
01-Sep-2015,58.5,59.12,57.66,58.43,1851536,54.23
02-Sep-2015,58.92,59.44,57.45,58.17,1237792,53.98
03-Sep-2015,58.35,59.64,58.18,58.72,1105932,54.49
04-Sep-2015,57.26,58.33,57.25,57.35,820990,53.22
08-Sep-2015,58.14,58.68,57.69,58.6,622523,54.38
09-Sep-2015,59,60.06,58.13,58.25,1075554,54.06
10-Sep-2015,58.13,59.41,58.03,58.74,1661561,54.51
11-Sep-2015,58.5,59.78,58.02,58.75,1032540,54.52
14-Sep-2015,58.75,59.62,57.55,59.58,1485238,55.29
15-Sep-2015,62.99,62.99,58.67,59.68,1422948,55.39
16-Sep-2015,59.23,59.23,57.01,58.79,1964997,54.56
17-Sep-2015,58.68,59.18,57.38,57.73,1216770,53.58
18-Sep-2015,56.97,57.33,55.6,55.7,2211926,51.69
21-Sep-2015,57.68,57.68,55.49,55.86,1624489,51.84
22-Sep-2015,56.99,56.99,53.45,53.94,1986069,50.06
23-Sep-2015,53.83,55.02,52.58,52.79,1841271,48.99
24-Sep-2015,51.01,52.45,50.5,52.31,2470772,48.55
25-Sep-2015,52.57,52.78,51.67,51.95,1469232,48.21
28-Sep-2015,51.36,51.92,49.9,49.97,1764796,46.37
29-Sep-2015,49.38,51.27,48.8,50.57,1774599,46.93
30-Sep-2015,54.76,54.76,50.62,51.44,1590371,47.74
01-Oct-2015,55.22,56.05,51.09,52,1722153,48.26
02-Oct-2015,49.99,53.05,49.99,53.01,1926227,49.2
05-Oct-2015,53.4,54.38,53.11,54.1,1544706,50.21
06-Oct-2015,54.36,55.05,53.97,54.31,2160796,50.4
07-Oct-2015,51.54,54.83,51.54,54.06,2462680,50.17
08-Oct-2015,53.92,54.64,53.56,54.19,1810375,50.29
09-Oct-2015,55.01,57.72,55.01,57.57,3473215,53.43
12-Oct-2015,57.53,57.59,55.48,56.33,1296979,52.28
13-Oct-2015,55.66,56.8,55.45,55.54,1290071,51.54
14-Oct-2015,55.58,56.19,55.28,55.76,1020990,51.75
15-Oct-2015,55.57,56.13,54.95,56.01,876846,51.98
16-Oct-2015,57.85,57.85,54.76,55.79,1397035,51.78
19-Oct-2015,55.19,55.73,53.66,54.27,1440221,50.37
20-Oct-2015,53.84,54.44,51.36,53.76,1125828,49.89
21-Oct-2015,54.2,54.2,51.75,52.57,1552992,48.79
22-Oct-2015,53.17,53.76,51.93,52.5,1879332,48.72
23-Oct-2015,52.69,53.71,52.64,53.37,1502275,49.53
26-Oct-2015,53.3,53.36,52.19,53.26,1164100,49.43
27-Oct-2015,52.79,53.31,52.17,53.07,1021754,49.25
28-Oct-2015,54.8,54.92,52.96,54.41,1828684,50.49
29-Oct-2015,52.71,54.83,52.02,54.06,1045028,50.17
30-Oct-2015,54.11,54.56,53.76,53.76,1043600,49.89
02-Nov-2015,53.56,54.65,53.52,54.1,1169650,50.21
03-Nov-2015,51.02,53.82,51.02,53.22,1387514,49.39
04-Nov-2015,54.84,54.84,53.12,53.25,1021742,49.42
05-Nov-2015,49.98,52.59,48.2,51.38,3934942,47.68
06-Nov-2015,50.92,53.73,50.92,53.66,1404944,49.8
