Date,Open,High,Low,Close,Volume,AdjClose
13-Oct-2011,23.5,24.27,23,24.25,396841,22.07
14-Oct-2011,24.36,25.49,24.36,25.35,402629,23.07
17-Oct-2011,25.5,25.8,25.16,25.16,583402,22.9
18-Oct-2011,25.06,25.36,24.9,25.24,423500,22.97
19-Oct-2011,25.25,25.35,24.75,24.75,722232,22.53
20-Oct-2011,24.8,25.03,24.33,24.75,549716,22.53
21-Oct-2011,25,25.75,24.95,25.54,1764512,23.25
24-Oct-2011,25.5,25.85,25.5,25.77,371298,23.46
25-Oct-2011,25.88,26.08,25,25.75,546812,23.44
26-Oct-2011,26.09,26.09,24.86,25.02,657324,22.77
27-Oct-2011,25.25,25.95,25.25,25.62,405421,23.32
28-Oct-2011,25.5,25.82,25.25,25.82,584683,23.5
31-Oct-2011,26.25,26.74,25.25,26.74,15105988,24.34
01-Nov-2011,25.6,28.28,25.15,27.31,6095518,24.86
02-Nov-2011,27.4,27.4,25.79,26.62,2476685,24.23
03-Nov-2011,26.94,27.07,26.38,26.39,1615000,24.02
04-Nov-2011,26.17,26.59,24.88,25.19,1923266,22.93
07-Nov-2011,24.91,25.48,24.37,24.6,2703443,22.39
08-Nov-2011,25.1,25.34,24.76,24.94,2024426,22.7
09-Nov-2011,24.35,25,23.84,23.89,1570806,21.75
10-Nov-2011,24.48,24.71,23.52,23.65,1165905,21.53
11-Nov-2011,23.88,24.09,23.63,23.79,1266127,21.65
14-Nov-2011,23.58,24.1,23.49,23.93,1338952,21.88
15-Nov-2011,23.94,24.36,23.82,23.99,1657666,21.93
16-Nov-2011,23.95,24.6,23.78,24.12,1804502,22.05
17-Nov-2011,24,24.19,23.66,23.85,1279111,21.8
18-Nov-2011,23.88,24.14,23.72,23.93,1426202,21.88
21-Nov-2011,23.7,23.81,23.34,23.62,1282010,21.59
22-Nov-2011,25.02,26.14,22.67,23.63,2126367,21.6
23-Nov-2011,23.27,23.75,22.88,23.68,1009639,21.65
25-Nov-2011,23.45,23.45,22.88,23,991092,21.03
28-Nov-2011,23.66,24.18,23.14,23.49,1567249,21.47
29-Nov-2011,23.51,23.6,23.17,23.27,1222452,21.27
30-Nov-2011,24.06,24.2,23.33,23.9,2320784,21.85
01-Dec-2011,23.81,24.36,23.65,24.27,1046646,22.19
02-Dec-2011,25.48,25.48,24.22,24.25,1208825,22.17
05-Dec-2011,24.57,25.15,24.41,25.09,930821,22.94
06-Dec-2011,25.02,25.07,24.51,24.83,662703,22.7
07-Dec-2011,24.72,24.83,23.86,24.57,951186,22.46
08-Dec-2011,24.45,24.55,23.8,23.88,938618,21.83
09-Dec-2011,24.07,24.46,23.96,24.35,549757,22.26
12-Dec-2011,23.95,24.19,23.24,23.92,1213318,21.87
13-Dec-2011,24.02,24.45,23.71,23.85,1652724,21.8
14-Dec-2011,23.6,23.6,22.93,23.41,1735951,21.4
15-Dec-2011,23.55,24.06,23.44,23.92,1074896,21.87
16-Dec-2011,24.14,24.94,24.01,24.67,2926928,22.55
19-Dec-2011,24.67,24.86,24.14,24.25,1107108,22.17
20-Dec-2011,24.59,24.72,23.96,24.31,1189902,22.22
21-Dec-2011,24.45,25.03,24.02,24.92,2177306,22.78
22-Dec-2011,25.07,25.65,24.8,24.83,971020,22.7
23-Dec-2011,24.83,25.16,24.7,24.91,574944,22.77
27-Dec-2011,24.84,25.05,24.46,25.05,664335,22.9
28-Dec-2011,25.11,25.76,25.11,25.56,917655,23.37
29-Dec-2011,25.67,26.46,25.5,25.95,3975152,23.72
30-Dec-2011,25.99,25.99,25.14,25.69,1169701,23.48
03-Jan-2012,26.02,26.43,25.07,25.14,1059026,22.98
04-Jan-2012,25.07,26.07,24.84,25.97,1391847,23.74
05-Jan-2012,25.78,25.81,24.87,25.6,2270700,23.4
06-Jan-2012,25.54,25.62,25.12,25.17,524372,23.01
09-Jan-2012,25.16,25.42,24.82,25.27,558658,23.1
10-Jan-2012,25.46,25.7,25.25,25.58,1048244,23.38
11-Jan-2012,25.46,26.26,25.39,26.06,1066217,23.82
12-Jan-2012,26.08,26.14,25.68,25.7,709226,23.49
13-Jan-2012,25.45,25.68,25.34,25.63,886123,23.43
17-Jan-2012,25.9,26.28,25.59,25.63,465337,23.43
18-Jan-2012,25.51,27.04,25.43,26.99,1453670,24.67
19-Jan-2012,27,27.29,26.44,26.62,838326,24.33
20-Jan-2012,26.62,26.68,26.3,26.36,1014818,24.1
23-Jan-2012,26.45,26.6,25.56,25.75,842772,23.54
24-Jan-2012,25.69,26.21,25.6,26.14,761348,23.9
25-Jan-2012,26.04,26.63,25.82,26.6,881776,24.32
26-Jan-2012,26.68,26.85,25.76,25.94,849938,23.71
27-Jan-2012,25.61,25.98,25.61,25.81,685853,23.59
30-Jan-2012,25.65,25.96,25.5,25.92,475232,23.69
31-Jan-2012,26.11,26.25,25.65,25.91,792665,23.69
01-Feb-2012,26.02,26.85,25.92,26.82,816601,24.52
02-Feb-2012,26.86,26.99,26.62,26.65,715174,24.36
03-Feb-2012,26.96,27.08,26.57,27.03,719800,24.71
06-Feb-2012,26.9,27.12,26.64,26.78,655099,24.48
07-Feb-2012,26.7,27.35,26.53,27.22,963738,24.88
08-Feb-2012,27.16,27.39,26.8,27.39,737818,25.04
09-Feb-2012,27.35,27.4,26.91,27.13,721478,24.8
10-Feb-2012,26.96,27.13,26.83,27.07,527246,24.75
13-Feb-2012,27.35,27.35,26.83,27.03,638849,24.71
14-Feb-2012,26.9,27.21,26.82,26.92,926326,24.61
15-Feb-2012,26.97,27.11,26.87,27,1071282,24.68
16-Feb-2012,27.02,27.32,26.96,27.15,639647,24.82
17-Feb-2012,27.26,27.63,27.17,27.59,583461,25.22
21-Feb-2012,27.66,28.12,27.51,27.82,753478,25.43
22-Feb-2012,27.66,28.06,27.48,27.53,467403,25.17
23-Feb-2012,27.52,27.83,27.3,27.78,335842,25.39
24-Feb-2012,27.89,27.94,27.24,27.26,827853,24.92
27-Feb-2012,27.1,27.4,26.87,27.36,1428987,25.01
28-Feb-2012,27.24,27.24,26.12,26.84,3443811,24.54
29-Feb-2012,26.76,26.95,25.91,25.98,4345609,23.75
01-Mar-2012,26,27.32,25.77,26.69,1801321,24.49
02-Mar-2012,26.37,26.95,26.37,26.6,1594867,24.41
05-Mar-2012,26.6,26.7,26.04,26.22,1339794,24.06
06-Mar-2012,25.95,26.02,25.39,25.85,1334109,23.72
07-Mar-2012,26.09,26.3,25.74,26.21,933187,24.05
08-Mar-2012,26.3,26.7,25.96,26.62,894769,24.43
09-Mar-2012,26.57,27.36,26.53,27.25,719491,25.01
12-Mar-2012,27.38,27.63,27.26,27.53,879771,25.26
13-Mar-2012,27.64,28.44,27.64,28.42,861562,26.08
14-Mar-2012,28.41,28.48,28.2,28.36,1183033,26.03
15-Mar-2012,28.39,28.84,28.06,28.73,689158,26.37
16-Mar-2012,28.74,28.87,28.17,28.19,903039,25.87
19-Mar-2012,28.21,28.5,27.88,27.94,796443,25.64
20-Mar-2012,27.85,27.92,27.08,27.31,993164,25.06
21-Mar-2012,27.3,27.56,27.25,27.33,871973,25.08
22-Mar-2012,27.12,27.37,26.98,27.22,665756,24.98
23-Mar-2012,27.37,27.37,27.06,27.2,519460,24.96
26-Mar-2012,27.37,27.86,27.37,27.85,642094,25.56
27-Mar-2012,27.92,28.02,27.61,27.99,601000,25.69
28-Mar-2012,27.96,28.11,27.54,27.96,917926,25.66
29-Mar-2012,27.81,27.81,27.25,27.66,855474,25.38
30-Mar-2012,27.83,27.86,27.4,27.75,1311510,25.47
02-Apr-2012,27.71,28.35,27.7,28.32,817040,25.99
03-Apr-2012,28.33,28.54,27.93,28.25,1034277,25.93
04-Apr-2012,27.91,27.94,27.58,27.8,1070496,25.51
05-Apr-2012,27.75,28.23,27.75,27.97,477464,25.67
09-Apr-2012,27.47,27.55,27.2,27.36,495403,25.11
10-Apr-2012,27.24,27.34,26.58,26.94,909828,24.72
11-Apr-2012,27.19,27.3,26.83,27,810198,24.78
12-Apr-2012,26.91,27.39,26.87,27.32,646459,25.07
13-Apr-2012,27.1,27.21,26.79,26.83,492701,24.62
16-Apr-2012,27.11,27.3,26.5,26.9,850380,24.69
17-Apr-2012,27.29,27.31,26.85,27.2,540528,24.96
18-Apr-2012,27.12,27.73,27.04,27.65,1118701,25.37
19-Apr-2012,27.61,27.97,26.9,27.1,1061279,24.87
20-Apr-2012,27.18,27.64,27.07,27.36,807403,25.11
23-Apr-2012,27.06,27.06,26.52,26.89,556403,24.68
24-Apr-2012,26.95,27.5,26.9,27.1,518084,24.87
25-Apr-2012,27.34,27.81,27.34,27.7,569558,25.42
26-Apr-2012,27.64,28.1,27.63,28.1,459040,25.79
27-Apr-2012,28.14,28.52,28.14,28.38,566395,26.04
30-Apr-2012,28.32,28.32,27.81,27.88,363918,25.59
01-May-2012,27.91,28.32,27.58,27.66,638983,25.38
02-May-2012,27.45,27.95,27.4,27.76,834999,25.48
03-May-2012,27.69,27.72,27.05,27.3,990227,25.05
04-May-2012,27.3,27.3,26.45,26.45,869979,24.27
07-May-2012,26.39,26.64,26.13,26.21,995143,24.05
08-May-2012,26.1,26.44,25.65,26.36,925973,24.19
09-May-2012,25.91,26.39,25.61,26.13,923465,23.98
10-May-2012,26.3,26.56,26.05,26.14,701427,23.99
11-May-2012,26,26.47,25.92,26.03,625735,23.89
14-May-2012,25.83,26.05,25.43,25.43,567173,23.34
15-May-2012,25.38,25.57,25.17,25.21,565472,23.14
16-May-2012,25.43,25.76,25.3,25.37,1045305,23.28
17-May-2012,25.34,25.36,24.42,24.42,1456121,22.5
18-May-2012,24.42,24.87,24.42,24.67,994753,22.73
21-May-2012,24.78,25.51,24.69,25.34,1096617,23.35
22-May-2012,25.47,25.85,25.37,25.59,958068,23.58
23-May-2012,25.36,25.79,24.83,25.79,1252419,23.76
24-May-2012,25.94,26.14,25.76,26.14,528777,24.08
25-May-2012,26.19,26.31,25.61,25.65,677719,23.63
29-May-2012,25.79,26.34,25.74,25.89,800997,23.85
30-May-2012,25.46,25.84,25.27,25.45,591896,23.45
31-May-2012,25.54,25.55,24.97,25.33,1021519,23.34
01-Jun-2012,24.71,25.03,24.45,24.48,1379367,22.56
04-Jun-2012,24.48,24.55,24.03,24.51,643371,22.58
05-Jun-2012,24.38,24.66,23.94,24.58,499542,22.65
06-Jun-2012,24.89,25.49,24.89,25.49,553764,23.49
07-Jun-2012,26.63,26.63,25.59,25.74,802010,23.72
08-Jun-2012,25.71,26.09,25.32,25.92,862268,23.88
11-Jun-2012,26.29,26.33,25.45,25.51,816095,23.5
12-Jun-2012,25.5,25.67,25.35,25.58,1222697,23.57
13-Jun-2012,25.34,25.5,25.07,25.17,891281,23.19
14-Jun-2012,25.21,25.25,24.92,25,1478348,23.03
15-Jun-2012,25.14,25.43,24.92,25.32,3023706,23.33
18-Jun-2012,25.21,25.28,24.94,25.13,860856,23.15
19-Jun-2012,25.25,25.6,25.05,25.08,1441322,23.11
20-Jun-2012,25.03,25.05,24.49,24.72,1123043,22.78
21-Jun-2012,25.17,25.45,24.27,24.28,1418578,22.37
22-Jun-2012,24.39,24.39,23.89,24.02,1278872,22.13
25-Jun-2012,23.7,23.79,23.21,23.61,1097589,21.75
26-Jun-2012,23.62,24.07,23.48,23.92,1163853,22.04
27-Jun-2012,24.02,24.35,23.85,24.29,1045051,22.38
28-Jun-2012,23.6,24.61,23.02,24.59,1942859,22.66
29-Jun-2012,25.28,25.51,25.03,25.17,1590715,23.19
02-Jul-2012,25.27,25.46,24.9,25.04,708659,23.07
03-Jul-2012,24.99,25.68,24.94,25.68,324886,23.66
05-Jul-2012,25.55,25.7,25.33,25.53,620040,23.52
06-Jul-2012,25.22,25.5,25.15,25.2,433059,23.22
09-Jul-2012,25.09,25.25,24.77,25,692639,23.03
10-Jul-2012,25.09,25.45,24.28,24.36,916138,22.44
11-Jul-2012,24.35,24.35,23.3,23.93,1620484,22.05
12-Jul-2012,23.71,23.71,23.17,23.18,1070430,21.36
13-Jul-2012,23.23,23.85,23.22,23.31,1232546,21.48
16-Jul-2012,23.24,23.48,23,23.16,990556,21.34
17-Jul-2012,23.35,23.68,23.19,23.65,1377699,21.79
18-Jul-2012,23.52,24.07,23.52,23.93,684761,22.05
19-Jul-2012,23.96,24.16,23.66,24.12,689502,22.22
20-Jul-2012,23.93,24.21,23.72,23.79,570816,21.92
23-Jul-2012,23.41,24,23.31,23.88,660745,22
24-Jul-2012,23.82,23.95,23.37,23.59,790812,21.74
25-Jul-2012,23.72,23.99,23.52,23.91,568737,22.03
26-Jul-2012,24.25,24.25,23.69,23.73,1402151,21.86
27-Jul-2012,23.92,24.29,23.76,24.2,810636,22.3
30-Jul-2012,24.17,24.28,24.01,24.2,626300,22.3
31-Jul-2012,24.17,24.22,23.95,23.98,631628,22.09
01-Aug-2012,24.06,24.19,23.54,23.9,1667477,22.02
02-Aug-2012,23.38,23.71,22.43,23.57,1850800,21.72
03-Aug-2012,23.65,24.15,23.65,24.03,1228619,22.14
06-Aug-2012,24.11,24.25,23.83,24.13,701857,22.23
07-Aug-2012,24.24,24.27,24.08,24.24,678217,22.33
08-Aug-2012,24.1,24.23,23.9,24.15,488248,22.25
09-Aug-2012,24.21,24.64,24.09,24.47,470647,22.55
10-Aug-2012,24.36,24.72,24.26,24.46,627338,22.54
13-Aug-2012,24.44,24.67,24.27,24.51,330077,22.58
14-Aug-2012,24.67,24.82,23.96,24.06,609345,22.17
15-Aug-2012,24.03,24.29,23.94,24.29,475660,22.38
16-Aug-2012,24.25,25.06,24.25,24.94,942070,22.98
17-Aug-2012,24.95,25.19,24.89,25.14,718662,23.16
20-Aug-2012,25.3,25.4,25.06,25.29,710552,23.3
21-Aug-2012,25.4,25.71,25.2,25.2,608529,23.22
22-Aug-2012,25.1,25.2,24.83,25.02,575595,23.05
23-Aug-2012,24.97,25.11,24.53,24.63,630865,22.79
24-Aug-2012,24.58,24.72,24.34,24.5,581203,22.67
27-Aug-2012,24.67,24.68,24.11,24.14,662901,22.33
28-Aug-2012,23.93,24.57,23.93,24.05,517317,22.25
29-Aug-2012,24.07,24.14,23.88,24.01,597690,22.21
30-Aug-2012,23.88,24.19,23.85,24.09,503073,22.29
31-Aug-2012,24.33,24.33,23.94,24.29,1153993,22.47
04-Sep-2012,23.97,24.24,23.81,24,914953,22.2
05-Sep-2012,24.04,24.22,23.91,24.07,1199583,22.27
06-Sep-2012,24.31,24.97,24.3,24.97,689350,23.1
07-Sep-2012,25.49,25.51,24.87,25.1,627564,23.22
10-Sep-2012,24.87,25,24.57,24.58,864380,22.74
11-Sep-2012,24.63,25.47,24.57,25.38,985362,23.48
12-Sep-2012,25.4,25.47,24.82,25,788920,23.13
13-Sep-2012,25.06,25.45,24.8,25.36,755954,23.46
14-Sep-2012,25.38,25.68,25.31,25.57,1722770,23.66
17-Sep-2012,25.57,25.59,25.11,25.34,799250,23.44
18-Sep-2012,25.26,25.71,25.22,25.71,1182337,23.79
19-Sep-2012,25.66,26,25.58,25.98,1004454,24.03
20-Sep-2012,25.68,25.92,25.25,25.6,1498219,23.68
21-Sep-2012,25.7,25.78,25.36,25.44,1292846,23.54
24-Sep-2012,25.3,25.58,25.26,25.5,919715,23.59
25-Sep-2012,25.55,25.71,25.4,25.41,1661661,23.51
26-Sep-2012,25.44,25.53,24.81,24.98,1354947,23.11
27-Sep-2012,25.14,25.5,24.97,25.3,944418,23.41
28-Sep-2012,25.17,25.34,24.99,25.15,1538172,23.27
01-Oct-2012,25.25,25.5,24.84,25.24,1837947,23.35
02-Oct-2012,25.29,25.49,25.06,25.25,1068436,23.36
03-Oct-2012,25.35,25.35,24.9,25.02,887027,23.15
04-Oct-2012,25.15,25.28,24.98,25.15,903763,23.27
05-Oct-2012,25.32,25.49,25.03,25.14,716929,23.26
08-Oct-2012,25.07,25.14,24.9,25.11,434127,23.23
09-Oct-2012,25.12,25.17,24.75,24.79,920069,22.93
10-Oct-2012,24.77,24.84,24.46,24.56,717598,22.72
11-Oct-2012,24.7,24.78,24.27,24.32,832824,22.5
12-Oct-2012,24.59,24.88,24.52,24.61,1001761,22.77
15-Oct-2012,24.68,24.83,24.34,24.73,620770,22.88
16-Oct-2012,24.83,25.43,24.61,25.37,881274,23.47
17-Oct-2012,25.26,25.48,25.01,25.08,814941,23.2
18-Oct-2012,24.68,24.72,24.13,24.64,1419602,22.89
19-Oct-2012,24.59,24.59,23.9,24.22,1757481,22.5
22-Oct-2012,24.22,24.32,23.85,24.29,771361,22.56
23-Oct-2012,23.99,24.23,23.79,24.2,1365217,22.48
24-Oct-2012,24.3,24.3,23.41,23.44,1154514,21.77
25-Oct-2012,23.66,24.02,23.59,23.71,1296061,22.02
26-Oct-2012,23.74,24.05,23.52,23.59,1096253,21.91
31-Oct-2012,24.11,24.55,23.7,24.26,1763551,22.53
01-Nov-2012,24.34,25.49,24.26,25.4,1535000,23.59
02-Nov-2012,25.6,26.12,25.38,25.63,1503922,23.81
05-Nov-2012,25.63,26.14,25.61,26,1349520,24.15
06-Nov-2012,26.01,26.14,25.87,26.05,1512082,24.2
07-Nov-2012,25.77,25.96,25.29,25.31,1157982,23.51
08-Nov-2012,25.24,25.41,24.91,24.92,1120203,23.15
09-Nov-2012,24.87,25.06,24.68,24.71,1445542,22.95
12-Nov-2012,24.78,24.91,24.38,24.76,966538,23
13-Nov-2012,24.63,25,24.53,24.53,704624,22.79
14-Nov-2012,24.54,24.56,23.94,24.05,1001995,22.34
15-Nov-2012,24.02,24.34,23.92,24.03,769756,22.32
16-Nov-2012,24.02,24.22,23.92,24.19,984392,22.47
19-Nov-2012,24.49,24.99,24.44,24.84,883979,23.07
20-Nov-2012,24.82,25.17,24.77,25.12,775300,23.33
21-Nov-2012,25.05,25.41,25,25.34,546064,23.54
23-Nov-2012,25.39,25.52,25.18,25.52,341071,23.7
26-Nov-2012,25.42,25.96,25.42,25.86,872921,24.02
27-Nov-2012,25.79,25.89,25.47,25.63,633574,23.81
28-Nov-2012,25.51,25.97,25.41,25.94,662305,24.1
29-Nov-2012,26.03,26.18,25.82,26.13,584111,24.27
30-Nov-2012,26.11,26.31,25.95,26.09,971358,24.23
03-Dec-2012,26.25,26.31,25.73,25.77,648339,23.94
04-Dec-2012,25.74,25.91,25.58,25.7,531096,23.87
05-Dec-2012,25.76,26.23,25.61,26,663776,24.15
