Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.62,1.57,1.57,24800,0.95
04-Jan-1978,0,1.62,1.57,1.57,240800,0.95
05-Jan-1978,0,1.62,1.57,1.57,7200,0.95
06-Jan-1978,0,1.61,1.55,1.55,17600,0.94
09-Jan-1978,0,1.61,1.55,1.55,4800,0.94
10-Jan-1978,0,1.61,1.55,1.55,36800,0.94
11-Jan-1978,0,1.61,1.55,1.55,7200,0.94
12-Jan-1978,0,1.61,1.55,1.55,3200,0.94
13-Jan-1978,0,1.61,1.55,1.55,800,0.94
16-Jan-1978,0,1.61,1.55,1.55,8000,0.94
17-Jan-1978,0,1.61,1.55,1.55,43200,0.94
18-Jan-1978,0,1.62,1.57,1.57,28800,0.95
19-Jan-1978,0,1.62,1.57,1.57,17600,0.95
20-Jan-1978,NaN,NaN,NaN,1.57,0,0.95
23-Jan-1978,0,1.64,1.58,1.58,10400,0.96
24-Jan-1978,0,1.66,1.61,1.61,46400,0.98
25-Jan-1978,0,1.68,1.62,1.62,24800,0.98
26-Jan-1978,0,1.68,1.62,1.62,89600,0.98
27-Jan-1978,0,1.68,1.62,1.62,21600,0.98
30-Jan-1978,0,1.68,1.62,1.62,4800,0.98
31-Jan-1978,0,1.66,1.61,1.61,21600,0.98
01-Feb-1978,0,1.64,1.58,1.58,28800,0.96
02-Feb-1978,0,1.64,1.58,1.58,8000,0.96
03-Feb-1978,0,1.64,1.58,1.58,8000,0.96
06-Feb-1978,0,1.62,1.57,1.57,4800,0.95
07-Feb-1978,0,1.62,1.57,1.57,3200,0.95
08-Feb-1978,0,1.62,1.57,1.57,800,0.95
09-Feb-1978,0,1.62,1.57,1.57,7200,0.95
10-Feb-1978,NaN,NaN,NaN,1.57,0,0.95
13-Feb-1978,0,1.62,1.57,1.57,800,0.95
14-Feb-1978,0,1.59,1.54,1.54,51200,0.94
15-Feb-1978,0,1.58,1.52,1.52,12000,0.92
16-Feb-1978,NaN,NaN,NaN,1.52,0,0.92
17-Feb-1978,0,1.58,1.52,1.52,3200,0.92
21-Feb-1978,0,1.55,1.5,1.5,32000,0.91
22-Feb-1978,NaN,NaN,NaN,1.5,0,0.91
23-Feb-1978,0,1.55,1.5,1.5,28800,0.91
24-Feb-1978,0,1.55,1.5,1.5,3200,0.91
27-Feb-1978,0,1.55,1.5,1.5,800,0.91
28-Feb-1978,0,1.55,1.5,1.5,26400,0.91
01-Mar-1978,0,1.54,1.48,1.48,22400,0.9
02-Mar-1978,0,1.54,1.48,1.48,3200,0.9
03-Mar-1978,0,1.54,1.48,1.48,32000,0.9
06-Mar-1978,0,1.52,1.47,1.47,800,0.89
07-Mar-1978,0,1.55,1.5,1.5,98400,0.91
08-Mar-1978,0,1.55,1.5,1.5,10400,0.91
09-Mar-1978,0,1.55,1.5,1.5,24800,0.91
10-Mar-1978,0,1.54,1.48,1.48,26400,0.9
13-Mar-1978,NaN,NaN,NaN,1.48,0,0.9
14-Mar-1978,0,1.52,1.47,1.47,12000,0.89
15-Mar-1978,NaN,NaN,NaN,1.47,0,0.89
16-Mar-1978,0,1.52,1.47,1.47,3200,0.89
17-Mar-1978,NaN,NaN,NaN,1.47,0,0.89
20-Mar-1978,NaN,NaN,NaN,1.47,0,0.89
21-Mar-1978,0,1.54,1.48,1.48,4800,0.9
22-Mar-1978,0,1.54,1.48,1.48,14400,0.9
23-Mar-1978,NaN,NaN,NaN,1.48,0,0.9
27-Mar-1978,0,1.54,1.48,1.48,3200,0.9
28-Mar-1978,NaN,NaN,NaN,1.47,0,0.89
29-Mar-1978,0,1.52,1.47,1.47,24800,0.89
30-Mar-1978,0,1.52,1.47,1.47,12000,0.89
31-Mar-1978,0,1.52,1.47,1.47,8000,0.89
03-Apr-1978,0,1.54,1.48,1.48,72800,0.9
04-Apr-1978,0,1.57,1.51,1.51,58400,0.92
05-Apr-1978,0,1.57,1.51,1.51,7200,0.92
06-Apr-1978,0,1.58,1.52,1.52,800,0.92
07-Apr-1978,0,1.58,1.52,1.52,800,0.92
10-Apr-1978,0,1.58,1.52,1.52,7200,0.92
11-Apr-1978,0,1.58,1.52,1.52,800,0.92
12-Apr-1978,0,1.58,1.52,1.52,3200,0.92
13-Apr-1978,0,1.58,1.52,1.52,15200,0.92
14-Apr-1978,0,1.61,1.55,1.55,68000,0.94
