Date,Open,High,Low,Close,Volume,AdjClose
13-Jan-2011,21.53,22,21.18,21.25,15536889,17.37
14-Jan-2011,21.16,21.45,21.16,21.31,1304772,17.42
18-Jan-2011,21.3,21.46,21.12,21.37,493070,17.46
19-Jan-2011,21.42,21.42,20.88,21.25,1010169,17.37
20-Jan-2011,21.05,21.4,21.03,21.21,736532,17.33
21-Jan-2011,21.3,21.3,21.03,21.25,636750,17.37
24-Jan-2011,21.2,21.39,21.1,21.3,354269,17.41
25-Jan-2011,21.2,21.47,21.15,21.27,295652,17.38
26-Jan-2011,21.29,21.36,21.21,21.27,346772,17.38
27-Jan-2011,21.2,21.4,21.2,21.4,450330,17.49
28-Jan-2011,21.26,21.38,21.26,21.3,475217,17.41
31-Jan-2011,21.3,21.4,21.25,21.29,197572,17.4
01-Feb-2011,21.27,21.4,21.21,21.3,560838,17.41
02-Feb-2011,21.15,21.25,21.06,21.11,168253,17.25
03-Feb-2011,21.02,21.28,21.02,21.18,549365,17.31
04-Feb-2011,21.1,21.28,21,21.06,219587,17.21
07-Feb-2011,21.07,21.2,20.95,21.16,454867,17.29
08-Feb-2011,21.21,21.21,20.94,20.95,247100,17.12
09-Feb-2011,20.8,21.2,20.61,21.14,423861,17.28
10-Feb-2011,21.01,21.35,21.01,21.24,255985,17.36
11-Feb-2011,21.11,21.39,21.02,21.39,175580,17.48
14-Feb-2011,21.21,21.55,21.15,21.35,154884,17.45
15-Feb-2011,21.15,21.4,21.1,21.28,183759,17.39
16-Feb-2011,21.39,21.39,21.18,21.3,56149,17.41
17-Feb-2011,21.3,21.89,21.3,21.54,146527,17.6
18-Feb-2011,21.54,21.59,21.31,21.51,223289,17.58
22-Feb-2011,21.49,21.57,21.26,21.42,118070,17.51
23-Feb-2011,21.21,21.49,20.9,21.22,171652,17.34
24-Feb-2011,21.02,21.22,21,21.08,78335,17.23
25-Feb-2011,21.13,21.45,21,21.4,85882,17.49
28-Feb-2011,21.48,21.6,21.33,21.56,133030,17.62
01-Mar-2011,21.54,21.69,21.31,21.5,219306,17.57
02-Mar-2011,21.48,21.52,21.03,21.17,170341,17.3
03-Mar-2011,21.18,21.51,21.06,21.49,53670,17.56
04-Mar-2011,21.5,21.6,21.21,21.27,115724,17.38
07-Mar-2011,21.5,21.5,20.91,21.03,212356,17.19
08-Mar-2011,21.06,21.44,20.96,21.35,214372,17.45
09-Mar-2011,21.29,21.44,20.96,21.15,186331,17.29
10-Mar-2011,21,21.11,20.72,20.77,162444,16.97
11-Mar-2011,20.54,21.02,20.45,20.7,52508,17.06
14-Mar-2011,20.58,21.07,20.49,20.99,120394,17.3
15-Mar-2011,20.74,20.95,20.6,20.95,160229,17.26
16-Mar-2011,20.99,21.2,20.78,20.85,241259,17.18
17-Mar-2011,21.08,21.24,20.85,20.93,167343,17.25
18-Mar-2011,21.1,21.5,20.98,21.5,535617,17.72
21-Mar-2011,21.5,21.56,21.32,21.46,84506,17.68
22-Mar-2011,21.54,21.55,21.06,21.5,115897,17.72
23-Mar-2011,21.5,21.54,21.03,21.36,117443,17.6
24-Mar-2011,21.45,21.48,21.11,21.39,191244,17.63
25-Mar-2011,21.32,21.57,21.32,21.49,167430,17.71
28-Mar-2011,21.55,21.56,21.42,21.45,142547,17.68
29-Mar-2011,21.41,21.5,21.18,21.27,240769,17.53
30-Mar-2011,21.43,21.43,20.94,21.08,449396,17.37
31-Mar-2011,20.92,21.3,20.52,21.27,3116412,17.53
01-Apr-2011,21.3,21.88,21.27,21.67,737627,17.86
04-Apr-2011,21.67,21.95,21.61,21.74,417131,17.91
05-Apr-2011,21.74,21.81,21.67,21.75,164668,17.92
06-Apr-2011,21.77,22.01,21.69,21.95,244879,18.09
07-Apr-2011,21.89,21.89,21.29,21.53,218690,17.74
08-Apr-2011,21.6,21.61,21.12,21.37,159936,17.61
11-Apr-2011,21.34,21.46,21.16,21.25,163052,17.51
12-Apr-2011,21.17,21.32,21.14,21.23,263662,17.49
13-Apr-2011,21.23,21.41,21.16,21.38,210315,17.62
14-Apr-2011,21.25,21.63,21.1,21.4,130044,17.63
15-Apr-2011,21.34,21.55,21.2,21.5,160361,17.72
18-Apr-2011,21.34,21.54,21.16,21.26,100000,17.52
