Date,Open,High,Low,Close,Volume,AdjClose
19-May-1994,0,5.37,5.06,5.26,134273,2.74
20-May-1994,0,5.37,5.06,5.26,54182,2.74
23-May-1994,0,5.26,5.06,5.06,16450,2.64
24-May-1994,0,5.26,5.06,5.06,7505,2.64
25-May-1994,0,5.16,5.06,5.06,13366,2.64
26-May-1994,0,5.21,5.06,5.06,19946,2.64
27-May-1994,0,5.16,4.96,4.96,12440,2.58
31-May-1994,0,5.26,5.06,5.26,1439,2.74
01-Jun-1994,0,5.26,5.06,5.26,52435,2.74
02-Jun-1994,0,5.26,5.11,5.26,5141,2.74
03-Jun-1994,0,5.26,5.26,5.26,2365,2.74
06-Jun-1994,0,5.26,5.06,5.06,5758,2.64
07-Jun-1994,0,5.26,5.06,5.26,15525,2.74
08-Jun-1994,0,5.26,5.06,5.06,19843,2.64
09-Jun-1994,0,5.26,5.06,5.26,2879,2.74
10-Jun-1994,0,5.26,5.21,5.21,823,2.71
13-Jun-1994,0,5.26,5.26,5.26,617,2.74
14-Jun-1994,0,5.31,5.06,5.16,52537,2.69
15-Jun-1994,0,5.57,5.26,5.47,122758,2.85
16-Jun-1994,0,5.57,5.37,5.57,14702,2.9
17-Jun-1994,0,5.57,5.37,5.57,57678,2.9
20-Jun-1994,0,5.47,5.26,5.26,8225,2.74
21-Jun-1994,0,5.47,5.26,5.26,13468,2.74
22-Jun-1994,0,5.47,5.26,5.26,34031,2.74
23-Jun-1994,0,5.47,5.26,5.42,14188,2.82
24-Jun-1994,0,5.26,5.26,5.26,1337,2.74
27-Jun-1994,0,5.47,5.26,5.26,2879,2.74
28-Jun-1994,0,5.26,5.26,5.26,617,2.74
29-Jun-1994,0,5.47,5.26,5.47,8122,2.85
30-Jun-1994,NaN,NaN,NaN,5.47,0,2.85
01-Jul-1994,0,5.47,5.26,5.42,4318,2.82
05-Jul-1994,0,5.47,5.47,5.47,720,2.85
06-Jul-1994,0,5.47,5.26,5.47,36190,2.85
07-Jul-1994,0,5.37,5.37,5.37,1337,2.8
08-Jul-1994,0,5.67,5.37,5.67,1439,2.95
11-Jul-1994,0,5.67,5.26,5.26,31975,2.78
12-Jul-1994,0,5.57,5.26,5.57,24469,2.95
13-Jul-1994,0,5.57,5.57,5.57,617,2.95
14-Jul-1994,NaN,NaN,NaN,5.57,0,2.95
15-Jul-1994,0,5.47,5.37,5.47,16450,2.9
18-Jul-1994,NaN,NaN,NaN,5.47,0,2.9
19-Jul-1994,0,5.37,5.26,5.26,11104,2.78
20-Jul-1994,0,5.47,5.26,5.26,3598,2.78
21-Jul-1994,0,5.26,5.26,5.26,823,2.78
22-Jul-1994,0,5.42,5.26,5.42,5758,2.87
25-Jul-1994,0,5.47,5.26,5.26,9767,2.78
26-Jul-1994,0,5.47,5.26,5.47,823,2.9
27-Jul-1994,0,5.47,5.47,5.47,103,2.9
28-Jul-1994,0,5.37,5.26,5.37,5141,2.84
29-Jul-1994,NaN,NaN,NaN,5.37,0,2.84
01-Aug-1994,0,5.47,5.47,5.47,3598,2.9
02-Aug-1994,0,5.47,5.26,5.26,1337,2.78
03-Aug-1994,0,5.42,5.26,5.42,3084,2.87
04-Aug-1994,0,5.47,5.26,5.47,18609,2.9
05-Aug-1994,0,5.42,5.42,5.42,13468,2.87
08-Aug-1994,0,5.26,5.26,5.26,2056,2.78
09-Aug-1994,0,5.42,5.26,5.26,8739,2.78
10-Aug-1994,0,5.47,5.26,5.26,13366,2.78
11-Aug-1994,0,5.47,5.47,5.47,7403,2.9
12-Aug-1994,0,5.47,5.26,5.47,46780,2.9
15-Aug-1994,NaN,NaN,NaN,5.47,0,2.9
16-Aug-1994,0,5.47,5.26,5.26,22208,2.78
17-Aug-1994,0,5.47,5.26,5.26,37013,2.78
18-Aug-1994,0,5.47,5.37,5.37,1645,2.84
19-Aug-1994,0,5.26,5.26,5.26,2982,2.78
22-Aug-1994,0,5.47,5.26,5.42,30947,2.87
23-Aug-1994,0,5.47,5.26,5.26,9767,2.78
24-Aug-1994,0,5.47,5.26,5.26,8122,2.78
25-Aug-1994,0,5.47,5.26,5.39,9459,2.85
26-Aug-1994,0,5.42,5.26,5.26,14085,2.78
29-Aug-1994,NaN,NaN,NaN,5.26,0,2.78
30-Aug-1994,0,5.26,5.26,5.26,2365,2.78
31-Aug-1994,0,5.57,5.57,5.57,617,2.95
01-Sep-1994,0,5.47,5.47,5.47,2262,2.9
02-Sep-1994,0,5.42,5.26,5.26,24469,2.78
06-Sep-1994,0,5.26,5.26,5.26,12440,2.78
07-Sep-1994,0,5.47,5.26,5.47,27245,2.9
08-Sep-1994,0,5.47,5.26,5.26,6066,2.78
09-Sep-1994,0,5.26,5.26,5.26,103,2.78
12-Sep-1994,0,5.57,5.26,5.47,9767,2.9
13-Sep-1994,0,5.42,5.42,5.42,1337,2.87
14-Sep-1994,0,5.57,5.26,5.37,9459,2.84
15-Sep-1994,0,5.52,5.26,5.52,31255,2.92
16-Sep-1994,0,5.42,5.26,5.42,3598,2.87
19-Sep-1994,NaN,NaN,NaN,5.42,0,2.87
20-Sep-1994,0,5.26,5.26,5.26,2365,2.78
21-Sep-1994,0,5.42,5.26,5.42,2982,2.87
22-Sep-1994,0,5.42,5.26,5.26,23853,2.78
23-Sep-1994,0,5.57,5.26,5.57,9767,2.95
26-Sep-1994,0,5.44,5.26,5.26,52537,2.83
27-Sep-1994,0,5.57,5.26,5.57,10487,3
28-Sep-1994,0,5.42,5.16,5.16,3084,2.78
29-Sep-1994,0,5.42,5.16,5.16,11721,2.78
30-Sep-1994,NaN,NaN,NaN,5.16,0,2.78
03-Oct-1994,NaN,NaN,NaN,5.16,0,2.78
04-Oct-1994,0,5.21,5.16,5.21,3598,2.8
05-Oct-1994,0,5.16,5.16,5.16,10281,2.78
06-Oct-1994,0,5.37,5.16,5.16,23030,2.78
07-Oct-1994,NaN,NaN,NaN,5.16,0,2.78
10-Oct-1994,0,5.37,5.16,5.16,2365,2.78
11-Oct-1994,NaN,NaN,NaN,5.16,0,2.78
12-Oct-1994,0,5.47,5.16,5.37,19946,2.89
13-Oct-1994,0,5.47,5.26,5.47,64566,2.94
14-Oct-1994,0,5.57,5.26,5.26,35676,2.83
17-Oct-1994,0,5.57,5.26,5.26,185269,2.83
18-Oct-1994,0,5.26,5.26,5.26,3701,2.83
19-Oct-1994,0,5.57,5.26,5.57,5038,3
20-Oct-1994,0,5.57,5.26,5.26,2879,2.83
21-Oct-1994,0,5.57,5.57,5.57,720,3
24-Oct-1994,0,5.47,5.37,5.47,7403,2.94
25-Oct-1994,0,5.26,5.26,5.26,1439,2.83
26-Oct-1994,0,5.31,5.31,5.31,617,2.86
27-Oct-1994,0,5.47,5.37,5.47,9767,2.94
28-Oct-1994,0,5.57,5.47,5.47,3084,2.94
31-Oct-1994,0,5.57,5.37,5.57,6786,3
01-Nov-1994,NaN,NaN,NaN,5.57,0,3
02-Nov-1994,NaN,NaN,NaN,5.57,0,3
03-Nov-1994,0,5.57,5.37,5.37,11104,2.89
04-Nov-1994,0,5.37,5.37,5.37,1645,2.89
07-Nov-1994,0,5.47,5.37,5.47,2879,2.94
08-Nov-1994,NaN,NaN,NaN,5.47,0,2.94
09-Nov-1994,0,5.37,5.37,5.37,6580,2.89
10-Nov-1994,NaN,NaN,NaN,5.37,0,2.89
11-Nov-1994,0,5.47,5.37,5.47,4524,2.94
14-Nov-1994,NaN,NaN,NaN,5.47,0,2.94
15-Nov-1994,0,5.37,5.37,5.37,1337,2.89
16-Nov-1994,0,5.52,5.42,5.52,3804,2.97
17-Nov-1994,0,5.52,5.16,5.16,29713,2.78
18-Nov-1994,0,5.26,5.16,5.26,3084,2.83
21-Nov-1994,0,5.06,5.06,5.06,617,2.72
22-Nov-1994,0,5.24,5.06,5.06,28890,2.72
23-Nov-1994,0,4.96,4.96,4.96,6580,2.67
25-Nov-1994,NaN,NaN,NaN,4.96,0,2.67
28-Nov-1994,0,4.96,4.96,4.96,2056,2.67
29-Nov-1994,0,5.26,5.26,5.26,617,2.83
30-Nov-1994,0,5.26,5.26,5.26,2982,2.83
01-Dec-1994,NaN,NaN,NaN,5.26,0,2.83
02-Dec-1994,NaN,NaN,NaN,5.26,0,2.83
05-Dec-1994,0,5.16,5.11,5.11,8122,2.75
06-Dec-1994,0,5.16,5.06,5.16,15628,2.78
07-Dec-1994,NaN,NaN,NaN,5.16,0,2.78
08-Dec-1994,NaN,NaN,NaN,5.16,0,2.78
09-Dec-1994,0,5.16,5.16,5.16,7403,2.78
12-Dec-1994,0,5.01,4.96,5.01,14908,2.7
13-Dec-1994,0,5.26,4.96,5.26,823,2.83
14-Dec-1994,0,5.26,5.11,5.11,11104,2.75
15-Dec-1994,0,4.96,4.96,4.96,2365,2.67
16-Dec-1994,0,4.96,4.96,4.96,5038,2.67
19-Dec-1994,0,5.26,4.96,5.01,41434,2.7
20-Dec-1994,NaN,NaN,NaN,5.01,0,2.7
21-Dec-1994,0,5.26,5.06,5.26,18403,2.83
22-Dec-1994,0,5.26,5.11,5.11,6580,2.75
23-Dec-1994,NaN,NaN,NaN,5.11,0,2.8
27-Dec-1994,NaN,NaN,NaN,5.11,0,2.8
28-Dec-1994,NaN,NaN,NaN,5.11,0,2.8
29-Dec-1994,0,4.96,4.86,4.86,23544,2.66
30-Dec-1994,0,5.16,4.86,4.86,6066,2.66
03-Jan-1995,0,5.16,4.91,4.91,6683,2.69
04-Jan-1995,0,5.06,4.86,4.86,6580,2.66
05-Jan-1995,NaN,NaN,NaN,4.86,0,2.66
06-Jan-1995,NaN,NaN,NaN,4.86,0,2.66
09-Jan-1995,NaN,NaN,NaN,4.86,0,2.66
10-Jan-1995,0,5.01,4.86,4.86,8019,2.66
11-Jan-1995,0,5.06,5.06,5.06,2365,2.77
12-Jan-1995,0,4.86,4.86,4.86,2365,2.66
13-Jan-1995,0,4.86,4.86,4.86,2365,2.66
16-Jan-1995,0,4.86,4.86,4.86,823,2.66
17-Jan-1995,0,5.01,4.86,4.96,33414,2.72
18-Jan-1995,0,5.11,4.86,4.86,22824,2.66
19-Jan-1995,0,5.16,4.86,4.86,40714,2.66
20-Jan-1995,0,5.01,4.86,5.01,28068,2.75
23-Jan-1995,0,5.16,5.11,5.11,3598,2.8
24-Jan-1995,0,5.01,5.01,5.01,6066,2.75
25-Jan-1995,0,5.16,5.16,5.16,2365,2.83
26-Jan-1995,0,4.86,4.86,4.86,8739,2.66
27-Jan-1995,0,5.16,4.86,5.16,4318,2.83
30-Jan-1995,NaN,NaN,NaN,5.16,0,2.83
31-Jan-1995,0,5.06,5.06,5.06,2365,2.77
01-Feb-1995,NaN,NaN,NaN,5.06,0,2.77
02-Feb-1995,0,5.16,4.86,5.11,25189,2.8
03-Feb-1995,0,5.16,5.16,5.16,617,2.83
06-Feb-1995,0,5.16,5.16,5.16,3701,2.83
07-Feb-1995,0,4.96,4.96,4.96,2365,2.72
08-Feb-1995,0,4.86,4.86,4.86,2056,2.66
09-Feb-1995,NaN,NaN,NaN,4.86,0,2.66
10-Feb-1995,0,4.86,4.86,4.86,103,2.66
13-Feb-1995,0,5.06,4.91,5.06,35676,2.77
14-Feb-1995,0,5.26,5.26,5.26,617,2.88
15-Feb-1995,0,5.26,4.96,5.06,11001,2.77
16-Feb-1995,0,5.06,5.01,5.06,5038,2.77
17-Feb-1995,0,5.16,5.01,5.16,7403,2.83
21-Feb-1995,0,4.96,4.96,4.96,2365,2.72
22-Feb-1995,0,5.11,5.11,5.11,2365,2.8
23-Feb-1995,0,5.26,5.06,5.06,8122,2.77
24-Feb-1995,0,5.47,5.47,5.47,720,3
27-Feb-1995,0,5.06,5.06,5.06,617,2.77
28-Feb-1995,0,5.26,5.06,5.06,4318,2.77
01-Mar-1995,NaN,NaN,NaN,5.06,0,2.77
02-Mar-1995,0,5.37,5.37,5.37,2365,2.94
03-Mar-1995,0,5.26,5.06,5.06,3084,2.77
06-Mar-1995,0,5.06,5.06,5.06,2365,2.77
07-Mar-1995,0,5.06,5.06,5.06,5038,2.77
08-Mar-1995,0,5.21,5.06,5.21,9767,2.86
09-Mar-1995,NaN,NaN,NaN,5.21,0,2.86
