Date,Open,High,Low,Close,Volume,AdjClose
10-Aug-1994,0,5.75,5.38,5.69,8654400,4.54
11-Aug-1994,0,5.69,5.25,5.31,1704400,4.24
12-Aug-1994,0,5.44,5.31,5.44,276800,4.34
15-Aug-1994,0,5.44,5.16,5.38,242000,4.3
16-Aug-1994,0,5.62,5.31,5.31,382400,4.24
17-Aug-1994,0,5.44,5.31,5.44,299200,4.34
18-Aug-1994,0,5.44,5.31,5.44,359600,4.34
19-Aug-1994,0,5.44,5.31,5.44,259600,4.34
22-Aug-1994,0,5.44,5.25,5.38,400400,4.3
23-Aug-1994,0,5.38,5.25,5.38,252800,4.3
24-Aug-1994,0,5.62,5.31,5.62,505200,4.49
25-Aug-1994,0,5.62,5.5,5.62,242000,4.49
26-Aug-1994,0,6.44,5.56,6.27,1368400,5.01
29-Aug-1994,0,6.94,6.25,6.88,1600000,5.49
30-Aug-1994,0,7.25,6.81,7.12,1066800,5.68
31-Aug-1994,0,7.12,6.62,6.81,676400,5.44
01-Sep-1994,0,6.75,6.62,6.75,308000,5.39
02-Sep-1994,0,6.75,6.62,6.75,236800,5.39
06-Sep-1994,0,6.75,6.62,6.75,215200,5.39
07-Sep-1994,0,7.06,6.88,6.88,320400,5.49
08-Sep-1994,0,7.19,6.88,7,309200,5.59
09-Sep-1994,0,7.19,7,7.19,237600,5.74
12-Sep-1994,0,7.19,6.94,6.94,330400,5.54
13-Sep-1994,0,7.19,6.94,7.06,281600,5.64
14-Sep-1994,0,7.44,7,7.44,308000,5.94
15-Sep-1994,0,7.56,7.25,7.56,338400,6.04
16-Sep-1994,0,7.69,7.38,7.53,230400,6.01
19-Sep-1994,0,7.62,7.44,7.56,344000,6.04
20-Sep-1994,0,7.5,7.38,7.38,509600,5.89
21-Sep-1994,0,7.62,7.38,7.5,264000,5.99
22-Sep-1994,0,7.69,7.5,7.69,200000,6.14
23-Sep-1994,0,8.25,7.62,8.19,419600,6.54
26-Sep-1994,0,8.75,8.31,8.69,348000,6.94
27-Sep-1994,0,8.81,8.5,8.72,644400,6.96
28-Sep-1994,0,8.75,8.56,8.69,586800,6.94
29-Sep-1994,0,8.69,8.44,8.62,205200,6.88
30-Sep-1994,0,8.62,8.38,8.41,164000,6.71
03-Oct-1994,0,8.5,7.75,7.88,476400,6.29
04-Oct-1994,0,8.19,7.62,7.81,486800,6.24
05-Oct-1994,0,7.62,7.25,7.62,626400,6.08
06-Oct-1994,0,7.69,7.56,7.56,72800,6.04
07-Oct-1994,0,7.69,7.56,7.56,55200,6.04
10-Oct-1994,0,7.94,7.56,7.75,276000,6.19
11-Oct-1994,0,8.12,7.75,7.94,364400,6.34
12-Oct-1994,0,7.94,7.75,7.75,110800,6.19
13-Oct-1994,0,7.94,7.75,7.84,218000,6.26
14-Oct-1994,0,8,7.75,8,276400,6.39
17-Oct-1994,0,8.38,8,8.28,243600,6.61
18-Oct-1994,0,8.69,8.19,8.19,346800,6.54
19-Oct-1994,0,8.31,8,8.19,402000,6.54
20-Oct-1994,0,8.19,7.69,7.69,292000,6.14
21-Oct-1994,0,7.88,7.62,7.81,193200,6.24
24-Oct-1994,0,7.88,7.62,7.88,236400,6.29
25-Oct-1994,0,8.12,7.69,8.06,131600,6.44
26-Oct-1994,0,8.31,7.94,8.25,285200,6.59
27-Oct-1994,0,8.53,8.19,8.5,197600,6.79
28-Oct-1994,0,8.75,8.38,8.62,608800,6.88
31-Oct-1994,0,9.12,8.62,9.12,568000,7.28
01-Nov-1994,0,9.12,8.81,8.81,506800,7.03
02-Nov-1994,0,9,8.75,8.88,324400,7.09
03-Nov-1994,0,9,8.81,8.88,132800,7.09
04-Nov-1994,0,8.94,8.81,8.81,66800,7.03
07-Nov-1994,0,8.88,8.31,8.5,317600,6.79
08-Nov-1994,0,8.75,8.44,8.75,103200,6.99
09-Nov-1994,0,8.94,8.62,8.88,304000,7.09
10-Nov-1994,0,8.94,8.75,8.75,172800,6.99
11-Nov-1994,0,8.94,8.56,8.62,54400,6.88
14-Nov-1994,0,8.75,8.56,8.75,60800,6.99
