Date,Open,High,Low,Close,Volume,AdjClose
27-Jan-1987,0,9.06,9.06,9.06,400,7.41
28-Jan-1987,0,10.31,10.31,10.31,21800,8.43
29-Jan-1987,0,10.31,10.31,10.31,41000,8.43
30-Jan-1987,0,10.31,10.31,10.31,35000,8.43
02-Feb-1987,0,10.31,10.31,10.31,3600,8.43
03-Feb-1987,0,10.31,10.31,10.31,4000,8.43
04-Feb-1987,0,10.31,10.31,10.31,20000,8.43
05-Feb-1987,0,10.31,10.31,10.31,4800,8.43
06-Feb-1987,0,10.31,10.31,10.31,15400,8.43
09-Feb-1987,0,10.31,10.31,10.31,9400,8.43
10-Feb-1987,0,10.31,10.31,10.31,2800,8.43
11-Feb-1987,0,10.31,10.31,10.31,2400,8.43
12-Feb-1987,0,10.31,10.31,10.31,6200,8.43
13-Feb-1987,0,10.31,10.31,10.31,13400,8.43
17-Feb-1987,0,10.31,10.31,10.31,5000,8.43
18-Feb-1987,0,10.31,10.31,10.31,3200,8.43
19-Feb-1987,0,10.31,10.31,10.31,13800,8.43
20-Feb-1987,0,10.31,10.31,10.31,26200,8.43
23-Feb-1987,0,10.31,10.31,10.31,7400,8.43
24-Feb-1987,0,10.31,10.31,10.31,6400,8.43
25-Feb-1987,0,10.31,10.31,10.31,3200,8.43
26-Feb-1987,0,10.31,10.31,10.31,2800,8.43
27-Feb-1987,0,10.31,10.31,10.31,2800,8.43
02-Mar-1987,0,10.31,10.31,10.31,2200,8.43
03-Mar-1987,0,10.31,10.31,10.31,5600,8.43
04-Mar-1987,0,10.31,10.31,10.31,2400,8.43
05-Mar-1987,0,10.31,10.31,10.31,5000,8.43
06-Mar-1987,0,10.31,10.31,10.31,5000,8.43
09-Mar-1987,0,10.31,10.31,10.31,8600,8.43
10-Mar-1987,0,10.31,10.31,10.31,7000,8.43
11-Mar-1987,0,10.31,10.31,10.31,8000,8.43
12-Mar-1987,0,10.62,10.62,10.62,59200,8.69
13-Mar-1987,0,10.62,10.62,10.62,12000,8.69
16-Mar-1987,0,10.62,10.62,10.62,22800,8.69
17-Mar-1987,0,10.94,10.94,10.94,53600,8.95
18-Mar-1987,0,11.25,11.25,11.25,16000,9.2
19-Mar-1987,0,11.25,11.25,11.25,33000,9.2
20-Mar-1987,0,11.25,11.25,11.25,11000,9.2
23-Mar-1987,0,11.25,11.25,11.25,6600,9.2
24-Mar-1987,0,11.25,11.25,11.25,10000,9.2
25-Mar-1987,0,11.25,11.25,11.25,12400,9.2
26-Mar-1987,0,11.25,11.25,11.25,16000,9.2
27-Mar-1987,0,11.25,11.25,11.25,11800,9.2
30-Mar-1987,0,11.25,11.25,11.25,400,9.2
31-Mar-1987,0,11.25,11.25,11.25,7800,9.2
01-Apr-1987,0,11.25,11.25,11.25,13600,9.2
02-Apr-1987,0,11.25,11.25,11.25,19600,9.2
03-Apr-1987,0,11.25,11.25,11.25,8000,9.2
06-Apr-1987,0,11.25,11.25,11.25,8200,9.2
07-Apr-1987,0,11.56,11.56,11.56,11000,9.46
08-Apr-1987,0,11.56,11.56,11.56,4600,9.46
09-Apr-1987,0,11.56,11.56,11.56,2200,9.46
10-Apr-1987,0,11.25,11.25,11.25,4800,9.2
13-Apr-1987,0,11.25,11.25,11.25,7800,9.2
14-Apr-1987,0,11.25,11.25,11.25,1200,9.2
15-Apr-1987,0,11.25,11.25,11.25,1600,9.2
16-Apr-1987,0,11.56,11.56,11.56,6200,9.46
20-Apr-1987,0,11.25,11.25,11.25,12600,9.2
21-Apr-1987,0,11.56,11.56,11.56,8800,9.46
22-Apr-1987,0,11.56,11.56,11.56,4000,9.46
23-Apr-1987,0,11.56,11.56,11.56,7200,9.46
24-Apr-1987,0,11.25,11.25,11.25,4600,9.2
