Date,Open,High,Low,Close,Volume,AdjClose
27-Apr-2015,20.95,22.3,20.92,22.3,482234,22.3
28-Apr-2015,22.1,22.1,19.78,20.7,396278,20.7
29-Apr-2015,20.87,21.14,20.2,20.31,475762,20.31
30-Apr-2015,20.21,20.44,19.58,19.66,520600,19.66
01-May-2015,20.15,24.99,19.62,20.03,344730,20.03
04-May-2015,20,20.27,19.92,19.94,227980,19.94
05-May-2015,20.99,20.99,19.16,19.3,488425,19.3
06-May-2015,19.34,19.55,19.21,19.47,218401,19.47
07-May-2015,19.66,20.23,19.59,20.17,307217,20.17
08-May-2015,20.28,20.63,20.24,20.34,284904,20.34
11-May-2015,20.28,20.66,20.28,20.5,219729,20.5
12-May-2015,20.38,20.52,20.21,20.43,205496,20.43
13-May-2015,20.44,20.67,20.31,20.51,151933,20.51
14-May-2015,20.57,21.05,20.48,21.04,165989,21.04
15-May-2015,21.04,21.35,20.89,21.01,231237,21.01
18-May-2015,21,21.3,20.99,21.17,138231,21.17
19-May-2015,21.17,21.17,20.92,21.01,273452,21.01
20-May-2015,21.08,21.21,21,21.1,177902,21.1
21-May-2015,21.14,21.18,20.95,21.1,328627,21.1
22-May-2015,20.63,21.11,20.55,20.72,160378,20.72
26-May-2015,20.63,20.83,20.23,20.8,164882,20.8
27-May-2015,20.82,20.98,20.72,20.89,134924,20.89
28-May-2015,20.79,21.06,20.7,21.01,158558,21.01
29-May-2015,20.97,20.98,20.66,20.75,384001,20.75
01-Jun-2015,20.82,20.99,20.46,20.59,243836,20.59
02-Jun-2015,20.52,20.91,20.29,20.58,298166,20.58
03-Jun-2015,20.6,21.04,20.55,20.95,198299,20.95
04-Jun-2015,20.92,20.95,20.7,20.76,135705,20.76
05-Jun-2015,20.7,20.81,20.47,20.55,305841,20.55
08-Jun-2015,20.49,20.61,20.21,20.24,143524,20.24
09-Jun-2015,20.26,20.3,19.98,20.05,152719,20.05
10-Jun-2015,20.09,20.77,20.09,20.72,223046,20.72
11-Jun-2015,20.78,21.08,20.76,21.04,122899,21.04
12-Jun-2015,20.91,21.11,20.05,20.22,319164,20.22
15-Jun-2015,20.15,20.88,20.09,20.6,213231,20.6
16-Jun-2015,20.52,20.97,20.43,20.84,104217,20.84
17-Jun-2015,20.95,21.19,20.5,20.62,105979,20.62
18-Jun-2015,20.67,21.05,20.65,20.81,213453,20.81
