Date,Open,High,Low,Close,Volume,AdjClose
27-May-1993,0,20.25,19.62,19.62,2838900,4.86
28-May-1993,0,19.88,19.5,19.75,603100,4.89
01-Jun-1993,0,19.62,19.5,19.5,455200,4.83
02-Jun-1993,0,20.38,19.5,20.38,616400,5.05
03-Jun-1993,0,20.25,19.75,19.75,216900,4.89
04-Jun-1993,0,19.88,19.62,19.75,58600,4.89
07-Jun-1993,0,19.75,19.5,19.5,148400,4.83
08-Jun-1993,0,19.62,19.5,19.5,169800,4.83
09-Jun-1993,0,19.75,19.5,19.62,225800,4.86
10-Jun-1993,0,19.75,19.5,19.62,78000,4.86
11-Jun-1993,0,19.62,19.5,19.5,109400,4.83
14-Jun-1993,0,19.62,19.5,19.5,72600,4.83
15-Jun-1993,0,19.62,19.5,19.5,38600,4.83
16-Jun-1993,0,19.62,19.5,19.5,109700,4.83
17-Jun-1993,0,19.62,19.5,19.5,86600,4.83
18-Jun-1993,0,19.62,19.5,19.5,96100,4.83
21-Jun-1993,0,19.62,19.5,19.62,61400,4.86
22-Jun-1993,0,19.62,19.5,19.5,64700,4.83
23-Jun-1993,0,19.62,19.5,19.5,36900,4.83
24-Jun-1993,0,19.75,19.5,19.5,62900,4.83
25-Jun-1993,0,19.62,19.5,19.5,17900,4.83
28-Jun-1993,0,20.12,19.5,20,61700,4.95
29-Jun-1993,0,20.12,19.75,19.75,47600,4.89
30-Jun-1993,0,20.12,19.75,20.12,99500,4.98
01-Jul-1993,0,20.12,20,20,27400,4.95
02-Jul-1993,0,20.12,20,20.12,46300,4.98
06-Jul-1993,0,20.12,19.75,19.75,96600,4.92
07-Jul-1993,0,19.75,19.62,19.62,11500,4.89
08-Jul-1993,0,19.75,19.62,19.75,14100,4.92
09-Jul-1993,0,19.88,19.5,19.5,41300,4.86
12-Jul-1993,0,19.75,19.5,19.5,20900,4.86
13-Jul-1993,0,19.75,19.62,19.75,8700,4.92
14-Jul-1993,0,19.75,19.5,19.5,47600,4.86
15-Jul-1993,0,19.88,19.5,19.5,102900,4.86
16-Jul-1993,0,19.62,19.5,19.62,16300,4.89
19-Jul-1993,0,19.62,19.5,19.62,193700,4.89
20-Jul-1993,0,19.75,19.62,19.75,83100,4.92
21-Jul-1993,0,19.88,19.62,19.62,32000,4.89
22-Jul-1993,0,19.62,19.62,19.62,40700,4.89
23-Jul-1993,0,19.75,19.62,19.62,33700,4.89
26-Jul-1993,0,19.62,19.5,19.5,7400,4.86
27-Jul-1993,0,19.62,19.5,19.5,150100,4.86
28-Jul-1993,0,19.62,19.5,19.5,73000,4.86
29-Jul-1993,0,19.62,19.5,19.62,183900,4.89
30-Jul-1993,0,19.62,19.5,19.62,107300,4.89
02-Aug-1993,0,19.62,19.5,19.5,7500,4.86
03-Aug-1993,0,19.62,19.5,19.5,22700,4.86
04-Aug-1993,0,19.62,19.5,19.62,37600,4.89
05-Aug-1993,0,19.62,19.5,19.5,86200,4.86
06-Aug-1993,0,19.5,19.5,19.5,128200,4.86
09-Aug-1993,0,19.62,19.38,19.38,660600,4.83
10-Aug-1993,0,19,18.5,18.5,106700,4.61
11-Aug-1993,0,19,18.5,19,109100,4.73
12-Aug-1993,0,19.12,19,19,51700,4.73
13-Aug-1993,0,18.88,18.5,18.88,33600,4.7
16-Aug-1993,0,19,18.5,18.5,53300,4.61
17-Aug-1993,0,18.75,18.25,18.5,32000,4.61
18-Aug-1993,0,18.62,18.38,18.5,186200,4.61
19-Aug-1993,0,18.38,18.25,18.38,32400,4.58
20-Aug-1993,0,18.5,17.88,18.12,123600,4.51
23-Aug-1993,0,18.5,17.88,18.5,36200,4.61
24-Aug-1993,0,19,18.62,18.88,29800,4.7
25-Aug-1993,0,19,18.62,19,74500,4.73
26-Aug-1993,0,19.12,18.88,18.88,21400,4.7
27-Aug-1993,0,19,18.88,19,10000,4.73
30-Aug-1993,0,19,18.88,18.88,8800,4.7
31-Aug-1993,0,19.25,18.62,19.25,9200,4.79
01-Sep-1993,0,19.38,19.12,19.38,19600,4.83
02-Sep-1993,0,19.25,19,19.25,18000,4.79
03-Sep-1993,0,19.5,19.12,19.38,13100,4.83
07-Sep-1993,0,19.25,19.12,19.25,3500,4.79
08-Sep-1993,0,19.25,18.88,18.88,8600,4.7
