Date,Open,High,Low,Close,Volume,AdjClose
30-Mar-1994,0,12.12,11.75,11.75,16371600,9.44
31-Mar-1994,0,11.88,11.75,11.75,5112400,9.44
04-Apr-1994,0,11.62,11.38,11.5,1043600,9.24
05-Apr-1994,0,12.25,11.5,12.25,770800,9.84
06-Apr-1994,0,12.38,12,12.25,730200,9.84
07-Apr-1994,0,12.5,12.12,12.38,565600,9.94
08-Apr-1994,0,12.38,12.12,12.25,482200,9.84
11-Apr-1994,0,12.25,12.12,12.12,150800,9.73
12-Apr-1994,0,12.38,12,12,94000,9.64
13-Apr-1994,0,12.25,11.88,11.88,601600,9.54
14-Apr-1994,0,12.12,11.88,12.12,32200,9.73
15-Apr-1994,0,12.12,11.88,12.12,101600,9.73
18-Apr-1994,0,12.12,11.88,12,510200,9.64
19-Apr-1994,0,12,11.75,11.88,318000,9.54
20-Apr-1994,0,11.81,10,10.88,753600,8.74
21-Apr-1994,0,11,10.62,11,576600,8.83
22-Apr-1994,0,11.12,10.88,10.88,231600,8.74
25-Apr-1994,0,11.25,10.88,11.25,1227200,9.04
26-Apr-1994,0,11.25,11.12,11.25,187800,9.04
28-Apr-1994,0,11.38,11,11,32800,8.83
29-Apr-1994,0,11.62,11,11.44,381200,9.19
02-May-1994,0,11.5,11.25,11.25,445400,9.04
03-May-1994,0,11.38,11.12,11.19,402400,8.99
04-May-1994,0,11.19,11,11.12,205800,8.93
05-May-1994,0,11.19,10.88,10.94,699200,8.79
06-May-1994,0,11,10.75,10.94,1087000,8.79
09-May-1994,0,11.12,11,11,10600,8.83
10-May-1994,0,10.88,10.38,10.5,64400,8.43
11-May-1994,0,10.25,9.62,9.75,829000,7.83
12-May-1994,0,9.88,9.62,9.75,79800,7.83
13-May-1994,0,10.12,9.75,10,2463000,8.03
16-May-1994,0,10.38,9.94,10.06,831400,8.08
17-May-1994,0,10.06,9.88,10,803200,8.03
18-May-1994,0,10.25,10,10.06,1105600,8.08
19-May-1994,0,10.25,10,10,109200,8.03
20-May-1994,0,10.38,10,10.19,686000,8.18
23-May-1994,0,10.5,10.12,10.25,74800,8.23
24-May-1994,0,10.25,10.12,10.12,79800,8.13
25-May-1994,0,10.5,10.12,10.5,9200,8.43
26-May-1994,0,10.5,10.12,10.25,968400,8.23
27-May-1994,0,10.56,10.25,10.5,121000,8.43
31-May-1994,0,10.62,10.25,10.62,439800,8.53
01-Jun-1994,0,10.38,10.25,10.38,132000,8.34
02-Jun-1994,0,10.62,10.38,10.62,215800,8.53
03-Jun-1994,0,10.88,10.62,10.81,164400,8.68
06-Jun-1994,0,11,10.62,11,417800,8.83
07-Jun-1994,0,11,10.75,10.75,29600,8.63
08-Jun-1994,0,11,10.75,10.94,28200,8.79
09-Jun-1994,0,11.88,10.88,11.75,396800,9.44
10-Jun-1994,0,12.5,11.75,12.5,218400,10.04
13-Jun-1994,0,12.62,12.25,12.38,469200,9.94
14-Jun-1994,0,12.75,12.38,12.38,401600,9.94
15-Jun-1994,0,12.69,12.25,12.62,494200,10.14
16-Jun-1994,0,12.88,12.38,12.62,89400,10.14
17-Jun-1994,0,13.12,12.62,12.88,171400,10.34
20-Jun-1994,0,13,12,12.31,626600,9.89
21-Jun-1994,0,12.19,12,12.06,245400,9.69
22-Jun-1994,0,12.38,12,12.38,116600,9.94
23-Jun-1994,0,12.56,12.19,12.5,266400,10.04
24-Jun-1994,0,12.62,12.12,12.62,243600,10.14
27-Jun-1994,0,12.5,12.12,12.38,279000,9.94
28-Jun-1994,0,12.5,12.12,12.5,86200,10.04
29-Jun-1994,0,12.38,12.25,12.25,205600,9.84
30-Jun-1994,0,12.75,12.25,12.75,282000,10.24
01-Jul-1994,0,12.75,12.38,12.5,297200,10.04
05-Jul-1994,0,12.75,12.62,12.75,102200,10.24
06-Jul-1994,0,13.25,12.75,13,369000,10.44
07-Jul-1994,0,13.88,13.25,13.25,463000,10.64
08-Jul-1994,0,13.5,13.25,13.25,61200,10.64
11-Jul-1994,0,13.19,12.75,12.75,157600,10.24
12-Jul-1994,0,12.62,11.75,12.12,804000,9.73
