Date,Open,High,Low,Close,Volume,AdjClose
19-Mar-1993,0,12.75,11.75,12.25,1462900,8.12
22-Mar-1993,0,12.75,12,12,297900,7.95
23-Mar-1993,0,12.75,12.25,12.25,238200,8.12
24-Mar-1993,0,12.75,12,12.25,146400,8.12
25-Mar-1993,0,12.75,12,12,100100,7.95
26-Mar-1993,0,12.5,12,12.25,41700,8.12
29-Mar-1993,0,12.5,12,12,45400,7.95
30-Mar-1993,0,12.5,11.88,11.88,41700,7.87
31-Mar-1993,0,12.25,11.75,11.75,40300,7.79
01-Apr-1993,0,12.12,11.75,11.75,16700,7.79
02-Apr-1993,0,12.25,11.75,11.75,79900,7.79
05-Apr-1993,0,12.25,11.75,11.88,94600,7.87
06-Apr-1993,0,11.88,11.62,11.62,22300,7.7
07-Apr-1993,0,12.12,11.62,11.75,25900,7.79
08-Apr-1993,0,12.12,11.38,12.12,12100,8.03
12-Apr-1993,0,12.25,11.75,12.25,15000,8.12
13-Apr-1993,0,12.25,11.75,11.88,41400,7.87
14-Apr-1993,0,12.25,11.75,11.75,10700,7.79
15-Apr-1993,0,12.75,11.75,12.75,63100,8.45
16-Apr-1993,0,12.75,12.25,12.25,9500,8.12
19-Apr-1993,0,12.75,12.25,12.75,6800,8.45
20-Apr-1993,0,13,12,12,32800,7.95
21-Apr-1993,0,12.75,12.25,12.5,23900,8.29
22-Apr-1993,0,13.75,12.5,13,32800,8.62
23-Apr-1993,0,13.75,13,13,23900,8.62
26-Apr-1993,0,13,12.75,12.75,3000,8.5
27-Apr-1993,0,13.5,12.75,12.75,29300,8.5
28-Apr-1993,0,13.25,12.5,13.25,3600,8.84
29-Apr-1993,0,13,12.75,12.75,19000,8.5
30-Apr-1993,0,13.25,12.75,13.25,2000,8.84
03-May-1993,0,13.25,12.75,12.75,7800,8.5
04-May-1993,0,13.25,12.75,13,33800,8.67
05-May-1993,0,13.25,12.75,13.25,8400,8.84
06-May-1993,0,13.25,13,13,2200,8.67
07-May-1993,0,13.25,12.75,12.75,96700,8.5
10-May-1993,0,14,12.75,13.75,16100,9.17
11-May-1993,0,14.25,13.5,13.5,42600,9
12-May-1993,0,14.25,13.5,13.75,14200,9.17
13-May-1993,0,14.25,13.5,13.75,54300,9.17
14-May-1993,0,14,13.75,14,3900,9.34
17-May-1993,0,14,13.25,13.75,12200,9.17
18-May-1993,0,14,13.25,13.25,81600,8.88
19-May-1993,0,13.25,13.25,13.25,2100,8.88
20-May-1993,0,14,13.5,14,11600,9.39
21-May-1993,0,14,13.5,13.5,15800,9.05
24-May-1993,0,13.75,13.5,13.5,12400,9.05
25-May-1993,0,14,13.5,13.88,10500,9.3
26-May-1993,0,14,13.25,13.25,17000,8.88
27-May-1993,0,13.88,13.25,13.88,30200,9.3
28-May-1993,0,13.25,13.25,13.25,600,8.88
01-Jun-1993,0,13.75,13.25,13.5,9200,9.05
02-Jun-1993,0,13.25,13.25,13.25,4600,8.88
03-Jun-1993,0,13.75,13,13,22500,8.71
04-Jun-1993,0,13.5,13,13.5,5800,9.05
07-Jun-1993,0,13.75,13.25,13.75,20800,9.22
08-Jun-1993,0,13.62,13.25,13.5,51000,9.05
09-Jun-1993,0,13.25,13.25,13.25,400,8.88
10-Jun-1993,0,13.75,13.25,13.5,18100,9.05
11-Jun-1993,0,13.75,13.5,13.5,29900,9.05
14-Jun-1993,0,13.75,13.62,13.62,5400,9.13
15-Jun-1993,0,13.75,13.25,13.75,17300,9.22
16-Jun-1993,0,13.75,13.25,13.75,600,9.22
17-Jun-1993,0,13.75,13.62,13.75,24200,9.22
18-Jun-1993,0,14,14,14,500,9.39
21-Jun-1993,0,14.25,13.75,13.75,56200,9.22
22-Jun-1993,0,15.25,14.25,14.5,21600,9.72
23-Jun-1993,0,15,14.25,15,2200,10.06
24-Jun-1993,0,15,14.25,14.62,9300,9.8
25-Jun-1993,0,15,14.25,14.25,900,9.55
28-Jun-1993,0,15,14.25,15,9200,10.06
29-Jun-1993,0,15.25,15.25,15.25,1400,10.22
30-Jun-1993,0,15,15,15,1900,10.06
01-Jul-1993,0,15.25,14.5,15.25,16100,10.22
02-Jul-1993,0,15.25,15.25,15.25,400,10.22
06-Jul-1993,0,15.25,14.5,14.5,700,9.72
07-Jul-1993,0,14.62,14.62,14.62,1500,9.8
08-Jul-1993,0,14.5,14.5,14.5,1700,9.72
09-Jul-1993,0,15.25,14.5,15.25,600,10.22
