Date,Open,High,Low,Close,Volume,AdjClose
11-Jun-1986,0,7,6.84,6.84,1165400,6.84
12-Jun-1986,0,6.67,6.34,6.34,63400,6.34
13-Jun-1986,0,6.84,6.5,6.5,147100,6.5
16-Jun-1986,0,6.84,6.5,6.5,10000,6.5
17-Jun-1986,0,6.84,6.5,6.5,41400,6.5
18-Jun-1986,0,6.67,6.17,6.17,40800,6.17
19-Jun-1986,0,6.67,6.17,6.17,27600,6.17
20-Jun-1986,0,6.67,6.17,6.17,17800,6.17
23-Jun-1986,0,6.67,6.34,6.34,43000,6.34
24-Jun-1986,0,6.67,6.5,6.5,20400,6.5
25-Jun-1986,0,6.84,6.5,6.5,27300,6.5
26-Jun-1986,0,6.84,6.5,6.5,10800,6.5
27-Jun-1986,0,6.84,6.5,6.5,15100,6.5
30-Jun-1986,0,6.84,6.34,6.34,16200,6.34
01-Jul-1986,0,6.84,6.34,6.34,11100,6.34
02-Jul-1986,0,6.67,6.34,6.34,10800,6.34
03-Jul-1986,0,6.67,6.17,6.17,9100,6.17
07-Jul-1986,0,6.34,6,6,7500,6
08-Jul-1986,0,6.17,5.84,5.84,45300,5.84
09-Jul-1986,0,6.17,5.84,5.84,9600,5.84
10-Jul-1986,0,6.17,5.84,5.84,5200,5.84
11-Jul-1986,0,6.17,6,6,33400,6
14-Jul-1986,0,6.17,6,6,15000,6
15-Jul-1986,0,6.17,6,6,3600,6
16-Jul-1986,0,6.25,6,6.17,19800,6.17
17-Jul-1986,0,6.17,5.5,5.67,12300,5.67
18-Jul-1986,0,6,5.5,5.5,4500,5.5
21-Jul-1986,0,5.84,5.34,5.34,19200,5.34
22-Jul-1986,0,5.67,5.17,5.17,14400,5.17
23-Jul-1986,0,5.5,5.17,5.17,5200,5.17
24-Jul-1986,0,5.5,4.84,5,31200,5
25-Jul-1986,0,5.34,5,5.34,2100,5.34
28-Jul-1986,0,5.34,5,5,2800,5
29-Jul-1986,0,5.34,5,5,8700,5
30-Jul-1986,0,5.34,4.84,4.84,23100,4.84
31-Jul-1986,0,5,4.84,5,7800,5
01-Aug-1986,0,5.09,4.84,5.09,3400,5.09
04-Aug-1986,0,5.09,5,5.09,1900,5.09
05-Aug-1986,0,5.17,5,5,3300,5
06-Aug-1986,0,5.17,5.17,5.17,400,5.17
07-Aug-1986,0,5,4.67,4.75,15900,4.75
08-Aug-1986,0,5,4.67,4.75,13800,4.75
11-Aug-1986,0,4.92,4.75,4.84,3600,4.84
12-Aug-1986,0,5,4.92,4.92,2800,4.92
13-Aug-1986,0,5.34,4.92,5.34,54400,5.34
14-Aug-1986,0,5.67,5.34,5.5,11100,5.5
15-Aug-1986,0,5.67,5.5,5.5,15000,5.5
18-Aug-1986,0,5.84,5.5,5.84,3300,5.84
19-Aug-1986,0,5.84,5.42,5.67,14500,5.67
20-Aug-1986,0,5.67,5.67,5.67,900,5.67
21-Aug-1986,0,5.34,5.34,5.34,900,5.34
22-Aug-1986,0,5.34,5.34,5.34,300,5.34
25-Aug-1986,NaN,NaN,NaN,5.34,0,5.34
26-Aug-1986,0,5.67,5.34,5.34,49200,5.34
27-Aug-1986,0,5.67,5.34,5.34,1800,5.34
28-Aug-1986,0,5.67,5.17,5.25,10000,5.25
29-Aug-1986,0,5.34,5.17,5.34,3000,5.34
02-Sep-1986,0,5.5,5.17,5.17,5700,5.17
03-Sep-1986,0,5.34,5.17,5.17,7600,5.17
04-Sep-1986,NaN,NaN,NaN,5.17,0,5.17
05-Sep-1986,0,5.5,5.17,5.17,2100,5.17
08-Sep-1986,0,5.17,5.17,5.17,1800,5.17
