Date,Open,High,Low,Close,Volume,AdjClose
04-Jan-2000,1.03,1.08,1.03,1.08,4100,1.08
05-Jan-2000,1.08,1.08,1.08,1.08,4300,1.08
06-Jan-2000,1.08,1.12,1.08,1.12,7300,1.12
07-Jan-2000,1.17,1.36,1.12,1.36,8900,1.36
10-Jan-2000,1.36,1.36,1.27,1.36,7900,1.36
11-Jan-2000,1.36,1.36,1.22,1.22,13100,1.22
12-Jan-2000,1.41,1.41,1.36,1.41,3600,1.41
13-Jan-2000,1.41,1.41,1.31,1.41,4500,1.41
14-Jan-2000,1.31,1.41,1.22,1.41,4900,1.41
18-Jan-2000,1.41,1.41,1.41,1.41,700,1.41
19-Jan-2000,1.45,1.45,1.31,1.31,10700,1.31
20-Jan-2000,1.36,1.36,1.22,1.36,2700,1.36
21-Jan-2000,1.36,1.45,1.36,1.41,9500,1.41
24-Jan-2000,1.31,2.06,0.98,2.02,131600,2.02
25-Jan-2000,2.02,2.02,1.92,2.02,24800,2.02
26-Jan-2000,2.06,2.2,1.88,2.11,55300,2.11
27-Jan-2000,2.11,2.11,1.88,1.92,12700,1.92
28-Jan-2000,1.97,2.11,1.59,1.59,112500,1.59
31-Jan-2000,1.69,1.73,1.69,1.69,10400,1.69
01-Feb-2000,1.73,1.73,1.73,1.73,2100,1.73
02-Feb-2000,1.78,1.78,1.78,1.78,2000,1.78
03-Feb-2000,1.69,1.78,1.69,1.78,7100,1.78
04-Feb-2000,1.88,1.97,1.88,1.97,14500,1.97
07-Feb-2000,2.02,2.02,1.88,1.97,26500,1.97
08-Feb-2000,2.02,2.11,2.02,2.06,22800,2.06
09-Feb-2000,1.97,1.97,1.88,1.92,32400,1.92
10-Feb-2000,1.78,1.97,1.78,1.97,6000,1.97
11-Feb-2000,1.97,1.97,1.97,1.97,2700,1.97
14-Feb-2000,1.97,2.06,1.97,1.97,1600,1.97
15-Feb-2000,2.06,2.06,2.06,2.06,6000,2.06
16-Feb-2000,1.92,1.92,1.92,1.92,300,1.92
17-Feb-2000,2.02,2.02,1.92,2.02,7700,2.02
18-Feb-2000,2.06,2.11,1.92,2.11,11300,2.11
22-Feb-2000,2.11,2.2,1.97,2.16,58700,2.16
23-Feb-2000,2.11,2.11,2.06,2.06,7600,2.06
24-Feb-2000,2.16,2.16,1.97,2.06,9700,2.06
25-Feb-2000,1.69,2.2,1.69,2.16,22400,2.16
28-Feb-2000,2.16,2.16,2.06,2.06,9600,2.06
29-Feb-2000,NaN,NaN,NaN,2.06,0,2.06
01-Mar-2000,NaN,NaN,NaN,2.06,0,2.06
02-Mar-2000,NaN,NaN,NaN,2.06,0,2.06
03-Mar-2000,NaN,NaN,NaN,2.06,0,2.06
06-Mar-2000,NaN,NaN,NaN,2.06,0,2.06
07-Mar-2000,2.3,2.3,2.11,2.3,2500,2.3
08-Mar-2000,2.2,2.2,2.11,2.2,4700,2.2
09-Mar-2000,2.11,2.3,1.97,2.06,14700,2.06
10-Mar-2000,2.16,2.25,2.16,2.25,1700,2.25
13-Mar-2000,2.25,2.34,2.16,2.3,32500,2.3
14-Mar-2000,1.97,2.3,1.97,1.97,6700,1.97
15-Mar-2000,1.97,2.3,1.97,2.06,3700,2.06
16-Mar-2000,2.06,2.25,2.06,2.11,6100,2.11
17-Mar-2000,2.06,2.11,2.06,2.06,14000,2.06
20-Mar-2000,2.25,2.27,2.23,2.23,19500,2.23
21-Mar-2000,2.32,2.32,2.23,2.25,6800,2.25
22-Mar-2000,2.32,2.32,2.06,2.06,16100,2.06
23-Mar-2000,2.06,2.2,1.97,1.97,56500,1.97
24-Mar-2000,1.97,2.34,1.97,1.97,23300,1.97
27-Mar-2000,2.25,2.25,2.25,2.25,24300,2.25
28-Mar-2000,2.16,2.34,2.06,2.34,34300,2.34
29-Mar-2000,2.3,2.3,1.97,2.18,27300,2.18
30-Mar-2000,2.2,2.34,2.16,2.2,21500,2.2
31-Mar-2000,2.16,2.3,2.06,2.06,9300,2.06
03-Apr-2000,2.06,2.3,2.06,2.2,26900,2.2
04-Apr-2000,2.13,2.23,2.13,2.23,3600,2.23
05-Apr-2000,2.13,2.23,2.13,2.16,7300,2.16
06-Apr-2000,2.2,2.2,2.2,2.2,2700,2.2
07-Apr-2000,2.16,2.16,2.02,2.02,2400,2.02
10-Apr-2000,2.23,2.23,2.02,2.23,900,2.23
11-Apr-2000,2.06,2.23,2.02,2.23,11500,2.23
12-Apr-2000,2.02,2.02,1.97,1.97,4000,1.97
13-Apr-2000,1.92,1.97,1.88,1.88,7900,1.88
14-Apr-2000,1.97,1.97,1.83,1.88,24800,1.88
17-Apr-2000,2.02,2.02,1.59,1.59,3500,1.59
18-Apr-2000,1.88,1.88,1.59,1.69,6100,1.69
19-Apr-2000,1.59,1.59,1.59,1.59,500,1.59
20-Apr-2000,1.59,1.88,1.59,1.88,8100,1.88
24-Apr-2000,1.83,1.97,1.83,1.97,22400,1.97
25-Apr-2000,1.88,1.88,1.83,1.83,2800,1.83
26-Apr-2000,1.88,2.02,1.88,1.88,5300,1.88
27-Apr-2000,2.06,2.06,1.83,2.06,400,2.06
28-Apr-2000,1.83,1.92,1.83,1.83,15200,1.83
01-May-2000,1.83,2.02,1.83,2.02,3500,2.02
02-May-2000,2.02,2.3,2.02,2.3,13900,2.3
03-May-2000,2.11,2.2,2.11,2.2,3300,2.2
04-May-2000,2.06,2.3,2.06,2.3,3900,2.3
05-May-2000,2.06,2.06,2.06,2.06,900,2.06
08-May-2000,2.06,2.06,1.83,1.88,7700,1.88
09-May-2000,1.83,1.83,1.83,1.83,1300,1.83
10-May-2000,1.83,1.88,1.83,1.83,3100,1.83
11-May-2000,NaN,NaN,NaN,1.83,0,1.83
12-May-2000,2.06,2.06,2.06,2.06,900,2.06
15-May-2000,2.06,2.06,2.06,2.06,2800,2.06
16-May-2000,NaN,NaN,NaN,2.06,0,2.06
17-May-2000,1.88,1.88,1.83,1.83,5700,1.83
18-May-2000,NaN,NaN,NaN,1.83,0,1.83
19-May-2000,1.83,1.88,1.83,1.83,6000,1.83
22-May-2000,1.84,2.2,1.83,2.2,18000,2.2
23-May-2000,2.02,2.02,1.5,1.88,140000,1.88
24-May-2000,1.83,1.83,0.8,1.41,124400,1.41
25-May-2000,1.41,1.92,1.41,1.92,18300,1.92
26-May-2000,1.69,1.69,1.45,1.45,45500,1.45
30-May-2000,1.64,1.64,1.64,1.64,900,1.64
31-May-2000,1.69,1.69,1.5,1.55,6500,1.55
01-Jun-2000,1.45,1.52,1.45,1.52,6000,1.52
02-Jun-2000,1.59,1.59,1.45,1.5,5500,1.5
05-Jun-2000,1.48,1.52,1.45,1.48,46000,1.48
