Date,Open,High,Low,Close,Volume,AdjClose
26-Sep-1996,0,11.62,10.62,11.56,13872600,8.46
27-Sep-1996,0,11.62,11.38,11.5,2223600,8.41
30-Sep-1996,0,12.31,11.5,12.25,1596000,8.96
01-Oct-1996,0,12.75,12.31,12.69,864000,9.29
02-Oct-1996,0,13.12,12.56,12.62,473600,9.23
03-Oct-1996,0,12.5,11.88,11.88,573600,8.69
04-Oct-1996,0,11.88,11.12,11.19,708200,8.19
07-Oct-1996,0,11.75,11,11.56,688600,8.46
08-Oct-1996,0,11.62,11.31,11.56,723200,8.46
09-Oct-1996,0,11.56,11.38,11.5,185600,8.41
10-Oct-1996,0,11.62,11.44,11.56,439200,8.46
11-Oct-1996,0,11.56,11.38,11.38,181200,8.33
14-Oct-1996,0,11.94,11.31,11.94,268400,8.74
15-Oct-1996,0,12.38,11.94,12.31,361600,9.01
16-Oct-1996,0,12.25,12.12,12.25,319600,8.96
17-Oct-1996,0,13.5,12.25,13.12,411800,9.6
18-Oct-1996,0,13.06,12.94,13,175600,9.51
21-Oct-1996,0,13.38,12.75,12.81,399400,9.37
22-Oct-1996,0,12.75,12,12,197000,8.78
23-Oct-1996,0,12,11.5,11.62,188800,8.5
24-Oct-1996,0,11.69,11.5,11.69,163600,8.55
25-Oct-1996,0,11.94,11.69,11.94,140600,8.74
28-Oct-1996,0,11.88,11.19,11.31,258400,8.28
29-Oct-1996,0,11.5,10.88,11.38,488800,8.33
30-Oct-1996,0,11.44,11,11.12,182200,8.14
31-Oct-1996,0,11.12,10.94,11,503200,8.05
01-Nov-1996,0,10.94,10.75,10.88,365400,7.96
04-Nov-1996,0,11.06,10.81,10.88,96400,7.96
05-Nov-1996,0,11.44,11,11.38,618800,8.33
06-Nov-1996,0,11.38,11.19,11.19,212800,8.19
07-Nov-1996,0,11.88,11.06,11.88,287600,8.69
08-Nov-1996,0,11.88,11.75,11.81,216200,8.64
11-Nov-1996,0,11.94,11.75,11.75,62000,8.6
12-Nov-1996,0,11.69,11.25,11.31,116400,8.28
13-Nov-1996,0,11.19,11,11.12,38800,8.14
14-Nov-1996,0,11.06,10.56,10.62,513400,7.77
15-Nov-1996,0,10.62,10.5,10.56,540200,7.73
18-Nov-1996,0,10.75,10.44,10.75,477000,7.87
19-Nov-1996,0,11.25,10.44,10.44,1090800,7.64
20-Nov-1996,0,10.5,9.56,9.81,965400,7.18
21-Nov-1996,0,9.62,8.81,9.19,853200,6.72
22-Nov-1996,0,9.5,9.31,9.44,486600,6.91
25-Nov-1996,0,9.44,9.31,9.31,100400,6.81
26-Nov-1996,0,9.31,9.06,9.19,91000,6.72
27-Nov-1996,0,9.19,9.06,9.19,102000,6.72
29-Nov-1996,0,9.19,9.12,9.19,25400,6.72
02-Dec-1996,0,10.25,9.31,10.12,245400,7.4
03-Dec-1996,0,10.31,9.88,10,241400,7.32
04-Dec-1996,0,10,9.62,9.75,115600,7.13
05-Dec-1996,0,9.88,9.69,9.88,118800,7.23
06-Dec-1996,0,9.94,9.5,9.81,180800,7.18
09-Dec-1996,0,9.94,9.75,9.94,38600,7.27
10-Dec-1996,0,9.88,9.69,9.75,63400,7.13
11-Dec-1996,0,9.62,9.56,9.62,59800,7.04
12-Dec-1996,0,9.69,9.25,9.25,54800,6.77
13-Dec-1996,0,9.38,9.31,9.31,17600,6.81
16-Dec-1996,0,9.25,9,9,36800,6.59
17-Dec-1996,0,8.94,8.56,8.56,78400,6.26
18-Dec-1996,0,8.5,8.38,8.38,46600,6.13
19-Dec-1996,0,8.38,8,8.06,115600,5.9
20-Dec-1996,0,8.31,7.88,8.25,500200,6.04
23-Dec-1996,0,8.31,8.12,8.31,448000,6.08
24-Dec-1996,0,9,8.38,8.88,268000,6.5
26-Dec-1996,0,8.88,8.69,8.69,147600,6.36
27-Dec-1996,0,8.69,8.31,8.38,99200,6.13
30-Dec-1996,0,8.38,8.06,8.19,131200,5.99
31-Dec-1996,0,8.25,8.12,8.25,127200,6.04
02-Jan-1997,0,8.31,8.06,8.19,56200,5.99
03-Jan-1997,0,8.25,8.06,8.19,52000,5.99
06-Jan-1997,0,8.12,6.56,6.75,924800,4.94
07-Jan-1997,0,6.75,6.38,6.5,1021600,4.76
08-Jan-1997,0,6.75,6.31,6.31,465000,4.62
09-Jan-1997,0,7.25,6.94,7.12,1101600,5.21
10-Jan-1997,0,8.31,7.19,8.06,856800,5.9
13-Jan-1997,0,8.12,8,8.06,66600,5.9
14-Jan-1997,0,8,7.69,7.69,130200,5.63
15-Jan-1997,0,7.75,7.38,7.44,358000,5.44
16-Jan-1997,0,7.69,7.5,7.56,141800,5.53
17-Jan-1997,0,7.88,7.5,7.88,234400,5.77
20-Jan-1997,0,7.94,7.88,7.88,67400,5.77
21-Jan-1997,0,7.88,7.75,7.81,106000,5.71
22-Jan-1997,0,7.81,7.62,7.69,130200,5.63
23-Jan-1997,0,7.69,7.5,7.5,65200,5.49
24-Jan-1997,0,7.56,7.38,7.5,143000,5.49
27-Jan-1997,0,7.5,7.19,7.25,139000,5.3
28-Jan-1997,0,7.25,7.06,7.12,198400,5.21
29-Jan-1997,0,7.19,7.06,7.12,343600,5.21
30-Jan-1997,0,7.38,6.94,7.06,440800,5.17
31-Jan-1997,0,7.25,6.88,6.88,558600,5.03
