Date,Open,High,Low,Close,Volume,AdjClose
13-May-1992,0,14.25,13.88,14,9338300,13.44
14-May-1992,0,14.12,13.5,14,3385900,13.44
15-May-1992,0,14.5,14,14.5,348900,13.92
18-May-1992,0,14.5,14.25,14.5,195400,13.92
19-May-1992,0,14.5,14.12,14.25,252600,13.68
20-May-1992,0,14.75,14.25,14.5,233400,13.92
21-May-1992,0,14.75,14.5,14.62,238500,14.04
22-May-1992,0,14.75,14.38,14.5,202300,13.92
26-May-1992,0,14.75,14.5,14.5,126900,13.92
27-May-1992,0,14.62,14.12,14.5,131000,13.92
28-May-1992,0,14.5,14.12,14.12,40300,13.56
29-May-1992,0,14.38,14.12,14.38,298300,13.81
01-Jun-1992,0,14.5,14.25,14.5,220500,13.92
02-Jun-1992,0,14.5,14.25,14.25,184200,13.68
03-Jun-1992,0,14.25,13.75,13.75,83100,13.2
04-Jun-1992,0,13.88,13.62,13.88,92600,13.33
05-Jun-1992,0,14.12,13.62,14.12,37800,13.56
08-Jun-1992,0,14.88,14.12,14.88,119300,14.29
09-Jun-1992,0,14.88,13.88,14,209600,13.44
10-Jun-1992,0,14.25,13.88,13.88,31100,13.33
11-Jun-1992,0,13.88,13.38,13.5,105700,12.96
12-Jun-1992,0,13.75,13.38,13.38,75100,12.85
15-Jun-1992,0,13.62,13.25,13.25,24300,12.72
16-Jun-1992,0,13.38,11.88,12,98100,11.52
17-Jun-1992,0,12.25,11.88,12,211700,11.52
18-Jun-1992,0,12.12,11.88,11.88,320100,11.41
19-Jun-1992,0,12,10.5,10.62,629300,10.2
22-Jun-1992,0,10.62,10.25,10.5,317100,10.08
23-Jun-1992,0,10.62,10.25,10.25,748600,9.84
24-Jun-1992,0,10.5,9.88,10,619300,9.6
25-Jun-1992,0,10,8.88,9.38,1871600,9.01
26-Jun-1992,0,10,9.38,10,297100,9.6
29-Jun-1992,0,11,9.88,11,1197700,10.56
30-Jun-1992,0,11.62,11,11.62,448600,11.16
01-Jul-1992,0,12.12,11.38,12,332000,11.52
02-Jul-1992,0,12,11.62,11.75,32900,11.28
06-Jul-1992,0,11.75,10.75,11.12,460700,10.68
07-Jul-1992,0,11.12,10.62,10.75,158800,10.32
08-Jul-1992,0,10.62,10.38,10.5,33500,10.08
09-Jul-1992,0,11.12,10.38,11,204000,10.56
10-Jul-1992,0,11.62,10.88,11.5,97500,11.04
13-Jul-1992,0,11.75,11.38,11.62,50100,11.16
14-Jul-1992,0,11.75,11.5,11.5,89400,11.04
15-Jul-1992,0,12.38,12,12,127300,11.52
16-Jul-1992,0,12,11.62,11.62,51800,11.16
17-Jul-1992,0,11.88,11.12,11.25,78400,10.8
20-Jul-1992,0,11.12,10.62,11.12,70500,10.68
21-Jul-1992,0,11.25,10.75,11,147000,10.56
22-Jul-1992,0,11,10.62,10.88,623700,10.45
23-Jul-1992,0,11.12,10.75,11,49600,10.56
24-Jul-1992,0,11.12,10.75,10.75,196100,10.32
27-Jul-1992,0,11,10.75,11,7100,10.56
28-Jul-1992,0,11.25,10.75,11,177500,10.56
29-Jul-1992,0,11.38,10.88,11.38,35300,10.93
30-Jul-1992,0,11.62,11.12,11.5,82800,11.04
31-Jul-1992,0,11.75,11.38,11.75,249200,11.28
03-Aug-1992,0,11.62,11.5,11.5,8800,11.04
04-Aug-1992,0,11.75,11.5,11.5,17000,11.04
05-Aug-1992,0,11.75,11.5,11.5,19100,11.04
06-Aug-1992,0,11.88,11.5,11.88,230500,11.41
