Date,Open,High,Low,Close,Volume,AdjClose
24-May-2000,0,23.25,22,22.06,4553000,18.84
25-May-2000,0,22.12,21.19,21.31,1656700,18.2
26-May-2000,0,21.62,20.62,21.5,228700,18.37
30-May-2000,0,22.19,21.38,22.06,153100,18.84
31-May-2000,0,24,22.06,23.81,319700,20.34
01-Jun-2000,0,26.75,23.75,26.5,258900,22.64
02-Jun-2000,0,26.38,25,25.25,144100,21.57
05-Jun-2000,0,26.75,25,26.25,75600,22.42
06-Jun-2000,0,27.5,24.5,24.5,210600,20.93
07-Jun-2000,0,25.12,23.25,25.06,58400,21.41
08-Jun-2000,0,25,24.5,25,113000,21.36
09-Jun-2000,0,25.56,25,25,49500,21.36
12-Jun-2000,0,26.5,24.5,26.5,105400,22.64
13-Jun-2000,0,27.5,26.25,27,74100,23.06
14-Jun-2000,0,30.12,27.25,29.38,408900,25.1
15-Jun-2000,0,29.38,29,29.25,47900,24.99
16-Jun-2000,0,29.5,29,29,28900,24.77
19-Jun-2000,0,30.5,29,29,285300,24.77
20-Jun-2000,0,29.25,29,29,110800,24.77
21-Jun-2000,0,30.25,29,30.25,39800,25.84
22-Jun-2000,0,35.5,30.12,32.75,299700,27.98
23-Jun-2000,0,33.25,32.62,33.06,114000,28.24
26-Jun-2000,0,33.06,29.75,29.75,98500,25.41
27-Jun-2000,0,31.5,29.5,31.5,80100,26.91
28-Jun-2000,0,31.25,30.12,30.12,49400,25.73
29-Jun-2000,0,31.25,30.12,31.12,124600,26.58
30-Jun-2000,0,34,31.25,33.5,208000,28.62
03-Jul-2000,0,34,33.25,34,31600,29.04
05-Jul-2000,0,33.88,32.5,32.75,125500,27.98
06-Jul-2000,0,32.75,30.5,31.75,56100,27.12
07-Jul-2000,0,31.62,31,31.38,60200,26.81
10-Jul-2000,0,31.12,30.38,30.38,32100,25.95
11-Jul-2000,0,30,28.31,29.25,60600,24.99
12-Jul-2000,0,30.62,29.31,30.5,96200,26.05
13-Jul-2000,0,31.25,30.38,31.25,29000,26.7
14-Jul-2000,0,31.38,30.75,30.88,10000,26.38
17-Jul-2000,0,30.5,29.75,30.25,39900,25.84
18-Jul-2000,0,30.62,30.06,30.62,12900,26.16
19-Jul-2000,0,30.5,30.12,30.12,14600,25.73
20-Jul-2000,0,30.38,30,30.12,6500,25.73
21-Jul-2000,0,30.31,30,30,44700,25.63
24-Jul-2000,0,30,29.25,29.88,21400,25.52
25-Jul-2000,0,30.25,29.75,30.25,35000,25.84
26-Jul-2000,0,31.12,30,31.12,44000,26.58
27-Jul-2000,0,31,30.75,30.75,4900,26.27
28-Jul-2000,0,30.88,30.5,30.56,68700,26.11
31-Jul-2000,0,30.5,29.5,29.88,18500,25.52
01-Aug-2000,0,30.12,29.5,29.75,13800,25.41
02-Aug-2000,0,29.75,29.25,29.75,6700,25.41
03-Aug-2000,0,29.62,29.38,29.38,2600,25.1
04-Aug-2000,0,29.69,29.38,29.69,8400,25.36
07-Aug-2000,0,30.62,29.62,30.19,44300,25.79
08-Aug-2000,0,30.25,29.5,30,40900,25.63
09-Aug-2000,0,30.38,30,30.12,19400,25.73
10-Aug-2000,0,30.5,30.12,30.38,30300,25.95
11-Aug-2000,0,30.5,30.12,30.44,22000,26
14-Aug-2000,0,30.94,30.44,30.94,14100,26.43
