Date,Open,High,Low,Close,Volume,AdjClose
05-Aug-1987,0,0.4,0.4,0.4,38020000,0.39
06-Aug-1987,0,0.41,0.41,0.41,4116000,0.4
07-Aug-1987,0,0.41,0.41,0.41,4292000,0.4
10-Aug-1987,0,0.41,0.41,0.41,2360000,0.4
11-Aug-1987,0,0.43,0.42,0.42,2760000,0.41
12-Aug-1987,0,0.46,0.44,0.44,1920000,0.43
13-Aug-1987,0,0.46,0.44,0.44,1208000,0.43
14-Aug-1987,0,0.45,0.44,0.44,1272000,0.43
17-Aug-1987,0,0.45,0.44,0.44,656000,0.43
18-Aug-1987,0,0.44,0.43,0.43,1104000,0.42
19-Aug-1987,0,0.44,0.42,0.42,936000,0.41
20-Aug-1987,0,0.44,0.42,0.42,276000,0.41
21-Aug-1987,0,0.44,0.43,0.43,1120000,0.42
24-Aug-1987,0,0.44,0.42,0.42,1824000,0.41
25-Aug-1987,0,0.44,0.43,0.43,744000,0.42
26-Aug-1987,0,0.44,0.44,0.44,4052000,0.43
27-Aug-1987,0,0.45,0.44,0.44,2932000,0.43
28-Aug-1987,0,0.46,0.44,0.44,492000,0.43
31-Aug-1987,0,0.46,0.44,0.44,504000,0.43
01-Sep-1987,0,0.46,0.44,0.46,564000,0.45
02-Sep-1987,0,0.46,0.44,0.44,1116000,0.43
03-Sep-1987,0,0.45,0.44,0.45,1472000,0.44
04-Sep-1987,0,0.46,0.45,0.45,132000,0.44
08-Sep-1987,0,0.46,0.45,0.46,3148000,0.45
09-Sep-1987,0,0.46,0.44,0.44,760000,0.43
10-Sep-1987,0,0.46,0.44,0.45,1124000,0.44
11-Sep-1987,0,0.44,0.44,0.44,36000,0.43
14-Sep-1987,0,0.46,0.45,0.45,2460000,0.44
15-Sep-1987,0,0.46,0.45,0.46,1012000,0.45
16-Sep-1987,0,0.45,0.45,0.45,412000,0.44
17-Sep-1987,0,0.46,0.45,0.45,480000,0.44
18-Sep-1987,0,0.46,0.45,0.46,1240000,0.45
21-Sep-1987,0,0.45,0.45,0.45,48000,0.44
22-Sep-1987,0,0.46,0.45,0.45,504000,0.44
23-Sep-1987,0,0.46,0.45,0.45,48000,0.44
24-Sep-1987,0,0.46,0.45,0.46,156000,0.45
25-Sep-1987,0,0.45,0.45,0.45,20000,0.44
28-Sep-1987,0,0.48,0.45,0.47,344000,0.46
29-Sep-1987,0,0.48,0.46,0.48,556000,0.47
30-Sep-1987,0,0.49,0.47,0.49,748000,0.48
01-Oct-1987,0,0.51,0.48,0.5,756000,0.49
02-Oct-1987,0,0.51,0.5,0.5,1048000,0.49
05-Oct-1987,0,0.51,0.5,0.5,280000,0.49
06-Oct-1987,0,0.51,0.49,0.49,1576000,0.48
07-Oct-1987,0,0.49,0.49,0.49,284000,0.48
08-Oct-1987,0,0.49,0.49,0.49,532000,0.48
09-Oct-1987,0,0.5,0.49,0.49,2168000,0.48
12-Oct-1987,0,0.49,0.49,0.49,24000,0.48
13-Oct-1987,0,0.49,0.49,0.49,408000,0.48
14-Oct-1987,0,0.49,0.46,0.46,2592000,0.45
15-Oct-1987,0,0.48,0.45,0.45,1108000,0.44
16-Oct-1987,0,0.46,0.44,0.44,3608000,0.43
19-Oct-1987,0,0.41,0.38,0.38,520000,0.37
20-Oct-1987,0,0.37,0.35,0.35,188000,0.34
21-Oct-1987,0,0.37,0.35,0.37,1584000,0.36
22-Oct-1987,0,0.37,0.34,0.34,200000,0.33
23-Oct-1987,0,0.34,0.32,0.32,604000,0.31
26-Oct-1987,0,0.31,0.28,0.31,104000,0.3
27-Oct-1987,0,0.29,0.28,0.28,96000,0.27
28-Oct-1987,0,0.27,0.26,0.26,220000,0.25
29-Oct-1987,0,0.29,0.26,0.28,1956000,0.27
30-Oct-1987,0,0.31,0.28,0.3,820000,0.29
02-Nov-1987,0,0.28,0.27,0.28,84000,0.27
03-Nov-1987,0,0.26,0.26,0.26,180000,0.25
04-Nov-1987,0,0.27,0.26,0.26,192000,0.25
05-Nov-1987,0,0.29,0.27,0.29,872000,0.28
06-Nov-1987,0,0.29,0.28,0.28,360000,0.27
09-Nov-1987,0,0.28,0.26,0.26,620000,0.25
10-Nov-1987,0,0.28,0.25,0.26,340000,0.25
11-Nov-1987,0,0.27,0.25,0.26,544000,0.25
12-Nov-1987,0,0.28,0.26,0.28,1728000,0.27
13-Nov-1987,0,0.28,0.27,0.28,608000,0.27
16-Nov-1987,0,0.28,0.27,0.27,152000,0.26
17-Nov-1987,0,0.28,0.26,0.27,52000,0.26
18-Nov-1987,0,0.28,0.26,0.26,28000,0.25
19-Nov-1987,NaN,NaN,NaN,0.26,0,0.25
20-Nov-1987,0,0.26,0.26,0.26,232000,0.25
23-Nov-1987,0,0.27,0.26,0.26,52000,0.25
24-Nov-1987,0,0.27,0.26,0.26,220000,0.25
25-Nov-1987,0,0.28,0.26,0.28,352000,0.27
27-Nov-1987,0,0.27,0.27,0.27,8000,0.26
30-Nov-1987,0,0.27,0.26,0.26,180000,0.25
01-Dec-1987,0,0.26,0.26,0.26,336000,0.25
02-Dec-1987,0,0.27,0.26,0.27,32000,0.26
03-Dec-1987,0,0.26,0.26,0.26,52000,0.25
04-Dec-1987,0,0.28,0.26,0.26,112000,0.25
07-Dec-1987,0,0.28,0.26,0.28,2236000,0.27
08-Dec-1987,0,0.28,0.26,0.28,944000,0.27
09-Dec-1987,0,0.29,0.27,0.29,204000,0.28
10-Dec-1987,0,0.3,0.28,0.3,908000,0.29
11-Dec-1987,0,0.31,0.31,0.31,36000,0.3
14-Dec-1987,0,0.31,0.3,0.3,1728000,0.29
15-Dec-1987,0,0.32,0.31,0.31,1152000,0.3
16-Dec-1987,0,0.33,0.32,0.32,3428000,0.31
17-Dec-1987,0,0.36,0.33,0.35,632000,0.34
18-Dec-1987,0,0.38,0.35,0.37,1008000,0.36
21-Dec-1987,0,0.38,0.37,0.37,200000,0.36
22-Dec-1987,0,0.38,0.36,0.36,56000,0.35
23-Dec-1987,NaN,NaN,NaN,0.36,0,0.35
24-Dec-1987,0,0.38,0.36,0.38,200000,0.37
28-Dec-1987,0,0.37,0.35,0.35,116000,0.34
29-Dec-1987,0,0.37,0.35,0.37,536000,0.36
30-Dec-1987,0,0.39,0.36,0.39,352000,0.38
31-Dec-1987,0,0.4,0.38,0.4,148000,0.39
04-Jan-1988,0,0.41,0.39,0.41,52000,0.4
05-Jan-1988,0,0.43,0.41,0.42,676000,0.41
06-Jan-1988,0,0.43,0.42,0.42,216000,0.41
07-Jan-1988,0,0.49,0.42,0.48,8728000,0.47
08-Jan-1988,0,0.5,0.47,0.47,3764000,0.46
11-Jan-1988,0,0.48,0.46,0.46,424000,0.45
12-Jan-1988,0,0.46,0.43,0.44,812000,0.43
13-Jan-1988,0,0.48,0.44,0.46,2092000,0.45
14-Jan-1988,0,0.48,0.46,0.48,584000,0.47
15-Jan-1988,0,0.51,0.48,0.51,1968000,0.5
18-Jan-1988,0,0.51,0.51,0.51,560000,0.5
19-Jan-1988,0,0.51,0.51,0.51,484000,0.5
20-Jan-1988,0,0.51,0.51,0.51,2760000,0.5
21-Jan-1988,0,0.52,0.51,0.52,6868000,0.51
22-Jan-1988,0,0.55,0.52,0.55,5220000,0.54
