Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.89,0.85,0.85,92800,0.61
04-Jan-1978,0,0.89,0.85,0.85,40801,0.61
05-Jan-1978,0,0.89,0.85,0.85,19201,0.61
06-Jan-1978,0,0.89,0.85,0.85,11201,0.61
09-Jan-1978,0,0.85,0.85,0.85,34398,0.61
10-Jan-1978,0,0.85,0.85,0.85,15201,0.61
11-Jan-1978,0,0.85,0.85,0.85,18002,0.61
12-Jan-1978,0,0.85,0.85,0.85,37198,0.61
13-Jan-1978,0,0.85,0.85,0.85,8401,0.61
16-Jan-1978,0,0.85,0.85,0.85,11201,0.61
17-Jan-1978,0,0.85,0.85,0.85,11201,0.61
18-Jan-1978,0,0.85,0.81,0.81,50402,0.58
19-Jan-1978,0,0.81,0.81,0.81,57202,0.58
20-Jan-1978,0,0.81,0.81,0.81,6399,0.58
23-Jan-1978,0,0.81,0.81,0.81,21199,0.58
24-Jan-1978,0,0.81,0.81,0.81,6399,0.58
25-Jan-1978,0,0.81,0.81,0.81,15201,0.58
26-Jan-1978,0,0.81,0.81,0.81,112001,0.58
27-Jan-1978,0,0.81,0.81,0.81,1601,0.58
30-Jan-1978,NaN,NaN,NaN,0.81,0,0.58
31-Jan-1978,0,0.81,0.81,0.81,1601,0.58
01-Feb-1978,0,0.85,0.81,0.81,27602,0.58
02-Feb-1978,0,0.85,0.81,0.81,1601,0.58
03-Feb-1978,0,0.85,0.81,0.81,13600,0.58
06-Feb-1978,0,0.85,0.81,0.81,1601,0.58
07-Feb-1978,0,0.85,0.81,0.81,11201,0.58
08-Feb-1978,0,0.85,0.81,0.81,15201,0.58
09-Feb-1978,0,0.85,0.81,0.81,11201,0.58
10-Feb-1978,0,0.85,0.81,0.81,15201,0.58
13-Feb-1978,0,0.85,0.81,0.81,1601,0.58
14-Feb-1978,0,0.85,0.81,0.81,15201,0.58
15-Feb-1978,0,0.85,0.85,0.85,25600,0.61
16-Feb-1978,0,0.85,0.85,0.85,40801,0.61
17-Feb-1978,0,0.85,0.85,0.85,6399,0.61
21-Feb-1978,0,0.85,0.85,0.85,8401,0.61
22-Feb-1978,0,0.89,0.89,0.89,95600,0.63
23-Feb-1978,0,0.89,0.89,0.89,13600,0.63
24-Feb-1978,0,0.94,0.89,0.89,18002,0.63
27-Feb-1978,0,0.94,0.89,0.89,25600,0.63
28-Feb-1978,0,0.94,0.89,0.89,37198,0.63
01-Mar-1978,0,0.94,0.89,0.89,34398,0.63
02-Mar-1978,0,0.94,0.89,0.89,1601,0.63
03-Mar-1978,0,0.94,0.89,0.89,11201,0.63
06-Mar-1978,0,0.94,0.89,0.89,11201,0.63
07-Mar-1978,0,0.94,0.89,0.89,98802,0.63
